a,w_R,alpha_K,alpha_B_BelliniSawicki,RPH_alpha_B_EFTCAMB
1.958789276128689721e-02,-1.012345426924290193e+00,1.459269174925638892e-05,5.996726016895368080e-06,-2.998363008447684040e-06
1.995451997683879430e-02,-1.012484464551759888e+00,1.543627332532277930e-05,6.345925841800662680e-06,-3.172962920900331340e-06
2.032569366772386810e-02,-1.012623520424467793e+00,1.632300534317449031e-05,6.713143314384362736e-06,-3.356571657192181368e-06
2.070144185057833097e-02,-1.012762573722247206e+00,1.725481400380684169e-05,7.099191070994917854e-06,-3.549595535497458927e-06
2.108179254203839878e-02,-1.012901603499446912e+00,1.823369926165652272e-05,7.504913231883602067e-06,-3.752456615941801034e-06
2.146677375874031513e-02,-1.013040588685835575e+00,1.926173719463107490e-05,7.931186424306914198e-06,-3.965593212153457099e-06
2.185641351732028892e-02,-1.013179508087500569e+00,2.034108243628871899e-05,8.378920832511729572e-06,-4.189460416255864786e-06
2.225073983441453948e-02,-1.013318340387745486e+00,2.147397067144869173e-05,8.849061275134740848e-06,-4.424530637567370424e-06
2.264978072665928960e-02,-1.013457064147982978e+00,2.266272119653080008e-05,9.342588310553520228e-06,-4.671294155276760114e-06
2.305356421069074471e-02,-1.013595657808627148e+00,2.390973954594237641e-05,9.860519370732851675e-06,-4.930259685366425837e-06
2.346211830314515190e-02,-1.013734099689982182e+00,2.521752018585056700e-05,1.040390992411608632e-05,-5.201954962058043162e-06
2.387547102065872354e-02,-1.013872367993130297e+00,2.658864927669649770e-05,1.097385466811694515e-05,-5.486927334058472573e-06
2.429365037986767548e-02,-1.014010440800818147e+00,2.802580750582849716e-05,1.157148875177369222e-05,-5.785744375886846110e-06
2.471668439740823051e-02,-1.014148296078343225e+00,2.953177299165023062e-05,1.219798902913285696e-05,-6.098994514566428479e-06
2.514460108991661141e-02,-1.014285911674438267e+00,3.110942426070026432e-05,1.285457534393592964e-05,-6.427287671967964819e-06
2.557742847402902017e-02,-1.014423265322157430e+00,3.276174329909798533e-05,1.354251184618774181e-05,-6.771255923093870904e-06
2.601519456638171079e-02,-1.014560334639762029e+00,3.449181867981259379e-05,1.426310834119134680e-05,-7.131554170595673402e-06
2.645792738361088872e-02,-1.014697097131606496e+00,3.630284876722974363e-05,1.501772167163907594e-05,-7.508860835819537971e-06
2.690565494235277674e-02,-1.014833530189028110e+00,3.819814500051130213e-05,1.580775713335540053e-05,-7.903878566677700266e-06
2.735840525924359071e-02,-1.014969611091234736e+00,4.018113525726475289e-05,1.663466992529234433e-05,-8.317334962646172165e-06
2.781620635091953953e-02,-1.015105317006198993e+00,4.225536729905534131e-05,1.749996663438299700e-05,-8.749983317191498499e-06
2.827908623401687374e-02,-1.015240624991551543e+00,4.442451230031835795e-05,1.840520675586434929e-05,-9.202603377932174646e-06
2.874707292517180227e-02,-1.015375511995479707e+00,4.669236846224427638e-05,1.935200424968472452e-05,-9.676002124842362259e-06
2.922019444102054095e-02,-1.015509954857628516e+00,4.906286471323348397e-05,2.034202913361673562e-05,-1.017101456680836781e-05
2.969847879819931258e-02,-1.015643930310006660e+00,5.154006449753382389e-05,2.137700911370048860e-05,-1.068850455685024430e-05
3.018195401334432260e-02,-1.015777414977896420e+00,5.412816965369556601e-05,2.245873125264652339e-05,-1.122936562632326170e-05
3.067064810309182502e-02,-1.015910385380769609e+00,5.683152438449735059e-05,2.358904367683229653e-05,-1.179452183841614827e-05
3.116458908407802181e-02,-1.016042817933207276e+00,5.965461932001592710e-05,2.476985732252947583e-05,-1.238492866126473792e-05
