z,k_h_per_Mpc,P_k_Mpc_over_h_cubed
5.000000000000000000e-01,2.729093257253888960e-01,6.504197745527450252e+02
5.000000000000000000e-01,2.884340160480872717e-01,5.746819009067586421e+02
5.000000000000000000e-01,3.048418422217683554e-01,5.191158719853272032e+02
5.000000000000000000e-01,3.221830422167288321e-01,4.715821966449006482e+02
5.000000000000000000e-01,3.405107118349984807e-01,4.197984910424027021e+02
5.000000000000000000e-01,3.598809672806446702e-01,3.731955511875837601e+02
5.000000000000000000e-01,3.803531169780395849e-01,3.360430771752632495e+02
5.000000000000000000e-01,4.019898431641528158e-01,3.000316311932128315e+02
5.000000000000000000e-01,4.248573938108946568e-01,2.665738987862978320e+02
5.000000000000000000e-01,4.490257854651243385e-01,2.383856885557378860e+02
5.000000000000000000e-01,4.745690176273950067e-01,2.120006809196783308e+02
5.000000000000000000e-01,5.015652993258294945e-01,1.885083885263854029e+02
5.000000000000000000e-01,5.300972885788473032e-01,1.676699634112143542e+02
5.000000000000000000e-01,5.602523454799422931e-01,1.487642563936359750e+02
5.000000000000000000e-01,5.921227996794201642e-01,1.320399008025766534e+02
5.000000000000000000e-01,6.258062330820668429e-01,1.169931493418607715e+02
5.000000000000000000e-01,6.614057786263234373e-01,1.036224938587419615e+02
5.000000000000000000e-01,6.990304360597935363e-01,9.170427105333303075e+01
5.000000000000000000e-01,7.387954056779033607e-01,8.108465912044739810e+01
5.000000000000000000e-01,7.808224410476022337e-01,7.164228439315033370e+01
5.000000000000000000e-01,8.252402217960521646e-01,6.325256635986264797e+01
5.000000000000000000e-01,8.721847476057342785e-01,5.580422319015310251e+01
5.000000000000000000e-01,9.217997546223303251e-01,4.919822009786597761e+01
5.000000000000000000e-01,9.742371555503265279e-01,4.334516333403637844e+01
5.000000000000000000e-01,1.029657504783845212e+00,3.816278741795868967e+01
5.000000000000000000e-01,1.088230489996875328e+00,3.357764742323784191e+01
5.000000000000000000e-01,1.150135451698037103e+00,2.952452061642734904e+01
5.000000000000000000e-01,1.215561932340679219e+00,2.594510313848251926e+01
5.000000000000000000e-01,1.284710256669612027e+00,2.278581860766175282e+01
5.000000000000000000e-01,1.357792145081367918e+00,1.999912151811685490e+01
5.000000000000000000e-01,1.435031361876000444e+00,1.754332913652946146e+01
5.000000000000000000e-01,1.516664400385291822e+00,1.538044696927292776e+01
5.000000000000000000e-01,1.602941207075052610e+00,1.347683700347508129e+01
5.000000000000000000e-01,1.694125946838663799e+00,1.180267127808368599e+01
5.000000000000000000e-01,1.790497811824998786e+00,1.033100365196801107e+01
5.000000000000000000e-01,1.892351876277240885e+00,9.038229494162836275e+00
5.000000000000000000e-01,1.999999999999998224e+00,7.903399050977235163e+00
1.000000000000000000e+00,1.000000000000000048e-04,1.638637885618814209e+02
1.000000000000000000e+00,1.056885891610460487e-04,1.728449348044343594e+02
1.000000000000000000e+00,1.117007787885238138e-04,1.823178118673348820e+02
1.000000000000000000e+00,1.180549771834918165e-04,1.923092041344578433e+02
1.000000000000000000e+00,1.247706398196273057e-04,2.028474323057782840e+02
1.000000000000000000e+00,1.318683289125744415e-04,2.139622379683729321e+02
1.000000000000000000e+00,1.393697763779476895e-04,2.256850089201753349e+02
1.000000000000000000e+00,1.472979503707577405e-04,2.380488816181813831e+02
1.000000000000000000e+00,1.556771256099916535e-04,2.510886328154141722e+02
1.000000000000000000e+00,1.645329577036697079e-04,2.648409648712232638e+02
1.000000000000000000e+00,1.738925617019491487e-04,2.793446149351453300e+02
1.000000000000000000e+00,1.837845951187915005e-04,2.946402099328937538e+02
1.000000000000000000e+00,1.942393456763914501e-04,3.107705028189563450e+02
1.000000000000000000e+00,2.052888240410254421e-04,3.277807148840181526e+02
1.000000000000000000e+00,2.169668618342621006e-04,3.457182121064120679e+02
1.000000000000000000e+00,2.293092152196276787e-04,3.646328985406127003e+02
1.000000000000000000e+00,2.423536743818911798e-04,3.845772210219166709e+02
1.000000000000000000e+00,2.561401792341762990e-04,4.056063281007823207e+02
1.000000000000000000e+00,2.707109417071755790e-04,4.277781865945931941e+02
1.000000000000000000e+00,2.861105749948956740e-04,4.511537371782521859e+02
1.000000000000000000e+00,3.023862301526618226e-04,4.757967398640510055e+02
1.000000000000000000e+00,3.195877404656218977e-04,5.017743174247746651e+02
1.000000000000000000e+00,3.377677740297812354e-04,5.291569483236102087e+02
1.000000000000000000e+00,3.569819950127458923e-04,5.580179778369670203e+02
