model,k,H0,Omega_m0,w0,wa,theta,chi2,AIC,BIC,delta_chi2_vs_lcdm,delta_AIC_vs_lcdm,delta_BIC_vs_lcdm
lcdm,2,68.63125000000001,0.3059375,-1.0,0.0,,1414.0899983340921,1418.0899983340921,1428.8752933755354,0.0,0.0,0.0
wcdm,3,67.89375000000001,0.2984375000000001,-0.9140624999999999,0.0,,1409.774522638935,1415.774522638935,1431.9524652010998,-4.315475695157147,-2.315475695157147,3.077171825564392
cpl,4,67.85625,0.30696875,-0.8859375000000002,-0.25625000000000003,,1409.4388142919986,1417.4388142919986,1439.009404374885,-4.651184042093519,-0.6511840420935187,10.13411099934956
r1,3,67.96875,0.2927812499999998,,,1.6140625000000015,1410.3781225879789,1416.3781225879789,1432.5560651501437,-3.7118757461132645,-1.7118757461132645,3.6807717746082744
