theta,chi2_profile,H0_profile,Omega_m0_profile,delta_chi2
0.9,1425.5376563450754,66.63203124999995,0.24074999999999996,15.162644480686595
0.92,1424.62593207345,66.68828124999996,0.24274999999999997,14.250920209061178
0.9400000000000001,1423.7448254135222,66.72343749999997,0.24499999999999997,13.369813549133369
0.96,1422.8966204284172,66.77265624999998,0.24699999999999997,12.521608564028384
0.98,1422.077403940421,66.78671874999996,0.24949999999999997,11.702392076032083
1.0,1421.2904538271396,66.84999999999995,0.25112499999999993,10.91544196275072
1.02,1420.5327011035363,66.88515624999997,0.2531249999999998,10.15768923914743
1.04,1419.8060503629931,66.92734374999998,0.2549999999999997,9.431038498604266
1.06,1419.1077841636595,66.95546874999997,0.25699999999999973,8.732772299270664
1.08,1418.4404327385696,66.98359374999995,0.25899999999999973,8.065420874180745
1.1,1417.8021209562487,67.03984374999996,0.2603749999999997,7.4271090918598475
1.12,1417.1917104991091,67.06796874999998,0.2622499999999996,6.8166986347202965
1.1400000000000001,1416.6107555240694,67.11718749999999,0.26374999999999954,6.2357436596805655
1.1600000000000001,1416.0573335415468,67.14531249999999,0.2654999999999995,5.6823216771579155
1.1800000000000002,1415.5321839711194,67.1875,0.26699999999999946,5.157172106730513
1.2,1415.0344615426745,67.22968749999998,0.26849999999999946,4.659449678285682
1.22,1414.5647088108685,67.27187499999998,0.2698749999999994,4.189696946479671
1.24,1414.1207696790277,67.30703124999998,0.27137499999999937,3.745757814638864
1.26,1413.7038435074248,67.32812499999996,0.2731249999999995,3.328831643035983
1.28,1413.3162050838368,67.39843749999997,0.2738749999999994,2.941193219447996
1.3,1412.9529320283705,67.440625,0.2751249999999993,2.5779201639816165
1.32,1412.6099015385796,67.46171875000003,0.2767499999999991,2.234889674190754
1.34,1412.2952055745648,67.48281250000007,0.27824999999999894,1.9201937101759086
1.36,1412.0070204184549,67.53203125000009,0.27924999999999883,1.632008554066033
1.38,1411.7426619147136,67.56718750000012,0.2804999999999987,1.3676500503247553
1.4,1411.5029429229971,67.59531250000012,0.28174999999999867,1.127931058608283
1.42,1411.287625750644,67.64453125000014,0.28274999999999856,0.912613886255258
1.44,1411.096539944857,67.68671875000013,0.28374999999999856,0.7215280804682607
1.46,1410.9268210786756,67.71484375000011,0.28499999999999853,0.5518092142867772
1.48,1410.781256122335,67.75000000000011,0.2859999999999985,0.4062442579461276
1.5,1410.6583046044557,67.77812500000012,0.2872499999999984,0.2832927400668268
1.52,1410.5578712474692,67.8132812500001,0.2882499999999984,0.1828593830803129
1.54,1410.4798684776472,67.84140625000009,0.2892499999999984,0.10485661325833462
1.56,1410.423318131609,67.8906250000001,0.2899999999999983,0.04830626722014131
1.58,1410.3885189288449,67.91875000000009,0.2911249999999983,0.013507064456007356
1.6,1410.3750118643889,67.94687500000008,0.2921249999999983,0.0
1.61484375,1410.3791048789087,67.99609375000007,0.2923749999999983,0.004093014519867211
1.62,1410.3826476424797,68.00312500000008,0.29262499999999825,0.007635778090843814
1.6400000000000001,1410.4098665502136,68.03125000000007,0.29362499999999825,0.03485468582471185
1.6600000000000001,1410.4580623002303,68.06640625000009,0.29437499999999817,0.08305043584141458
1.6800000000000002,1410.5257680487848,68.09453125000007,0.29537499999999817,0.15075618439595928
1.7000000000000002,1410.613396884021,68.12968750000009,0.2961249999999981,0.2383850196322328
