model,law,k,H0,Omega_m0,alpha,chi2,AIC,BIC,delta_chi2_vs_lcdm,delta_AIC_vs_lcdm,delta_BIC_vs_lcdm
Rrun_late_a,late_a,3,67.8625,0.3022734375,0.4974218749999999,1409.5891880305899,1415.5891880305899,1431.7671305927547,-4.500810303502249,-2.5008103035022486,2.8918372172192903
Rrun_constant,constant,3,67.96249999999999,0.2922890625000001,0.39382812500000036,1410.3745884409855,1416.3745884409855,1432.5525310031503,-3.715409893106653,-1.7154098931066528,3.677237627614886
Rrun_balanced_1_minus_a2,balanced_1_minus_a2,3,68.475,0.29521875000000036,0.3333593749999994,1413.2685429479252,1419.2685429479252,1435.44648551009,-0.8214553861669174,1.1785446138330826,6.571192134554622
Rrun_early_z_over_1pz,early_z_over_1pz,3,68.58593749999999,0.3007343749999998,0.23718750000000324,1413.9130415979994,1419.9130415979994,1436.0909841601642,-0.176956736092734,1.823043263907266,7.215690784628805
Rrun_log_running,log_running,3,68.634375,0.30848437500000003,-0.10914062500000003,1414.0464136460516,1420.0464136460516,1436.2243562082165,-0.04358468804048243,1.9564153119595176,7.3490628326810565
