prior_set,lnZ_lcdm,lnZ_wcdm,lnZ_ralpha,lnB_ralpha_lcdm,lnB_ralpha_wcdm
broad,-714.8995677758763,-715.8786877302945,-715.2572606910902,-0.3576929152138746,0.6214270392042636
mid,-713.5132734147564,-713.8418058030334,-713.0236684695832,0.48960494517325515,0.8181373334501814
tight,-712.3093006104305,-712.0988364979748,-711.0575556132103,1.2517449972201575,1.0412808847645465
