parameter,best,sigma_laplace,lo_68,hi_68,lo_95,hi_95
H0,67.8625,0.566174118466925,67.29632588153308,68.42867411846692,66.75279872780483,68.97220127219516
Omega_m0,0.3022734375,0.007980617727087348,0.29429281977291266,0.3102540552270874,0.2866314267549088,0.3179154482450912
alpha,0.4974218749999999,0.2092518688081831,0.28817000619181676,0.706673743808183,0.087288212135961,0.9075555378640388
