dataset,model,ndata,k,H0,Omega_m0,theta,nu,chi2,AIC,BIC,delta_chi2,delta_AIC,delta_BIC,chi2_SN,chi2_BAO,chi2_CC
Pantheon+full + DESI_DR1_BAO + CC,lcdm,1623,2,68.41250000000001,0.311625,2.0,0.0,1415.8060518141194,1419.8060518141194,1430.5901149491485,0.0,0.0,0.0,1387.762092832476,13.521972764206375,14.521986217437195
Pantheon+full + DESI_DR1_BAO + CC,r1,1623,3,68.05,0.29359375,1.62734375,0.0,1413.7592963969685,1419.7592963969685,1435.9353910995123,-2.046755417150962,-0.046755417150961875,5.345276150363816,1386.1369164325297,13.005506951045664,14.61687301339312
Pantheon+full + DESI_DR1_BAO + CC,r2,1623,4,68.11875,0.31693750000000065,3.7268750000000646,1.313750000000033,1412.3948941540377,1420.3948941540377,1441.9630204240962,-3.411157660081699,0.5888423399183011,11.372905474947629,1386.173657964915,11.30027963960806,14.920956549514683
Pantheon+full + DESI_DR2_BAO + CC,lcdm,1624,2,68.63124999999998,0.3059375,2.0,0.0,1414.0899983340921,1418.0899983340921,1428.8752933755354,0.0,0.0,0.0,1388.6196288950741,10.9079668250595,14.562402613958474
Pantheon+full + DESI_DR2_BAO + CC,r1,1624,3,67.97500000000001,0.2927499999999999,1.6148437500000021,0.0,1410.3782640333457,1416.3782640333457,1432.5562065955105,-3.711734300746457,-1.711734300746457,3.680913219975082,1386.116411626339,9.63816490409392,14.623687502912919
Pantheon+full + DESI_DR2_BAO + CC,r2,1624,4,67.89375000000001,0.3044687500000004,2.407812500000024,0.508124999999992,1409.4441051168017,1417.4441051168017,1439.014695199688,-4.64589321729045,-0.6458932172904497,10.139401824152628,1385.9931761473417,8.710256814667828,14.740672154791955
DES-Dovekie SN STAT+SYS + DESI_DR2_BAO + CC,lcdm,1864,2,68.54375000000002,0.30759374999999994,2.0,0.0,1659.5040811649276,1663.5040811649276,1674.5650411554186,0.0,0.0,0.0,1633.7227294778866,11.230397297217408,14.550954389823525
DES-Dovekie SN STAT+SYS + DESI_DR2_BAO + CC,r1,1864,3,67.94375000000001,0.29159375,1.5931250000000003,0.0,1655.2907736651393,1661.2907736651393,1677.8822136508759,-4.213307499788243,-2.213307499788243,3.317172495457271,1630.9905340950493,9.670264264697428,14.62997530539279
DES-Dovekie SN STAT+SYS + DESI_DR2_BAO + CC,r2,1864,4,67.81875000000005,0.3130625000000008,3.244062500000062,1.0737499999999958,1652.964539099545,1660.964539099545,1683.086459080527,-6.539542065382648,-2.5395420653826477,8.52141792510838,1629.9011558624738,8.199824625566414,14.863558611504669
