t,a,R_cal,Rdot,H,W,F,Z,U,Omega_m_R,Omega_r_R,Omega_cal,closure_sum,q,G_unscreened_over_G
0.0,0.01,50000.0,0.0,141.4199420562733,3.999984000064e-06,1.000019999840001,7.999936000384001e-13,2.3999616003839978e-11,0.8333333333333331,0.1666666666666666,3.9999360006399956e-16,1.0000000000000002,0.5833296869190008,0.9999800005599846
0.00012031548530260739,0.010155137928567636,49999.99935029751,-1.8581269616245841,138.01564669634735,3.999984052039784e-06,1.0000199998402608,7.999936208286306e-13,2.3999616627539404e-11,0.8354605261002581,0.16453947390512666,-5.384626799355619e-12,1.0000000000000002,0.5822715586199365,0.9999800005597248
0.00024063097060522172,0.010312682634823303,49999.998700595024,-3.7162539232492753,134.69549447644104,3.999984104015569e-06,1.0000199998405208,7.999936416188618e-13,2.3999617251238853e-11,0.8375658612177896,0.16243413879324534,-1.1035076401132662e-11,0.9999999999999999,0.5812188836113137,0.9999800005594648
0.00036094645590782913,0.010472671457017494,49999.99805089254,-5.574380884873859,131.45733228050082,3.9999841559913555e-06,1.0000199998407806,7.999936624090938e-13,2.3999617874938337e-11,0.8396494282147454,0.16035057180221493,-1.69604832986519e-11,1.0,0.5801770923914091,0.999980000559205
0.00048126194121044343,0.01063514231265861,49999.997401190056,-7.432507846498551,128.29906441149103,3.999984207967144e-06,1.0000199998410404,7.99993683199327e-13,2.3999618498637847e-11,0.8417113198836024,0.15828868013956804,-2.3170680752290088e-11,0.9999999999999997,0.5791461385724688,0.9999800005589452
0.0006015774265130578,0.010800133707499398,49999.99675148757,-9.290634808123242,125.21865099205719,3.999984259942933e-06,1.0000199998413004,7.999937039895606e-13,2.399961912233737e-11,0.8437516321796132,0.1562483678500626,-2.9675809493448124e-11,1.0,0.5781259741852125,0.9999800005586852
0.0007218929118156652,0.010967684744662892,49999.99610178508,-11.148761769747827,122.21410641152059,3.9999843119187235e-06,1.0000199998415602,7.999937247797953e-13,2.399961974603693e-11,0.8457704641205924,0.1542295359158937,-3.648632666354523e-11,0.9999999999999998,0.5771165497290838,0.9999800005584255
0.0008422083971182794,0.011137835133909885,49999.99545208259,-13.006888731372518,119.28349781782438,3.999984363894515e-06,1.00001999984182,7.999937455700304e-13,2.39996203697365e-11,0.8477679176874378,0.15223208235617558,-4.361301500084524e-11,1.0000000000000002,0.5761178142217602,0.9999800005581657
0.0009625238824208869,0.011310625201050147,49999.994802380104,-14.865015692997101,116.42494365309224,3.999984415870308e-06,1.00001999984208,7.999937663602667e-13,2.399962099343609e-11,0.8497440977254312,0.15025590232563552,-5.106699228167962e-11,0.9999999999999997,0.5751297154106112,0.9999800005579057
0.0011034017139157717,0.011486095897499729,49999.99103919679,-19.199139741092438,113.63661223093087,3.99998471692265e-06,1.0000199998435852,7.999938867807386e-13,2.399962460600691e-11,0.8516991118538146,0.14830088821375953,-6.757399006487315e-11,1.0000000000000002,0.5741521993599576,0.9999800005564005
0.0012463963007412807,0.011664288809986467,49999.98695550156,-23.788151046818225,110.9167203569956,3.999985043615799e-06,1.0000199998452186,7.999940174575042e-13,2.3999628526262833e-11,0.853633070347739,0.14636692973803853,-8.577760383369843e-11,1.0,0.5731852107594477,0.9999800005547672
0.0013893908875667813,0.011845246170406063,49999.98287180633,-28.37716235254375,108.2635319862122,3.999985370309001e-06,1.0000199998468522,7.999941481343018e-13,2.3999632446519716e-11,0.8555460860614231,0.14445391404340813,-1.0483122334230426e-10,1.0,0.5722286933275882,0.9999800005531336
0.00153238547439229,0.01202901086583112,49999.9787881111,-32.96617365826953,105.67535692056835,3.999985697002256e-06,1.0000199998484856,7.999942788111314e-13,2.3999636366777562e-11,0.8574382743283508,0.14256172579641407,-1.247647461827387e-10,1.0000000000000002,0.5712825894217417,0.9999800005515004
0.0016753800612177906,0.012215626448675384,49999.974704415865,-37.55518496399506,103.15054954406631,3.999986023695565e-06,1.0000199998501191,7.99994409487993e-13,2.3999640287036364e-11,0.8593097528665257,0.14069024727908347,-1.4560899463553504e-10,1.0,0.5703468401907799,0.9999800005498669
0.0018183746480432993,0.012405137147015736,49999.97062072063,-42.144196269720844,100.68750759399849,3.999986350388928e-06,1.0000199998517525,7.999945401648869e-13,2.399964420729614e-11,0.8611606416855416,0.13883935848185416,-1.673957421900309e-10,1.0000000000000002,0.5694213857682939,0.9999800005482335
0.0019797780750283726,0.012597587875074288,49999.96126179456,-48.19399391623109,98.28467096712927,3.999987099098044e-06,1.000019999855496,7.999948396475393e-13,2.3999653191667892e-11,0.8629910629998914,0.13700893719620943,-1.9610078593518505e-10,1.0000000000000002,0.5685061649866157,0.9999800005444903
0.002148834561141855,0.012793024243863067,49999.94970981052,-54.85108045998318,95.94052056155545,3.999988023251019e-06,1.0000199998601167,7.999952093075799e-13,2.3999664281336034e-11,0.8648011411253674,0.13519885910326804,-2.2863563615793787e-10,0.9999999999999999,0.5676011155100298,0.9999800005398697
0.002317891047255337,0.012991492571993913,49999.93815782648,-61.508167003735274,93.6535771500701,3.999988947404422e-06,1.0000199998647374,7.999955789678768e-13,2.399967537101187e-11,0.8665910023979728,0.1334089978646649,-2.6263781123840554e-10,0.9999999999999999,0.5667061742477415,0.9999800005352492
0.0024869475333688384,0.013193039896656017,49999.92660584243,-68.16525354748813,91.42240028639047,3.999989871558252e-06,1.0000199998693582,7.999959486284302e-13,2.399968646069539e-11,0.8683607750871115,0.13163922521104648,-2.9815817442571597e-10,0.9999999999999998,0.5658212771259628,0.9999800005306286
0.0026560040194823207,0.013397713984763755,49999.91505385839,-74.82234009124022,89.24558724294214,3.9999907957125084e-06,1.000019999873979,7.999963182892394e-13,2.3999697550386593e-11,0.8701105893064737,0.12988941102877508,-3.352491456051899e-10,0.9999999999999996,0.5649463590950177,0.999980000526008
0.002825060505595813,0.013605563344277552,49999.90350187435,-81.4794266349927,87.12177197884651,3.999991719867192e-06,1.0000199998785997,7.99996687950305e-13,2.3999708640085484e-11,0.8718405769282668,0.12815942344569797,-3.7396474530015377e-10,1.0000000000000002,0.5640813542258343,0.9999800005213875
0.002994116991709295,0.013816637235700249,49999.89194989031,-88.13651317874479,85.04962413738141,3.999992644022303e-06,1.0000199998832204,7.999970576116268e-13,2.399971972979206e-11,0.8735508714987363,0.12644912891562407,-4.1436063982429837e-10,0.9999999999999997,0.5632261957731544,0.9999800005167669
0.0031660676841926143,0.01403098568375195,49999.87917350521,-94.95693368732138,83.02784807198675,3.999993666129613e-06,1.0000199998883308,7.999974664538512e-13,2.399973199491161e-11,0.8752416081556993,0.12475839230158142,-4.572804736329752e-10,1.0000000000000002,0.5623808163959723,0.9999800005116567
