a,Z,ell,K_plus,K_minus,det_K,F,dF_dRc,Z_eff_Einstein,K_plus_Einstein,K_minus_Einstein,det_K_Einstein
0.01,7.999936000384001e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.000019999840001,-3.9986331069306337e-10,7.999778404407912e-13,0.4899902002747924,-0.48999020027399237,-0.24009039636493915
0.0101551379285676,7.999936208286306e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998402608,-3.999502951046452e-10,7.999778613347509e-13,0.4899902002746651,-0.4899902002738651,-0.2400903963648144
0.0103126826348233,7.999936416188618e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998405208,-4.000639819423668e-10,7.999778822607794e-13,0.4899902002745377,-0.4899902002737377,-0.24009039636468957
0.0104726714570174,7.999936624090938e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998407806,-3.9972292142920196e-10,7.999779026412406e-13,0.4899902002744104,-0.4899902002736104,-0.24009039636456483
0.0106351423126586,7.99993683199327e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998410404,-4.0029135561781004e-10,7.99977924112956e-13,0.48999020027428314,-0.4899902002734831,-0.2400903963644401
0.0108001337074993,7.999937039895607e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998413004,-3.999502951046452e-10,7.99977944493186e-13,0.48999020027415574,-0.4899902002733557,-0.24009039636431526
0.0109676847446628,7.999937247797953e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998415602,-3.998366082669236e-10,7.999779651464147e-13,0.4899902002740284,-0.48999020027322837,-0.24009039636419047
0.0111378351339098,7.999937455700304e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.00001999984182,-4.000639819423668e-10,7.999779862088298e-13,0.4899902002739011,-0.4899902002731011,-0.2400903963640657
0.0113106252010501,7.999937663602667e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.00001999984208,-3.999502951046452e-10,7.999780068620211e-13,0.4899902002737737,-0.4899902002729737,-0.24009039636394086
0.0114860958974997,7.999938867807386e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998435852,-3.999787168140756e-10,7.999781273129822e-13,0.4899902002730362,-0.48999020027223616,-0.2400903963632181
0.0116642888099864,7.999940174575042e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998452186,-4.00007138523506e-10,7.999782580199318e-13,0.4899902002722359,-0.48999020027143586,-0.24009039636243382
0.011845246170406,7.999941481343019e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998468522,-3.999929276687908e-10,7.999783886757568e-13,0.48999020027143547,-0.48999020027063545,-0.24009039636164944
0.0120290108658311,7.999942788111314e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998484856,-3.999929276687908e-10,7.999785193486664e-13,0.4899902002706351,-0.4899902002698351,-0.2400903963608651
0.0122156264486753,7.99994409487993e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998501191,-4.00007138523506e-10,7.999786500386599e-13,0.4899902002698347,-0.48999020026903467,-0.2400903963600807
0.0124051371470157,7.999945401648869e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998517525,-3.999787168140756e-10,7.999787806775297e-13,0.4899902002690344,-0.48999020026823437,-0.24009039635929644
0.0125975878750742,7.999948396475394e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.000019999855496,-3.999858222414332e-10,7.999790801597238e-13,0.4899902002672002,-0.48999020026640017,-0.24009039635749896
0.012793024243863,7.999952093075799e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998601167,-3.999929276687908e-10,7.999794498172009e-13,0.4899902002649361,-0.4899902002641361,-0.2400903963552802
0.0129914925719939,7.999955789678768e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998647374,-4.000000330961484e-10,7.999798194749344e-13,0.48999020026267204,-0.489990200261872,-0.24009039635306145
0.013193039896656,7.999959486284302e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998693582,-3.999929276687908e-10,7.999801891158724e-13,0.48999020026040796,-0.48999020025960793,-0.2400903963508427
0.0133977139847637,7.999963182892394e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.000019999873979,-4.000000330961484e-10,7.999805587741181e-13,0.4899902002581439,-0.48999020025734386,-0.24009039634862395
0.0136055633442775,7.99996687950305e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998785997,-4.000000330961484e-10,7.999809284240942e-13,0.4899902002558798,-0.4899902002550798,-0.2400903963464052
0.0138166372357002,7.999970576116269e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998832204,-3.999858222414332e-10,7.999812980572747e-13,0.4899902002536157,-0.4899902002528157,-0.24009039634418644
0.0140309856837519,7.999974664538512e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998883308,-3.999929276687908e-10,7.999817068957602e-13,0.48999020025111173,-0.4899902002503117,-0.24009039634173257
0.0142486594892259,7.999983239721541e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199998990498,-4.000000330961484e-10,7.999825643968644e-13,0.48999020024585965,-0.4899902002450596,-0.24009039633658563
0.0144697102410283,7.999991814918363e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199999097688,-3.999964803824696e-10,7.999834218865588e-13,0.4899902002406076,-0.48999020023980755,-0.2400903963314387
0.014694190328405,8.000000390128966e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199999204875,-3.999929276687908e-10,7.999842793776314e-13,0.4899902002353556,-0.4899902002345556,-0.2400903963262919
0.0149221529533577,8.000008965353364e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199999312065,-4.000000330961484e-10,7.999851368828723e-13,0.4899902002301035,-0.48999020022930345,-0.2400903963211449
0.015153652143253,8.000017540591543e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199999419257,-4.000000330961484e-10,7.999859943809651e-13,0.4899902002248513,-0.48999020022405126,-0.24009039631599785
0.0153887427636269,8.000026115843514e-13,0.7,0.49000000000039995,-0.4899999999995999,-0.24009999999999995,1.0000199999526445,-3.999964803824696e-10,7.999868518761744e-13,0.4899902002195993,-0.4899902002187993,-0.24009039631085102
