xi_completion,k_over_H0,a,z,zeta,constraint_relative_residual,Delta_0,dDelta_dln_a_0,Delta_1,dDelta_dln_a_1,Delta_2,dDelta_dln_a_2,Delta_3,dDelta_dln_a_3
2.0,1.0,2.511886431509578e-07,3981070.705534976,9.99999999968657e-09,0.0,3.00000000093183e-08,2.2048112398119323e-17,3.00000000093183e-08,2.204811239811931e-17,4.0000000012424386e-08,2.93974832015587e-17,4.0000000012424386e-08,2.939748320155879e-17
2.0,1.0,3.1622776601683734e-07,3162276.660168385,9.999999999919186e-09,0.0,3.000000001601362e-08,3.743490308634075e-17,3.000000001601362e-08,3.7434903086340735e-17,4.000000002135148e-08,4.991320412700969e-17,4.000000002135148e-08,4.991320412700989e-17
2.0,1.0,3.981071705534968e-07,2511885.431509583,1.0000000000531482e-08,0.0,3.0000000027353166e-08,6.327512309802089e-17,3.0000000027353166e-08,6.327512309802086e-17,4.000000003647088e-08,8.436683083149485e-17,4.000000003647088e-08,8.436683083149537e-17
2.0,1.0,5.011872336272713e-07,1995261.3149688833,1.000000000188802e-08,1.1865783975178696e-24,3.000000004647818e-08,1.065298637543168e-16,3.000000004647818e-08,1.0652986375431674e-16,4.000000006197088e-08,1.4203981843568103e-16,4.000000006197088e-08,1.4203981843568234e-16
2.0,1.0,6.309573444801925e-07,1584892.1924611153,1.000000000464994e-08,0.0,3.0000000078614435e-08,1.7872340695425838e-16,3.0000000078614435e-08,1.787234069542583e-16,4.000000010481922e-08,2.382978762091346e-16,4.000000010481922e-08,2.38297876209138e-16
2.0,1.0,7.943282347242799e-07,1258924.4117941698,1.0000000009997123e-08,0.0,3.0000000132435207e-08,2.988964105665112e-16,3.0000000132435207e-08,2.988964105665111e-16,4.000000017658025e-08,3.985285481700447e-16,4.000000017658025e-08,3.985285481700531e-16
2.0,1.0,9.999999999999987e-07,999999.0000000013,1.000000002000862e-08,1.1738823630567629e-24,3.000000022230338e-08,4.984474627453442e-16,3.000000022230338e-08,4.984474627453441e-16,4.000000029640449e-08,6.64596619048113e-16,4.000000029640449e-08,6.645966190481338e-16
2.0,1.0,1.2589254117941665e-06,794327.2347242819,1.0000000038310793e-08,0.0,3.000000037195546e-08,8.290607212905406e-16,3.000000037195546e-08,8.290607212905401e-16,4.0000000495940604e-08,1.1054143006559023e-15,4.0000000495940604e-08,1.1054143006559548e-15
2.0,1.0,1.5848931924611111e-06,630956.3444801942,1.00000000711753e-08,0.0,3.000000062054246e-08,1.3756613010485026e-15,3.000000062054246e-08,1.3756613010485018e-15,4.0000000827389956e-08,1.834215083246313e-15,4.0000000827389956e-08,1.8342150832464448e-15
2.0,1.0,1.995262314968875e-06,501186.23362727347,1.000000012937129e-08,1.159859920446589e-24,3.00000010325194e-08,2.277551674925832e-15,3.00000010325194e-08,2.2775516749258307e-15,4.0000001376692556e-08,3.036735607489446e-15,4.0000001376692556e-08,3.0367356074897765e-15
2.0,1.0,2.5118864315095763e-06,398106.17055349785,1.0000000231278482e-08,0.0,3.0000001713811216e-08,3.762840221637072e-15,3.0000001713811216e-08,3.7628402216370696e-15,4.0000002285081665e-08,5.01712040529133e-15,4.0000002285081665e-08,5.0171204052921575e-15
2.0,1.0,3.162277660168377e-06,316226.76601683814,1.000000040809679e-08,0.0,3.000000283818096e-08,6.204388391305636e-15,3.000000283818096e-08,6.2043883913056296e-15,4.000000378424136e-08,8.272518148283884e-15,4.000000378424136e-08,8.27251814828596e-15
2.0,1.0,3.981071705534966e-06,251187.64315095844,1.0000000712541006e-08,1.14314393101564e-24,3.000000469017542e-08,1.0210566885771913e-14,3.000000469017542e-08,1.0210566885771902e-14,4.0000006253567415e-08,1.361408996112212e-14,4.0000006253567415e-08,1.361408996112733e-14
2.0,1.0,5.011872336272718e-06,199525.23149688815,1.0000001233298705e-08,0.0,3.0000007734909683e-08,1.6772082853399135e-14,3.0000007734909683e-08,1.6772082853399113e-14,4.0000010313213405e-08,2.2362779205823775e-14,4.0000010313213405e-08,2.2362779205836845e-14
2.0,1.0,6.309573444801932e-06,158488.31924611135,1.0000002118996194e-08,0.0,3.000001273120791e-08,2.7498859488988985e-14,3.000001273120791e-08,2.7498859488988937e-14,4.000001697494517e-08,3.666515144867233e-14,4.000001697494517e-08,3.6665151448705104e-14
2.0,1.0,7.943282347242806e-06,125891.54117941686,1.0000003617818582e-08,0.0,3.000002091462407e-08,4.500108066115883e-14,3.000002091462407e-08,4.500108066115874e-14,4.0000027886168834e-08,6.000145526868353e-14,4.0000027886168834e-08,6.000145526876564e-14
2.0,1.0,9.99999999999998e-06,99999.00000000019,1.0000006142756975e-08,0.0,3.000003429252379e-08,7.34995768644906e-14,3.000003429252379e-08,7.349957686449043e-14,4.000004572337404e-08,9.799947358733453e-14,4.000004572337404e-08,9.799947358754007e-14
2.0,1.0,1.2589254117941658e-05,79431.82347242824,1.0000010378763081e-08,0.0,3.000005611844585e-08,1.1979965885339652e-13,3.000005611844585e-08,1.1979965885339617e-13,4.0000074824618084e-08,1.5973297730899091e-13,4.0000074824618084e-08,1.5973297730950505e-13
2.0,1.0,1.584893192461113e-05,63094.73444801934,1.0000017458033356e-08,0.0,3.0000091651544946e-08,1.9483635030714257e-13,3.0000091651544946e-08,1.9483635030714181e-13,4.0000122202121735e-08,2.5978205825367126e-13,4.0000122202121735e-08,2.5978205825495586e-13
2.0,1.0,1.995262314968877e-05,50117.723362727294,1.0000029245565937e-08,0.0,3.000014936684714e-08,3.161109830957087e-13,3.000014936684714e-08,3.1611098309570724e-13,4.000019915595744e-08,4.214819812594759e-13,4.000019915595744e-08,4.214819812626813e-13
2.0,1.0,2.5118864315095744e-05,39809.717055349814,1.0000048802461872e-08,0.0,3.000024287426092e-08,5.115065436612814e-13,3.000024287426092e-08,5.115065436612784e-13,4.000032383276724e-08,6.820104623149846e-13,4.000032383276724e-08,6.820104623229707e-13
2.0,1.0,3.162277660168375e-05,31621.77660168384,1.0000081133230818e-08,0.0,3.000039394107366e-08,8.252082265318291e-13,3.000039394107366e-08,8.252082265318236e-13,4.000052525585163e-08,1.1002821211727345e-12,4.000052525585163e-08,1.1002821211925935e-12
2.0,1.0,3.98107170553497e-05,25117.864315095816,1.0000134384526445e-08,0.0,3.000063721971635e-08,1.3268035492608e-12,3.000063721971635e-08,1.3268035492607891e-12,4.000084962909439e-08,1.769082934278726e-12,4.0000849629094404e-08,1.7690829343279928e-12
2.0,1.0,5.011872336272715e-05,19951.62314968883,1.000022175398048e-08,0.0,3.000102757976024e-08,2.125109691692373e-12,3.000102757976024e-08,2.1251096916923515e-12,4.000137011356274e-08,2.8335091211530294e-12,4.0001370113562773e-08,2.8335091212749133e-12
2.0,1.0,6.309573444801928e-05,15847.931924611146,1.0000364504389165e-08,0.0,3.000165136971306e-08,3.3889192585338617e-12,3.000165136971306e-08,3.388919258533819e-12,4.0002201844758165e-08,4.518634248374748e-12,4.000220184475825e-08,4.518634248675289e-12
2.0,1.0,7.943282347242802e-05,12588.254117941693,1.0000596680081304e-08,0.0,3.0002643538976404e-08,5.377719777675785e-12,3.0002643538976404e-08,5.3777197776757e-12,4.0003524765702835e-08,7.17048367126887e-12,4.000352476570303e-08,7.170483672007088e-12
2.0,1.0,9.999999999999991e-05,9999.00000000001,1.0000972402397005e-08,1.397005880726819e-24,3.000421336168745e-08,8.486534296680985e-12,3.000421336168745e-08,8.48653429668082e-12,4.0005617934852544e-08,1.1315859180288378e-11,4.0005617934853014e-08,1.1315859182093624e-11
2.0,1.0,0.0001258925411794165,7942.282347242829,1.0001577022428374e-08,0.0,3.0006682641220005e-08,1.3310533239238424e-11,3.0006682641220005e-08,1.3310533239238107e-11,4.00089104887196e-08,1.7748578841268713e-11,4.0008910488720735e-08,1.7748578845661188e-11
2.0,1.0,0.0001584893192461112,6308.573444801938,1.0002543942524934e-08,0.0,3.00105417755092e-08,2.0737037494660947e-11,3.00105417755092e-08,2.0737037494660346e-11,4.0014056452481574e-08,2.7652366940333003e-11,4.0014056452484334e-08,2.7652366950961398e-11
2.0,1.0,0.00019952623149688793,5010.872336272723,1.0004079635258829e-08,1.15074041788929e-24,3.0016531117390167e-08,3.2075346551399394e-11,3.0016531117390167e-08,3.207534655139825e-11,4.0022043357891e-08,4.2774482624942346e-11,4.002204335789769e-08,4.2774482650505116e-11
2.0,1.0,0.00025118864315095774,3980.071705534977,1.000650036509247e-08,0.0,3.002575796489101e-08,4.923905758248918e-11,3.002575796489101e-08,4.9239057582487005e-11,4.003434855977305e-08,6.567005581691596e-11,4.003434855978914e-08,6.567005587800741e-11
2.0,1.0,0.00031622776601683783,3161.2776601683804,1.0010285387068065e-08,0.0,3.0039863452526157e-08,7.50015927303667e-11,3.0039863452526157e-08,7.50015927303626e-11,4.005316253997965e-08,1.0004571336399913e-10,4.0053162540018107e-08,1.0004571350904229e-10
2.0,1.0,0.00039810717055349676,2510.8864315095834,1.0016153243417219e-08,0.0,3.0061259511669965e-08,1.1335503910565823e-10,3.0061259511669965e-08,1.1335503910565052e-10,4.008170669618055e-08,1.5124484776196013e-10,4.00817066962719e-08,1.512448481040529e-10
2.0,1.0,0.0005011872336272721,1994.2623149688804,1.0025170345897797e-08,0.0,3.009346435912208e-08,1.7001564491587112e-10,3.009346435912208e-08,1.7001564491585677e-10,4.012468496157979e-08,2.269373899713869e-10,4.0124684961795485e-08,2.269373907730328e-10
2.0,1.0,0.0006309573444801923,1583.8931924611159,1.0038904767989182e-08,0.0,3.014157693155441e-08,2.5313815150093845e-10,3.014157693155441e-08,2.5313815150091193e-10,4.018892635841136e-08,3.381085472070221e-10,4.0188926358917353e-08,3.3810854907399926e-10
2.0,1.0,0.000794328234724281,1257.925411794168,1.0059643754214854e-08,1.1242845675883443e-24,3.0212948251864344e-08,3.7432824225033974e-10,3.021294825186434e-08,3.7432824225029094e-10,4.028430314348007e-08,5.004918183654238e-10,4.028430314465992e-08,5.004918226885699e-10
2.0,1.0,0.0009999999999999985,999.0000000000015,1.0090701132045379e-08,0.0,3.031813167437845e-08,5.500788023942954e-10,3.031813167437842e-08,5.500788023942062e-10,4.0425050500751865e-08,7.366733346033192e-10,4.0425050503487365e-08,7.366733445616925e-10
2.0,1.0,0.0012589254117941664,793.328234724282,1.013685215134347e-08,0.0,3.0472229288345116e-08,8.038091205874679e-10,3.0472229288345063e-08,8.038091205873053e-10,4.063168201281801e-08,1.0792407384225987e-09,4.0631682019127295e-08,1.0792407612548669e-09
2.0,1.0,0.0015848931924611108,629.9573444801943,1.0204948873533843e-08,0.0,3.0696800887026305e-08,1.1687606313765296e-09,3.0696800887026206e-08,1.1687606313762347e-09,4.093380843347242e-08,1.5756178398851454e-09,4.093380844795622e-08,1.5756178920209012e-09
2.0,1.0,0.001995262314968878,500.1872336272727,1.030479076219132e-08,0.0,3.1022570929097113e-08,1.6921081519419836e-09,3.1022570929096915e-08,1.69210815194145e-09,4.137436678965937e-08,2.295745539485209e-09,4.1374366822770775e-08,2.2957456581139026e-09
2.0,1.0,0.00251188643150958,397.10717055349727,1.0450356329874695e-08,0.0,3.1493270631389506e-08,2.440802013882316e-09,3.1493270631389135e-08,2.4408020138813545e-09,4.201614483021955e-08,3.344830936881902e-09,4.201614490564206e-08,3.3448312059986202e-09
2.0,1.0,0.0031622776601683764,315.22776601683825,1.066154303957748e-08,0.0,3.2171091064397086e-08,3.5098718297365716e-09,3.217109106439641e-08,3.5098718297348424e-09,4.295221435195363e-08,4.885583633459095e-09,4.295221452322053e-08,4.88558424242516e-09
2.0,1.0,0.003981071705534972,250.18864315095806,1.0966622668921013e-08,1.4901373045066514e-24,3.31444290335537e-08,5.0342448044312935e-09,3.314442903355248e-08,5.034244804428189e-09,4.432338261424648e-08,7.1790740302411985e-09,4.432338300212496e-08,7.179075405310345e-09
2.0,1.0,0.005011872336272717,198.5262314968882,1.1405701714344616e-08,0.0,3.453890020070952e-08,7.205594229913498e-09,3.453890020070733e-08,7.205594229907939e-09,4.6348902557924365e-08,1.0663577883148494e-08,4.634890343442051e-08,1.0663580982639814e-08
2.0,1.0,0.00630957344480193,157.4893192461114,1.2035587473475003e-08,0.0,3.65330080527579e-08,1.0296397084709031e-08,3.6533008052753976e-08,1.029639708469909e-08,4.93833658085803e-08,1.611313518179202e-08,4.938336778550278e-08,1.6113142157939582e-08
2.0,1.0,0.007943282347242805,124.89254117941688,1.2936621659454581e-08,0.0,3.938048175611104e-08,1.4694392089755462e-08,3.9380481756104024e-08,1.4694392089737705e-08,5.402730137343522e-08,2.4967088652144076e-08,5.4027305825359736e-08,2.4967104334285392e-08
2.0,1.0,0.009999999999999995,99.00000000000006,1.4222250439636073e-08,0.0,4.3442167718944674e-08,2.095207184202394e-08,4.344216771893213e-08,2.0952071841992245e-08,6.135091754379917e-08,4.003133829767589e-08,6.135092755608726e-08,4.003137351379737e-08
2.0,1.0,0.012589254117941654,78.43282347242827,1.605239321942939e-08,0.0,4.9231677427493584e-08,2.985806155904825e-08,4.923167742747115e-08,2.985806155899173e-08,7.33609868826373e-08,6.69954095426371e-08,7.336100937480026e-08,6.69954885529633e-08
2.0,1.0,0.015848931924611127,62.09573444801936,1.8652066505523873e-08,0.0,5.748093921225743e-08,4.254059035668068e-08,5.748093921221738e-08,4.254059035657995e-08,9.399740634907268e-08,1.177511782242419e-07,9.399745682806811e-08,1.177513553484711e-07
2.0,1.0,0.019952623149688764,49.11872336272731,2.2337221033868408e-08,0.0,6.923465061642793e-08,6.061831260842019e-08,6.923465061635649e-08,6.061831260824074e-08,1.3129274851532364e-07,2.177013654617998e-07,1.3129286170806754e-07,2.1770176224043283e-07
2.0,1.0,0.025118864315095784,38.810717055349755,2.7550461546593302e-08,0.0,8.598706549541285e-08,8.642179801348741e-08,8.598706549528548e-08,8.642179801316788e-08,2.0210021656037117e-07,4.2192306777187144e-07,2.0210047018126328e-07,4.2192395595593635e-07
2.0,1.0,0.0316227766016838,30.62277660168379,3.491019402838808e-08,0.0,1.0988118145427575e-07,1.2332145920947217e-07,1.0988118145404882e-07,1.2332145920890333e-07,3.4250880416445025e-07,8.509879453985985e-07,3.4250937199979127e-07,8.509899320967142e-07
2.0,1.0,0.03981071705534969,24.11886431509582,4.527792908757635e-08,0.0,1.4400078823930453e-07,1.7621773738963015e-07,1.4400078823890047e-07,1.762177373886178e-07,6.308674946193638e-07,1.7703907402362425e-06,6.308687649706135e-07,1.77039518044261e-06
2.0,1.0,0.05011872336272723,18.952623149688797,5.985001136558614e-08,0.0,1.9280210535484107e-07,2.5228160305025894e-07,1.9280210535412176e-07,2.522816030484578e-07,1.238762009898739e-06,3.7665628369437725e-06,1.2387648495215298e-06,3.7665727511656826e-06
2.0,1.0,0.06309573444801926,14.84893192461115,8.028209597424023e-08,0.0,2.6275752673191516e-07,3.620855786721274e-07,2.62757526730635e-07,3.620855786689239e-07,2.543874686955879e-06,8.136184068647344e-06,2.543881028245581e-06,8.136206179475079e-06
2.0,1.0,0.07943282347242814,11.589254117941675,1.0885752924250362e-07,0.0,3.633251980721886e-07,5.213494762725603e-07,3.633251980699112e-07,5.213494762668659e-07,5.379481306495703e-06,1.774441815569799e-05,5.379495450873982e-06,1.7744467393572462e-05
2.0,1.0,0.0999999999999999,9.00000000000001,1.48714857326956e-07,1.9672940306223443e-23,5.084238720019153e-07,7.536570216664339e-07,5.084238719978662e-07,7.536570216563186e-07,1.1584322106423302e-05,3.890690877129339e-05,1.1584353608461684e-05,3.8907018198451696e-05
2.0,1.0,0.12589254117941645,6.943282347242832,2.041557640576891e-07,0.0,7.186956818855101e-07,1.0946944859384395e-06,7.186956818783154e-07,1.0946944859204922e-06,2.5208306304282983e-05,8.54830038607221e-05,2.5208376325161927e-05,8.548324638439858e-05
2.0,1.0,0.15848931924611143,5.30957344480193,2.810638784363451e-07,3.4356217062637604e-23,1.0249941623688205e-06,1.5988072920122526e-06,1.0249941623560504e-06,1.5988072919804696e-06,5.5135018698978245e-05,0.000187664830505541,5.513517391062855e-05,0.000187665365912544
2.0,1.0,0.1995262314968879,4.011872336272725,3.874777655008222e-07,0.0,1.4737412804804276e-06,2.3488333847769963e-06,1.4737412804577997e-06,2.348833384720892e-06,0.00012071422932557267,0.0004104696945134268,0.00012071457203832605,0.0004104708697917223
2.0,1.0,0.2511886431509577,2.9810717055349776,5.343739012151336e-07,0.0,2.1349892425937587e-06,3.4697426896691126e-06,2.1349892425537766e-06,3.469742689570614e-06,0.00026362045660083174,0.000891392566513244,0.0002636212090567999,0.0008913951246866856
2.0,1.0,0.31622776601683833,2.1622776601683755,7.366990637969744e-07,0.0,3.1139205811652574e-06,5.144114208254848e-06,3.113920581094948e-06,5.144114208083494e-06,0.0005720413364667145,0.00191304417136727,0.0005720429748352402,0.0019130496696944937
2.0,1.0,0.39810717055349737,1.5118864315095792,1.0145206252003188e-06,0.0,4.5653165134531756e-06,7.61974136804225e-06,4.565316513330506e-06,7.619741367748567e-06,0.0012275873680098158,0.0040311767000615175,0.0012275908915785542,0.004031188297283282
2.0,1.0,0.5011872336272719,0.9952623149688811,1.393418788058988e-06,0.0,6.706585879964836e-06,1.1183537875594712e-05,6.706585879753487e-06,1.1183537875103048e-05,0.0025892991852288928,0.00826801306523776,0.002589306627735727,0.008268036866193842
2.0,1.0,0.6309573444801923,0.584893192461116,1.901074480498927e-06,0.0,9.817041960952436e-06,1.606206249301001e-05,9.817041960595232e-06,1.6062062492214846e-05,0.00532688811572179,0.016334626878710828,0.005326903440781341,0.01633467392021298
2.0,1.0,0.7943282347242823,0.25892541179416595,2.55382979912057e-06,0.0,1.4204990679518014e-05,2.2251759079056262e-05,1.420499067893048e-05,2.2251759077827847e-05,0.010599606631144828,0.03078893277095154,0.01059963714336716,0.030789021463381836
2.0,1.0,1.0,0.0,3.3312084091295493e-06,0.0,2.014102103543176e-05,2.9436440745434084e-05,2.0141021034498175e-05,2.9436440743633607e-05,0.020261783387194095,0.055135656631568886,0.02026184173589833,0.055135815488584226
