a,E,D,Q,Delta,K,G1,G2,c_s2_low_k,constraint_determinant
0.03,20286.02155982532,1.9999999640546247,0.9999999654371394,4938271871.200326,5.999999361278352,5.992570330586228,-0.0,0.9987618280861715,-6584362494.933768
0.05,4381.782746048839,1.9999995826343662,0.9999995986868908,230400144.24168622,5.999992583735675,5.993751447292552,2.9802322387695312e-08,0.9989598093070914,-307200192.32224834
0.1,547.7305178345191,1.999988373448258,0.9999888206233244,3600062.7848767955,5.999793406616364,5.998572886920024,-4.656612873077393e-10,0.9997965730461662,-4800083.713169061
0.2,68.49303808269099,1.9996763141288143,0.9996887635853984,56277.329143776595,5.9942495113410414,5.979932292586122,1.6263948054984212e-07,0.9976115077078738,-75036.43885836878
0.3,20.343515184968112,1.9977422469613817,0.9978290836167132,4955.0735952954665,5.959937836108123,5.860665312275072,1.2803504432667978e-05,0.9833433625378419,-6606.7647937272895
0.5,4.525534211127519,1.9749915792402628,0.9759534415771759,239.5158546553865,5.562420423545147,4.578368327597214,0.002720629965608623,0.8230892271676296,-319.35447287384875
0.7,1.8564769265082912,1.8959469674579728,0.8999490071711276,36.75325145129697,4.261709444668942,1.6390448475037784,0.055761288290874234,0.38459798087692076,-49.00433526839594
1.0,1.0,1.7199999999999995,0.7307692307692308,8.006769230769228,1.6954115748213052,0.567348413114523,0.33753687708034086,0.33463757210358847,-10.675692307692305
