component,loglike,minus_2loglike
planck_2018_lowl.TT,-11.711737587329509,23.423475174659018
planck_2018_lowl.EE,-198.06344786661174,396.1268957332235
planck_2018_lensing.clik,-4.3955688553898575,8.791137710779715
combined_lowell_lensing,-214.1707543093311,428.3415086186622
