observable,coordinate,TT_uK2,EE_uK2,TE_uK2,phi_phi_dimensionless,P_k_h3_Mpc3
D_ell_CMB,2,1021.2264093554003,0.031066107041982108,2.63355871678742,5.0275240869494443e-08,
D_ell_CMB,30,1055.9142723822702,0.021533373825497148,1.8817939551537979,1.3854279943607025e-07,
D_ell_CMB,200,5602.336966720086,0.6890079988398298,-15.38806172087494,5.7371858413257886e-08,
D_ell_CMB,800,2523.0035334218683,15.583310963515325,-89.00818252541279,9.484848742535864e-09,
D_ell_CMB,1200,1048.978974406518,17.502742031159062,3.5030936534425403,4.9191055369110305e-09,
D_ell_CMB,2000,230.8555182249564,8.631322842482863,-18.052915254769378,2.0461684428713745e-09,
D_ell_CMB,2500,78.45938359248858,2.891246535441722,-2.9433616685846866,1.3628617934112733e-09,
P_k_z0,0.01,,,,,21845.22104962878
P_k_z0,0.04472135954999578,,,,,13470.079896094434
P_k_z0,0.1999999999999999,,,,,1947.6469948181898
