a,z,E,dE_dln_a,d2E_dln_a2,Hdot_over_H0_sq,Hddot_over_H0_cu,background_denominator,Q,Q_X,Q_XX,V,V_X,V_XX,Omega,c_hat,Lambda_hat,M2_4_hat,M1_3_hat,M2_bar_hat,M3_bar_hat,Mhat2_hat,m2_sq_hat,m5_bar_hat,deltaR_deltaK_coefficient_hat,F_hat,Fdot_hat
0.004340102636447431,229.40929760558492,1980.7297648743843,-3035.1164193957443,4710.689530134099,-6011745.4317561155,36727750286.98043,3961.4565852793153,0.9999985706174168,1.1546310727136003e-09,-1.5156236061539404e-12,416875474.5226902,210465.62522111868,5.488829119614403e-06,-1.4293825831845908e-06,-4.814509274654893,4.699947409153836,2.4072546373274464,0.00694134807674965,4.5740242663453363e-07,0.0,0.0,0.0,-3.8487702423786675e-10,-1.9243851211893338e-10,-66193.75000977905,-12023481.926704649
0.005308844442309879,187.36490894898023,1455.4545439254089,-2222.0949135811334,3429.4206359274954,-3234158.139005199,14451312453.6727,2910.9055454067475,0.9999976597027812,2.572718993992324e-09,-4.595862792347606e-12,306323097.61969507,210465.62154125652,8.986741320118417e-06,-2.3402972187946958e-06,-4.241909622011697,4.050552901867647,2.1209548110058485,0.008320580073793542,7.488951100098662e-07,0.0,0.0,0.0,-8.575729979974413e-10,-4.2878649899872066e-10,-67244.29945504652,-6468308.406363448
0.006493816315762113,152.9926526059492,1070.581384409304,-1629.496371579232,2502.8271993493017,-1744508.4813752319,5711271871.185917,2141.158509595624,0.9999961745956213,5.717124447543291e-09,-1.3884533936496656e-11,225320529.6670267,210465.6171302879,1.4689552814138825e-05,-3.82540437871004e-06,-3.740573123870392,3.5059778530396493,1.870286561935196,0.009973572087816959,1.224129401178234e-06,0.0,0.0,0.0,-1.905708149181097e-09,-9.528540745905484e-10,-68014.04457944004,-3489010.022362065
0.007943282347242805,124.89254117941688,788.1597285149342,-1196.5659061616204,1830.4562176552663,-943085.0597505689,2265535066.084448,1576.3143386366708,0.9999937556668494,1.2676279540068828e-08,-4.1816811506316954e-11,165880482.25400537,210465.61184306126,2.3978239298112196e-05,-6.2443331505512845e-06,-3.300984408263506,3.045954617918351,1.650492204131753,0.011954809847460725,1.998186608176009e-06,0.0,0.0,0.0,-4.225426513356276e-09,-2.112713256678138e-09,-68578.88645926998,-1886163.9950063433
0.009716279515771057,101.92005271944286,580.6569028621598,-879.6624227121064,1341.119129737343,-510782.0579362357,901490779.1212646,1161.3076574896734,0.9999898188344034,2.8054200120944498e-08,-1.2561793367979798e-10,122208273.69787565,210465.6055055456,3.9095675890806896e-05,-1.0181165596589992e-05,-2.915004612355108,2.6547112161120676,1.457502306177554,0.014329582071531023,3.25797299090057e-06,0.0,0.0,0.0,-9.351400040314833e-09,-4.6757000201574166e-09,-68993.89039416319,-1021558.7075014871
0.011885022274370166,83.13951416451964,428.03881636317465,-647.3051359248444,984.0857511569328,-277071.72420707426,359651413.8486593,856.0702500760511,0.9999834157512395,6.199156946160196e-08,-3.765501502167775e-10,90087416.24438892,210465.59790910652,6.368351524041523e-05,-1.6584248760498355e-05,-2.575671235861748,2.3198877937419553,1.287835617930874,0.017176111037028666,5.306959603367916e-06,0.0,0.0,0.0,-2.0663856487200655e-08,-1.0331928243600328e-08,-69299.12450979004,-554138.6695866939
0.014537843856076607,67.78599123088081,315.6903204305812,-476.700117834042,723.0202284062068,-150489.61294832453,143794885.78888902,631.371778581916,0.9999730070204857,1.368073850473337e-07,-1.1267345816555818e-09,66441923.34378392,210465.5888036564,0.00010365304133487063,-2.6992979514250948e-05,-2.2770211738655135,2.0317135900613934,1.1385105869327568,0.02058809042424565,8.637753444572525e-06,0.0,0.0,0.0,-4.5602461682444564e-08,-2.2801230841222282e-08,-69523.81903559325,-300975.0012470881
0.01778279410038923,55.2341325190349,232.92611641046244,-351.28925359955883,531.7768572119478,-81824.4415776753,57595374.7663587,465.84159699358514,0.9999560944164826,3.0159320350312345e-07,-3.366485223693444e-09,49022906.82792043,210465.57788946579,0.00016859744070665507,-4.3905583517411806e-05,-2.0139386193583437,1.782383793918319,1.0069693096791719,0.024677695460265263,1.4049786725554545e-05,0.0,0.0,0.0,-1.0053106783437448e-07,-5.026553391718724e-08,-69689.34448770383,-163645.14690350302
0.0217520403401952,44.97269885308728,171.91957051441773,-259.01030844655975,391.4653762985258,-44528.940986939415,23103738.001152035,343.82637937384465,0.9999286246349394,6.642675045967781e-07,-1.004595059645512e-08,36183129.257654384,210465.56480739245,0.00027408140183270943,-7.137536506063302e-05,-1.7820270911584324,1.5655855849283844,0.8910135455792162,0.029579128511731438,2.28401168193924e-05,0.0,0.0,0.0,-2.2142250153225938e-07,-1.1071125076612969e-07,-69811.35403643081,-89054.57657368337
0.026607250597988085,36.583740428844436,126.9289763448115,-191.0549537167924,288.388682412136,-24250.409700877797,9279380.882117685,253.8426430233679,0.9998840230705273,1.4619442502422694e-06,-2.9946314546050275e-08,26714158.76896881,210465.5491272562,0.00044535140917544236,-0.00011597692947273863,-1.5775036489405205,1.3761341380049323,0.7887518244702603,0.03545274702821764,3.711261743128682e-05,0.0,0.0,0.0,-4.873147500807565e-07,-2.436573750403782e-07,-69901.33097806228,-48497.89441417781
0.032546178349804535,29.725573652674516,93.73664984186485,-140.97778202259042,212.58435944146154,-13214.784988934307,3730876.205659139,187.45493613831985,0.9998116291201835,3.215320882651309e-06,-8.91842658020803e-08,19728317.831440877,210465.53033407504,0.0007233441784951729,-0.0001883708798164907,-1.3971130002682226,1.2096878947363372,0.6985565001341113,0.04248977413466753,6.027868154126423e-05,0.0,0.0,0.0,-1.0717736275504363e-06,-5.358868137752182e-07,-69967.71054124336,-26426.981125966664
0.03981071705534969,24.11886431509582,69.24103933113176,-104.05425076966357,156.78709633210096,-7204.824470113722,1501380.363368184,138.46005527868064,0.9996941650418202,7.0671373193505285e-06,-2.6537090153194605e-07,14572836.428047704,210465.50781190154,0.0011744062394103837,-0.0003058349581798181,-1.2380593733914198,1.062518373094984,0.6190296866957099,0.05091748389211058,9.786718661753167e-05,0.0,0.0,0.0,-2.3557124397835094e-06,-1.1778562198917547e-06,-70016.69566250373,-14407.357313549313
0.04869675251658631,19.53525026457146,51.159311124891246,-76.81617884661104,115.68652490766426,-3929.8627930390635,604660.5059081764,102.29221352825276,0.9995036484871952,1.552332122981426e-05,-7.889206150369731e-07,10767256.543331778,210465.48082509794,0.0019059898091704766,-0.0004963515128048046,-1.0979545058246198,0.9313144122779873,0.5489772529123099,0.06100452252544046,0.0001588324840975392,0.0,0.0,0.0,-5.174440409938087e-06,-2.5872202049690434e-06,-70052.85180998345,-7857.696969001989
0.05956621435290097,15.788040181225625,37.809993126410774,-56.71454141904994,85.39377993993148,-2144.376421221817,243695.8957397584,75.58832426111202,0.9991948101472581,3.4073102316623555e-05,-2.343033116325533e-06,7957686.110504146,210465.44849715394,0.0030919290345288717,-0.0008051898527419166,-0.9747807258400403,0.8130030924614466,0.48739036292002014,0.07306555720564602,0.0002576607528774054,0.0,0.0,0.0,-1.1357700772207852e-05,-5.678850386103926e-06,-70079.54169048762,-4286.957147103414
0.07286181745132274,12.724609610075627,27.953819918864177,-41.87395237914518,63.056430387942214,-1170.5369240977186,98288.31405598114,55.86968759088373,0.9986945417424585,7.472085096522805e-05,-6.949827003016863e-06,5883302.371338583,210465.409787742,0.005012959708959062,-0.0013054582575414697,-0.866868728937831,0.7045716350403652,0.4334343644689155,0.0874635150548021,0.0004177466424132543,0.0,0.0,0.0,-2.4906950321742684e-05,-1.2453475160871342e-05,-70099.2435530943,-2339.4846376183837
0.08912509381337441,10.220184543019652,20.67700616797962,-30.91345294258701,46.579468470757305,-639.1976571674194,39674.32669260875,41.30853347327428,0.9978851060301789,0.00016365185192786615,-2.0578163567575488e-05,4351784.938305611,210465.36346993092,0.00812119284411308,-0.002114893969821119,-0.7728900177045402,0.6028751521048199,0.3864450088522701,0.10460588034340147,0.0006767660703427541,0.0,0.0,0.0,-5.455061730928872e-05,-2.727530865464436e-05,-70113.78463617794,-1276.9894056533449
0.10901844923851267,8.172759353897805,15.305522133277892,-22.81541986917665,34.422487201012984,-349.2019137877114,16030.965978949265,30.556569760618416,0.9965777493785594,0.00035775329626944343,-6.077274347133601e-05,3221273.735341025,210465.30811192116,0.013141442386332226,-0.0034222506214406367,-0.6918635068185567,0.5044174576682421,0.34593175340927834,0.12492813572115176,0.001095120198861017,0.0,0.0,0.0,-0.00011925109875648114,-5.962554937824057e-05,-70124.51261144022,-697.1609688502958
0.1333521432163324,6.498942093324558,11.342066835513402,-16.829501240453638,25.451826658801846,-190.88132787758087,6486.623648790643,22.618927774779607,0.9944720853729717,0.0007798105523017692,-0.00017875996195298592,2387104.01534056,210465.24207235654,0.021227192167788744,-0.005527914627028285,-0.6231731567546397,0.40509866426964747,0.31158657837731984,0.14885127371631143,0.0017689326806490518,0.0,0.0,0.0,-0.0002599368507672564,-0.0001299684253836282,-70132.42163630536,-380.6652730433846
0.16311729092278363,5.130557921498215,8.419686102982524,-12.402117220476645,18.832523890303097,-104.42193400880747,2630.1116653515064,16.761402723873125,0.9910957896837671,0.001692074541938806,-0.0005225128057306657,1772044.5527075327,210465.16352693387,0.03419216761433451,-0.008904210316232897,-0.5665856987174585,0.29994287178691903,0.2832928493587292,0.1766896961563171,0.0028493473011945375,0.0,0.0,0.0,-0.0005640248473129353,-0.00028201242365646765,-70138.24512503434,-207.87688136109105
0.1995262314968879,4.011872336272725,6.267612785346522,-9.124664294339338,13.94916434742508,-57.18986259319613,1069.8029021644527,12.442148888252124,0.9857207499722086,0.0036452156230648695,-0.0015121483959773159,1319108.1821648804,210465.07055922374,0.054832320106719075,-0.014279250027791401,-0.5222383626967464,0.18286885637769767,0.2611191813483732,0.2084693806056517,0.004569360008893249,0.0,0.0,0.0,-0.0012150718743549566,-0.0006075359371774783,-70142.52409289456,-113.53043170548806
0.24406190680419762,3.0973210981354216,4.686089740148256,-6.695437108045311,10.347744043117308,-31.375419137819044,437.30277952834996,9.261360071444477,0.9772609724087749,0.007763923903175024,-0.004307685782307793,986252.9025220274,210464.96137284322,0.08731786595030464,-0.022739027591225147,-0.4905249007670819,0.04667952512270501,0.24526245038354094,0.2435963666162484,0.007276488829192065,0.0,0.0,0.0,-0.002587974634391675,-0.0012939873171958374,-70145.65756765034,-62.00885389331852
0.2985382618917957,2.3496543915782793,3.527796215434198,-4.891645493746151,7.692773713401345,-17.25672846008342,180.15302963032326,6.924190999549639,0.9641851392772021,0.016243505479645093,-0.011971528871851012,742472.7683933518,210464.8347138211,0.13752906517554395,-0.03581486072279794,-0.47173015202579216,-0.11632916303755825,0.23586507601289608,0.28030976330211244,0.011460755431295334,0.0,0.0,0.0,-0.005414501826548364,-0.002707250913274182,-70147.93985118822,-33.87068770078464
0.3651741272548377,1.738419634264361,2.684121956149274,-3.5489079668130907,5.7353426048348615,-9.525701794076097,75.12617601056539,5.213426129625977,0.9445393111781908,0.03306001126796776,-0.032023891127522165,564909.0612233863,210464.69061272652,0.2129690450757474,-0.05546068882180921,-0.46515480780680674,-0.3123822955888347,0.23257740390340337,0.31491980864745645,0.017747420422978916,0.0,0.0,0.0,-0.011020003755989253,-0.005510001877994626,-70149.58817229756,-18.501969525821163
0.4466835921509626,1.238721138568342,2.0749818835918523,-2.5463514370169804,4.288957193056549,-5.283633101068314,31.920305598266538,3.9692906222369735,0.9162767736879351,0.06455823212654754,-0.08089294892467594,436706.62945050054,210464.53150229526,0.321497189038329,-0.08372322631206486,-0.467448367166723,-0.5418329513247183,0.2337241835833615,0.3411020122102784,0.02679143241986074,0.0,0.0,0.0,-0.02151941070884918,-0.01075970535442459,-70150.76336000237,-10.107208879871141
0.546386549881854,0.8302061063110568,1.6411836351118283,-1.7959772584304259,3.2111526471509575,-2.947528485569022,13.942881519548626,3.0743938264615718,0.8781522915062309,0.11879007895222309,-0.18818991285806663,345407.51848004054,210464.36349992812,0.4678952006160739,-0.12184770849376914,-0.4703596290834666,-0.7921363523942264,0.2351798145417333,0.3501371415146707,0.0389912667180061,0.0,0.0,0.0,-0.03959669298407436,-0.01979834649203718,-70151.5854558252,-5.521541395783881
0.6683439175686136,0.4962356560944359,1.3386017638003227,-1.2351641711692858,2.3910221066502615,-1.6533929381101697,6.3265758747027325,2.442179992644957,0.8311789403406667,0.20178794228394997,-0.39193781461095617,281724.8413440272,210464.1970373135,0.6482728690918405,-0.16882105965933325,-0.45987481459826596,-1.0319508691462431,0.22993740729913298,0.3336347587680654,0.05402273909098659,0.0,0.0,0.0,-0.06726264742798332,-0.03363132371399166,-70152.14553591087,-3.016493226461521
0.8175230379436493,0.2232071190499325,1.1336631493393652,-0.8208509223225706,1.7456065856019776,-0.930568441738328,3.0072978203474925,2.0076622812664953,0.7797609104918386,0.3108353159564257,-0.7128853239674092,238592.61525875542,210464.04540311295,0.8457181037113402,-0.2202390895081614,-0.42105580245395247,-1.2170012028686523,0.21052790122697623,0.28925353560681194,0.07047650864261164,0.0,0.0,0.0,-0.10361177198547523,-0.05180588599273762,-70152.5143455149,-1.647991435289839
1.0,0.0,1.00000000000002,-0.5234541602617487,1.2252096394347782,-0.5234541602617592,1.4992138973301652,1.7200360000000432,0.7308038461538549,0.43071384615382363,-1.1198559999999187,210461.33619669377,210463.92047976647,1.033713230769199,-0.26919615384614515,-0.34981059956961025,-1.3153858736617652,0.17490529978480512,0.2254589546515623,0.08614276923076637,0.0,0.0,0.0,-0.14357128205127453,-0.07178564102563727,-70152.7478383837,-0.9003599999999998
