#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.415585E-04   0.192131E+08   0.192130E+08   0.253961E+08   0.253913E+08   0.000000E+00   0.192131E+08   0.192131E+08   0.192207E+08  -0.475184E+00   0.102434E+08   0.102434E+08   0.212686E+02
   0.458865E-04   0.192134E+08   0.192134E+08   0.253482E+08   0.253424E+08   0.000000E+00   0.192134E+08   0.192134E+08   0.192210E+08  -0.475206E+00   0.102435E+08   0.102435E+08   0.234710E+02
   0.506653E-04   0.192138E+08   0.192138E+08   0.252900E+08   0.252829E+08   0.000000E+00   0.192138E+08   0.192138E+08   0.192214E+08  -0.475234E+00   0.102436E+08   0.102436E+08   0.258983E+02
   0.559417E-04   0.192142E+08   0.192142E+08   0.252192E+08   0.252105E+08   0.000000E+00   0.192142E+08   0.192142E+08   0.192218E+08  -0.475267E+00   0.102438E+08   0.102438E+08   0.285725E+02
   0.617676E-04   0.192148E+08   0.192148E+08   0.251332E+08   0.251226E+08   0.000000E+00   0.192148E+08   0.192148E+08   0.192224E+08  -0.475308E+00   0.102441E+08   0.102441E+08   0.315174E+02
   0.682003E-04   0.192155E+08   0.192155E+08   0.250286E+08   0.250157E+08   0.000000E+00   0.192155E+08   0.192155E+08   0.192230E+08  -0.475357E+00   0.102444E+08   0.102444E+08   0.347583E+02
   0.753028E-04   0.192164E+08   0.192164E+08   0.249016E+08   0.248860E+08   0.000000E+00   0.192164E+08   0.192164E+08   0.192239E+08  -0.475418E+00   0.102447E+08   0.102447E+08   0.383226E+02
   0.831451E-04   0.192174E+08   0.192174E+08   0.247476E+08   0.247287E+08   0.000000E+00   0.192174E+08   0.192174E+08   0.192249E+08  -0.475491E+00   0.102451E+08   0.102451E+08   0.422390E+02
   0.918040E-04   0.192187E+08   0.192187E+08   0.245611E+08   0.245381E+08   0.000000E+00   0.192187E+08   0.192187E+08   0.192261E+08  -0.475580E+00   0.102456E+08   0.102456E+08   0.465377E+02
   0.101365E-03   0.192202E+08   0.192202E+08   0.243354E+08   0.243075E+08   0.000000E+00   0.192202E+08   0.192202E+08   0.192275E+08  -0.475687E+00   0.102463E+08   0.102462E+08   0.512499E+02
   0.111921E-03   0.192221E+08   0.192221E+08   0.240628E+08   0.240291E+08   0.000000E+00   0.192221E+08   0.192221E+08   0.192293E+08  -0.475817E+00   0.102470E+08   0.102470E+08   0.564070E+02
   0.123577E-03   0.192244E+08   0.192243E+08   0.237342E+08   0.236936E+08   0.000000E+00   0.192244E+08   0.192244E+08   0.192315E+08  -0.475974E+00   0.102479E+08   0.102479E+08   0.620399E+02
   0.136446E-03   0.192271E+08   0.192270E+08   0.233391E+08   0.232902E+08   0.000000E+00   0.192271E+08   0.192271E+08   0.192341E+08  -0.476164E+00   0.102490E+08   0.102490E+08   0.681778E+02
   0.150656E-03   0.192304E+08   0.192304E+08   0.228656E+08   0.228069E+08   0.000000E+00   0.192304E+08   0.192304E+08   0.192373E+08  -0.476393E+00   0.102503E+08   0.102503E+08   0.748461E+02
