#    L    TT             EE             BB             TE             PP             TP             EP          
   477   0.227563E+04   0.114372E+02   0.000000E+00  -0.759135E+02   0.187353E-07   0.185164E-05   0.128401E-05
   478   0.228658E+04   0.112643E+02   0.000000E+00  -0.755379E+02   0.186759E-07   0.177110E-05   0.126563E-05
   479   0.229747E+04   0.110930E+02   0.000000E+00  -0.751297E+02   0.186167E-07   0.169351E-05   0.124699E-05
   480   0.230827E+04   0.109235E+02   0.000000E+00  -0.746883E+02   0.185578E-07   0.161881E-05   0.122810E-05
   481   0.231901E+04   0.107557E+02   0.000000E+00  -0.742145E+02   0.184991E-07   0.154693E-05   0.120897E-05
   482   0.232964E+04   0.105900E+02   0.000000E+00  -0.737087E+02   0.184407E-07   0.147781E-05   0.118964E-05
   483   0.234018E+04   0.104263E+02   0.000000E+00  -0.731711E+02   0.183826E-07   0.141140E-05   0.117012E-05
   484   0.235062E+04   0.102648E+02   0.000000E+00  -0.726024E+02   0.183246E-07   0.134762E-05   0.115042E-05
   485   0.236093E+04   0.101056E+02   0.000000E+00  -0.720026E+02   0.182670E-07   0.128642E-05   0.113058E-05
   486   0.237113E+04   0.994875E+01   0.000000E+00  -0.713724E+02   0.182096E-07   0.122773E-05   0.111060E-05
   487   0.238119E+04   0.979430E+01   0.000000E+00  -0.707121E+02   0.181524E-07   0.117150E-05   0.109051E-05
   488   0.239112E+04   0.964250E+01   0.000000E+00  -0.700223E+02   0.180955E-07   0.111766E-05   0.107032E-05
   489   0.240092E+04   0.949327E+01   0.000000E+00  -0.693034E+02   0.180388E-07   0.106614E-05   0.105006E-05
   490   0.241058E+04   0.934684E+01   0.000000E+00  -0.685559E+02   0.179824E-07   0.101689E-05   0.102975E-05
   491   0.242009E+04   0.920329E+01   0.000000E+00  -0.677805E+02   0.179262E-07   0.969848E-06   0.100940E-05
   492   0.242945E+04   0.906261E+01   0.000000E+00  -0.669776E+02   0.178702E-07   0.924947E-06   0.989037E-06
   493   0.243867E+04   0.892496E+01   0.000000E+00  -0.661479E+02   0.178145E-07   0.882126E-06   0.968677E-06
   494   0.244774E+04   0.879049E+01   0.000000E+00  -0.652918E+02   0.177591E-07   0.841325E-06   0.948341E-06
   495   0.245664E+04   0.865928E+01   0.000000E+00  -0.644099E+02   0.177038E-07   0.802480E-06   0.928048E-06
   496   0.246539E+04   0.853133E+01   0.000000E+00  -0.635027E+02   0.176488E-07   0.765531E-06   0.907817E-06
   497   0.247396E+04   0.840678E+01   0.000000E+00  -0.625708E+02   0.175940E-07   0.730414E-06   0.887668E-06
   498   0.248236E+04   0.828572E+01   0.000000E+00  -0.616149E+02   0.175395E-07   0.697068E-06   0.867621E-06
   499   0.249058E+04   0.816822E+01   0.000000E+00  -0.606354E+02   0.174852E-07   0.665432E-06   0.847694E-06
   500   0.249860E+04   0.805444E+01   0.000000E+00  -0.596330E+02   0.174311E-07   0.635442E-06   0.827908E-06
   501   0.250643E+04   0.794437E+01   0.000000E+00  -0.586082E+02   0.173773E-07   0.607046E-06   0.808278E-06
   502   0.251406E+04   0.783816E+01   0.000000E+00  -0.575618E+02   0.173236E-07   0.580220E-06   0.788805E-06
   503   0.252149E+04   0.773580E+01   0.000000E+00  -0.564943E+02   0.172702E-07   0.554951E-06   0.769486E-06
   504   0.252871E+04   0.763753E+01   0.000000E+00  -0.554066E+02   0.172171E-07   0.531224E-06   0.750319E-06
   505   0.253574E+04   0.754325E+01   0.000000E+00  -0.542994E+02   0.171641E-07   0.509023E-06   0.731300E-06
   506   0.254255E+04   0.745311E+01   0.000000E+00  -0.531733E+02   0.171114E-07   0.488336E-06   0.712428E-06
   507   0.254916E+04   0.736721E+01   0.000000E+00  -0.520291E+02   0.170589E-07   0.469146E-06   0.693698E-06
   508   0.255556E+04   0.728560E+01   0.000000E+00  -0.508674E+02   0.170066E-07   0.451441E-06   0.675110E-06
   509   0.256175E+04   0.720836E+01   0.000000E+00  -0.496890E+02   0.169545E-07   0.435204E-06   0.656659E-06
   510   0.256773E+04   0.713553E+01   0.000000E+00  -0.484947E+02   0.169027E-07   0.420423E-06   0.638342E-06
   511   0.257348E+04   0.706719E+01   0.000000E+00  -0.472850E+02   0.168511E-07   0.407081E-06   0.620158E-06
   512   0.257903E+04   0.700337E+01   0.000000E+00  -0.460608E+02   0.167997E-07   0.395165E-06   0.602104E-06
   513   0.258435E+04   0.694416E+01   0.000000E+00  -0.448228E+02   0.167485E-07   0.384661E-06   0.584176E-06
   514   0.258945E+04   0.688961E+01   0.000000E+00  -0.435716E+02   0.166975E-07   0.375553E-06   0.566372E-06
   515   0.259432E+04   0.683977E+01   0.000000E+00  -0.423080E+02   0.166467E-07   0.367827E-06   0.548689E-06
   516   0.259897E+04   0.679470E+01   0.000000E+00  -0.410328E+02   0.165962E-07   0.361470E-06   0.531124E-06
   517   0.260339E+04   0.675444E+01   0.000000E+00  -0.397466E+02   0.165458E-07   0.356465E-06   0.513675E-06
   518   0.260757E+04   0.671907E+01   0.000000E+00  -0.384504E+02   0.164957E-07   0.352799E-06   0.496339E-06
   519   0.261152E+04   0.668861E+01   0.000000E+00  -0.371447E+02   0.164458E-07   0.350457E-06   0.479113E-06
   520   0.261522E+04   0.666312E+01   0.000000E+00  -0.358305E+02   0.163961E-07   0.349425E-06   0.461994E-06
   521   0.261869E+04   0.664265E+01   0.000000E+00  -0.345083E+02   0.163466E-07   0.349689E-06   0.444980E-06
   522   0.262191E+04   0.662725E+01   0.000000E+00  -0.331791E+02   0.162973E-07   0.351233E-06   0.428068E-06
   523   0.262488E+04   0.661695E+01   0.000000E+00  -0.318435E+02   0.162483E-07   0.354043E-06   0.411254E-06
   524   0.262761E+04   0.661179E+01   0.000000E+00  -0.305024E+02   0.161994E-07   0.358105E-06   0.394537E-06
   525   0.263010E+04   0.661179E+01   0.000000E+00  -0.291564E+02   0.161507E-07   0.363405E-06   0.377914E-06
   526   0.263234E+04   0.661699E+01   0.000000E+00  -0.278064E+02   0.161023E-07   0.369927E-06   0.361381E-06
   527   0.263434E+04   0.662741E+01   0.000000E+00  -0.264531E+02   0.160540E-07   0.377657E-06   0.344936E-06
   528   0.263610E+04   0.664310E+01   0.000000E+00  -0.250973E+02   0.160060E-07   0.386581E-06   0.328576E-06
   529   0.263761E+04   0.666406E+01   0.000000E+00  -0.237397E+02   0.159581E-07   0.396685E-06   0.312299E-06
   530   0.263889E+04   0.669032E+01   0.000000E+00  -0.223813E+02   0.159105E-07   0.407953E-06   0.296102E-06
   531   0.263992E+04   0.672192E+01   0.000000E+00  -0.210226E+02   0.158630E-07   0.420372E-06   0.279981E-06
   532   0.264071E+04   0.675885E+01   0.000000E+00  -0.196648E+02   0.158158E-07   0.433926E-06   0.263935E-06
   533   0.264126E+04   0.680114E+01   0.000000E+00  -0.183085E+02   0.157687E-07   0.448602E-06   0.247960E-06
   534   0.264157E+04   0.684880E+01   0.000000E+00  -0.169545E+02   0.157219E-07   0.464385E-06   0.232054E-06
   535   0.264163E+04   0.690187E+01   0.000000E+00  -0.156037E+02   0.156752E-07   0.481260E-06   0.216214E-06
   536   0.264145E+04   0.696034E+01   0.000000E+00  -0.142571E+02   0.156287E-07   0.499213E-06   0.200436E-06
   537   0.264103E+04   0.702422E+01   0.000000E+00  -0.129151E+02   0.155825E-07   0.518229E-06   0.184720E-06
   538   0.264037E+04   0.709352E+01   0.000000E+00  -0.115787E+02   0.155364E-07   0.538295E-06   0.169060E-06
   539   0.263948E+04   0.716823E+01   0.000000E+00  -0.102488E+02   0.154905E-07   0.559394E-06   0.153456E-06
   540   0.263834E+04   0.724835E+01   0.000000E+00  -0.892589E+01   0.154448E-07   0.581514E-06   0.137904E-06
   541   0.263697E+04   0.733390E+01   0.000000E+00  -0.761089E+01   0.153993E-07   0.604639E-06   0.122401E-06
   542   0.263537E+04   0.742487E+01   0.000000E+00  -0.630460E+01   0.153540E-07   0.628755E-06   0.106944E-06
   543   0.263353E+04   0.752125E+01   0.000000E+00  -0.500774E+01   0.153089E-07   0.653847E-06   0.915320E-07
   544   0.263147E+04   0.762304E+01   0.000000E+00  -0.372105E+01   0.152640E-07   0.679902E-06   0.761605E-07
   545   0.262918E+04   0.773021E+01   0.000000E+00  -0.244526E+01   0.152192E-07   0.706904E-06   0.608273E-07
   546   0.262666E+04   0.784275E+01   0.000000E+00  -0.118107E+01   0.151747E-07   0.734839E-06   0.455297E-07
   547   0.262391E+04   0.796064E+01   0.000000E+00   0.707969E-01   0.151303E-07   0.763692E-06   0.302648E-07
   548   0.262094E+04   0.808380E+01   0.000000E+00   0.130963E+01   0.150861E-07   0.793450E-06   0.150299E-07
   549   0.261774E+04   0.821238E+01   0.000000E+00   0.253469E+01   0.150421E-07   0.824097E-06  -0.177655E-09
   550   0.261432E+04   0.834615E+01   0.000000E+00   0.374528E+01   0.149983E-07   0.855619E-06  -0.153608E-07
   551   0.261069E+04   0.848525E+01   0.000000E+00   0.494066E+01   0.149547E-07   0.888002E-06  -0.305213E-07
   552   0.260684E+04   0.862952E+01   0.000000E+00   0.612011E+01   0.149112E-07   0.921235E-06  -0.456582E-07
   553   0.260278E+04   0.877898E+01   0.000000E+00   0.728295E+01   0.148679E-07   0.955304E-06  -0.607694E-07
   554   0.259852E+04   0.893360E+01   0.000000E+00   0.842846E+01   0.148248E-07   0.990200E-06  -0.758530E-07
   555   0.259405E+04   0.909331E+01   0.000000E+00   0.955596E+01   0.147819E-07   0.102591E-05  -0.909070E-07
   556   0.258937E+04   0.925811E+01   0.000000E+00   0.106647E+02   0.147392E-07   0.106242E-05  -0.105929E-06
   557   0.258451E+04   0.942791E+01   0.000000E+00   0.117541E+02   0.146966E-07   0.109972E-05  -0.120918E-06
   558   0.257944E+04   0.960271E+01   0.000000E+00   0.128234E+02   0.146543E-07   0.113781E-05  -0.135872E-06
   559   0.257419E+04   0.978242E+01   0.000000E+00   0.138722E+02   0.146120E-07   0.117666E-05  -0.150788E-06
   560   0.256874E+04   0.996706E+01   0.000000E+00   0.148996E+02   0.145700E-07   0.121626E-05  -0.165664E-06
   561   0.256311E+04   0.101564E+02   0.000000E+00   0.159052E+02   0.145282E-07   0.125662E-05  -0.180499E-06
   562   0.255730E+04   0.103507E+02   0.000000E+00   0.168884E+02   0.144865E-07   0.129770E-05  -0.195291E-06
   563   0.255130E+04   0.105496E+02   0.000000E+00   0.178486E+02   0.144450E-07   0.133951E-05  -0.210038E-06
   564   0.254514E+04   0.107531E+02   0.000000E+00   0.187850E+02   0.144036E-07   0.138202E-05  -0.224737E-06
   565   0.253879E+04   0.109613E+02   0.000000E+00   0.196974E+02   0.143625E-07   0.142523E-05  -0.239387E-06
   566   0.253228E+04   0.111740E+02   0.000000E+00   0.205851E+02   0.143215E-07   0.146914E-05  -0.253986E-06
   567   0.252560E+04   0.113911E+02   0.000000E+00   0.214475E+02   0.142806E-07   0.151371E-05  -0.268531E-06
   568   0.251876E+04   0.116126E+02   0.000000E+00   0.222842E+02   0.142400E-07   0.155895E-05  -0.283022E-06
   569   0.251175E+04   0.118384E+02   0.000000E+00   0.230947E+02   0.141995E-07   0.160484E-05  -0.297455E-06
   570   0.250458E+04   0.120685E+02   0.000000E+00   0.238784E+02   0.141592E-07   0.165137E-05  -0.311830E-06
   571   0.249726E+04   0.123027E+02   0.000000E+00   0.246348E+02   0.141190E-07   0.169853E-05  -0.326143E-06
   572   0.248980E+04   0.125410E+02   0.000000E+00   0.253637E+02   0.140790E-07   0.174631E-05  -0.340393E-06
   573   0.248219E+04   0.127833E+02   0.000000E+00   0.260644E+02   0.140392E-07   0.179469E-05  -0.354579E-06
   574   0.247444E+04   0.130295E+02   0.000000E+00   0.267366E+02   0.139995E-07   0.184366E-05  -0.368697E-06
   575   0.246656E+04   0.132795E+02   0.000000E+00   0.273801E+02   0.139600E-07   0.189322E-05  -0.382747E-06
   576   0.245854E+04   0.135333E+02   0.000000E+00   0.279943E+02   0.139207E-07   0.194335E-05  -0.396726E-06
   577   0.245042E+04   0.137907E+02   0.000000E+00   0.285789E+02   0.138815E-07   0.199404E-05  -0.410631E-06
   578   0.244217E+04   0.140517E+02   0.000000E+00   0.291333E+02   0.138425E-07   0.204527E-05  -0.424463E-06
   579   0.243380E+04   0.143163E+02   0.000000E+00   0.296575E+02   0.138037E-07   0.209704E-05  -0.438217E-06
   580   0.242533E+04   0.145841E+02   0.000000E+00   0.301510E+02   0.137650E-07   0.214934E-05  -0.451893E-06
   581   0.241676E+04   0.148553E+02   0.000000E+00   0.306133E+02   0.137264E-07   0.220214E-05  -0.465488E-06
   582   0.240809E+04   0.151296E+02   0.000000E+00   0.310441E+02   0.136881E-07   0.225545E-05  -0.479000E-06
   583   0.239933E+04   0.154070E+02   0.000000E+00   0.314431E+02   0.136498E-07   0.230925E-05  -0.492428E-06
   584   0.239048E+04   0.156875E+02   0.000000E+00   0.318099E+02   0.136118E-07   0.236353E-05  -0.505769E-06
   585   0.238154E+04   0.159707E+02   0.000000E+00   0.321442E+02   0.135739E-07   0.241827E-05  -0.519022E-06
   586   0.237252E+04   0.162568E+02   0.000000E+00   0.324457E+02   0.135361E-07   0.247347E-05  -0.532185E-06
   587   0.236343E+04   0.165456E+02   0.000000E+00   0.327142E+02   0.134985E-07   0.252911E-05  -0.545255E-06
   588   0.235428E+04   0.168369E+02   0.000000E+00   0.329494E+02   0.134611E-07   0.258518E-05  -0.558230E-06
   589   0.234505E+04   0.171306E+02   0.000000E+00   0.331511E+02   0.134238E-07   0.264167E-05  -0.571109E-06
   590   0.233577E+04   0.174267E+02   0.000000E+00   0.333191E+02   0.133867E-07   0.269857E-05  -0.583890E-06
   591   0.232644E+04   0.177251E+02   0.000000E+00   0.334532E+02   0.133497E-07   0.275586E-05  -0.596570E-06
   592   0.231706E+04   0.180255E+02   0.000000E+00   0.335531E+02   0.133128E-07   0.281355E-05  -0.609148E-06
   593   0.230763E+04   0.183280E+02   0.000000E+00   0.336187E+02   0.132761E-07   0.287160E-05  -0.621622E-06
   594   0.229816E+04   0.186324E+02   0.000000E+00   0.336498E+02   0.132396E-07   0.293002E-05  -0.633990E-06
   595   0.228865E+04   0.189385E+02   0.000000E+00   0.336464E+02   0.132032E-07   0.298878E-05  -0.646250E-06
   596   0.227912E+04   0.192463E+02   0.000000E+00   0.336083E+02   0.131670E-07   0.304789E-05  -0.658399E-06
   597   0.226956E+04   0.195556E+02   0.000000E+00   0.335353E+02   0.131309E-07   0.310732E-05  -0.670437E-06
   598   0.225998E+04   0.198662E+02   0.000000E+00   0.334274E+02   0.130949E-07   0.316707E-05  -0.682360E-06
   599   0.225039E+04   0.201782E+02   0.000000E+00   0.332845E+02   0.130591E-07   0.322713E-05  -0.694167E-06
   600   0.224078E+04   0.204914E+02   0.000000E+00   0.331065E+02   0.130235E-07   0.328747E-05  -0.705857E-06
   601   0.223117E+04   0.208056E+02   0.000000E+00   0.328934E+02   0.129879E-07   0.334810E-05  -0.717426E-06
   602   0.222155E+04   0.211207E+02   0.000000E+00   0.326453E+02   0.129526E-07   0.340899E-05  -0.728876E-06
   603   0.221195E+04   0.214366E+02   0.000000E+00   0.323623E+02   0.129173E-07   0.347015E-05  -0.740204E-06
   604   0.220235E+04   0.217532E+02   0.000000E+00   0.320442E+02   0.128822E-07   0.353156E-05  -0.751410E-06
   605   0.219276E+04   0.220703E+02   0.000000E+00   0.316913E+02   0.128473E-07   0.359320E-05  -0.762494E-06
   606   0.218319E+04   0.223878E+02   0.000000E+00   0.313036E+02   0.128125E-07   0.365508E-05  -0.773456E-06
   607   0.217363E+04   0.227058E+02   0.000000E+00   0.308810E+02   0.127778E-07   0.371717E-05  -0.784294E-06
   608   0.216411E+04   0.230238E+02   0.000000E+00   0.304237E+02   0.127433E-07   0.377947E-05  -0.795009E-06
   609   0.215463E+04   0.233420E+02   0.000000E+00   0.299320E+02   0.127089E-07   0.384197E-05  -0.805599E-06
   610   0.214517E+04   0.236601E+02   0.000000E+00   0.294059E+02   0.126746E-07   0.390466E-05  -0.816063E-06
   611   0.213577E+04   0.239778E+02   0.000000E+00   0.288454E+02   0.126405E-07   0.396752E-05  -0.826403E-06
   612   0.212640E+04   0.242953E+02   0.000000E+00   0.282507E+02   0.126065E-07   0.403055E-05  -0.836616E-06
   613   0.211708E+04   0.246123E+02   0.000000E+00   0.276220E+02   0.125727E-07   0.409374E-05  -0.846703E-06
   614   0.210783E+04   0.249287E+02   0.000000E+00   0.269595E+02   0.125390E-07   0.415707E-05  -0.856662E-06
   615   0.209863E+04   0.252444E+02   0.000000E+00   0.262635E+02   0.125054E-07   0.422054E-05  -0.866493E-06
   616   0.208950E+04   0.255592E+02   0.000000E+00   0.255344E+02   0.124720E-07   0.428413E-05  -0.876196E-06
   617   0.208044E+04   0.258732E+02   0.000000E+00   0.247724E+02   0.124387E-07   0.434784E-05  -0.885770E-06
   618   0.207145E+04   0.261861E+02   0.000000E+00   0.239778E+02   0.124055E-07   0.441165E-05  -0.895215E-06
   619   0.206254E+04   0.264978E+02   0.000000E+00   0.231510E+02   0.123724E-07   0.447556E-05  -0.904529E-06
   620   0.205371E+04   0.268083E+02   0.000000E+00   0.222922E+02   0.123395E-07   0.453955E-05  -0.913713E-06
   621   0.204498E+04   0.271174E+02   0.000000E+00   0.214018E+02   0.123067E-07   0.460362E-05  -0.922765E-06
   622   0.203634E+04   0.274249E+02   0.000000E+00   0.204801E+02   0.122741E-07   0.466775E-05  -0.931686E-06
   623   0.202780E+04   0.277307E+02   0.000000E+00   0.195275E+02   0.122416E-07   0.473192E-05  -0.940475E-06
   624   0.201935E+04   0.280348E+02   0.000000E+00   0.185442E+02   0.122092E-07   0.479615E-05  -0.949130E-06
   625   0.201101E+04   0.283370E+02   0.000000E+00   0.175306E+02   0.121769E-07   0.486040E-05  -0.957652E-06
   626   0.200279E+04   0.286371E+02   0.000000E+00   0.164871E+02   0.121448E-07   0.492468E-05  -0.966040E-06
   627   0.199467E+04   0.289351E+02   0.000000E+00   0.154139E+02   0.121128E-07   0.498896E-05  -0.974294E-06
   628   0.198668E+04   0.292307E+02   0.000000E+00   0.143114E+02   0.120809E-07   0.505325E-05  -0.982412E-06
   629   0.197880E+04   0.295239E+02   0.000000E+00   0.131802E+02   0.120491E-07   0.511753E-05  -0.990394E-06
   630   0.197105E+04   0.298146E+02   0.000000E+00   0.120207E+02   0.120175E-07   0.518179E-05  -0.998241E-06
   631   0.196342E+04   0.301025E+02   0.000000E+00   0.108333E+02   0.119860E-07   0.524602E-05  -0.100595E-05
   632   0.195592E+04   0.303877E+02   0.000000E+00   0.961858E+01   0.119546E-07   0.531020E-05  -0.101352E-05
   633   0.194857E+04   0.306701E+02   0.000000E+00   0.837684E+01   0.119234E-07   0.537434E-05  -0.102096E-05
   634   0.194135E+04   0.309493E+02   0.000000E+00   0.710865E+01   0.118922E-07   0.543841E-05  -0.102825E-05
   635   0.193427E+04   0.312254E+02   0.000000E+00   0.581453E+01   0.118612E-07   0.550242E-05  -0.103541E-05
   636   0.192734E+04   0.314983E+02   0.000000E+00   0.449499E+01   0.118303E-07   0.556634E-05  -0.104242E-05
   637   0.192056E+04   0.317678E+02   0.000000E+00   0.315057E+01   0.117996E-07   0.563017E-05  -0.104930E-05
   638   0.191393E+04   0.320338E+02   0.000000E+00   0.178183E+01   0.117689E-07   0.569389E-05  -0.105604E-05
   639   0.190746E+04   0.322963E+02   0.000000E+00   0.389289E+00   0.117384E-07   0.575751E-05  -0.106263E-05
   640   0.190115E+04   0.325550E+02   0.000000E+00  -0.102651E+01   0.117080E-07   0.582099E-05  -0.106908E-05
   641   0.189499E+04   0.328100E+02   0.000000E+00  -0.246501E+01   0.116777E-07   0.588435E-05  -0.107539E-05
   642   0.188900E+04   0.330610E+02   0.000000E+00  -0.392559E+01   0.116475E-07   0.594756E-05  -0.108156E-05
   643   0.188319E+04   0.333080E+02   0.000000E+00  -0.540763E+01   0.116174E-07   0.601061E-05  -0.108758E-05
   644   0.187753E+04   0.335509E+02   0.000000E+00  -0.691050E+01   0.115875E-07   0.607351E-05  -0.109346E-05
   645   0.187205E+04   0.337894E+02   0.000000E+00  -0.843357E+01   0.115577E-07   0.613622E-05  -0.109920E-05
   646   0.186675E+04   0.340235E+02   0.000000E+00  -0.997621E+01   0.115280E-07   0.619875E-05  -0.110478E-05
   647   0.186162E+04   0.342532E+02   0.000000E+00  -0.115377E+02   0.114984E-07   0.626108E-05  -0.111023E-05
   648   0.185667E+04   0.344782E+02   0.000000E+00  -0.131176E+02   0.114689E-07   0.632321E-05  -0.111552E-05
   649   0.185190E+04   0.346986E+02   0.000000E+00  -0.147150E+02   0.114395E-07   0.638512E-05  -0.112067E-05
   650   0.184733E+04   0.349141E+02   0.000000E+00  -0.163294E+02   0.114103E-07   0.644680E-05  -0.112568E-05
   651   0.184293E+04   0.351248E+02   0.000000E+00  -0.179600E+02   0.113811E-07   0.650825E-05  -0.113053E-05
   652   0.183872E+04   0.353307E+02   0.000000E+00  -0.196061E+02   0.113521E-07   0.656945E-05  -0.113524E-05
   653   0.183470E+04   0.355316E+02   0.000000E+00  -0.212671E+02   0.113232E-07   0.663040E-05  -0.113979E-05
   654   0.183088E+04   0.357275E+02   0.000000E+00  -0.229423E+02   0.112944E-07   0.669109E-05  -0.114421E-05
   655   0.182726E+04   0.359182E+02   0.000000E+00  -0.246310E+02   0.112657E-07   0.675151E-05  -0.114847E-05
   656   0.182382E+04   0.361039E+02   0.000000E+00  -0.263324E+02   0.112371E-07   0.681167E-05  -0.115259E-05
   657   0.182058E+04   0.362843E+02   0.000000E+00  -0.280460E+02   0.112086E-07   0.687154E-05  -0.115657E-05
   658   0.181754E+04   0.364595E+02   0.000000E+00  -0.297708E+02   0.111803E-07   0.693113E-05  -0.116039E-05
   659   0.181471E+04   0.366292E+02   0.000000E+00  -0.315063E+02   0.111520E-07   0.699042E-05  -0.116408E-05
   660   0.181207E+04   0.367934E+02   0.000000E+00  -0.332516E+02   0.111238E-07   0.704941E-05  -0.116762E-05
   661   0.180963E+04   0.369521E+02   0.000000E+00  -0.350060E+02   0.110958E-07   0.710809E-05  -0.117101E-05
   662   0.180740E+04   0.371052E+02   0.000000E+00  -0.367689E+02   0.110679E-07   0.716646E-05  -0.117426E-05
   663   0.180536E+04   0.372526E+02   0.000000E+00  -0.385394E+02   0.110400E-07   0.722451E-05  -0.117737E-05
   664   0.180354E+04   0.373943E+02   0.000000E+00  -0.403167E+02   0.110123E-07   0.728223E-05  -0.118034E-05
   665   0.180191E+04   0.375301E+02   0.000000E+00  -0.421002E+02   0.109847E-07   0.733961E-05  -0.118316E-05
   666   0.180049E+04   0.376601E+02   0.000000E+00  -0.438890E+02   0.109572E-07   0.739665E-05  -0.118584E-05
   667   0.179927E+04   0.377843E+02   0.000000E+00  -0.456824E+02   0.109297E-07   0.745334E-05  -0.118838E-05
   668   0.179827E+04   0.379025E+02   0.000000E+00  -0.474797E+02   0.109024E-07   0.750968E-05  -0.119078E-05
   669   0.179746E+04   0.380146E+02   0.000000E+00  -0.492800E+02   0.108752E-07   0.756565E-05  -0.119304E-05
   670   0.179686E+04   0.381208E+02   0.000000E+00  -0.510826E+02   0.108481E-07   0.762125E-05  -0.119515E-05
   671   0.179647E+04   0.382209E+02   0.000000E+00  -0.528868E+02   0.108211E-07   0.767647E-05  -0.119713E-05
   672   0.179629E+04   0.383148E+02   0.000000E+00  -0.546917E+02   0.107942E-07   0.773130E-05  -0.119897E-05
   673   0.179630E+04   0.384026E+02   0.000000E+00  -0.564967E+02   0.107674E-07   0.778575E-05  -0.120066E-05
   674   0.179653E+04   0.384843E+02   0.000000E+00  -0.583009E+02   0.107407E-07   0.783979E-05  -0.120222E-05
   675   0.179696E+04   0.385597E+02   0.000000E+00  -0.601035E+02   0.107141E-07   0.789343E-05  -0.120365E-05
   676   0.179760E+04   0.386288E+02   0.000000E+00  -0.619038E+02   0.106876E-07   0.794666E-05  -0.120493E-05
   677   0.179844E+04   0.386918E+02   0.000000E+00  -0.637011E+02   0.106612E-07   0.799947E-05  -0.120607E-05
   678   0.179947E+04   0.387483E+02   0.000000E+00  -0.654943E+02   0.106349E-07   0.805185E-05  -0.120708E-05
   679   0.180072E+04   0.387985E+02   0.000000E+00  -0.672828E+02   0.106087E-07   0.810379E-05  -0.120795E-05
   680   0.180217E+04   0.388423E+02   0.000000E+00  -0.690657E+02   0.105826E-07   0.815530E-05  -0.120869E-05
   681   0.180381E+04   0.388796E+02   0.000000E+00  -0.708421E+02   0.105566E-07   0.820636E-05  -0.120929E-05
   682   0.180565E+04   0.389104E+02   0.000000E+00  -0.726113E+02   0.105307E-07   0.825696E-05  -0.120975E-05
   683   0.180769E+04   0.389347E+02   0.000000E+00  -0.743725E+02   0.105049E-07   0.830710E-05  -0.121008E-05
   684   0.180993E+04   0.389525E+02   0.000000E+00  -0.761248E+02   0.104792E-07   0.835677E-05  -0.121028E-05
   685   0.181236E+04   0.389638E+02   0.000000E+00  -0.778677E+02   0.104536E-07   0.840597E-05  -0.121034E-05
   686   0.181499E+04   0.389687E+02   0.000000E+00  -0.796000E+02   0.104281E-07   0.845468E-05  -0.121026E-05
   687   0.181781E+04   0.389672E+02   0.000000E+00  -0.813218E+02   0.104026E-07   0.850291E-05  -0.121006E-05
   688   0.182082E+04   0.389593E+02   0.000000E+00  -0.830324E+02   0.103773E-07   0.855063E-05  -0.120972E-05
   689   0.182402E+04   0.389450E+02   0.000000E+00  -0.847303E+02   0.103520E-07   0.859785E-05  -0.120924E-05
   690   0.182741E+04   0.389245E+02   0.000000E+00  -0.864146E+02   0.103269E-07   0.864456E-05  -0.120864E-05
   691   0.183099E+04   0.388976E+02   0.000000E+00  -0.880854E+02   0.103018E-07   0.869076E-05  -0.120790E-05
   692   0.183475E+04   0.388644E+02   0.000000E+00  -0.897419E+02   0.102768E-07   0.873643E-05  -0.120703E-05
   693   0.183870E+04   0.388249E+02   0.000000E+00  -0.913834E+02   0.102520E-07   0.878156E-05  -0.120603E-05
   694   0.184282E+04   0.387792E+02   0.000000E+00  -0.930084E+02   0.102272E-07   0.882616E-05  -0.120490E-05
   695   0.184713E+04   0.387272E+02   0.000000E+00  -0.946168E+02   0.102025E-07   0.887021E-05  -0.120364E-05
   696   0.185161E+04   0.386688E+02   0.000000E+00  -0.962072E+02   0.101779E-07   0.891371E-05  -0.120225E-05
   697   0.185626E+04   0.386043E+02   0.000000E+00  -0.977795E+02   0.101534E-07   0.895665E-05  -0.120074E-05
   698   0.186108E+04   0.385335E+02   0.000000E+00  -0.993322E+02   0.101289E-07   0.899902E-05  -0.119909E-05
   699   0.186607E+04   0.384565E+02   0.000000E+00  -0.100865E+03   0.101046E-07   0.904082E-05  -0.119731E-05
   700   0.187123E+04   0.383734E+02   0.000000E+00  -0.102378E+03   0.100803E-07   0.908203E-05  -0.119541E-05
   701   0.187655E+04   0.382841E+02   0.000000E+00  -0.103870E+03   0.100562E-07   0.912266E-05  -0.119337E-05
   702   0.188202E+04   0.381888E+02   0.000000E+00  -0.105340E+03   0.100321E-07   0.916270E-05  -0.119121E-05
   703   0.188765E+04   0.380875E+02   0.000000E+00  -0.106788E+03   0.100081E-07   0.920215E-05  -0.118893E-05
   704   0.189344E+04   0.379802E+02   0.000000E+00  -0.108212E+03   0.998419E-08   0.924099E-05  -0.118652E-05
   705   0.189938E+04   0.378670E+02   0.000000E+00  -0.109612E+03   0.996036E-08   0.927925E-05  -0.118398E-05
   706   0.190547E+04   0.377480E+02   0.000000E+00  -0.110988E+03   0.993663E-08   0.931689E-05  -0.118132E-05
   707   0.191170E+04   0.376232E+02   0.000000E+00  -0.112340E+03   0.991297E-08   0.935394E-05  -0.117854E-05
