#    L    TT             EE             BB             TE             PP             TP             EP          
    54   0.152287E+04   0.153576E+00   0.000000E+00  -0.395709E+00   0.132662E-06   0.605780E-03  -0.937054E-06
    55   0.154430E+04   0.162609E+00   0.000000E+00  -0.642517E+00   0.132032E-06   0.594590E-03  -0.101032E-05
    56   0.156595E+04   0.171941E+00   0.000000E+00  -0.902607E+00   0.131390E-06   0.583881E-03  -0.991099E-06
    57   0.158792E+04   0.181568E+00   0.000000E+00  -0.117687E+01   0.130739E-06   0.573605E-03  -0.898794E-06
    58   0.161017E+04   0.191490E+00   0.000000E+00  -0.146549E+01   0.130079E-06   0.563700E-03  -0.764431E-06
    59   0.163262E+04   0.201706E+00   0.000000E+00  -0.176837E+01   0.129409E-06   0.554105E-03  -0.618977E-06
    60   0.165524E+04   0.212207E+00   0.000000E+00  -0.208501E+01   0.128731E-06   0.544757E-03  -0.493340E-06
    61   0.167804E+04   0.222988E+00   0.000000E+00  -0.241491E+01   0.128046E-06   0.535606E-03  -0.412753E-06
    62   0.170103E+04   0.234043E+00   0.000000E+00  -0.275803E+01   0.127354E-06   0.526632E-03  -0.379911E-06
    63   0.172423E+04   0.245371E+00   0.000000E+00  -0.311445E+01   0.126656E-06   0.517826E-03  -0.391885E-06
    64   0.174764E+04   0.256969E+00   0.000000E+00  -0.348426E+01   0.125953E-06   0.509177E-03  -0.445754E-06
    65   0.177129E+04   0.268836E+00   0.000000E+00  -0.386758E+01   0.125247E-06   0.500676E-03  -0.538605E-06
    66   0.179522E+04   0.280965E+00   0.000000E+00  -0.426459E+01   0.124537E-06   0.492320E-03  -0.664790E-06
    67   0.181941E+04   0.293348E+00   0.000000E+00  -0.467479E+01   0.123826E-06   0.484142E-03  -0.807704E-06
    68   0.184381E+04   0.305976E+00   0.000000E+00  -0.509749E+01   0.123112E-06   0.476179E-03  -0.948027E-06
    69   0.186839E+04   0.318841E+00   0.000000E+00  -0.553204E+01   0.122397E-06   0.468470E-03  -0.106646E-05
    70   0.189311E+04   0.331936E+00   0.000000E+00  -0.597799E+01   0.121682E-06   0.461056E-03  -0.114374E-05
    71   0.191796E+04   0.345257E+00   0.000000E+00  -0.643518E+01   0.120965E-06   0.453961E-03  -0.116604E-05
    72   0.194303E+04   0.358798E+00   0.000000E+00  -0.690451E+01   0.120248E-06   0.447161E-03  -0.114128E-05
    73   0.196846E+04   0.372555E+00   0.000000E+00  -0.738690E+01   0.119531E-06   0.440621E-03  -0.108279E-05
    74   0.199424E+04   0.386517E+00   0.000000E+00  -0.788224E+01   0.118813E-06   0.434304E-03  -0.100389E-05
    75   0.202038E+04   0.400670E+00   0.000000E+00  -0.839005E+01   0.118094E-06   0.428173E-03  -0.917881E-06
    76   0.204683E+04   0.415001E+00   0.000000E+00  -0.890977E+01   0.117375E-06   0.422194E-03  -0.836607E-06
    77   0.207348E+04   0.429499E+00   0.000000E+00  -0.943994E+01   0.116656E-06   0.416347E-03  -0.766152E-06
    78   0.210030E+04   0.444152E+00   0.000000E+00  -0.998008E+01   0.115938E-06   0.410614E-03  -0.711154E-06
    79   0.212734E+04   0.458948E+00   0.000000E+00  -0.105300E+02   0.115220E-06   0.404974E-03  -0.676247E-06
    80   0.215462E+04   0.473875E+00   0.000000E+00  -0.110897E+02   0.114503E-06   0.399411E-03  -0.666061E-06
    81   0.218216E+04   0.488922E+00   0.000000E+00  -0.116589E+02   0.113788E-06   0.393910E-03  -0.683274E-06
    82   0.220997E+04   0.504078E+00   0.000000E+00  -0.122372E+02   0.113075E-06   0.388481E-03  -0.722764E-06
    83   0.223804E+04   0.519332E+00   0.000000E+00  -0.128243E+02   0.112363E-06   0.383137E-03  -0.777465E-06
    84   0.226636E+04   0.534672E+00   0.000000E+00  -0.134196E+02   0.111654E-06   0.377891E-03  -0.840318E-06
    85   0.229491E+04   0.550086E+00   0.000000E+00  -0.140228E+02   0.110948E-06   0.372756E-03  -0.904271E-06
    86   0.232371E+04   0.565564E+00   0.000000E+00  -0.146334E+02   0.110244E-06   0.367745E-03  -0.963390E-06
    87   0.235271E+04   0.581093E+00   0.000000E+00  -0.152510E+02   0.109543E-06   0.362856E-03  -0.101619E-05
    88   0.238190E+04   0.596659E+00   0.000000E+00  -0.158748E+02   0.108846E-06   0.358089E-03  -0.106231E-05
    89   0.241129E+04   0.612250E+00   0.000000E+00  -0.165047E+02   0.108151E-06   0.353441E-03  -0.110137E-05
    90   0.244087E+04   0.627847E+00   0.000000E+00  -0.171401E+02   0.107460E-06   0.348912E-03  -0.113302E-05
    91   0.247066E+04   0.643438E+00   0.000000E+00  -0.177808E+02   0.106773E-06   0.344498E-03  -0.115703E-05
    92   0.250067E+04   0.659008E+00   0.000000E+00  -0.184263E+02   0.106088E-06   0.340195E-03  -0.117386E-05
    93   0.253089E+04   0.674541E+00   0.000000E+00  -0.190762E+02   0.105408E-06   0.336001E-03  -0.118411E-05
    94   0.256134E+04   0.690024E+00   0.000000E+00  -0.197303E+02   0.104731E-06   0.331910E-03  -0.118839E-05
    95   0.259201E+04   0.705443E+00   0.000000E+00  -0.203880E+02   0.104058E-06   0.327919E-03  -0.118731E-05
    96   0.262291E+04   0.720783E+00   0.000000E+00  -0.210488E+02   0.103388E-06   0.324023E-03  -0.118145E-05
    97   0.265404E+04   0.736030E+00   0.000000E+00  -0.217124E+02   0.102722E-06   0.320218E-03  -0.117144E-05
    98   0.268539E+04   0.751167E+00   0.000000E+00  -0.223783E+02   0.102060E-06   0.316502E-03  -0.115788E-05
    99   0.271696E+04   0.766180E+00   0.000000E+00  -0.230459E+02   0.101402E-06   0.312868E-03  -0.114136E-05
   100   0.274875E+04   0.781059E+00   0.000000E+00  -0.237147E+02   0.100748E-06   0.309314E-03  -0.112249E-05
   101   0.278076E+04   0.795787E+00   0.000000E+00  -0.243842E+02   0.100098E-06   0.305835E-03  -0.110187E-05
   102   0.281298E+04   0.810344E+00   0.000000E+00  -0.250541E+02   0.994512E-07   0.302427E-03  -0.108011E-05
   103   0.284541E+04   0.824727E+00   0.000000E+00  -0.257235E+02   0.988089E-07   0.299086E-03  -0.105780E-05
   104   0.287805E+04   0.838909E+00   0.000000E+00  -0.263921E+02   0.981706E-07   0.295809E-03  -0.103555E-05
   105   0.291087E+04   0.852881E+00   0.000000E+00  -0.270593E+02   0.975366E-07   0.292590E-03  -0.101396E-05
   106   0.294389E+04   0.866630E+00   0.000000E+00  -0.277244E+02   0.969067E-07   0.289427E-03  -0.993622E-06
   107   0.297709E+04   0.880146E+00   0.000000E+00  -0.283870E+02   0.962811E-07   0.286315E-03  -0.975144E-06
   108   0.301045E+04   0.893408E+00   0.000000E+00  -0.290464E+02   0.956597E-07   0.283250E-03  -0.959122E-06
   109   0.304399E+04   0.906409E+00   0.000000E+00  -0.297020E+02   0.950428E-07   0.280228E-03  -0.946159E-06
   110   0.307769E+04   0.919127E+00   0.000000E+00  -0.303532E+02   0.944303E-07   0.277246E-03  -0.936852E-06
   111   0.311154E+04   0.931553E+00   0.000000E+00  -0.309997E+02   0.938222E-07   0.274299E-03  -0.931645E-06
   112   0.314554E+04   0.943681E+00   0.000000E+00  -0.316406E+02   0.932186E-07   0.271388E-03  -0.930365E-06
   113   0.317968E+04   0.955488E+00   0.000000E+00  -0.322756E+02   0.926195E-07   0.268513E-03  -0.932681E-06
   114   0.321395E+04   0.966959E+00   0.000000E+00  -0.329038E+02   0.920248E-07   0.265674E-03  -0.938263E-06
   115   0.324836E+04   0.978094E+00   0.000000E+00  -0.335249E+02   0.914346E-07   0.262871E-03  -0.946782E-06
   116   0.328288E+04   0.988878E+00   0.000000E+00  -0.341383E+02   0.908488E-07   0.260106E-03  -0.957908E-06
   117   0.331753E+04   0.999289E+00   0.000000E+00  -0.347433E+02   0.902674E-07   0.257378E-03  -0.971313E-06
   118   0.335227E+04   0.100933E+01   0.000000E+00  -0.353394E+02   0.896904E-07   0.254689E-03  -0.986668E-06
   119   0.338711E+04   0.101898E+01   0.000000E+00  -0.359260E+02   0.891179E-07   0.252037E-03  -0.100364E-05
   120   0.342205E+04   0.102823E+01   0.000000E+00  -0.365026E+02   0.885497E-07   0.249424E-03  -0.102191E-05
   121   0.345707E+04   0.103707E+01   0.000000E+00  -0.370686E+02   0.879859E-07   0.246850E-03  -0.104114E-05
   122   0.349216E+04   0.104550E+01   0.000000E+00  -0.376234E+02   0.874265E-07   0.244316E-03  -0.106101E-05
   123   0.352731E+04   0.105350E+01   0.000000E+00  -0.381665E+02   0.868715E-07   0.241821E-03  -0.108119E-05
   124   0.356252E+04   0.106106E+01   0.000000E+00  -0.386972E+02   0.863209E-07   0.239367E-03  -0.110134E-05
   125   0.359778E+04   0.106818E+01   0.000000E+00  -0.392152E+02   0.857746E-07   0.236953E-03  -0.112115E-05
   126   0.363307E+04   0.107484E+01   0.000000E+00  -0.397197E+02   0.852327E-07   0.234581E-03  -0.114028E-05
   127   0.366839E+04   0.108104E+01   0.000000E+00  -0.402103E+02   0.846951E-07   0.232250E-03  -0.115841E-05
   128   0.370373E+04   0.108678E+01   0.000000E+00  -0.406865E+02   0.841619E-07   0.229960E-03  -0.117520E-05
   129   0.373909E+04   0.109205E+01   0.000000E+00  -0.411477E+02   0.836331E-07   0.227713E-03  -0.119034E-05
   130   0.377444E+04   0.109683E+01   0.000000E+00  -0.415934E+02   0.831086E-07   0.225509E-03  -0.120349E-05
   131   0.380979E+04   0.110112E+01   0.000000E+00  -0.420229E+02   0.825884E-07   0.223347E-03  -0.121440E-05
   132   0.384512E+04   0.110493E+01   0.000000E+00  -0.424359E+02   0.820725E-07   0.221227E-03  -0.122310E-05
   133   0.388043E+04   0.110824E+01   0.000000E+00  -0.428320E+02   0.815609E-07   0.219147E-03  -0.122969E-05
   134   0.391571E+04   0.111107E+01   0.000000E+00  -0.432104E+02   0.810535E-07   0.217106E-03  -0.123428E-05
   135   0.395094E+04   0.111339E+01   0.000000E+00  -0.435709E+02   0.805504E-07   0.215102E-03  -0.123696E-05
   136   0.398613E+04   0.111521E+01   0.000000E+00  -0.439129E+02   0.800514E-07   0.213134E-03  -0.123785E-05
   137   0.402127E+04   0.111654E+01   0.000000E+00  -0.442359E+02   0.795565E-07   0.211200E-03  -0.123704E-05
   138   0.405634E+04   0.111736E+01   0.000000E+00  -0.445396E+02   0.790658E-07   0.209300E-03  -0.123464E-05
   139   0.409133E+04   0.111769E+01   0.000000E+00  -0.448235E+02   0.785791E-07   0.207431E-03  -0.123075E-05
   140   0.412626E+04   0.111751E+01   0.000000E+00  -0.450872E+02   0.780965E-07   0.205593E-03  -0.122547E-05
   141   0.416109E+04   0.111685E+01   0.000000E+00  -0.453303E+02   0.776179E-07   0.203783E-03  -0.121890E-05
   142   0.419582E+04   0.111568E+01   0.000000E+00  -0.455523E+02   0.771433E-07   0.202000E-03  -0.121115E-05
   143   0.423045E+04   0.111403E+01   0.000000E+00  -0.457529E+02   0.766727E-07   0.200243E-03  -0.120233E-05
   144   0.426496E+04   0.111189E+01   0.000000E+00  -0.459316E+02   0.762059E-07   0.198511E-03  -0.119252E-05
   145   0.429935E+04   0.110926E+01   0.000000E+00  -0.460881E+02   0.757431E-07   0.196802E-03  -0.118184E-05
   146   0.433359E+04   0.110616E+01   0.000000E+00  -0.462220E+02   0.752841E-07   0.195115E-03  -0.117038E-05
   147   0.436768E+04   0.110259E+01   0.000000E+00  -0.463327E+02   0.748289E-07   0.193448E-03  -0.115826E-05
   148   0.440159E+04   0.109856E+01   0.000000E+00  -0.464200E+02   0.743776E-07   0.191799E-03  -0.114557E-05
   149   0.443532E+04   0.109407E+01   0.000000E+00  -0.464835E+02   0.739300E-07   0.190168E-03  -0.113241E-05
   150   0.446885E+04   0.108912E+01   0.000000E+00  -0.465226E+02   0.734862E-07   0.188554E-03  -0.111889E-05
   151   0.450216E+04   0.108374E+01   0.000000E+00  -0.465372E+02   0.730460E-07   0.186953E-03  -0.110509E-05
   152   0.453525E+04   0.107793E+01   0.000000E+00  -0.465268E+02   0.726096E-07   0.185368E-03  -0.109105E-05
   153   0.456812E+04   0.107169E+01   0.000000E+00  -0.464913E+02   0.721768E-07   0.183797E-03  -0.107677E-05
   154   0.460075E+04   0.106506E+01   0.000000E+00  -0.464304E+02   0.717476E-07   0.182240E-03  -0.106228E-05
   155   0.463314E+04   0.105803E+01   0.000000E+00  -0.463439E+02   0.713221E-07   0.180698E-03  -0.104759E-05
   156   0.466530E+04   0.105061E+01   0.000000E+00  -0.462315E+02   0.709001E-07   0.179171E-03  -0.103272E-05
   157   0.469720E+04   0.104283E+01   0.000000E+00  -0.460929E+02   0.704817E-07   0.177658E-03  -0.101767E-05
   158   0.472886E+04   0.103469E+01   0.000000E+00  -0.459280E+02   0.700668E-07   0.176160E-03  -0.100247E-05
   159   0.476026E+04   0.102621E+01   0.000000E+00  -0.457365E+02   0.696554E-07   0.174676E-03  -0.987126E-06
   160   0.479138E+04   0.101741E+01   0.000000E+00  -0.455183E+02   0.692475E-07   0.173206E-03  -0.971659E-06
   161   0.482221E+04   0.100831E+01   0.000000E+00  -0.452731E+02   0.688430E-07   0.171751E-03  -0.956081E-06
   162   0.485273E+04   0.998909E+00   0.000000E+00  -0.450008E+02   0.684419E-07   0.170311E-03  -0.940409E-06
   163   0.488295E+04   0.989252E+00   0.000000E+00  -0.447010E+02   0.680443E-07   0.168884E-03  -0.924657E-06
   164   0.491283E+04   0.979336E+00   0.000000E+00  -0.443738E+02   0.676500E-07   0.167473E-03  -0.908839E-06
   165   0.494237E+04   0.969184E+00   0.000000E+00  -0.440189E+02   0.672591E-07   0.166076E-03  -0.892973E-06
   166   0.497157E+04   0.958819E+00   0.000000E+00  -0.436361E+02   0.668715E-07   0.164693E-03  -0.877071E-06
   167   0.500041E+04   0.948266E+00   0.000000E+00  -0.432253E+02   0.664871E-07   0.163324E-03  -0.861150E-06
   168   0.502889E+04   0.937545E+00   0.000000E+00  -0.427867E+02   0.661061E-07   0.161970E-03  -0.845225E-06
   169   0.505699E+04   0.926682E+00   0.000000E+00  -0.423201E+02   0.657283E-07   0.160631E-03  -0.829310E-06
   170   0.508471E+04   0.915691E+00   0.000000E+00  -0.418253E+02   0.653537E-07   0.159305E-03  -0.813421E-06
   171   0.511203E+04   0.904604E+00   0.000000E+00  -0.413024E+02   0.649824E-07   0.157995E-03  -0.797572E-06
   172   0.513897E+04   0.893442E+00   0.000000E+00  -0.407512E+02   0.646142E-07   0.156698E-03  -0.781780E-06
   173   0.516548E+04   0.882230E+00   0.000000E+00  -0.401719E+02   0.642491E-07   0.155416E-03  -0.766058E-06
   174   0.519158E+04   0.870991E+00   0.000000E+00  -0.395643E+02   0.638872E-07   0.154148E-03  -0.750422E-06
   175   0.521726E+04   0.859762E+00   0.000000E+00  -0.389286E+02   0.635283E-07   0.152895E-03  -0.734887E-06
   176   0.524250E+04   0.848560E+00   0.000000E+00  -0.382648E+02   0.631726E-07   0.151656E-03  -0.719465E-06
   177   0.526730E+04   0.837423E+00   0.000000E+00  -0.375728E+02   0.628198E-07   0.150430E-03  -0.704153E-06
   178   0.529163E+04   0.826374E+00   0.000000E+00  -0.368528E+02   0.624701E-07   0.149219E-03  -0.688946E-06
   179   0.531551E+04   0.815437E+00   0.000000E+00  -0.361048E+02   0.621234E-07   0.148021E-03  -0.673839E-06
   180   0.533892E+04   0.804651E+00   0.000000E+00  -0.353289E+02   0.617796E-07   0.146836E-03  -0.658826E-06
   181   0.536186E+04   0.794045E+00   0.000000E+00  -0.345254E+02   0.614388E-07   0.145664E-03  -0.643901E-06
   182   0.538431E+04   0.783653E+00   0.000000E+00  -0.336942E+02   0.611008E-07   0.144504E-03  -0.629059E-06
