#           k/h    P           
   0.100000E-03   0.225367E+03
   0.102020E-03   0.229760E+03
   0.104081E-03   0.234239E+03
   0.106184E-03   0.238804E+03
   0.108329E-03   0.243459E+03
   0.110517E-03   0.248205E+03
   0.112750E-03   0.253043E+03
   0.115027E-03   0.257976E+03
   0.117351E-03   0.263005E+03
   0.119722E-03   0.268132E+03
   0.122140E-03   0.273359E+03
   0.124608E-03   0.278689E+03
   0.127125E-03   0.284122E+03
   0.129693E-03   0.289661E+03
   0.132313E-03   0.295308E+03
   0.134986E-03   0.301066E+03
   0.137713E-03   0.306936E+03
   0.140495E-03   0.312920E+03
   0.143333E-03   0.319021E+03
   0.146228E-03   0.325242E+03
   0.149182E-03   0.331583E+03
   0.152196E-03   0.338049E+03
   0.155271E-03   0.344641E+03
   0.158407E-03   0.351362E+03
   0.161607E-03   0.358214E+03
   0.164872E-03   0.365200E+03
   0.168203E-03   0.372322E+03
   0.171601E-03   0.379583E+03
   0.175067E-03   0.386986E+03
   0.178604E-03   0.394534E+03
   0.182212E-03   0.402230E+03
   0.185893E-03   0.410075E+03
   0.189648E-03   0.418075E+03
   0.193479E-03   0.426230E+03
   0.197388E-03   0.434545E+03
   0.201375E-03   0.443022E+03
   0.205443E-03   0.451666E+03
   0.209594E-03   0.460478E+03
   0.213828E-03   0.469463E+03
   0.218147E-03   0.478623E+03
   0.222554E-03   0.487963E+03
   0.227050E-03   0.497485E+03
   0.231637E-03   0.507194E+03
   0.236316E-03   0.517092E+03
   0.241090E-03   0.527185E+03
   0.245960E-03   0.537475E+03
   0.250929E-03   0.547966E+03
   0.255998E-03   0.558663E+03
   0.261170E-03   0.569569E+03
   0.266446E-03   0.580689E+03
   0.271828E-03   0.592027E+03
   0.277319E-03   0.603587E+03
   0.282922E-03   0.615373E+03
   0.288637E-03   0.627390E+03
   0.294468E-03   0.639643E+03
   0.300417E-03   0.652136E+03
   0.306485E-03   0.664874E+03
   0.312677E-03   0.677862E+03
   0.318993E-03   0.691104E+03
   0.325437E-03   0.704607E+03
   0.332012E-03   0.718373E+03
   0.338719E-03   0.732410E+03
   0.345561E-03   0.746723E+03
   0.352542E-03   0.761316E+03
   0.359664E-03   0.776195E+03
   0.366930E-03   0.791367E+03
   0.374342E-03   0.806836E+03
   0.381904E-03   0.822609E+03
   0.389619E-03   0.838691E+03
   0.397490E-03   0.855089E+03
   0.405520E-03   0.871808E+03
   0.413712E-03   0.888856E+03
   0.422070E-03   0.906238E+03
   0.430596E-03   0.923961E+03
   0.439295E-03   0.942032E+03
   0.448169E-03   0.960458E+03
   0.457222E-03   0.979245E+03
   0.466459E-03   0.998400E+03
   0.475882E-03   0.101793E+04
   0.485496E-03   0.103784E+04
   0.495303E-03   0.105815E+04
   0.505309E-03   0.107885E+04
   0.515517E-03   0.109995E+04
   0.525931E-03   0.112147E+04
   0.536556E-03   0.114341E+04
   0.547395E-03   0.116578E+04
   0.558453E-03   0.118859E+04
   0.569734E-03   0.121184E+04
   0.581244E-03   0.123554E+04
   0.592986E-03   0.125971E+04
   0.604965E-03   0.128434E+04
   0.617186E-03   0.130946E+04
   0.629654E-03   0.133506E+04
   0.642374E-03   0.136116E+04
   0.655350E-03   0.138776E+04
   0.668589E-03   0.141488E+04
   0.682096E-03   0.144252E+04
   0.695875E-03   0.147069E+04
   0.709933E-03   0.149940E+04
   0.724274E-03   0.152867E+04
   0.738906E-03   0.155849E+04
   0.753832E-03   0.158889E+04
   0.769061E-03   0.161986E+04
   0.784597E-03   0.165142E+04
   0.800447E-03   0.168358E+04
   0.816617E-03   0.171635E+04
   0.833114E-03   0.174973E+04
