#           k/h    P           
   0.100000E-03   0.162343E+03
   0.102020E-03   0.165506E+03
   0.104081E-03   0.168731E+03
   0.106184E-03   0.172018E+03
   0.108329E-03   0.175370E+03
   0.110517E-03   0.178787E+03
   0.112750E-03   0.182270E+03
   0.115027E-03   0.185822E+03
   0.117351E-03   0.189442E+03
   0.119722E-03   0.193133E+03
   0.122140E-03   0.196896E+03
   0.124608E-03   0.200732E+03
   0.127125E-03   0.204643E+03
   0.129693E-03   0.208630E+03
   0.132313E-03   0.212695E+03
   0.134986E-03   0.216839E+03
   0.137713E-03   0.221063E+03
   0.140495E-03   0.225370E+03
   0.143333E-03   0.229761E+03
   0.146228E-03   0.234238E+03
   0.149182E-03   0.238801E+03
   0.152196E-03   0.243453E+03
   0.155271E-03   0.248196E+03
   0.158407E-03   0.253032E+03
   0.161607E-03   0.257961E+03
   0.164872E-03   0.262987E+03
   0.168203E-03   0.268110E+03
   0.171601E-03   0.273333E+03
   0.175067E-03   0.278658E+03
   0.178604E-03   0.284086E+03
   0.182212E-03   0.289621E+03
   0.185893E-03   0.295263E+03
   0.189648E-03   0.301014E+03
   0.193479E-03   0.306878E+03
   0.197388E-03   0.312856E+03
   0.201375E-03   0.318950E+03
   0.205443E-03   0.325163E+03
   0.209594E-03   0.331497E+03
   0.213828E-03   0.337954E+03
   0.218147E-03   0.344537E+03
   0.222554E-03   0.351248E+03
   0.227050E-03   0.358089E+03
   0.231637E-03   0.365064E+03
   0.236316E-03   0.372174E+03
   0.241090E-03   0.379423E+03
   0.245960E-03   0.386812E+03
   0.250929E-03   0.394346E+03
   0.255998E-03   0.402026E+03
   0.261170E-03   0.409855E+03
   0.266446E-03   0.417837E+03
   0.271828E-03   0.425973E+03
   0.277319E-03   0.434268E+03
   0.282922E-03   0.442725E+03
   0.288637E-03   0.451345E+03
   0.294468E-03   0.460133E+03
   0.300417E-03   0.469092E+03
   0.306485E-03   0.478225E+03
   0.312677E-03   0.487536E+03
   0.318993E-03   0.497027E+03
   0.325437E-03   0.506703E+03
   0.332012E-03   0.516566E+03
   0.338719E-03   0.526621E+03
   0.345561E-03   0.536871E+03
   0.352542E-03   0.547320E+03
   0.359664E-03   0.557972E+03
   0.366930E-03   0.568830E+03
   0.374342E-03   0.579899E+03
   0.381904E-03   0.591183E+03
   0.389619E-03   0.602685E+03
   0.397490E-03   0.614410E+03
   0.405520E-03   0.626362E+03
   0.413712E-03   0.638546E+03
   0.422070E-03   0.650965E+03
   0.430596E-03   0.663625E+03
   0.439295E-03   0.676529E+03
   0.448169E-03   0.689683E+03
   0.457222E-03   0.703091E+03
   0.466459E-03   0.716758E+03
   0.475882E-03   0.730689E+03
   0.485496E-03   0.744888E+03
   0.495303E-03   0.759362E+03
   0.505309E-03   0.774114E+03
   0.515517E-03   0.789150E+03
   0.525931E-03   0.804475E+03
   0.536556E-03   0.820095E+03
   0.547395E-03   0.836015E+03
   0.558453E-03   0.852240E+03
   0.569734E-03   0.868777E+03
   0.581244E-03   0.885631E+03
   0.592986E-03   0.902807E+03
   0.604965E-03   0.920311E+03
   0.617186E-03   0.938150E+03
   0.629654E-03   0.956329E+03
   0.642374E-03   0.974854E+03
   0.655350E-03   0.993732E+03
   0.668589E-03   0.101297E+04
   0.682096E-03   0.103257E+04
   0.695875E-03   0.105254E+04
   0.709933E-03   0.107289E+04
   0.724274E-03   0.109362E+04
   0.738906E-03   0.111475E+04
   0.753832E-03   0.113627E+04
   0.769061E-03   0.115820E+04
   0.784597E-03   0.118053E+04
   0.800447E-03   0.120329E+04
   0.816617E-03   0.122646E+04
   0.833114E-03   0.125007E+04
   0.849944E-03   0.127412E+04
   0.867114E-03   0.129861E+04
   0.884631E-03   0.132355E+04
   0.902501E-03   0.134895E+04
   0.920733E-03   0.137481E+04
   0.939333E-03   0.140115E+04
   0.958309E-03   0.142797E+04
   0.977668E-03   0.145527E+04
   0.997418E-03   0.148307E+04
   0.101757E-02   0.151137E+04
   0.103812E-02   0.154017E+04
   0.105910E-02   0.156949E+04
   0.108049E-02   0.159934E+04
   0.110232E-02   0.162971E+04
   0.112459E-02   0.166061E+04
   0.114730E-02   0.169206E+04
   0.117048E-02   0.172406E+04
   0.119413E-02   0.175661E+04
   0.121825E-02   0.178973E+04
   0.124286E-02   0.182341E+04
   0.126797E-02   0.185768E+04
   0.129358E-02   0.189252E+04
   0.131971E-02   0.192796E+04
   0.134637E-02   0.196400E+04
   0.137357E-02   0.200064E+04
   0.140132E-02   0.203789E+04
   0.142963E-02   0.207576E+04
   0.145851E-02   0.211425E+04
   0.148797E-02   0.215337E+04
   0.151803E-02   0.219313E+04
   0.154870E-02   0.223353E+04
   0.157998E-02   0.227459E+04
   0.161190E-02   0.231630E+04
   0.164446E-02   0.235867E+04
   0.167768E-02   0.240172E+04
   0.171158E-02   0.244544E+04
   0.174615E-02   0.248984E+04
   0.178143E-02   0.253493E+04
   0.181741E-02   0.258072E+04
   0.185413E-02   0.262720E+04
   0.189158E-02   0.267440E+04
   0.192980E-02   0.272230E+04
   0.196878E-02   0.277092E+04
   0.200855E-02   0.282027E+04
   0.204913E-02   0.287034E+04
   0.209052E-02   0.292115E+04
   0.213276E-02   0.297269E+04
   0.217584E-02   0.302497E+04
   0.221979E-02   0.307800E+04
   0.226464E-02   0.313178E+04
   0.231039E-02   0.318631E+04
   0.235706E-02   0.324160E+04
   0.240467E-02   0.329765E+04
   0.245325E-02   0.335446E+04
   0.250281E-02   0.341203E+04
   0.255337E-02   0.347037E+04
   0.260495E-02   0.352947E+04
   0.265758E-02   0.358934E+04
   0.271126E-02   0.364998E+04
   0.276603E-02   0.371139E+04
   0.282191E-02   0.377356E+04
   0.287892E-02   0.383650E+04
   0.293708E-02   0.390021E+04
   0.299641E-02   0.396467E+04
   0.305694E-02   0.402990E+04
   0.311870E-02   0.409589E+04
   0.318170E-02   0.416263E+04
   0.324597E-02   0.423011E+04
   0.331155E-02   0.429834E+04
   0.337844E-02   0.436731E+04
   0.344669E-02   0.443701E+04
   0.351632E-02   0.450743E+04
   0.358735E-02   0.457857E+04
   0.365982E-02   0.465042E+04
   0.373376E-02   0.472296E+04
   0.380918E-02   0.479618E+04
   0.388613E-02   0.487008E+04
   0.396464E-02   0.494465E+04
   0.404473E-02   0.501986E+04
   0.412644E-02   0.509570E+04
   0.420980E-02   0.517217E+04
   0.429484E-02   0.524924E+04
   0.438160E-02   0.532689E+04
   0.447012E-02   0.540511E+04
   0.456042E-02   0.548388E+04
   0.465255E-02   0.556318E+04
   0.474653E-02   0.564298E+04
   0.484242E-02   0.572326E+04
   0.494024E-02   0.580400E+04
   0.504004E-02   0.588518E+04
   0.514186E-02   0.596675E+04
   0.524573E-02   0.604871E+04
