#           k/h    P           
   0.100000E-03   0.335006E+03
   0.102020E-03   0.341543E+03
   0.104081E-03   0.348209E+03
   0.106184E-03   0.355006E+03
   0.108329E-03   0.361935E+03
   0.110517E-03   0.369001E+03
   0.112750E-03   0.376204E+03
   0.115027E-03   0.383549E+03
   0.117351E-03   0.391038E+03
   0.119722E-03   0.398674E+03
   0.122140E-03   0.406459E+03
   0.124608E-03   0.414398E+03
   0.127125E-03   0.422492E+03
   0.129693E-03   0.430745E+03
   0.132313E-03   0.439159E+03
   0.134986E-03   0.447740E+03
   0.137713E-03   0.456488E+03
   0.140495E-03   0.465409E+03
   0.143333E-03   0.474505E+03
   0.146228E-03   0.483780E+03
   0.149182E-03   0.493237E+03
   0.152196E-03   0.502881E+03
   0.155271E-03   0.512714E+03
   0.158407E-03   0.522741E+03
   0.161607E-03   0.532965E+03
   0.164872E-03   0.543391E+03
   0.168203E-03   0.554022E+03
   0.171601E-03   0.564864E+03
   0.175067E-03   0.575919E+03
   0.178604E-03   0.587192E+03
   0.182212E-03   0.598688E+03
   0.185893E-03   0.610411E+03
   0.189648E-03   0.622366E+03
   0.193479E-03   0.634558E+03
   0.197388E-03   0.646991E+03
   0.201375E-03   0.659670E+03
   0.205443E-03   0.672600E+03
   0.209594E-03   0.685786E+03
   0.213828E-03   0.699234E+03
   0.218147E-03   0.712949E+03
   0.222554E-03   0.726937E+03
   0.227050E-03   0.741202E+03
   0.231637E-03   0.755751E+03
   0.236316E-03   0.770590E+03
   0.241090E-03   0.785724E+03
   0.245960E-03   0.801160E+03
   0.250929E-03   0.816904E+03
   0.255998E-03   0.832961E+03
   0.261170E-03   0.849340E+03
   0.266446E-03   0.866045E+03
   0.271828E-03   0.883085E+03
   0.277319E-03   0.900466E+03
   0.282922E-03   0.918195E+03
   0.288637E-03   0.936280E+03
   0.294468E-03   0.954727E+03
   0.300417E-03   0.973545E+03
   0.306485E-03   0.992741E+03
   0.312677E-03   0.101232E+04
   0.318993E-03   0.103230E+04
   0.325437E-03   0.105268E+04
   0.332012E-03   0.107347E+04
   0.338719E-03   0.109468E+04
   0.345561E-03   0.111631E+04
   0.352542E-03   0.113839E+04
   0.359664E-03   0.116091E+04
   0.366930E-03   0.118389E+04
   0.374342E-03   0.120733E+04
   0.381904E-03   0.123125E+04
   0.389619E-03   0.125565E+04
   0.397490E-03   0.128055E+04
   0.405520E-03   0.130595E+04
   0.413712E-03   0.133187E+04
   0.422070E-03   0.135832E+04
   0.430596E-03   0.138531E+04
   0.439295E-03   0.141284E+04
   0.448169E-03   0.144094E+04
   0.457222E-03   0.146960E+04
   0.466459E-03   0.149886E+04
   0.475882E-03   0.152870E+04
   0.485496E-03   0.155916E+04
   0.495303E-03   0.159024E+04
   0.505309E-03   0.162195E+04
   0.515517E-03   0.165430E+04
   0.525931E-03   0.168732E+04
   0.536556E-03   0.172100E+04
   0.547395E-03   0.175537E+04
   0.558453E-03   0.179044E+04
   0.569734E-03   0.182622E+04
   0.581244E-03   0.186273E+04
   0.592986E-03   0.189998E+04
   0.604965E-03   0.193798E+04
   0.617186E-03   0.197674E+04
   0.629654E-03   0.201629E+04
   0.642374E-03   0.205664E+04
   0.655350E-03   0.209779E+04
   0.668589E-03   0.213977E+04
   0.682096E-03   0.218259E+04
   0.695875E-03   0.222626E+04
   0.709933E-03   0.227079E+04
   0.724274E-03   0.231621E+04
   0.738906E-03   0.236252E+04
   0.753832E-03   0.240974E+04
   0.769061E-03   0.245789E+04
   0.784597E-03   0.250697E+04
   0.800447E-03   0.255700E+04
   0.816617E-03   0.260800E+04
   0.833114E-03   0.265997E+04
   0.849944E-03   0.271294E+04
   0.867114E-03   0.276691E+04
   0.884631E-03   0.282190E+04
   0.902501E-03   0.287792E+04
   0.920733E-03   0.293499E+04
   0.939333E-03   0.299311E+04
   0.958309E-03   0.305230E+04
   0.977668E-03   0.311257E+04
   0.997418E-03   0.317394E+04
   0.101757E-02   0.323641E+04
   0.103812E-02   0.330000E+04
   0.105910E-02   0.336472E+04
   0.108049E-02   0.343059E+04
   0.110232E-02   0.349760E+04
   0.112459E-02   0.356579E+04
   0.114730E-02   0.363515E+04
   0.117048E-02   0.370571E+04
   0.119413E-02   0.377747E+04
   0.121825E-02   0.385045E+04
   0.124286E-02   0.392466E+04
   0.126797E-02   0.400011E+04
   0.129358E-02   0.407682E+04
   0.131971E-02   0.415480E+04
   0.134637E-02   0.423406E+04
   0.137357E-02   0.431462E+04
   0.140132E-02   0.439650E+04
   0.142963E-02   0.447970E+04
   0.145851E-02   0.456424E+04
   0.148797E-02   0.465014E+04
   0.151803E-02   0.473741E+04
   0.154870E-02   0.482606E+04
   0.157998E-02   0.491612E+04
   0.161190E-02   0.500759E+04
   0.164446E-02   0.510049E+04
   0.167768E-02   0.519484E+04
   0.171158E-02   0.529065E+04
   0.174615E-02   0.538792E+04
   0.178143E-02   0.548669E+04
   0.181741E-02   0.558695E+04
   0.185413E-02   0.568873E+04
