#           k/h    P           
   0.100000E-03   0.362569E+03
   0.102020E-03   0.369648E+03
   0.104081E-03   0.376866E+03
   0.106184E-03   0.384225E+03
   0.108329E-03   0.391729E+03
   0.110517E-03   0.399380E+03
   0.112750E-03   0.407181E+03
   0.115027E-03   0.415135E+03
   0.117351E-03   0.423245E+03
   0.119722E-03   0.431515E+03
   0.122140E-03   0.439947E+03
   0.124608E-03   0.448545E+03
   0.127125E-03   0.457312E+03
   0.129693E-03   0.466251E+03
   0.132313E-03   0.475366E+03
   0.134986E-03   0.484661E+03
   0.137713E-03   0.494139E+03
   0.140495E-03   0.503803E+03
   0.143333E-03   0.513658E+03
   0.146228E-03   0.523707E+03
   0.149182E-03   0.533955E+03
   0.152196E-03   0.544404E+03
   0.155271E-03   0.555060E+03
   0.158407E-03   0.565926E+03
   0.161607E-03   0.577008E+03
   0.164872E-03   0.588308E+03
   0.168203E-03   0.599831E+03
   0.171601E-03   0.611583E+03
   0.175067E-03   0.623568E+03
   0.178604E-03   0.635789E+03
   0.182212E-03   0.648254E+03
   0.185893E-03   0.660965E+03
   0.189648E-03   0.673929E+03
   0.193479E-03   0.687151E+03
   0.197388E-03   0.700635E+03
   0.201375E-03   0.714388E+03
   0.205443E-03   0.728414E+03
   0.209594E-03   0.742720E+03
   0.213828E-03   0.757311E+03
   0.218147E-03   0.772193E+03
   0.222554E-03   0.787372E+03
   0.227050E-03   0.802854E+03
   0.231637E-03   0.818647E+03
   0.236316E-03   0.834755E+03
   0.241090E-03   0.851186E+03
   0.245960E-03   0.867947E+03
   0.250929E-03   0.885043E+03
   0.255998E-03   0.902484E+03
   0.261170E-03   0.920275E+03
   0.266446E-03   0.938424E+03
   0.271828E-03   0.956939E+03
   0.277319E-03   0.975827E+03
   0.282922E-03   0.995096E+03
   0.288637E-03   0.101476E+04
   0.294468E-03   0.103481E+04
   0.300417E-03   0.105527E+04
   0.306485E-03   0.107615E+04
   0.312677E-03   0.109745E+04
   0.318993E-03   0.111919E+04
   0.325437E-03   0.114136E+04
   0.332012E-03   0.116399E+04
   0.338719E-03   0.118707E+04
   0.345561E-03   0.121063E+04
   0.352542E-03   0.123467E+04
   0.359664E-03   0.125920E+04
   0.366930E-03   0.128423E+04
   0.374342E-03   0.130978E+04
   0.381904E-03   0.133585E+04
   0.389619E-03   0.136245E+04
   0.397490E-03   0.138960E+04
   0.405520E-03   0.141730E+04
   0.413712E-03   0.144558E+04
   0.422070E-03   0.147444E+04
   0.430596E-03   0.150389E+04
   0.439295E-03   0.153395E+04
   0.448169E-03   0.156463E+04
   0.457222E-03   0.159594E+04
   0.466459E-03   0.162789E+04
   0.475882E-03   0.166051E+04
   0.485496E-03   0.169379E+04
   0.495303E-03   0.172777E+04
   0.505309E-03   0.176244E+04
   0.515517E-03   0.179783E+04
   0.525931E-03   0.183395E+04
   0.536556E-03   0.187081E+04
   0.547395E-03   0.190843E+04
   0.558453E-03   0.194683E+04
   0.569734E-03   0.198601E+04
   0.581244E-03   0.202600E+04
   0.592986E-03   0.206681E+04
   0.604965E-03   0.210845E+04
   0.617186E-03   0.215094E+04
   0.629654E-03   0.219430E+04
   0.642374E-03   0.223854E+04
   0.655350E-03   0.228368E+04
   0.668589E-03   0.232973E+04
   0.682096E-03   0.237670E+04
   0.695875E-03   0.242462E+04
   0.709933E-03   0.247350E+04
   0.724274E-03   0.252335E+04
   0.738906E-03   0.257420E+04
   0.753832E-03   0.262604E+04
   0.769061E-03   0.267891E+04
   0.784597E-03   0.273281E+04
   0.800447E-03   0.278777E+04
   0.816617E-03   0.284378E+04
   0.833114E-03   0.290087E+04
   0.849944E-03   0.295906E+04
   0.867114E-03   0.301835E+04
   0.884631E-03   0.307876E+04
   0.902501E-03   0.314031E+04
   0.920733E-03   0.320300E+04
   0.939333E-03   0.326686E+04
   0.958309E-03   0.333188E+04
   0.977668E-03   0.339809E+04
   0.997418E-03   0.346550E+04
   0.101757E-02   0.353413E+04
   0.103812E-02   0.360397E+04
   0.105910E-02   0.367506E+04
   0.108049E-02   0.374739E+04
   0.110232E-02   0.382099E+04
   0.112459E-02   0.389586E+04
   0.114730E-02   0.397202E+04
   0.117048E-02   0.404948E+04
   0.119413E-02   0.412826E+04
   0.121825E-02   0.420836E+04
   0.124286E-02   0.428981E+04
   0.126797E-02   0.437262E+04
   0.129358E-02   0.445680E+04
   0.131971E-02   0.454237E+04
   0.134637E-02   0.462933E+04
   0.137357E-02   0.471772E+04
   0.140132E-02   0.480754E+04
   0.142963E-02   0.489881E+04
   0.145851E-02   0.499154E+04
   0.148797E-02   0.508576E+04
   0.151803E-02   0.518148E+04
   0.154870E-02   0.527871E+04
   0.157998E-02   0.537747E+04
   0.161190E-02   0.547778E+04
   0.164446E-02   0.557966E+04
   0.167768E-02   0.568311E+04
   0.171158E-02   0.578816E+04
   0.174615E-02   0.589482E+04
   0.178143E-02   0.600310E+04
   0.181741E-02   0.611302E+04
   0.185413E-02   0.622460E+04
   0.189158E-02   0.633784E+04
   0.192980E-02   0.645277E+04
   0.196878E-02   0.656938E+04
   0.200855E-02   0.668771E+04
   0.204913E-02   0.680775E+04
   0.209052E-02   0.692952E+04
   0.213276E-02   0.705303E+04
   0.217584E-02   0.717829E+04
   0.221979E-02   0.730531E+04
   0.226464E-02   0.743410E+04
   0.231039E-02   0.756468E+04
   0.235706E-02   0.769703E+04
   0.240467E-02   0.783119E+04
   0.245325E-02   0.796714E+04
   0.250281E-02   0.810490E+04
   0.255337E-02   0.824447E+04
   0.260495E-02   0.838585E+04
   0.265758E-02   0.852905E+04
   0.271126E-02   0.867407E+04
   0.276603E-02   0.882090E+04
   0.282191E-02   0.896955E+04
   0.287892E-02   0.912001E+04
   0.293708E-02   0.927229E+04
   0.299641E-02   0.942637E+04
   0.305694E-02   0.958225E+04
   0.311870E-02   0.973993E+04
   0.318170E-02   0.989939E+04
   0.324597E-02   0.100606E+05
   0.331155E-02   0.102236E+05
   0.337844E-02   0.103884E+05
   0.344669E-02   0.105548E+05
   0.351632E-02   0.107230E+05
   0.358735E-02   0.108929E+05
   0.365982E-02   0.110645E+05
   0.373376E-02   0.112377E+05
   0.380918E-02   0.114125E+05
   0.388613E-02   0.115889E+05
   0.396464E-02   0.117669E+05
   0.404473E-02   0.119465E+05
   0.412644E-02   0.121275E+05
   0.420980E-02   0.123100E+05
   0.429484E-02   0.124940E+05
   0.438160E-02   0.126793E+05
   0.447012E-02   0.128660E+05
   0.456042E-02   0.130539E+05
   0.465255E-02   0.132432E+05
   0.474653E-02   0.134336E+05
   0.484242E-02   0.136251E+05
   0.494024E-02   0.138178E+05
   0.504004E-02   0.140114E+05
   0.514186E-02   0.142061E+05
   0.524573E-02   0.144016E+05
   0.535170E-02   0.145979E+05
   0.545981E-02   0.147950E+05
   0.557011E-02   0.149928E+05
   0.568263E-02   0.151911E+05
   0.579743E-02   0.153900E+05
   0.591455E-02   0.155893E+05
   0.603403E-02   0.157889E+05
   0.615592E-02   0.159887E+05
   0.628028E-02   0.161887E+05
   0.640715E-02   0.163887E+05
   0.653658E-02   0.165886E+05
   0.666863E-02   0.167883E+05
   0.680335E-02   0.169878E+05
   0.694078E-02   0.171868E+05
   0.708100E-02   0.173852E+05
   0.722404E-02   0.175830E+05
   0.736998E-02   0.177800E+05
   0.751886E-02   0.179761E+05
   0.767075E-02   0.181710E+05
   0.782571E-02   0.183647E+05
   0.798380E-02   0.185571E+05
   0.814509E-02   0.187479E+05
   0.830963E-02   0.189370E+05
   0.847750E-02   0.191242E+05
   0.864875E-02   0.193095E+05
   0.882347E-02   0.194925E+05
   0.900171E-02   0.196731E+05
   0.918356E-02   0.198512E+05
   0.936908E-02   0.200265E+05
   0.955835E-02   0.201988E+05
   0.975144E-02   0.203680E+05
   0.994843E-02   0.205339E+05
   0.101494E-01   0.206962E+05
   0.103544E-01   0.208547E+05
   0.105636E-01   0.210093E+05
   0.107770E-01   0.211596E+05
   0.109947E-01   0.213055E+05
   0.112168E-01   0.214468E+05
   0.114434E-01   0.215831E+05
   0.116746E-01   0.217143E+05
   0.119104E-01   0.218402E+05
   0.121510E-01   0.219604E+05
   0.123965E-01   0.220748E+05
   0.126469E-01   0.221831E+05
   0.129024E-01   0.222851E+05
   0.131631E-01   0.223804E+05
   0.134290E-01   0.224689E+05
   0.137003E-01   0.225502E+05
   0.139770E-01   0.226242E+05
   0.142594E-01   0.226906E+05
   0.145474E-01   0.227492E+05
   0.148413E-01   0.227996E+05
   0.151411E-01   0.228416E+05
   0.154470E-01   0.228751E+05
   0.157590E-01   0.228997E+05
   0.160774E-01   0.229152E+05
   0.164022E-01   0.229214E+05
   0.167335E-01   0.229182E+05
   0.170716E-01   0.229052E+05
   0.174164E-01   0.228823E+05
   0.177683E-01   0.228492E+05
   0.181272E-01   0.228060E+05
   0.184934E-01   0.227522E+05
   0.188670E-01   0.226879E+05
   0.192481E-01   0.226129E+05
   0.196370E-01   0.225271E+05
   0.200337E-01   0.224305E+05
   0.204384E-01   0.223228E+05
   0.208513E-01   0.222042E+05
   0.212725E-01   0.220747E+05
   0.217022E-01   0.219341E+05
   0.221406E-01   0.217826E+05
   0.225879E-01   0.216203E+05
   0.230442E-01   0.214473E+05
   0.235097E-01   0.212638E+05
   0.239847E-01   0.210698E+05
   0.244692E-01   0.208657E+05
   0.249635E-01   0.206516E+05
   0.254678E-01   0.204281E+05
   0.259823E-01   0.201952E+05
   0.265072E-01   0.199535E+05
   0.270426E-01   0.197034E+05
   0.275889E-01   0.194453E+05
   0.281463E-01   0.191798E+05
   0.287149E-01   0.189074E+05
   0.292949E-01   0.186286E+05
   0.298867E-01   0.183442E+05
   0.304905E-01   0.180547E+05
   0.311064E-01   0.177611E+05
   0.317348E-01   0.174638E+05
   0.323759E-01   0.171637E+05
   0.330299E-01   0.168615E+05
   0.336972E-01   0.165581E+05
   0.343779E-01   0.162543E+05
   0.350724E-01   0.159510E+05
   0.357809E-01   0.156488E+05
   0.365038E-01   0.153487E+05
   0.372412E-01   0.150516E+05
   0.379935E-01   0.147581E+05
   0.387610E-01   0.144692E+05
   0.395440E-01   0.141854E+05
   0.403429E-01   0.139076E+05
   0.411579E-01   0.136364E+05
   0.419893E-01   0.133725E+05
   0.428375E-01   0.131163E+05
   0.437029E-01   0.128684E+05
   0.445858E-01   0.126292E+05
   0.454865E-01   0.123989E+05
   0.464053E-01   0.121778E+05
   0.473428E-01   0.119660E+05
   0.482992E-01   0.117637E+05
   0.492749E-01   0.115706E+05
   0.502703E-01   0.113864E+05
   0.512858E-01   0.112109E+05
   0.523219E-01   0.110436E+05
   0.533789E-01   0.108840E+05
   0.544572E-01   0.107311E+05
   0.555573E-01   0.105841E+05
   0.566796E-01   0.104422E+05
   0.578246E-01   0.103042E+05
   0.589927E-01   0.101687E+05
   0.601845E-01   0.100345E+05
   0.614003E-01   0.990040E+04
   0.626407E-01   0.976477E+04
   0.639061E-01   0.962617E+04
   0.651971E-01   0.948322E+04
   0.665142E-01   0.933460E+04
   0.678578E-01   0.917904E+04
   0.692287E-01   0.901541E+04
   0.706272E-01   0.884281E+04
   0.720539E-01   0.866061E+04
   0.735095E-01   0.846832E+04
   0.749945E-01   0.826587E+04
   0.765095E-01   0.805370E+04
   0.780551E-01   0.783235E+04
   0.796319E-01   0.760294E+04
   0.812406E-01   0.736700E+04
   0.828817E-01   0.712611E+04
   0.845561E-01   0.688245E+04
   0.862642E-01   0.663827E+04
   0.880068E-01   0.639588E+04
   0.897847E-01   0.615788E+04
   0.915985E-01   0.592662E+04
   0.934489E-01   0.570450E+04
   0.953367E-01   0.549368E+04
   0.972626E-01   0.529593E+04
   0.992274E-01   0.511261E+04
   0.101232E+00   0.494479E+04
   0.103277E+00   0.479302E+04
   0.105363E+00   0.465705E+04
   0.107492E+00   0.453649E+04
   0.109663E+00   0.443006E+04
   0.111879E+00   0.433598E+04
   0.114139E+00   0.425221E+04
   0.116445E+00   0.417590E+04
   0.118797E+00   0.410418E+04
   0.121197E+00   0.403386E+04
   0.123645E+00   0.396174E+04
   0.126143E+00   0.388491E+04
   0.128691E+00   0.380077E+04
   0.131291E+00   0.370749E+04
