#           k/h    P           
   0.100000E-03   0.279827E+03
   0.102020E-03   0.285284E+03
   0.104081E-03   0.290848E+03
   0.106184E-03   0.296520E+03
   0.108329E-03   0.302304E+03
   0.110517E-03   0.308200E+03
   0.112750E-03   0.314212E+03
   0.115027E-03   0.320341E+03
   0.117351E-03   0.326590E+03
   0.119722E-03   0.332961E+03
   0.122140E-03   0.339456E+03
   0.124608E-03   0.346079E+03
   0.127125E-03   0.352831E+03
   0.129693E-03   0.359716E+03
   0.132313E-03   0.366735E+03
   0.134986E-03   0.373891E+03
   0.137713E-03   0.381188E+03
   0.140495E-03   0.388627E+03
   0.143333E-03   0.396212E+03
   0.146228E-03   0.403945E+03
   0.149182E-03   0.411830E+03
   0.152196E-03   0.419870E+03
   0.155271E-03   0.428066E+03
   0.158407E-03   0.436424E+03
   0.161607E-03   0.444945E+03
   0.164872E-03   0.453634E+03
   0.168203E-03   0.462493E+03
   0.171601E-03   0.471525E+03
   0.175067E-03   0.480735E+03
   0.178604E-03   0.490126E+03
   0.182212E-03   0.499700E+03
   0.185893E-03   0.509463E+03
   0.189648E-03   0.519418E+03
   0.193479E-03   0.529568E+03
   0.197388E-03   0.539918E+03
   0.201375E-03   0.550471E+03
   0.205443E-03   0.561232E+03
   0.209594E-03   0.572204E+03
   0.213828E-03   0.583392E+03
   0.218147E-03   0.594800E+03
   0.222554E-03   0.606434E+03
   0.227050E-03   0.618296E+03
   0.231637E-03   0.630392E+03
   0.236316E-03   0.642726E+03
   0.241090E-03   0.655303E+03
   0.245960E-03   0.668129E+03
   0.250929E-03   0.681208E+03
   0.255998E-03   0.694544E+03
   0.261170E-03   0.708145E+03
   0.266446E-03   0.722013E+03
   0.271828E-03   0.736156E+03
   0.277319E-03   0.750579E+03
   0.282922E-03   0.765287E+03
   0.288637E-03   0.780286E+03
   0.294468E-03   0.795582E+03
   0.300417E-03   0.811180E+03
   0.306485E-03   0.827088E+03
   0.312677E-03   0.843312E+03
   0.318993E-03   0.859857E+03
   0.325437E-03   0.876730E+03
   0.332012E-03   0.893938E+03
   0.338719E-03   0.911488E+03
   0.345561E-03   0.929387E+03
   0.352542E-03   0.947641E+03
   0.359664E-03   0.966259E+03
   0.366930E-03   0.985246E+03
   0.374342E-03   0.100461E+04
   0.381904E-03   0.102436E+04
   0.389619E-03   0.104451E+04
   0.397490E-03   0.106505E+04
   0.405520E-03   0.108601E+04
   0.413712E-03   0.110738E+04
   0.422070E-03   0.112918E+04
   0.430596E-03   0.115141E+04
   0.439295E-03   0.117409E+04
   0.448169E-03   0.119721E+04
   0.457222E-03   0.122080E+04
   0.466459E-03   0.124486E+04
   0.475882E-03   0.126940E+04
   0.485496E-03   0.129443E+04
   0.495303E-03   0.131996E+04
   0.505309E-03   0.134600E+04
   0.515517E-03   0.137256E+04
   0.525931E-03   0.139964E+04
   0.536556E-03   0.142727E+04
   0.547395E-03   0.145544E+04
   0.558453E-03   0.148418E+04
   0.569734E-03   0.151348E+04
   0.581244E-03   0.154337E+04
   0.592986E-03   0.157385E+04
   0.604965E-03   0.160494E+04
   0.617186E-03   0.163663E+04
   0.629654E-03   0.166896E+04
   0.642374E-03   0.170192E+04
   0.655350E-03   0.173554E+04
   0.668589E-03   0.176981E+04
   0.682096E-03   0.180476E+04
   0.695875E-03   0.184039E+04
   0.709933E-03   0.187671E+04
   0.724274E-03   0.191374E+04
   0.738906E-03   0.195149E+04
   0.753832E-03   0.198998E+04
   0.769061E-03   0.202920E+04
   0.784597E-03   0.206918E+04
