#           k/h    P           
   0.100000E-03   0.346155E+03
   0.102020E-03   0.352912E+03
   0.104081E-03   0.359801E+03
   0.106184E-03   0.366825E+03
   0.108329E-03   0.373987E+03
   0.110517E-03   0.381289E+03
   0.112750E-03   0.388734E+03
   0.115027E-03   0.396325E+03
   0.117351E-03   0.404065E+03
   0.119722E-03   0.411957E+03
   0.122140E-03   0.420004E+03
   0.124608E-03   0.428209E+03
   0.127125E-03   0.436575E+03
   0.129693E-03   0.445105E+03
   0.132313E-03   0.453803E+03
   0.134986E-03   0.462672E+03
   0.137713E-03   0.471715E+03
   0.140495E-03   0.480936E+03
   0.143333E-03   0.490339E+03
   0.146228E-03   0.499927E+03
   0.149182E-03   0.509703E+03
   0.152196E-03   0.519672E+03
   0.155271E-03   0.529838E+03
   0.158407E-03   0.540204E+03
   0.161607E-03   0.550774E+03
   0.164872E-03   0.561553E+03
   0.168203E-03   0.572545E+03
   0.171601E-03   0.583754E+03
   0.175067E-03   0.595184E+03
   0.178604E-03   0.606840E+03
   0.182212E-03   0.618727E+03
   0.185893E-03   0.630849E+03
   0.189648E-03   0.643212E+03
   0.193479E-03   0.655819E+03
   0.197388E-03   0.668676E+03
   0.201375E-03   0.681788E+03
   0.205443E-03   0.695160E+03
   0.209594E-03   0.708798E+03
   0.213828E-03   0.722708E+03
   0.218147E-03   0.736893E+03
   0.222554E-03   0.751362E+03
   0.227050E-03   0.766118E+03
   0.231637E-03   0.781168E+03
   0.236316E-03   0.796518E+03
   0.241090E-03   0.812175E+03
   0.245960E-03   0.828145E+03
   0.250929E-03   0.844434E+03
   0.255998E-03   0.861049E+03
   0.261170E-03   0.877997E+03
   0.266446E-03   0.895284E+03
   0.271828E-03   0.912918E+03
   0.277319E-03   0.930906E+03
   0.282922E-03   0.949255E+03
   0.288637E-03   0.967973E+03
   0.294468E-03   0.987068E+03
   0.300417E-03   0.100655E+04
   0.306485E-03   0.102642E+04
   0.312677E-03   0.104669E+04
   0.318993E-03   0.106738E+04
   0.325437E-03   0.108848E+04
   0.332012E-03   0.111001E+04
   0.338719E-03   0.113197E+04
   0.345561E-03   0.115438E+04
   0.352542E-03   0.117725E+04
   0.359664E-03   0.120057E+04
   0.366930E-03   0.122438E+04
   0.374342E-03   0.124866E+04
   0.381904E-03   0.127344E+04
   0.389619E-03   0.129873E+04
   0.397490E-03   0.132453E+04
   0.405520E-03   0.135086E+04
   0.413712E-03   0.137773E+04
   0.422070E-03   0.140514E+04
   0.430596E-03   0.143311E+04
   0.439295E-03   0.146166E+04
   0.448169E-03   0.149079E+04
   0.457222E-03   0.152052E+04
   0.466459E-03   0.155085E+04
   0.475882E-03   0.158181E+04
   0.485496E-03   0.161340E+04
   0.495303E-03   0.164564E+04
   0.505309E-03   0.167853E+04
   0.515517E-03   0.171210E+04
   0.525931E-03   0.174636E+04
   0.536556E-03   0.178132E+04
   0.547395E-03   0.181699E+04
   0.558453E-03   0.185339E+04
   0.569734E-03   0.189053E+04
   0.581244E-03   0.192843E+04
   0.592986E-03   0.196710E+04
   0.604965E-03   0.200656E+04
   0.617186E-03   0.204682E+04
   0.629654E-03   0.208789E+04
   0.642374E-03   0.212979E+04
   0.655350E-03   0.217253E+04
   0.668589E-03   0.221614E+04
   0.682096E-03   0.226062E+04
   0.695875E-03   0.230599E+04
   0.709933E-03   0.235226E+04
   0.724274E-03   0.239945E+04
   0.738906E-03   0.244757E+04
   0.753832E-03   0.249664E+04
   0.769061E-03   0.254667E+04
   0.784597E-03   0.259767E+04
   0.800447E-03   0.264967E+04
   0.816617E-03   0.270267E+04
   0.833114E-03   0.275669E+04
   0.849944E-03   0.281174E+04
   0.867114E-03   0.286784E+04
   0.884631E-03   0.292500E+04
   0.902501E-03   0.298322E+04
   0.920733E-03   0.304254E+04
   0.939333E-03   0.310295E+04
   0.958309E-03   0.316447E+04
   0.977668E-03   0.322712E+04
   0.997418E-03   0.329090E+04
   0.101757E-02   0.335583E+04
   0.103812E-02   0.342192E+04
   0.105910E-02   0.348918E+04
   0.108049E-02   0.355763E+04
   0.110232E-02   0.362728E+04
   0.112459E-02   0.369814E+04
   0.114730E-02   0.377022E+04
   0.117048E-02   0.384354E+04
   0.119413E-02   0.391810E+04
   0.121825E-02   0.399393E+04
   0.124286E-02   0.407103E+04
   0.126797E-02   0.414943E+04
   0.129358E-02   0.422912E+04
   0.131971E-02   0.431014E+04
   0.134637E-02   0.439248E+04
   0.137357E-02   0.447617E+04
   0.140132E-02   0.456122E+04
   0.142963E-02   0.464765E+04
   0.145851E-02   0.473547E+04
   0.148797E-02   0.482470E+04
   0.151803E-02   0.491535E+04
   0.154870E-02   0.500744E+04
   0.157998E-02   0.510098E+04
   0.161190E-02   0.519598E+04
   0.164446E-02   0.529248E+04
   0.167768E-02   0.539047E+04
   0.171158E-02   0.548997E+04
   0.174615E-02   0.559100E+04
   0.178143E-02   0.569358E+04
   0.181741E-02   0.579771E+04
   0.185413E-02   0.590341E+04
   0.189158E-02   0.601069E+04
   0.192980E-02   0.611956E+04
   0.196878E-02   0.623005E+04
   0.200855E-02   0.634215E+04
   0.204913E-02   0.645588E+04
   0.209052E-02   0.657125E+04
   0.213276E-02   0.668828E+04
   0.217584E-02   0.680696E+04
   0.221979E-02   0.692732E+04
   0.226464E-02   0.704935E+04
