#           k/h    P           
   0.100000E-03   0.200076E+03
   0.102020E-03   0.203975E+03
   0.104081E-03   0.207950E+03
   0.106184E-03   0.212003E+03
   0.108329E-03   0.216134E+03
   0.110517E-03   0.220346E+03
   0.112750E-03   0.224641E+03
   0.115027E-03   0.229019E+03
   0.117351E-03   0.233482E+03
   0.119722E-03   0.238032E+03
   0.122140E-03   0.242672E+03
   0.124608E-03   0.247401E+03
   0.127125E-03   0.252223E+03
   0.129693E-03   0.257139E+03
   0.132313E-03   0.262151E+03
   0.134986E-03   0.267260E+03
   0.137713E-03   0.272469E+03
   0.140495E-03   0.277780E+03
   0.143333E-03   0.283194E+03
   0.146228E-03   0.288714E+03
   0.149182E-03   0.294341E+03
   0.152196E-03   0.300078E+03
   0.155271E-03   0.305927E+03
   0.158407E-03   0.311890E+03
   0.161607E-03   0.317970E+03
   0.164872E-03   0.324168E+03
   0.168203E-03   0.330487E+03
   0.171601E-03   0.336929E+03
   0.175067E-03   0.343497E+03
   0.178604E-03   0.350193E+03
   0.182212E-03   0.357020E+03
   0.185893E-03   0.363979E+03
   0.189648E-03   0.371075E+03
   0.193479E-03   0.378309E+03
   0.197388E-03   0.385684E+03
   0.201375E-03   0.393203E+03
   0.205443E-03   0.400869E+03
   0.209594E-03   0.408685E+03
   0.213828E-03   0.416653E+03
   0.218147E-03   0.424776E+03
   0.222554E-03   0.433058E+03
   0.227050E-03   0.441502E+03
   0.231637E-03   0.450110E+03
   0.236316E-03   0.458887E+03
   0.241090E-03   0.467834E+03
   0.245960E-03   0.476957E+03
   0.250929E-03   0.486257E+03
   0.255998E-03   0.495740E+03
   0.261170E-03   0.505407E+03
   0.266446E-03   0.515263E+03
   0.271828E-03   0.525311E+03
   0.277319E-03   0.535556E+03
   0.282922E-03   0.546000E+03
   0.288637E-03   0.556649E+03
   0.294468E-03   0.567505E+03
   0.300417E-03   0.578574E+03
   0.306485E-03   0.589858E+03
   0.312677E-03   0.601363E+03
   0.318993E-03   0.613093E+03
   0.325437E-03   0.625051E+03
   0.332012E-03   0.637243E+03
   0.338719E-03   0.649673E+03
   0.345561E-03   0.662346E+03
   0.352542E-03   0.675267E+03
   0.359664E-03   0.688439E+03
   0.366930E-03   0.701869E+03
   0.374342E-03   0.715560E+03
   0.381904E-03   0.729520E+03
   0.389619E-03   0.743751E+03
   0.397490E-03   0.758260E+03
   0.405520E-03   0.773052E+03
   0.413712E-03   0.788133E+03
   0.422070E-03   0.803508E+03
   0.430596E-03   0.819182E+03
   0.439295E-03   0.835162E+03
   0.448169E-03   0.851454E+03
   0.457222E-03   0.868063E+03
   0.466459E-03   0.884996E+03
   0.475882E-03   0.902258E+03
   0.485496E-03   0.919856E+03
   0.495303E-03   0.937796E+03
   0.505309E-03   0.956086E+03
   0.515517E-03   0.974730E+03
   0.525931E-03   0.993737E+03
   0.536556E-03   0.101311E+04
   0.547395E-03   0.103286E+04
   0.558453E-03   0.105300E+04
   0.569734E-03   0.107352E+04
   0.581244E-03   0.109444E+04
   0.592986E-03   0.111577E+04
   0.604965E-03   0.113751E+04
   0.617186E-03   0.115966E+04
   0.629654E-03   0.118225E+04
   0.642374E-03   0.120527E+04
   0.655350E-03   0.122873E+04
   0.668589E-03   0.125264E+04
   0.682096E-03   0.127701E+04
   0.695875E-03   0.130184E+04
   0.709933E-03   0.132715E+04
   0.724274E-03   0.135294E+04
   0.738906E-03   0.137922E+04
   0.753832E-03   0.140600E+04
   0.769061E-03   0.143329E+04
   0.784597E-03   0.146109E+04
   0.800447E-03   0.148942E+04
   0.816617E-03   0.151828E+04
   0.833114E-03   0.154767E+04
   0.849944E-03   0.157762E+04
   0.867114E-03   0.160813E+04
   0.884631E-03   0.163920E+04
   0.902501E-03   0.167084E+04
   0.920733E-03   0.170307E+04
   0.939333E-03   0.173589E+04
   0.958309E-03   0.176932E+04
   0.977668E-03   0.180335E+04
   0.997418E-03   0.183799E+04
   0.101757E-02   0.187326E+04
   0.103812E-02   0.190917E+04
   0.105910E-02   0.194572E+04
   0.108049E-02   0.198292E+04
   0.110232E-02   0.202078E+04
   0.112459E-02   0.205930E+04
   0.114730E-02   0.209851E+04
   0.117048E-02   0.213839E+04
   0.119413E-02   0.217897E+04
   0.121825E-02   0.222025E+04
   0.124286E-02   0.226224E+04
   0.126797E-02   0.230495E+04
   0.129358E-02   0.234838E+04
   0.131971E-02   0.239254E+04
   0.134637E-02   0.243745E+04
   0.137357E-02   0.248310E+04
   0.140132E-02   0.252952E+04
   0.142963E-02   0.257670E+04
   0.145851E-02   0.262465E+04
   0.148797E-02   0.267339E+04
   0.151803E-02   0.272292E+04
   0.154870E-02   0.277324E+04
   0.157998E-02   0.282438E+04
   0.161190E-02   0.287632E+04
   0.164446E-02   0.292910E+04
   0.167768E-02   0.298270E+04
   0.171158E-02   0.303714E+04
   0.174615E-02   0.309243E+04
   0.178143E-02   0.314858E+04
   0.181741E-02   0.320558E+04
   0.185413E-02   0.326346E+04
   0.189158E-02   0.332221E+04
   0.192980E-02   0.338185E+04
   0.196878E-02   0.344238E+04
   0.200855E-02   0.350381E+04
   0.204913E-02   0.356614E+04
   0.209052E-02   0.362938E+04
   0.213276E-02   0.369353E+04
   0.217584E-02   0.375861E+04
   0.221979E-02   0.382461E+04
   0.226464E-02   0.389154E+04
   0.231039E-02   0.395941E+04
   0.235706E-02   0.402822E+04
   0.240467E-02   0.409797E+04
   0.245325E-02   0.416866E+04
   0.250281E-02   0.424031E+04
   0.255337E-02   0.431290E+04
   0.260495E-02   0.438644E+04
   0.265758E-02   0.446094E+04
   0.271126E-02   0.453639E+04
   0.276603E-02   0.461280E+04
   0.282191E-02   0.469016E+04
   0.287892E-02   0.476847E+04
   0.293708E-02   0.484773E+04
   0.299641E-02   0.492794E+04
   0.305694E-02   0.500909E+04
   0.311870E-02   0.509118E+04
   0.318170E-02   0.517421E+04
   0.324597E-02   0.525817E+04
   0.331155E-02   0.534305E+04
   0.337844E-02   0.542885E+04
   0.344669E-02   0.551556E+04
   0.351632E-02   0.560316E+04
   0.358735E-02   0.569166E+04
   0.365982E-02   0.578103E+04
   0.373376E-02   0.587127E+04
   0.380918E-02   0.596236E+04
   0.388613E-02   0.605428E+04
   0.396464E-02   0.614703E+04
   0.404473E-02   0.624059E+04
   0.412644E-02   0.633493E+04
   0.420980E-02   0.643005E+04
   0.429484E-02   0.652591E+04
   0.438160E-02   0.662250E+04
   0.447012E-02   0.671979E+04
   0.456042E-02   0.681776E+04
   0.465255E-02   0.691639E+04
   0.474653E-02   0.701565E+04
   0.484242E-02   0.711550E+04
   0.494024E-02   0.721592E+04
   0.504004E-02   0.731688E+04
   0.514186E-02   0.741835E+04
   0.524573E-02   0.752028E+04
   0.535170E-02   0.762264E+04
   0.545981E-02   0.772540E+04
   0.557011E-02   0.782851E+04
   0.568263E-02   0.793193E+04
   0.579743E-02   0.803562E+04
   0.591455E-02   0.813952E+04
   0.603403E-02   0.824360E+04
   0.615592E-02   0.834781E+04
   0.628028E-02   0.845208E+04
   0.640715E-02   0.855638E+04
   0.653658E-02   0.866063E+04
   0.666863E-02   0.876479E+04
   0.680335E-02   0.886879E+04
   0.694078E-02   0.897258E+04
   0.708100E-02   0.907608E+04
   0.722404E-02   0.917923E+04
   0.736998E-02   0.928197E+04
   0.751886E-02   0.938421E+04
   0.767075E-02   0.948589E+04
   0.782571E-02   0.958692E+04
   0.798380E-02   0.968724E+04
   0.814509E-02   0.978676E+04
   0.830963E-02   0.988539E+04
   0.847750E-02   0.998305E+04
   0.864875E-02   0.100797E+05
   0.882347E-02   0.101751E+05
   0.900171E-02   0.102693E+05
   0.918356E-02   0.103622E+05
   0.936908E-02   0.104536E+05
   0.955835E-02   0.105435E+05
   0.975144E-02   0.106318E+05
   0.994843E-02   0.107183E+05
   0.101494E-01   0.108030E+05
   0.103544E-01   0.108856E+05
   0.105636E-01   0.109663E+05
   0.107770E-01   0.110447E+05
   0.109947E-01   0.111208E+05
   0.112168E-01   0.111944E+05
   0.114434E-01   0.112656E+05
   0.116746E-01   0.113340E+05
   0.119104E-01   0.113997E+05
   0.121510E-01   0.114624E+05
   0.123965E-01   0.115220E+05
   0.126469E-01   0.115785E+05
   0.129024E-01   0.116317E+05
   0.131631E-01   0.116814E+05
   0.134290E-01   0.117275E+05
   0.137003E-01   0.117700E+05
   0.139770E-01   0.118086E+05
   0.142594E-01   0.118432E+05
   0.145474E-01   0.118737E+05
   0.148413E-01   0.119000E+05
   0.151411E-01   0.119219E+05
   0.154470E-01   0.119393E+05
   0.157590E-01   0.119521E+05
   0.160774E-01   0.119602E+05
   0.164022E-01   0.119634E+05
   0.167335E-01   0.119617E+05
   0.170716E-01   0.119549E+05
   0.174164E-01   0.119429E+05
   0.177683E-01   0.119257E+05
   0.181272E-01   0.119030E+05
   0.184934E-01   0.118750E+05
   0.188670E-01   0.118414E+05
   0.192481E-01   0.118022E+05
   0.196370E-01   0.117574E+05
   0.200337E-01   0.117070E+05
   0.204384E-01   0.116508E+05
   0.208513E-01   0.115889E+05
   0.212725E-01   0.115212E+05
   0.217022E-01   0.114478E+05
   0.221406E-01   0.113688E+05
   0.225879E-01   0.112841E+05
   0.230442E-01   0.111938E+05
   0.235097E-01   0.110979E+05
   0.239847E-01   0.109967E+05
   0.244692E-01   0.108901E+05
   0.249635E-01   0.107784E+05
   0.254678E-01   0.106617E+05
   0.259823E-01   0.105402E+05
   0.265072E-01   0.104140E+05
   0.270426E-01   0.102835E+05
   0.275889E-01   0.101488E+05
   0.281463E-01   0.100102E+05
   0.287149E-01   0.986801E+04
   0.292949E-01   0.972251E+04
   0.298867E-01   0.957405E+04
   0.304905E-01   0.942299E+04
   0.311064E-01   0.926971E+04
   0.317348E-01   0.911456E+04
   0.323759E-01   0.895791E+04
   0.330299E-01   0.880018E+04
   0.336972E-01   0.864183E+04
   0.343779E-01   0.848330E+04
   0.350724E-01   0.832498E+04
   0.357809E-01   0.816728E+04
   0.365038E-01   0.801065E+04
   0.372412E-01   0.785555E+04
   0.379935E-01   0.770240E+04
   0.387610E-01   0.755159E+04
   0.395440E-01   0.740351E+04
   0.403429E-01   0.725851E+04
   0.411579E-01   0.711696E+04
   0.419893E-01   0.697919E+04
   0.428375E-01   0.684550E+04
   0.437029E-01   0.671614E+04
   0.445858E-01   0.659129E+04
   0.454865E-01   0.647110E+04
   0.464053E-01   0.635569E+04
   0.473428E-01   0.624517E+04
   0.482992E-01   0.613958E+04
   0.492749E-01   0.603879E+04
   0.502703E-01   0.594265E+04
   0.512858E-01   0.585102E+04
