#           k/h    P           
   0.100000E-03   0.160969E+03
   0.102020E-03   0.164105E+03
   0.104081E-03   0.167302E+03
   0.106184E-03   0.170562E+03
   0.108329E-03   0.173885E+03
   0.110517E-03   0.177273E+03
   0.112750E-03   0.180727E+03
   0.115027E-03   0.184248E+03
   0.117351E-03   0.187838E+03
   0.119722E-03   0.191498E+03
   0.122140E-03   0.195229E+03
   0.124608E-03   0.199032E+03
   0.127125E-03   0.202910E+03
   0.129693E-03   0.206863E+03
   0.132313E-03   0.210894E+03
   0.134986E-03   0.215002E+03
   0.137713E-03   0.219191E+03
   0.140495E-03   0.223462E+03
   0.143333E-03   0.227815E+03
   0.146228E-03   0.232253E+03
   0.149182E-03   0.236778E+03
   0.152196E-03   0.241391E+03
   0.155271E-03   0.246094E+03
   0.158407E-03   0.250888E+03
   0.161607E-03   0.255776E+03
   0.164872E-03   0.260759E+03
   0.168203E-03   0.265838E+03
   0.171601E-03   0.271017E+03
   0.175067E-03   0.276297E+03
   0.178604E-03   0.281679E+03
   0.182212E-03   0.287166E+03
   0.185893E-03   0.292760E+03
   0.189648E-03   0.298463E+03
   0.193479E-03   0.304277E+03
   0.197388E-03   0.310204E+03
   0.201375E-03   0.316247E+03
   0.205443E-03   0.322407E+03
   0.209594E-03   0.328687E+03
   0.213828E-03   0.335089E+03
   0.218147E-03   0.341616E+03
   0.222554E-03   0.348270E+03
   0.227050E-03   0.355053E+03
   0.231637E-03   0.361968E+03
   0.236316E-03   0.369018E+03
   0.241090E-03   0.376205E+03
   0.245960E-03   0.383531E+03
   0.250929E-03   0.391001E+03
   0.255998E-03   0.398615E+03
   0.261170E-03   0.406378E+03
   0.266446E-03   0.414291E+03
   0.271828E-03   0.422359E+03
   0.277319E-03   0.430583E+03
   0.282922E-03   0.438967E+03
   0.288637E-03   0.447514E+03
   0.294468E-03   0.456227E+03
   0.300417E-03   0.465109E+03
   0.306485E-03   0.474164E+03
   0.312677E-03   0.483395E+03
   0.318993E-03   0.492805E+03
   0.325437E-03   0.502398E+03
   0.332012E-03   0.512177E+03
   0.338719E-03   0.522146E+03
   0.345561E-03   0.532308E+03
   0.352542E-03   0.542668E+03
   0.359664E-03   0.553228E+03
   0.366930E-03   0.563993E+03
   0.374342E-03   0.574967E+03
   0.381904E-03   0.586154E+03
   0.389619E-03   0.597557E+03
   0.397490E-03   0.609182E+03
   0.405520E-03   0.621031E+03
   0.413712E-03   0.633110E+03
   0.422070E-03   0.645422E+03
   0.430596E-03   0.657973E+03
   0.439295E-03   0.670766E+03
   0.448169E-03   0.683807E+03
   0.457222E-03   0.697099E+03
   0.466459E-03   0.710648E+03
   0.475882E-03   0.724458E+03
   0.485496E-03   0.738535E+03
   0.495303E-03   0.752883E+03
   0.505309E-03   0.767508E+03
   0.515517E-03   0.782414E+03
   0.525931E-03   0.797606E+03
   0.536556E-03   0.813091E+03
   0.547395E-03   0.828872E+03
   0.558453E-03   0.844957E+03
   0.569734E-03   0.861350E+03
   0.581244E-03   0.878057E+03
   0.592986E-03   0.895084E+03
   0.604965E-03   0.912435E+03
   0.617186E-03   0.930119E+03
   0.629654E-03   0.948139E+03
   0.642374E-03   0.966503E+03
   0.655350E-03   0.985215E+03
   0.668589E-03   0.100428E+04
   0.682096E-03   0.102371E+04
   0.695875E-03   0.104351E+04
   0.709933E-03   0.106368E+04
   0.724274E-03   0.108423E+04
   0.738906E-03   0.110517E+04
   0.753832E-03   0.112651E+04
   0.769061E-03   0.114824E+04
   0.784597E-03   0.117038E+04
   0.800447E-03   0.119293E+04
   0.816617E-03   0.121591E+04
   0.833114E-03   0.123931E+04
   0.849944E-03   0.126314E+04
   0.867114E-03   0.128741E+04
   0.884631E-03   0.131214E+04
   0.902501E-03   0.133731E+04
   0.920733E-03   0.136295E+04
   0.939333E-03   0.138905E+04
   0.958309E-03   0.141564E+04
   0.977668E-03   0.144270E+04
   0.997418E-03   0.147025E+04
   0.101757E-02   0.149830E+04
   0.103812E-02   0.152685E+04
   0.105910E-02   0.155591E+04
   0.108049E-02   0.158549E+04
   0.110232E-02   0.161559E+04
   0.112459E-02   0.164622E+04
   0.114730E-02   0.167739E+04
   0.117048E-02   0.170910E+04
   0.119413E-02   0.174137E+04
   0.121825E-02   0.177419E+04
   0.124286E-02   0.180758E+04
   0.126797E-02   0.184154E+04
   0.129358E-02   0.187608E+04
   0.131971E-02   0.191121E+04
   0.134637E-02   0.194692E+04
   0.137357E-02   0.198324E+04
   0.140132E-02   0.202016E+04
   0.142963E-02   0.205769E+04
   0.145851E-02   0.209584E+04
   0.148797E-02   0.213462E+04
   0.151803E-02   0.217403E+04
   0.154870E-02   0.221408E+04
   0.157998E-02   0.225477E+04
   0.161190E-02   0.229611E+04
   0.164446E-02   0.233811E+04
   0.167768E-02   0.238078E+04
   0.171158E-02   0.242411E+04
   0.174615E-02   0.246813E+04
   0.178143E-02   0.251282E+04
   0.181741E-02   0.255820E+04
   0.185413E-02   0.260428E+04
   0.189158E-02   0.265106E+04
   0.192980E-02   0.269854E+04
   0.196878E-02   0.274673E+04
   0.200855E-02   0.279564E+04
   0.204913E-02   0.284528E+04
   0.209052E-02   0.289563E+04
   0.213276E-02   0.294672E+04
   0.217584E-02   0.299855E+04
   0.221979E-02   0.305111E+04
   0.226464E-02   0.310442E+04
   0.231039E-02   0.315847E+04
   0.235706E-02   0.321327E+04
   0.240467E-02   0.326883E+04
   0.245325E-02   0.332513E+04
   0.250281E-02   0.338220E+04
   0.255337E-02   0.344002E+04
   0.260495E-02   0.349861E+04
   0.265758E-02   0.355795E+04
   0.271126E-02   0.361806E+04
   0.276603E-02   0.367893E+04
   0.282191E-02   0.374055E+04
   0.287892E-02   0.380294E+04
   0.293708E-02   0.386609E+04
   0.299641E-02   0.392999E+04
   0.305694E-02   0.399464E+04
   0.311870E-02   0.406005E+04
   0.318170E-02   0.412620E+04
   0.324597E-02   0.419310E+04
   0.331155E-02   0.426073E+04
   0.337844E-02   0.432909E+04
   0.344669E-02   0.439818E+04
   0.351632E-02   0.446798E+04
   0.358735E-02   0.453850E+04
   0.365982E-02   0.460971E+04
   0.373376E-02   0.468161E+04
   0.380918E-02   0.475420E+04
   0.388613E-02   0.482745E+04
   0.396464E-02   0.490136E+04
   0.404473E-02   0.497591E+04
   0.412644E-02   0.505109E+04
   0.420980E-02   0.512689E+04
   0.429484E-02   0.520328E+04
   0.438160E-02   0.528025E+04
   0.447012E-02   0.535779E+04
   0.456042E-02   0.543587E+04
   0.465255E-02   0.551447E+04
   0.474653E-02   0.559357E+04
   0.484242E-02   0.567314E+04
   0.494024E-02   0.575318E+04
   0.504004E-02   0.583364E+04
   0.514186E-02   0.591450E+04
   0.524573E-02   0.599574E+04
   0.535170E-02   0.607732E+04
   0.545981E-02   0.615921E+04
   0.557011E-02   0.624139E+04
   0.568263E-02   0.632381E+04
   0.579743E-02   0.640645E+04
   0.591455E-02   0.648926E+04
   0.603403E-02   0.657222E+04
   0.615592E-02   0.665527E+04
   0.628028E-02   0.673838E+04
   0.640715E-02   0.682150E+04
   0.653658E-02   0.690459E+04
   0.666863E-02   0.698761E+04
   0.680335E-02   0.707050E+04
   0.694078E-02   0.715322E+04
   0.708100E-02   0.723571E+04
   0.722404E-02   0.731793E+04
   0.736998E-02   0.739981E+04
   0.751886E-02   0.748130E+04
   0.767075E-02   0.756234E+04
   0.782571E-02   0.764288E+04
   0.798380E-02   0.772283E+04
   0.814509E-02   0.780215E+04
   0.830963E-02   0.788077E+04
   0.847750E-02   0.795861E+04
   0.864875E-02   0.803560E+04
   0.882347E-02   0.811168E+04
   0.900171E-02   0.818678E+04
   0.918356E-02   0.826080E+04
   0.936908E-02   0.833368E+04
   0.955835E-02   0.840534E+04
   0.975144E-02   0.847568E+04
   0.994843E-02   0.854464E+04
   0.101494E-01   0.861212E+04
   0.103544E-01   0.867802E+04
   0.105636E-01   0.874227E+04
   0.107770E-01   0.880477E+04
   0.109947E-01   0.886543E+04
   0.112168E-01   0.892416E+04
   0.114434E-01   0.898084E+04
   0.116746E-01   0.903540E+04
   0.119104E-01   0.908772E+04
   0.121510E-01   0.913771E+04
   0.123965E-01   0.918526E+04
   0.126469E-01   0.923028E+04
   0.129024E-01   0.927265E+04
   0.131631E-01   0.931228E+04
   0.134290E-01   0.934906E+04
   0.137003E-01   0.938288E+04
   0.139770E-01   0.941363E+04
   0.142594E-01   0.944122E+04
   0.145474E-01   0.946554E+04
   0.148413E-01   0.948648E+04
   0.151411E-01   0.950394E+04
   0.154470E-01   0.951783E+04
   0.157590E-01   0.952804E+04
   0.160774E-01   0.953448E+04
   0.164022E-01   0.953705E+04
   0.167335E-01   0.953566E+04
   0.170716E-01   0.953023E+04
   0.174164E-01   0.952067E+04
   0.177683E-01   0.950691E+04
   0.181272E-01   0.948888E+04
   0.184934E-01   0.946650E+04
