#           k/h    P           
   0.100000E-03   0.104657E+03
   0.102020E-03   0.106696E+03
   0.104081E-03   0.108775E+03
   0.106184E-03   0.110893E+03
   0.108329E-03   0.113053E+03
   0.110517E-03   0.115256E+03
   0.112750E-03   0.117501E+03
   0.115027E-03   0.119789E+03
   0.117351E-03   0.122122E+03
   0.119722E-03   0.124501E+03
   0.122140E-03   0.126926E+03
   0.124608E-03   0.129398E+03
   0.127125E-03   0.131918E+03
   0.129693E-03   0.134488E+03
   0.132313E-03   0.137107E+03
   0.134986E-03   0.139777E+03
   0.137713E-03   0.142499E+03
   0.140495E-03   0.145274E+03
   0.143333E-03   0.148104E+03
   0.146228E-03   0.150988E+03
   0.149182E-03   0.153928E+03
   0.152196E-03   0.156925E+03
   0.155271E-03   0.159981E+03
   0.158407E-03   0.163096E+03
   0.161607E-03   0.166272E+03
   0.164872E-03   0.169509E+03
   0.168203E-03   0.172809E+03
   0.171601E-03   0.176174E+03
   0.175067E-03   0.179604E+03
   0.178604E-03   0.183100E+03
   0.182212E-03   0.186665E+03
   0.185893E-03   0.190298E+03
   0.189648E-03   0.194003E+03
   0.193479E-03   0.197779E+03
   0.197388E-03   0.201628E+03
   0.201375E-03   0.205553E+03
   0.205443E-03   0.209553E+03
   0.209594E-03   0.213631E+03
   0.213828E-03   0.217789E+03
   0.218147E-03   0.222027E+03
   0.222554E-03   0.226347E+03
   0.227050E-03   0.230751E+03
   0.231637E-03   0.235240E+03
   0.236316E-03   0.239817E+03
   0.241090E-03   0.244482E+03
   0.245960E-03   0.249238E+03
   0.250929E-03   0.254086E+03
   0.255998E-03   0.259028E+03
   0.261170E-03   0.264065E+03
   0.266446E-03   0.269200E+03
   0.271828E-03   0.274435E+03
   0.277319E-03   0.279771E+03
   0.282922E-03   0.285210E+03
   0.288637E-03   0.290754E+03
   0.294468E-03   0.296406E+03
   0.300417E-03   0.302167E+03
   0.306485E-03   0.308039E+03
   0.312677E-03   0.314025E+03
   0.318993E-03   0.320126E+03
   0.325437E-03   0.326345E+03
   0.332012E-03   0.332685E+03
   0.338719E-03   0.339146E+03
   0.345561E-03   0.345732E+03
   0.352542E-03   0.352445E+03
   0.359664E-03   0.359288E+03
   0.366930E-03   0.366262E+03
   0.374342E-03   0.373371E+03
   0.381904E-03   0.380617E+03
   0.389619E-03   0.388001E+03
   0.397490E-03   0.395528E+03
   0.405520E-03   0.403200E+03
   0.413712E-03   0.411018E+03
   0.422070E-03   0.418987E+03
   0.430596E-03   0.427109E+03
   0.439295E-03   0.435386E+03
   0.448169E-03   0.443822E+03
   0.457222E-03   0.452419E+03
   0.466459E-03   0.461181E+03
   0.475882E-03   0.470110E+03
   0.485496E-03   0.479210E+03
   0.495303E-03   0.488483E+03
   0.505309E-03   0.497934E+03
   0.515517E-03   0.507564E+03
   0.525931E-03   0.517377E+03
   0.536556E-03   0.527377E+03
   0.547395E-03   0.537568E+03
   0.558453E-03   0.547951E+03
   0.569734E-03   0.558531E+03
   0.581244E-03   0.569312E+03
   0.592986E-03   0.580296E+03
   0.604965E-03   0.591488E+03
   0.617186E-03   0.602891E+03
   0.629654E-03   0.614509E+03
   0.642374E-03   0.626346E+03
   0.655350E-03   0.638404E+03
   0.668589E-03   0.650689E+03
   0.682096E-03   0.663205E+03
   0.695875E-03   0.675954E+03
   0.709933E-03   0.688941E+03
   0.724274E-03   0.702170E+03
   0.738906E-03   0.715646E+03
   0.753832E-03   0.729371E+03
   0.769061E-03   0.743352E+03
   0.784597E-03   0.757590E+03
   0.800447E-03   0.772092E+03
   0.816617E-03   0.786861E+03
   0.833114E-03   0.801901E+03
   0.849944E-03   0.817217E+03
   0.867114E-03   0.832813E+03
   0.884631E-03   0.848694E+03
   0.902501E-03   0.864863E+03
   0.920733E-03   0.881327E+03
   0.939333E-03   0.898088E+03
   0.958309E-03   0.915152E+03
   0.977668E-03   0.932522E+03
   0.997418E-03   0.950205E+03
   0.101757E-02   0.968204E+03
   0.103812E-02   0.986523E+03
   0.105910E-02   0.100517E+04
   0.108049E-02   0.102414E+04
   0.110232E-02   0.104345E+04
   0.112459E-02   0.106310E+04
   0.114730E-02   0.108310E+04
   0.117048E-02   0.110344E+04
   0.119413E-02   0.112413E+04
   0.121825E-02   0.114519E+04
   0.124286E-02   0.116660E+04
   0.126797E-02   0.118838E+04
   0.129358E-02   0.121054E+04
   0.131971E-02   0.123307E+04
   0.134637E-02   0.125598E+04
   0.137357E-02   0.127928E+04
   0.140132E-02   0.130296E+04
   0.142963E-02   0.132704E+04
   0.145851E-02   0.135152E+04
   0.148797E-02   0.137640E+04
   0.151803E-02   0.140169E+04
   0.154870E-02   0.142739E+04
   0.157998E-02   0.145351E+04
   0.161190E-02   0.148005E+04
   0.164446E-02   0.150701E+04
   0.167768E-02   0.153440E+04
   0.171158E-02   0.156222E+04
   0.174615E-02   0.159048E+04
   0.178143E-02   0.161918E+04
   0.181741E-02   0.164832E+04
   0.185413E-02   0.167791E+04
   0.189158E-02   0.170795E+04
   0.192980E-02   0.173845E+04
   0.196878E-02   0.176941E+04
   0.200855E-02   0.180082E+04
   0.204913E-02   0.183270E+04
   0.209052E-02   0.186505E+04
   0.213276E-02   0.189788E+04
   0.217584E-02   0.193117E+04
   0.221979E-02   0.196494E+04
   0.226464E-02   0.199919E+04
   0.231039E-02   0.203392E+04
   0.235706E-02   0.206913E+04
   0.240467E-02   0.210483E+04
   0.245325E-02   0.214102E+04
   0.250281E-02   0.217769E+04
   0.255337E-02   0.221485E+04
   0.260495E-02   0.225250E+04
   0.265758E-02   0.229064E+04
   0.271126E-02   0.232927E+04
   0.276603E-02   0.236839E+04
   0.282191E-02   0.240800E+04
   0.287892E-02   0.244811E+04
   0.293708E-02   0.248870E+04
   0.299641E-02   0.252977E+04
   0.305694E-02   0.257134E+04
   0.311870E-02   0.261338E+04
   0.318170E-02   0.265591E+04
   0.324597E-02   0.269891E+04
   0.331155E-02   0.274239E+04
   0.337844E-02   0.278634E+04
   0.344669E-02   0.283076E+04
   0.351632E-02   0.287564E+04
   0.358735E-02   0.292098E+04
   0.365982E-02   0.296676E+04
   0.373376E-02   0.301300E+04
