#           k/h    P           
   0.100000E-03   0.114850E+03
   0.102020E-03   0.117088E+03
   0.104081E-03   0.119369E+03
   0.106184E-03   0.121694E+03
   0.108329E-03   0.124065E+03
   0.110517E-03   0.126481E+03
   0.112750E-03   0.128945E+03
   0.115027E-03   0.131457E+03
   0.117351E-03   0.134017E+03
   0.119722E-03   0.136628E+03
   0.122140E-03   0.139289E+03
   0.124608E-03   0.142002E+03
   0.127125E-03   0.144768E+03
   0.129693E-03   0.147587E+03
   0.132313E-03   0.150462E+03
   0.134986E-03   0.153392E+03
   0.137713E-03   0.156380E+03
   0.140495E-03   0.159425E+03
   0.143333E-03   0.162530E+03
   0.146228E-03   0.165696E+03
   0.149182E-03   0.168922E+03
   0.152196E-03   0.172212E+03
   0.155271E-03   0.175566E+03
   0.158407E-03   0.178984E+03
   0.161607E-03   0.182470E+03
   0.164872E-03   0.186023E+03
   0.168203E-03   0.189645E+03
   0.171601E-03   0.193337E+03
   0.175067E-03   0.197102E+03
   0.178604E-03   0.200939E+03
   0.182212E-03   0.204851E+03
   0.185893E-03   0.208839E+03
   0.189648E-03   0.212905E+03
   0.193479E-03   0.217050E+03
   0.197388E-03   0.221275E+03
   0.201375E-03   0.225582E+03
   0.205443E-03   0.229973E+03
   0.209594E-03   0.234449E+03
   0.213828E-03   0.239012E+03
   0.218147E-03   0.243663E+03
   0.222554E-03   0.248405E+03
   0.227050E-03   0.253239E+03
   0.231637E-03   0.258167E+03
   0.236316E-03   0.263190E+03
   0.241090E-03   0.268311E+03
   0.245960E-03   0.273531E+03
   0.250929E-03   0.278852E+03
   0.255998E-03   0.284277E+03
   0.261170E-03   0.289807E+03
   0.266446E-03   0.295443E+03
   0.271828E-03   0.301189E+03
   0.277319E-03   0.307047E+03
   0.282922E-03   0.313017E+03
   0.288637E-03   0.319104E+03
   0.294468E-03   0.325308E+03
   0.300417E-03   0.331632E+03
   0.306485E-03   0.338078E+03
   0.312677E-03   0.344650E+03
   0.318993E-03   0.351348E+03
   0.325437E-03   0.358175E+03
   0.332012E-03   0.365135E+03
   0.338719E-03   0.372229E+03
   0.345561E-03   0.379460E+03
   0.352542E-03   0.386830E+03
   0.359664E-03   0.394343E+03
   0.366930E-03   0.402000E+03
   0.374342E-03   0.409805E+03
   0.381904E-03   0.417761E+03
   0.389619E-03   0.425869E+03
   0.397490E-03   0.434134E+03
   0.405520E-03   0.442558E+03
   0.413712E-03   0.451143E+03
   0.422070E-03   0.459894E+03
   0.430596E-03   0.468812E+03
   0.439295E-03   0.477902E+03
   0.448169E-03   0.487166E+03
   0.457222E-03   0.496608E+03
   0.466459E-03   0.506230E+03
   0.475882E-03   0.516037E+03
   0.485496E-03   0.526031E+03
   0.495303E-03   0.536216E+03
   0.505309E-03   0.546596E+03
   0.515517E-03   0.557174E+03
   0.525931E-03   0.567953E+03
   0.536556E-03   0.578938E+03
   0.547395E-03   0.590131E+03
   0.558453E-03   0.601538E+03
   0.569734E-03   0.613161E+03
   0.581244E-03   0.625004E+03
   0.592986E-03   0.637072E+03
   0.604965E-03   0.649368E+03
   0.617186E-03   0.661896E+03
   0.629654E-03   0.674661E+03
   0.642374E-03   0.687667E+03
   0.655350E-03   0.700917E+03
   0.668589E-03   0.714417E+03
   0.682096E-03   0.728170E+03
   0.695875E-03   0.742180E+03
   0.709933E-03   0.756453E+03
   0.724274E-03   0.770992E+03
   0.738906E-03   0.785802E+03
   0.753832E-03   0.800888E+03
   0.769061E-03   0.816254E+03
   0.784597E-03   0.831905E+03
   0.800447E-03   0.847845E+03
   0.816617E-03   0.864079E+03
   0.833114E-03   0.880612E+03
   0.849944E-03   0.897449E+03
   0.867114E-03   0.914595E+03
   0.884631E-03   0.932054E+03
   0.902501E-03   0.949831E+03
   0.920733E-03   0.967932E+03
   0.939333E-03   0.986361E+03
   0.958309E-03   0.100512E+04
   0.977668E-03   0.102422E+04
   0.997418E-03   0.104367E+04
   0.101757E-02   0.106346E+04
   0.103812E-02   0.108360E+04
   0.105910E-02   0.110410E+04
   0.108049E-02   0.112497E+04
   0.110232E-02   0.114621E+04
   0.112459E-02   0.116781E+04
   0.114730E-02   0.118980E+04
   0.117048E-02   0.121217E+04
   0.119413E-02   0.123493E+04
   0.121825E-02   0.125808E+04
   0.124286E-02   0.128163E+04
   0.126797E-02   0.130559E+04
