#           k/h    P           
   0.100000E-03   0.243972E+03
   0.102020E-03   0.248729E+03
   0.104081E-03   0.253578E+03
   0.106184E-03   0.258521E+03
   0.108329E-03   0.263562E+03
   0.110517E-03   0.268700E+03
   0.112750E-03   0.273939E+03
   0.115027E-03   0.279280E+03
   0.117351E-03   0.284726E+03
   0.119722E-03   0.290277E+03
   0.122140E-03   0.295937E+03
   0.124608E-03   0.301708E+03
   0.127125E-03   0.307591E+03
   0.129693E-03   0.313589E+03
   0.132313E-03   0.319705E+03
   0.134986E-03   0.325940E+03
   0.137713E-03   0.332296E+03
   0.140495E-03   0.338777E+03
   0.143333E-03   0.345385E+03
   0.146228E-03   0.352121E+03
   0.149182E-03   0.358989E+03
   0.152196E-03   0.365992E+03
   0.155271E-03   0.373131E+03
   0.158407E-03   0.380410E+03
   0.161607E-03   0.387831E+03
   0.164872E-03   0.395398E+03
   0.168203E-03   0.403112E+03
   0.171601E-03   0.410977E+03
   0.175067E-03   0.418996E+03
   0.178604E-03   0.427172E+03
   0.182212E-03   0.435508E+03
   0.185893E-03   0.444008E+03
   0.189648E-03   0.452673E+03
   0.193479E-03   0.461508E+03
   0.197388E-03   0.470516E+03
   0.201375E-03   0.479701E+03
   0.205443E-03   0.489065E+03
   0.209594E-03   0.498613E+03
   0.213828E-03   0.508348E+03
   0.218147E-03   0.518274E+03
   0.222554E-03   0.528394E+03
   0.227050E-03   0.538713E+03
   0.231637E-03   0.549234E+03
   0.236316E-03   0.559962E+03
   0.241090E-03   0.570900E+03
   0.245960E-03   0.582052E+03
   0.250929E-03   0.593424E+03
   0.255998E-03   0.605018E+03
   0.261170E-03   0.616841E+03
   0.266446E-03   0.628895E+03
   0.271828E-03   0.641186E+03
   0.277319E-03   0.653719E+03
   0.282922E-03   0.666498E+03
   0.288637E-03   0.679528E+03
   0.294468E-03   0.692815E+03
   0.300417E-03   0.706362E+03
   0.306485E-03   0.720176E+03
   0.312677E-03   0.734262E+03
   0.318993E-03   0.748625E+03
   0.325437E-03   0.763271E+03
   0.332012E-03   0.778205E+03
   0.338719E-03   0.793433E+03
   0.345561E-03   0.808961E+03
   0.352542E-03   0.824795E+03
   0.359664E-03   0.840941E+03
   0.366930E-03   0.857405E+03
   0.374342E-03   0.874194E+03
   0.381904E-03   0.891313E+03
   0.389619E-03   0.908770E+03
   0.397490E-03   0.926571E+03
   0.405520E-03   0.944724E+03
   0.413712E-03   0.963234E+03
   0.422070E-03   0.982109E+03
   0.430596E-03   0.100136E+04
   0.439295E-03   0.102098E+04
   0.448169E-03   0.104100E+04
   0.457222E-03   0.106141E+04
   0.466459E-03   0.108222E+04
   0.475882E-03   0.110344E+04
   0.485496E-03   0.112508E+04
   0.495303E-03   0.114714E+04
   0.505309E-03   0.116964E+04
   0.515517E-03   0.119259E+04
   0.525931E-03   0.121598E+04
   0.536556E-03   0.123983E+04
   0.547395E-03   0.126416E+04
   0.558453E-03   0.128896E+04
   0.569734E-03   0.131425E+04
   0.581244E-03   0.134003E+04
   0.592986E-03   0.136632E+04
   0.604965E-03   0.139312E+04
   0.617186E-03   0.142045E+04
   0.629654E-03   0.144831E+04
   0.642374E-03   0.147672E+04
   0.655350E-03   0.150567E+04
   0.668589E-03   0.153519E+04
   0.682096E-03   0.156529E+04
   0.695875E-03   0.159596E+04
   0.709933E-03   0.162723E+04
   0.724274E-03   0.165910E+04
   0.738906E-03   0.169158E+04
   0.753832E-03   0.172469E+04
   0.769061E-03   0.175843E+04
   0.784597E-03   0.179282E+04
   0.800447E-03   0.182785E+04
   0.816617E-03   0.186356E+04
