#           k/h    P           
   0.100000E-03   0.178217E+03
   0.102020E-03   0.181689E+03
   0.104081E-03   0.185230E+03
   0.106184E-03   0.188839E+03
   0.108329E-03   0.192519E+03
   0.110517E-03   0.196270E+03
   0.112750E-03   0.200094E+03
   0.115027E-03   0.203993E+03
   0.117351E-03   0.207968E+03
   0.119722E-03   0.212021E+03
   0.122140E-03   0.216152E+03
   0.124608E-03   0.220364E+03
   0.127125E-03   0.224658E+03
   0.129693E-03   0.229036E+03
   0.132313E-03   0.233499E+03
   0.134986E-03   0.238049E+03
   0.137713E-03   0.242687E+03
   0.140495E-03   0.247416E+03
   0.143333E-03   0.252237E+03
   0.146228E-03   0.257152E+03
   0.149182E-03   0.262163E+03
   0.152196E-03   0.267271E+03
   0.155271E-03   0.272479E+03
   0.158407E-03   0.277789E+03
   0.161607E-03   0.283202E+03
   0.164872E-03   0.288720E+03
   0.168203E-03   0.294346E+03
   0.171601E-03   0.300082E+03
   0.175067E-03   0.305929E+03
   0.178604E-03   0.311891E+03
   0.182212E-03   0.317968E+03
   0.185893E-03   0.324164E+03
   0.189648E-03   0.330480E+03
   0.193479E-03   0.336920E+03
   0.197388E-03   0.343485E+03
   0.201375E-03   0.350178E+03
   0.205443E-03   0.357002E+03
   0.209594E-03   0.363958E+03
   0.213828E-03   0.371050E+03
   0.218147E-03   0.378280E+03
   0.222554E-03   0.385651E+03
   0.227050E-03   0.393166E+03
   0.231637E-03   0.400827E+03
   0.236316E-03   0.408637E+03
   0.241090E-03   0.416599E+03
   0.245960E-03   0.424717E+03
   0.250929E-03   0.432992E+03
   0.255998E-03   0.441429E+03
   0.261170E-03   0.450030E+03
   0.266446E-03   0.458799E+03
   0.271828E-03   0.467738E+03
   0.277319E-03   0.476852E+03
   0.282922E-03   0.486143E+03
   0.288637E-03   0.495615E+03
   0.294468E-03   0.505271E+03
   0.300417E-03   0.515115E+03
   0.306485E-03   0.525151E+03
   0.312677E-03   0.535382E+03
   0.318993E-03   0.545813E+03
   0.325437E-03   0.556446E+03
   0.332012E-03   0.567287E+03
   0.338719E-03   0.578338E+03
   0.345561E-03   0.589604E+03
   0.352542E-03   0.601090E+03
   0.359664E-03   0.612799E+03
   0.366930E-03   0.624735E+03
   0.374342E-03   0.636904E+03
   0.381904E-03   0.649309E+03
   0.389619E-03   0.661955E+03
   0.397490E-03   0.674847E+03
   0.405520E-03   0.687989E+03
   0.413712E-03   0.701387E+03
   0.422070E-03   0.715044E+03
   0.430596E-03   0.728967E+03
   0.439295E-03   0.743159E+03
   0.448169E-03   0.757627E+03
   0.457222E-03   0.772376E+03
   0.466459E-03   0.787410E+03
   0.475882E-03   0.802735E+03
   0.485496E-03   0.818357E+03
   0.495303E-03   0.834282E+03
   0.505309E-03   0.850514E+03
   0.515517E-03   0.867060E+03
   0.525931E-03   0.883925E+03
   0.536556E-03   0.901116E+03
   0.547395E-03   0.918638E+03
   0.558453E-03   0.936498E+03
   0.569734E-03   0.954702E+03
   0.581244E-03   0.973256E+03
   0.592986E-03   0.992166E+03
   0.604965E-03   0.101144E+04
   0.617186E-03   0.103108E+04
   0.629654E-03   0.105110E+04
   0.642374E-03   0.107150E+04
   0.655350E-03   0.109230E+04
   0.668589E-03   0.111348E+04
   0.682096E-03   0.113508E+04
   0.695875E-03   0.115708E+04
   0.709933E-03   0.117950E+04
   0.724274E-03   0.120234E+04
   0.738906E-03   0.122562E+04
   0.753832E-03   0.124933E+04
   0.769061E-03   0.127350E+04
   0.784597E-03   0.129811E+04
   0.800447E-03   0.132319E+04
   0.816617E-03   0.134874E+04
   0.833114E-03   0.137476E+04
   0.849944E-03   0.140127E+04
   0.867114E-03   0.142827E+04
   0.884631E-03   0.145577E+04
   0.902501E-03   0.148377E+04
   0.920733E-03   0.151229E+04
   0.939333E-03   0.154133E+04
   0.958309E-03   0.157090E+04
   0.977668E-03   0.160101E+04
   0.997418E-03   0.163166E+04
   0.101757E-02   0.166287E+04
   0.103812E-02   0.169464E+04
   0.105910E-02   0.172697E+04
   0.108049E-02   0.175988E+04
   0.110232E-02   0.179337E+04
   0.112459E-02   0.182746E+04
   0.114730E-02   0.186214E+04
   0.117048E-02   0.189743E+04
   0.119413E-02   0.193333E+04
   0.121825E-02   0.196985E+04
   0.124286E-02   0.200700E+04
   0.126797E-02   0.204478E+04
   0.129358E-02   0.208321E+04
   0.131971E-02   0.212229E+04
   0.134637E-02   0.216203E+04
   0.137357E-02   0.220243E+04
   0.140132E-02   0.224350E+04
   0.142963E-02   0.228526E+04
   0.145851E-02   0.232770E+04
   0.148797E-02   0.237083E+04
   0.151803E-02   0.241467E+04
   0.154870E-02   0.245921E+04
   0.157998E-02   0.250447E+04
   0.161190E-02   0.255046E+04
   0.164446E-02   0.259717E+04
   0.167768E-02   0.264462E+04
   0.171158E-02   0.269282E+04
   0.174615E-02   0.274177E+04
   0.178143E-02   0.279147E+04
   0.181741E-02   0.284194E+04
   0.185413E-02   0.289319E+04
   0.189158E-02   0.294520E+04
   0.192980E-02   0.299801E+04
   0.196878E-02   0.305160E+04
   0.200855E-02   0.310599E+04
   0.204913E-02   0.316118E+04
   0.209052E-02   0.321718E+04
   0.213276E-02   0.327399E+04
   0.217584E-02   0.333161E+04
   0.221979E-02   0.339006E+04
