#           k/h    P           
   0.100000E-03   0.293445E+03
   0.102020E-03   0.299169E+03
   0.104081E-03   0.305004E+03
   0.106184E-03   0.310954E+03
   0.108329E-03   0.317020E+03
   0.110517E-03   0.323204E+03
   0.112750E-03   0.329510E+03
   0.115027E-03   0.335938E+03
   0.117351E-03   0.342493E+03
   0.119722E-03   0.349176E+03
   0.122140E-03   0.355989E+03
   0.124608E-03   0.362936E+03
   0.127125E-03   0.370019E+03
   0.129693E-03   0.377240E+03
   0.132313E-03   0.384603E+03
   0.134986E-03   0.392110E+03
   0.137713E-03   0.399764E+03
   0.140495E-03   0.407568E+03
   0.143333E-03   0.415525E+03
   0.146228E-03   0.423638E+03
   0.149182E-03   0.431910E+03
   0.152196E-03   0.440345E+03
   0.155271E-03   0.448944E+03
   0.158407E-03   0.457713E+03
   0.161607E-03   0.466653E+03
   0.164872E-03   0.475769E+03
   0.168203E-03   0.485064E+03
   0.171601E-03   0.494541E+03
   0.175067E-03   0.504205E+03
   0.178604E-03   0.514058E+03
   0.182212E-03   0.524106E+03
   0.185893E-03   0.534350E+03
   0.189648E-03   0.544797E+03
   0.193479E-03   0.555449E+03
   0.197388E-03   0.566310E+03
   0.201375E-03   0.577385E+03
   0.205443E-03   0.588679E+03
   0.209594E-03   0.600195E+03
   0.213828E-03   0.611938E+03
   0.218147E-03   0.623912E+03
   0.222554E-03   0.636123E+03
   0.227050E-03   0.648575E+03
   0.231637E-03   0.661272E+03
   0.236316E-03   0.674221E+03
   0.241090E-03   0.687425E+03
   0.245960E-03   0.700890E+03
   0.250929E-03   0.714622E+03
   0.255998E-03   0.728625E+03
   0.261170E-03   0.742906E+03
   0.266446E-03   0.757469E+03
   0.271828E-03   0.772321E+03
   0.277319E-03   0.787468E+03
   0.282922E-03   0.802915E+03
   0.288637E-03   0.818668E+03
   0.294468E-03   0.834735E+03
   0.300417E-03   0.851120E+03
   0.306485E-03   0.867832E+03
   0.312677E-03   0.884875E+03
   0.318993E-03   0.902258E+03
   0.325437E-03   0.919987E+03
   0.332012E-03   0.938069E+03
   0.338719E-03   0.956511E+03
   0.345561E-03   0.975321E+03
   0.352542E-03   0.994506E+03
   0.359664E-03   0.101407E+04
   0.366930E-03   0.103403E+04
   0.374342E-03   0.105439E+04
   0.381904E-03   0.107516E+04
   0.389619E-03   0.109634E+04
   0.397490E-03   0.111794E+04
   0.405520E-03   0.113997E+04
   0.413712E-03   0.116245E+04
   0.422070E-03   0.118538E+04
   0.430596E-03   0.120876E+04
   0.439295E-03   0.123262E+04
   0.448169E-03   0.125695E+04
   0.457222E-03   0.128177E+04
   0.466459E-03   0.130709E+04
   0.475882E-03   0.133292E+04
   0.485496E-03   0.135926E+04
   0.495303E-03   0.138613E+04
   0.505309E-03   0.141354E+04
   0.515517E-03   0.144150E+04
   0.525931E-03   0.147001E+04
   0.536556E-03   0.149910E+04
   0.547395E-03   0.152877E+04
   0.558453E-03   0.155904E+04
   0.569734E-03   0.158990E+04
