#           k/h    P           
   0.100000E-03   0.131969E+03
   0.102020E-03   0.134540E+03
   0.104081E-03   0.137161E+03
   0.106184E-03   0.139833E+03
   0.108329E-03   0.142557E+03
   0.110517E-03   0.145334E+03
   0.112750E-03   0.148166E+03
   0.115027E-03   0.151052E+03
   0.117351E-03   0.153994E+03
   0.119722E-03   0.156994E+03
   0.122140E-03   0.160052E+03
   0.124608E-03   0.163170E+03
   0.127125E-03   0.166349E+03
   0.129693E-03   0.169589E+03
   0.132313E-03   0.172892E+03
   0.134986E-03   0.176260E+03
   0.137713E-03   0.179693E+03
   0.140495E-03   0.183193E+03
   0.143333E-03   0.186761E+03
   0.146228E-03   0.190399E+03
   0.149182E-03   0.194107E+03
   0.152196E-03   0.197888E+03
   0.155271E-03   0.201742E+03
   0.158407E-03   0.205671E+03
   0.161607E-03   0.209676E+03
   0.164872E-03   0.213760E+03
   0.168203E-03   0.217923E+03
   0.171601E-03   0.222167E+03
   0.175067E-03   0.226493E+03
   0.178604E-03   0.230903E+03
   0.182212E-03   0.235400E+03
   0.185893E-03   0.239983E+03
   0.189648E-03   0.244656E+03
   0.193479E-03   0.249420E+03
   0.197388E-03   0.254276E+03
   0.201375E-03   0.259227E+03
   0.205443E-03   0.264274E+03
   0.209594E-03   0.269419E+03
   0.213828E-03   0.274664E+03
   0.218147E-03   0.280011E+03
   0.222554E-03   0.285461E+03
   0.227050E-03   0.291018E+03
   0.231637E-03   0.296682E+03
   0.236316E-03   0.302457E+03
   0.241090E-03   0.308344E+03
   0.245960E-03   0.314344E+03
   0.250929E-03   0.320462E+03
   0.255998E-03   0.326698E+03
   0.261170E-03   0.333055E+03
   0.266446E-03   0.339535E+03
   0.271828E-03   0.346142E+03
   0.277319E-03   0.352876E+03
   0.282922E-03   0.359741E+03
   0.288637E-03   0.366739E+03
   0.294468E-03   0.373872E+03
   0.300417E-03   0.381144E+03
   0.306485E-03   0.388556E+03
   0.312677E-03   0.396112E+03
   0.318993E-03   0.403815E+03
   0.325437E-03   0.411666E+03
   0.332012E-03   0.419670E+03
   0.338719E-03   0.427828E+03
   0.345561E-03   0.436144E+03
   0.352542E-03   0.444621E+03
   0.359664E-03   0.453261E+03
   0.366930E-03   0.462069E+03
   0.374342E-03   0.471046E+03
   0.381904E-03   0.480197E+03
   0.389619E-03   0.489525E+03
   0.397490E-03   0.499032E+03
   0.405520E-03   0.508723E+03
   0.413712E-03   0.518600E+03
   0.422070E-03   0.528667E+03
   0.430596E-03   0.538929E+03
   0.439295E-03   0.549387E+03
   0.448169E-03   0.560047E+03
   0.457222E-03   0.570912E+03
   0.466459E-03   0.581985E+03
   0.475882E-03   0.593271E+03
   0.485496E-03   0.604773E+03
   0.495303E-03   0.616496E+03
   0.505309E-03   0.628443E+03
   0.515517E-03   0.640619E+03
   0.525931E-03   0.653027E+03
   0.536556E-03   0.665673E+03
   0.547395E-03   0.678560E+03
   0.558453E-03   0.691692E+03
   0.569734E-03   0.705075E+03
   0.581244E-03   0.718713E+03
   0.592986E-03   0.732609E+03
   0.604965E-03   0.746770E+03
   0.617186E-03   0.761199E+03
   0.629654E-03   0.775901E+03
   0.642374E-03   0.790882E+03
   0.655350E-03   0.806145E+03
   0.668589E-03   0.821696E+03
   0.682096E-03   0.837540E+03
   0.695875E-03   0.853683E+03
   0.709933E-03   0.870128E+03
   0.724274E-03   0.886881E+03
   0.738906E-03   0.903948E+03
   0.753832E-03   0.921333E+03
   0.769061E-03   0.939043E+03
   0.784597E-03   0.957082E+03
   0.800447E-03   0.975455E+03
   0.816617E-03   0.994169E+03
   0.833114E-03   0.101323E+04
   0.849944E-03   0.103264E+04
   0.867114E-03   0.105241E+04
   0.884631E-03   0.107254E+04
   0.902501E-03   0.109304E+04
   0.920733E-03   0.111391E+04
   0.939333E-03   0.113516E+04
   0.958309E-03   0.115680E+04
   0.977668E-03   0.117882E+04
   0.997418E-03   0.120125E+04
   0.101757E-02   0.122407E+04
   0.103812E-02   0.124731E+04
   0.105910E-02   0.127096E+04
   0.108049E-02   0.129503E+04
   0.110232E-02   0.131952E+04
   0.112459E-02   0.134445E+04
   0.114730E-02   0.136981E+04
   0.117048E-02   0.139562E+04
   0.119413E-02   0.142187E+04
   0.121825E-02   0.144858E+04
   0.124286E-02   0.147575E+04
   0.126797E-02   0.150338E+04
   0.129358E-02   0.153149E+04
   0.131971E-02   0.156007E+04
   0.134637E-02   0.158914E+04
   0.137357E-02   0.161869E+04
   0.140132E-02   0.164874E+04
   0.142963E-02   0.167928E+04
   0.145851E-02   0.171034E+04
   0.148797E-02   0.174190E+04
   0.151803E-02   0.177398E+04
   0.154870E-02   0.180658E+04
   0.157998E-02   0.183970E+04
   0.161190E-02   0.187336E+04
   0.164446E-02   0.190755E+04
   0.167768E-02   0.194229E+04
