#           k/h    P           
   0.100000E-03   0.339749E+03
   0.102020E-03   0.346379E+03
   0.104081E-03   0.353140E+03
   0.106184E-03   0.360033E+03
   0.108329E-03   0.367062E+03
   0.110517E-03   0.374228E+03
   0.112750E-03   0.381534E+03
   0.115027E-03   0.388984E+03
   0.117351E-03   0.396580E+03
   0.119722E-03   0.404324E+03
   0.122140E-03   0.412221E+03
   0.124608E-03   0.420272E+03
   0.127125E-03   0.428482E+03
   0.129693E-03   0.436853E+03
   0.132313E-03   0.445388E+03
   0.134986E-03   0.454091E+03
   0.137713E-03   0.462965E+03
   0.140495E-03   0.472014E+03
   0.143333E-03   0.481240E+03
   0.146228E-03   0.490648E+03
   0.149182E-03   0.500241E+03
   0.152196E-03   0.510023E+03
   0.155271E-03   0.519997E+03
   0.158407E-03   0.530168E+03
   0.161607E-03   0.540540E+03
   0.164872E-03   0.551116E+03
   0.168203E-03   0.561900E+03
   0.171601E-03   0.572898E+03
   0.175067E-03   0.584112E+03
   0.178604E-03   0.595549E+03
   0.182212E-03   0.607211E+03
   0.185893E-03   0.619104E+03
   0.189648E-03   0.631232E+03
   0.193479E-03   0.643600E+03
   0.197388E-03   0.656213E+03
   0.201375E-03   0.669076E+03
   0.205443E-03   0.682194E+03
   0.209594E-03   0.695573E+03
   0.213828E-03   0.709217E+03
   0.218147E-03   0.723132E+03
   0.222554E-03   0.737323E+03
   0.227050E-03   0.751797E+03
   0.231637E-03   0.766559E+03
   0.236316E-03   0.781616E+03
   0.241090E-03   0.796972E+03
   0.245960E-03   0.812634E+03
   0.250929E-03   0.828610E+03
   0.255998E-03   0.844904E+03
   0.261170E-03   0.861524E+03
   0.266446E-03   0.878477E+03
   0.271828E-03   0.895769E+03
   0.277319E-03   0.913408E+03
   0.282922E-03   0.931400E+03
   0.288637E-03   0.949754E+03
   0.294468E-03   0.968476E+03
   0.300417E-03   0.987575E+03
   0.306485E-03   0.100706E+04
   0.312677E-03   0.102693E+04
   0.318993E-03   0.104721E+04
   0.325437E-03   0.106790E+04
   0.332012E-03   0.108900E+04
   0.338719E-03   0.111053E+04
   0.345561E-03   0.113249E+04
   0.352542E-03   0.115490E+04
   0.359664E-03   0.117777E+04
   0.366930E-03   0.120110E+04
   0.374342E-03   0.122490E+04
   0.381904E-03   0.124918E+04
   0.389619E-03   0.127396E+04
   0.397490E-03   0.129924E+04
   0.405520E-03   0.132503E+04
   0.413712E-03   0.135136E+04
   0.422070E-03   0.137821E+04
   0.430596E-03   0.140562E+04
   0.439295E-03   0.143358E+04
   0.448169E-03   0.146212E+04
   0.457222E-03   0.149123E+04
   0.466459E-03   0.152094E+04
   0.475882E-03   0.155126E+04
   0.485496E-03   0.158220E+04
   0.495303E-03   0.161377E+04
   0.505309E-03   0.164598E+04
   0.515517E-03   0.167885E+04
   0.525931E-03   0.171239E+04
   0.536556E-03   0.174661E+04
   0.547395E-03   0.178154E+04
   0.558453E-03   0.181717E+04
   0.569734E-03   0.185353E+04
   0.581244E-03   0.189063E+04
   0.592986E-03   0.192848E+04
   0.604965E-03   0.196709E+04
   0.617186E-03   0.200649E+04
   0.629654E-03   0.204668E+04
   0.642374E-03   0.208769E+04
   0.655350E-03   0.212952E+04
   0.668589E-03   0.217218E+04
   0.682096E-03   0.221570E+04
   0.695875E-03   0.226009E+04
   0.709933E-03   0.230536E+04
   0.724274E-03   0.235153E+04
   0.738906E-03   0.239861E+04
   0.753832E-03   0.244661E+04
   0.769061E-03   0.249555E+04
   0.784597E-03   0.254545E+04
   0.800447E-03   0.259631E+04
   0.816617E-03   0.264816E+04
   0.833114E-03   0.270100E+04
   0.849944E-03   0.275485E+04
   0.867114E-03   0.280972E+04
   0.884631E-03   0.286563E+04
   0.902501E-03   0.292258E+04
   0.920733E-03   0.298060E+04
   0.939333E-03   0.303969E+04
   0.958309E-03   0.309987E+04
   0.977668E-03   0.316115E+04
   0.997418E-03   0.322354E+04
   0.101757E-02   0.328705E+04
   0.103812E-02   0.335170E+04
   0.105910E-02   0.341749E+04
   0.108049E-02   0.348445E+04
   0.110232E-02   0.355259E+04
   0.112459E-02   0.362190E+04
   0.114730E-02   0.369242E+04
   0.117048E-02   0.376414E+04
   0.119413E-02   0.383709E+04
   0.121825E-02   0.391128E+04
   0.124286E-02   0.398671E+04
   0.126797E-02   0.406341E+04
   0.129358E-02   0.414139E+04
   0.131971E-02   0.422065E+04
   0.134637E-02   0.430122E+04
   0.137357E-02   0.438310E+04
   0.140132E-02   0.446632E+04
   0.142963E-02   0.455089E+04
   0.145851E-02   0.463682E+04
   0.148797E-02   0.472413E+04
   0.151803E-02   0.481283E+04
   0.154870E-02   0.490294E+04
   0.157998E-02   0.499447E+04
   0.161190E-02   0.508744E+04
   0.164446E-02   0.518187E+04
   0.167768E-02   0.527776E+04
   0.171158E-02   0.537513E+04
   0.174615E-02   0.547400E+04
   0.178143E-02   0.557438E+04
   0.181741E-02   0.567628E+04
   0.185413E-02   0.577972E+04
   0.189158E-02   0.588471E+04
   0.192980E-02   0.599126E+04
   0.196878E-02   0.609938E+04
   0.200855E-02   0.620909E+04
   0.204913E-02   0.632040E+04
   0.209052E-02   0.643331E+04
   0.213276E-02   0.654784E+04
   0.217584E-02   0.666399E+04
   0.221979E-02   0.678178E+04
   0.226464E-02   0.690122E+04
   0.231039E-02   0.702231E+04
   0.235706E-02   0.714506E+04
   0.240467E-02   0.726947E+04
   0.245325E-02   0.739556E+04
   0.250281E-02   0.752333E+04
   0.255337E-02   0.765277E+04
   0.260495E-02   0.778390E+04
   0.265758E-02   0.791672E+04
   0.271126E-02   0.805122E+04
   0.276603E-02   0.818742E+04
   0.282191E-02   0.832530E+04
   0.287892E-02   0.846486E+04
   0.293708E-02   0.860611E+04
   0.299641E-02   0.874903E+04
   0.305694E-02   0.889363E+04
   0.311870E-02   0.903989E+04
   0.318170E-02   0.918781E+04
   0.324597E-02   0.933737E+04
   0.331155E-02   0.948857E+04
   0.337844E-02   0.964140E+04
   0.344669E-02   0.979583E+04
   0.351632E-02   0.995185E+04
   0.358735E-02   0.101094E+05
   0.365982E-02   0.102686E+05
   0.373376E-02   0.104293E+05
   0.380918E-02   0.105915E+05
   0.388613E-02   0.107552E+05
   0.396464E-02   0.109203E+05
   0.404473E-02   0.110869E+05
   0.412644E-02   0.112548E+05
   0.420980E-02   0.114241E+05
   0.429484E-02   0.115948E+05
   0.438160E-02   0.117667E+05
   0.447012E-02   0.119399E+05
   0.456042E-02   0.121143E+05
   0.465255E-02   0.122899E+05
