#           k/h    P           
   0.100000E-03   0.361735E+03
   0.102020E-03   0.368798E+03
   0.104081E-03   0.375999E+03
   0.106184E-03   0.383341E+03
   0.108329E-03   0.390828E+03
   0.110517E-03   0.398461E+03
   0.112750E-03   0.406244E+03
   0.115027E-03   0.414179E+03
   0.117351E-03   0.422271E+03
   0.119722E-03   0.430521E+03
   0.122140E-03   0.438934E+03
   0.124608E-03   0.447512E+03
   0.127125E-03   0.456259E+03
   0.129693E-03   0.465177E+03
   0.132313E-03   0.474271E+03
   0.134986E-03   0.483544E+03
   0.137713E-03   0.493000E+03
   0.140495E-03   0.502642E+03
   0.143333E-03   0.512474E+03
   0.146228E-03   0.522499E+03
   0.149182E-03   0.532723E+03
   0.152196E-03   0.543148E+03
   0.155271E-03   0.553779E+03
   0.158407E-03   0.564620E+03
   0.161607E-03   0.575675E+03
   0.164872E-03   0.586948E+03
   0.168203E-03   0.598445E+03
   0.171601E-03   0.610169E+03
   0.175067E-03   0.622125E+03
   0.178604E-03   0.634318E+03
   0.182212E-03   0.646753E+03
   0.185893E-03   0.659435E+03
   0.189648E-03   0.672368E+03
   0.193479E-03   0.685558E+03
   0.197388E-03   0.699011E+03
   0.201375E-03   0.712731E+03
   0.205443E-03   0.726724E+03
   0.209594E-03   0.740995E+03
   0.213828E-03   0.755552E+03
   0.218147E-03   0.770398E+03
   0.222554E-03   0.785541E+03
   0.227050E-03   0.800987E+03
   0.231637E-03   0.816741E+03
   0.236316E-03   0.832811E+03
   0.241090E-03   0.849202E+03
   0.245960E-03   0.865923E+03
   0.250929E-03   0.882978E+03
   0.255998E-03   0.900377E+03
   0.261170E-03   0.918125E+03
   0.266446E-03   0.936230E+03
   0.271828E-03   0.954700E+03
   0.277319E-03   0.973542E+03
   0.282922E-03   0.992765E+03
   0.288637E-03   0.101238E+04
   0.294468E-03   0.103238E+04
   0.300417E-03   0.105280E+04
   0.306485E-03   0.107362E+04
   0.312677E-03   0.109487E+04
   0.318993E-03   0.111655E+04
   0.325437E-03   0.113867E+04
   0.332012E-03   0.116124E+04
   0.338719E-03   0.118427E+04
   0.345561E-03   0.120777E+04
   0.352542E-03   0.123175E+04
   0.359664E-03   0.125622E+04
   0.366930E-03   0.128119E+04
   0.374342E-03   0.130667E+04
   0.381904E-03   0.133267E+04
   0.389619E-03   0.135920E+04
   0.397490E-03   0.138628E+04
   0.405520E-03   0.141392E+04
   0.413712E-03   0.144212E+04
   0.422070E-03   0.147091E+04
   0.430596E-03   0.150028E+04
   0.439295E-03   0.153026E+04
   0.448169E-03   0.156086E+04
   0.457222E-03   0.159209E+04
   0.466459E-03   0.162396E+04
   0.475882E-03   0.165649E+04
   0.485496E-03   0.168969E+04
   0.495303E-03   0.172358E+04
   0.505309E-03   0.175816E+04
   0.515517E-03   0.179346E+04
   0.525931E-03   0.182948E+04
   0.536556E-03   0.186625E+04
   0.547395E-03   0.190377E+04
   0.558453E-03   0.194206E+04
   0.569734E-03   0.198114E+04
   0.581244E-03   0.202102E+04
   0.592986E-03   0.206172E+04
   0.604965E-03   0.210325E+04
   0.617186E-03   0.214563E+04
   0.629654E-03   0.218887E+04
   0.642374E-03   0.223299E+04
   0.655350E-03   0.227800E+04
   0.668589E-03   0.232392E+04
   0.682096E-03   0.237077E+04
   0.695875E-03   0.241856E+04
   0.709933E-03   0.246730E+04
   0.724274E-03   0.251702E+04
   0.738906E-03   0.256772E+04
   0.753832E-03   0.261943E+04
   0.769061E-03   0.267215E+04
   0.784597E-03   0.272590E+04
   0.800447E-03   0.278070E+04
   0.816617E-03   0.283656E+04
   0.833114E-03   0.289350E+04
   0.849944E-03   0.295152E+04
   0.867114E-03   0.301065E+04
   0.884631E-03   0.307089E+04
   0.902501E-03   0.313227E+04
   0.920733E-03   0.319479E+04
   0.939333E-03   0.325846E+04
   0.958309E-03   0.332331E+04
   0.977668E-03   0.338934E+04
   0.997418E-03   0.345656E+04
   0.101757E-02   0.352500E+04
   0.103812E-02   0.359465E+04
   0.105910E-02   0.366554E+04
   0.108049E-02   0.373767E+04
   0.110232E-02   0.381106E+04
   0.112459E-02   0.388573E+04
   0.114730E-02   0.396168E+04
   0.117048E-02   0.403893E+04
   0.119413E-02   0.411749E+04
   0.121825E-02   0.419738E+04
   0.124286E-02   0.427860E+04
   0.126797E-02   0.436118E+04
   0.129358E-02   0.444513E+04
   0.131971E-02   0.453046E+04
   0.134637E-02   0.461720E+04
   0.137357E-02   0.470534E+04
   0.140132E-02   0.479491E+04
   0.142963E-02   0.488594E+04
   0.145851E-02   0.497842E+04
   0.148797E-02   0.507238E+04
   0.151803E-02   0.516784E+04
   0.154870E-02   0.526480E+04
   0.157998E-02   0.536330E+04
   0.161190E-02   0.546334E+04
   0.164446E-02   0.556493E+04
   0.167768E-02   0.566811E+04
   0.171158E-02   0.577287E+04
   0.174615E-02   0.587924E+04
   0.178143E-02   0.598723E+04
   0.181741E-02   0.609685E+04
   0.185413E-02   0.620813E+04
   0.189158E-02   0.632107E+04
   0.192980E-02   0.643568E+04
   0.196878E-02   0.655198E+04
   0.200855E-02   0.666999E+04
   0.204913E-02   0.678970E+04
   0.209052E-02   0.691114E+04
   0.213276E-02   0.703432E+04
   0.217584E-02   0.715925E+04
   0.221979E-02   0.728593E+04
   0.226464E-02   0.741437E+04
   0.231039E-02   0.754459E+04
   0.235706E-02   0.767660E+04
   0.240467E-02   0.781039E+04
   0.245325E-02   0.794598E+04
   0.250281E-02   0.808337E+04
   0.255337E-02   0.822256E+04
   0.260495E-02   0.836356E+04
   0.265758E-02   0.850638E+04
   0.271126E-02   0.865100E+04
   0.276603E-02   0.879744E+04
   0.282191E-02   0.894569E+04
   0.287892E-02   0.909575E+04
   0.293708E-02   0.924762E+04
   0.299641E-02   0.940129E+04
   0.305694E-02   0.955675E+04
   0.311870E-02   0.971401E+04
   0.318170E-02   0.987304E+04
   0.324597E-02   0.100338E+05
   0.331155E-02   0.101964E+05
   0.337844E-02   0.103607E+05
   0.344669E-02   0.105267E+05
   0.351632E-02   0.106945E+05
   0.358735E-02   0.108639E+05
   0.365982E-02   0.110350E+05
   0.373376E-02   0.112077E+05
   0.380918E-02   0.113821E+05
   0.388613E-02   0.115581E+05
   0.396464E-02   0.117356E+05
   0.404473E-02   0.119146E+05
   0.412644E-02   0.120952E+05
   0.420980E-02   0.122772E+05
   0.429484E-02   0.124607E+05
   0.438160E-02   0.126455E+05
   0.447012E-02   0.128317E+05
   0.456042E-02   0.130191E+05
   0.465255E-02   0.132079E+05
   0.474653E-02   0.133978E+05
   0.484242E-02   0.135888E+05
   0.494024E-02   0.137809E+05
   0.504004E-02   0.139741E+05
   0.514186E-02   0.141682E+05
   0.524573E-02   0.143632E+05
   0.535170E-02   0.145590E+05
   0.545981E-02   0.147556E+05
   0.557011E-02   0.149528E+05
   0.568263E-02   0.151506E+05
   0.579743E-02   0.153489E+05
   0.591455E-02   0.155477E+05
   0.603403E-02   0.157468E+05
   0.615592E-02   0.159461E+05
   0.628028E-02   0.161455E+05
   0.640715E-02   0.163450E+05
   0.653658E-02   0.165443E+05
   0.666863E-02   0.167435E+05
   0.680335E-02   0.169424E+05
   0.694078E-02   0.171409E+05
   0.708100E-02   0.173389E+05
   0.722404E-02   0.175361E+05
   0.736998E-02   0.177326E+05
   0.751886E-02   0.179281E+05
   0.767075E-02   0.181225E+05
   0.782571E-02   0.183157E+05
   0.798380E-02   0.185076E+05
   0.814509E-02   0.186979E+05
   0.830963E-02   0.188865E+05
   0.847750E-02   0.190732E+05
   0.864875E-02   0.192579E+05
   0.882347E-02   0.194405E+05
   0.900171E-02   0.196206E+05
   0.918356E-02   0.197982E+05
   0.936908E-02   0.199730E+05
   0.955835E-02   0.201449E+05
   0.975144E-02   0.203137E+05
