#           k/h    P           
   0.100000E-03   0.161311E+03
   0.102020E-03   0.164454E+03
   0.104081E-03   0.167658E+03
   0.106184E-03   0.170925E+03
   0.108329E-03   0.174255E+03
   0.110517E-03   0.177650E+03
   0.112750E-03   0.181111E+03
   0.115027E-03   0.184640E+03
   0.117351E-03   0.188237E+03
   0.119722E-03   0.191905E+03
   0.122140E-03   0.195644E+03
   0.124608E-03   0.199455E+03
   0.127125E-03   0.203341E+03
   0.129693E-03   0.207303E+03
   0.132313E-03   0.211342E+03
   0.134986E-03   0.215460E+03
   0.137713E-03   0.219657E+03
   0.140495E-03   0.223937E+03
   0.143333E-03   0.228300E+03
   0.146228E-03   0.232747E+03
   0.149182E-03   0.237282E+03
   0.152196E-03   0.241905E+03
   0.155271E-03   0.246617E+03
   0.158407E-03   0.251422E+03
   0.161607E-03   0.256320E+03
   0.164872E-03   0.261313E+03
   0.168203E-03   0.266404E+03
   0.171601E-03   0.271594E+03
   0.175067E-03   0.276885E+03
   0.178604E-03   0.282279E+03
   0.182212E-03   0.287777E+03
   0.185893E-03   0.293383E+03
   0.189648E-03   0.299098E+03
   0.193479E-03   0.304925E+03
   0.197388E-03   0.310864E+03
   0.201375E-03   0.316920E+03
   0.205443E-03   0.323093E+03
   0.209594E-03   0.329386E+03
   0.213828E-03   0.335802E+03
   0.218147E-03   0.342343E+03
   0.222554E-03   0.349011E+03
   0.227050E-03   0.355809E+03
   0.231637E-03   0.362739E+03
   0.236316E-03   0.369804E+03
   0.241090E-03   0.377006E+03
   0.245960E-03   0.384348E+03
   0.250929E-03   0.391833E+03
   0.255998E-03   0.399464E+03
   0.261170E-03   0.407243E+03
   0.266446E-03   0.415174E+03
   0.271828E-03   0.423258E+03
   0.277319E-03   0.431500E+03
   0.282922E-03   0.439902E+03
   0.288637E-03   0.448468E+03
   0.294468E-03   0.457199E+03
   0.300417E-03   0.466101E+03
   0.306485E-03   0.475175E+03
   0.312677E-03   0.484426E+03
   0.318993E-03   0.493856E+03
   0.325437E-03   0.503470E+03
   0.332012E-03   0.513270E+03
   0.338719E-03   0.523260E+03
   0.345561E-03   0.533444E+03
