#           k/h    P           
   0.100000E-03   0.789702E+02
   0.102020E-03   0.805085E+02
   0.104081E-03   0.820766E+02
   0.106184E-03   0.836753E+02
   0.108329E-03   0.853051E+02
   0.110517E-03   0.869666E+02
   0.112750E-03   0.886605E+02
   0.115027E-03   0.903873E+02
   0.117351E-03   0.921477E+02
   0.119722E-03   0.939424E+02
   0.122140E-03   0.957720E+02
   0.124608E-03   0.976371E+02
   0.127125E-03   0.995386E+02
   0.129693E-03   0.101477E+03
   0.132313E-03   0.103453E+03
   0.134986E-03   0.105468E+03
   0.137713E-03   0.107522E+03
   0.140495E-03   0.109615E+03
   0.143333E-03   0.111750E+03
   0.146228E-03   0.113926E+03
   0.149182E-03   0.116144E+03
   0.152196E-03   0.118405E+03
   0.155271E-03   0.120711E+03
   0.158407E-03   0.123061E+03
   0.161607E-03   0.125456E+03
   0.164872E-03   0.127899E+03
   0.168203E-03   0.130388E+03
   0.171601E-03   0.132927E+03
   0.175067E-03   0.135514E+03
   0.178604E-03   0.138152E+03
   0.182212E-03   0.140841E+03
   0.185893E-03   0.143582E+03
   0.189648E-03   0.146376E+03
   0.193479E-03   0.149225E+03
   0.197388E-03   0.152129E+03
   0.201375E-03   0.155089E+03
   0.205443E-03   0.158107E+03
   0.209594E-03   0.161183E+03
   0.213828E-03   0.164319E+03
   0.218147E-03   0.167516E+03
   0.222554E-03   0.170774E+03
   0.227050E-03   0.174096E+03
   0.231637E-03   0.177482E+03
   0.236316E-03   0.180934E+03
   0.241090E-03   0.184453E+03
   0.245960E-03   0.188040E+03
   0.250929E-03   0.191696E+03
   0.255998E-03   0.195423E+03
   0.261170E-03   0.199222E+03
   0.266446E-03   0.203095E+03
   0.271828E-03   0.207043E+03
   0.277319E-03   0.211067E+03
   0.282922E-03   0.215168E+03
   0.288637E-03   0.219349E+03
   0.294468E-03   0.223611E+03
   0.300417E-03   0.227955E+03
   0.306485E-03   0.232383E+03
   0.312677E-03   0.236897E+03
   0.318993E-03   0.241497E+03
   0.325437E-03   0.246186E+03
   0.332012E-03   0.250966E+03
   0.338719E-03   0.255837E+03
   0.345561E-03   0.260802E+03
   0.352542E-03   0.265863E+03
   0.359664E-03   0.271022E+03
   0.366930E-03   0.276279E+03
   0.374342E-03   0.281638E+03
   0.381904E-03   0.287099E+03
   0.389619E-03   0.292665E+03
   0.397490E-03   0.298338E+03
   0.405520E-03   0.304120E+03
   0.413712E-03   0.310013E+03
   0.422070E-03   0.316018E+03
   0.430596E-03   0.322138E+03
   0.439295E-03   0.328375E+03
   0.448169E-03   0.334732E+03
   0.457222E-03   0.341210E+03
   0.466459E-03   0.347811E+03
   0.475882E-03   0.354538E+03
   0.485496E-03   0.361394E+03
   0.495303E-03   0.368379E+03
   0.505309E-03   0.375498E+03
   0.515517E-03   0.382751E+03
   0.525931E-03   0.390143E+03
   0.536556E-03   0.397674E+03
   0.547395E-03   0.405348E+03
   0.558453E-03   0.413167E+03
   0.569734E-03   0.421134E+03
   0.581244E-03   0.429251E+03
   0.592986E-03   0.437521E+03
   0.604965E-03   0.445947E+03
   0.617186E-03   0.454531E+03
   0.629654E-03   0.463276E+03
   0.642374E-03   0.472185E+03
   0.655350E-03   0.481260E+03
   0.668589E-03   0.490506E+03
   0.682096E-03   0.499923E+03
   0.695875E-03   0.509516E+03
   0.709933E-03   0.519288E+03
   0.724274E-03   0.529241E+03
   0.738906E-03   0.539378E+03
   0.753832E-03   0.549702E+03
   0.769061E-03   0.560218E+03
   0.784597E-03   0.570926E+03
   0.800447E-03   0.581832E+03
   0.816617E-03   0.592938E+03
   0.833114E-03   0.604247E+03
   0.849944E-03   0.615762E+03
   0.867114E-03   0.627487E+03
   0.884631E-03   0.639426E+03
   0.902501E-03   0.651580E+03
   0.920733E-03   0.663955E+03
   0.939333E-03   0.676552E+03
   0.958309E-03   0.689376E+03
   0.977668E-03   0.702430E+03
   0.997418E-03   0.715717E+03
   0.101757E-02   0.729241E+03
   0.103812E-02   0.743006E+03
   0.105910E-02   0.757014E+03
   0.108049E-02   0.771269E+03
   0.110232E-02   0.785775E+03
   0.112459E-02   0.800536E+03
   0.114730E-02   0.815554E+03
   0.117048E-02   0.830833E+03
   0.119413E-02   0.846378E+03
   0.121825E-02   0.862190E+03
   0.124286E-02   0.878275E+03
   0.126797E-02   0.894635E+03
   0.129358E-02   0.911273E+03
   0.131971E-02   0.928194E+03
   0.134637E-02   0.945401E+03
   0.137357E-02   0.962898E+03
   0.140132E-02   0.980687E+03
   0.142963E-02   0.998772E+03
   0.145851E-02   0.101716E+04
   0.148797E-02   0.103584E+04
   0.151803E-02   0.105484E+04
   0.154870E-02   0.107414E+04
   0.157998E-02   0.109376E+04
   0.161190E-02   0.111369E+04
   0.164446E-02   0.113394E+04
   0.167768E-02   0.115452E+04
   0.171158E-02   0.117542E+04
   0.174615E-02   0.119664E+04
   0.178143E-02   0.121820E+04
   0.181741E-02   0.124010E+04
   0.185413E-02   0.126233E+04
   0.189158E-02   0.128490E+04
   0.192980E-02   0.130781E+04
   0.196878E-02   0.133107E+04
   0.200855E-02   0.135467E+04
   0.204913E-02   0.137863E+04
   0.209052E-02   0.140294E+04
   0.213276E-02   0.142760E+04
   0.217584E-02   0.145261E+04
   0.221979E-02   0.147799E+04
   0.226464E-02   0.150373E+04
   0.231039E-02   0.152983E+04
   0.235706E-02   0.155629E+04
   0.240467E-02   0.158311E+04
   0.245325E-02   0.161030E+04
   0.250281E-02   0.163786E+04
   0.255337E-02   0.166579E+04
   0.260495E-02   0.169408E+04
   0.265758E-02   0.172275E+04
   0.271126E-02   0.175178E+04
   0.276603E-02   0.178118E+04
   0.282191E-02   0.181095E+04
   0.287892E-02   0.184109E+04
   0.293708E-02   0.187160E+04
   0.299641E-02   0.190247E+04
   0.305694E-02   0.193371E+04
   0.311870E-02   0.196531E+04
   0.318170E-02   0.199727E+04
