#           k/h    P           
   0.100000E-03   0.115500E+03
   0.102020E-03   0.117750E+03
   0.104081E-03   0.120044E+03
   0.106184E-03   0.122383E+03
   0.108329E-03   0.124767E+03
   0.110517E-03   0.127197E+03
   0.112750E-03   0.129675E+03
   0.115027E-03   0.132201E+03
   0.117351E-03   0.134776E+03
   0.119722E-03   0.137401E+03
   0.122140E-03   0.140077E+03
   0.124608E-03   0.142805E+03
   0.127125E-03   0.145587E+03
   0.129693E-03   0.148423E+03
   0.132313E-03   0.151313E+03
   0.134986E-03   0.154260E+03
   0.137713E-03   0.157265E+03
   0.140495E-03   0.160328E+03
   0.143333E-03   0.163450E+03
   0.146228E-03   0.166633E+03
   0.149182E-03   0.169878E+03
   0.152196E-03   0.173187E+03
   0.155271E-03   0.176559E+03
   0.158407E-03   0.179997E+03
   0.161607E-03   0.183502E+03
   0.164872E-03   0.187076E+03
   0.168203E-03   0.190718E+03
   0.171601E-03   0.194432E+03
   0.175067E-03   0.198217E+03
   0.178604E-03   0.202077E+03
   0.182212E-03   0.206011E+03
   0.185893E-03   0.210021E+03
   0.189648E-03   0.214110E+03
   0.193479E-03   0.218278E+03
   0.197388E-03   0.222527E+03
   0.201375E-03   0.226859E+03
   0.205443E-03   0.231275E+03
   0.209594E-03   0.235776E+03
   0.213828E-03   0.240365E+03
   0.218147E-03   0.245043E+03
   0.222554E-03   0.249812E+03
   0.227050E-03   0.254673E+03
   0.231637E-03   0.259629E+03
   0.236316E-03   0.264681E+03
   0.241090E-03   0.269830E+03
   0.245960E-03   0.275080E+03
   0.250929E-03   0.280432E+03
   0.255998E-03   0.285887E+03
   0.261170E-03   0.291448E+03
   0.266446E-03   0.297117E+03
   0.271828E-03   0.302895E+03
   0.277319E-03   0.308786E+03
   0.282922E-03   0.314791E+03
   0.288637E-03   0.320911E+03
   0.294468E-03   0.327151E+03
   0.300417E-03   0.333511E+03
   0.306485E-03   0.339994E+03
   0.312677E-03   0.346602E+03
   0.318993E-03   0.353339E+03
   0.325437E-03   0.360205E+03
   0.332012E-03   0.367204E+03
   0.338719E-03   0.374339E+03
   0.345561E-03   0.381611E+03
   0.352542E-03   0.389023E+03
   0.359664E-03   0.396578E+03
