#           k/h    P           
   0.100000E-03   0.225890E+03
   0.102020E-03   0.230293E+03
   0.104081E-03   0.234782E+03
   0.106184E-03   0.239359E+03
   0.108329E-03   0.244024E+03
   0.110517E-03   0.248781E+03
   0.112750E-03   0.253631E+03
   0.115027E-03   0.258575E+03
   0.117351E-03   0.263616E+03
   0.119722E-03   0.268755E+03
   0.122140E-03   0.273994E+03
   0.124608E-03   0.279336E+03
   0.127125E-03   0.284781E+03
   0.129693E-03   0.290333E+03
   0.132313E-03   0.295994E+03
   0.134986E-03   0.301765E+03
   0.137713E-03   0.307648E+03
   0.140495E-03   0.313647E+03
   0.143333E-03   0.319762E+03
   0.146228E-03   0.325997E+03
   0.149182E-03   0.332354E+03
   0.152196E-03   0.338835E+03
   0.155271E-03   0.345442E+03
   0.158407E-03   0.352178E+03
   0.161607E-03   0.359046E+03
   0.164872E-03   0.366048E+03
   0.168203E-03   0.373187E+03
   0.171601E-03   0.380465E+03
   0.175067E-03   0.387886E+03
   0.178604E-03   0.395451E+03
   0.182212E-03   0.403165E+03
   0.185893E-03   0.411029E+03
   0.189648E-03   0.419047E+03
   0.193479E-03   0.427221E+03
   0.197388E-03   0.435556E+03
   0.201375E-03   0.444053E+03
   0.205443E-03   0.452717E+03
   0.209594E-03   0.461550E+03
   0.213828E-03   0.470555E+03
   0.218147E-03   0.479737E+03
   0.222554E-03   0.489099E+03
   0.227050E-03   0.498643E+03
   0.231637E-03   0.508375E+03
   0.236316E-03   0.518297E+03
   0.241090E-03   0.528413E+03
   0.245960E-03   0.538727E+03
   0.250929E-03   0.549243E+03
   0.255998E-03   0.559965E+03
   0.261170E-03   0.570897E+03
   0.266446E-03   0.582043E+03
   0.271828E-03   0.593408E+03
   0.277319E-03   0.604995E+03
   0.282922E-03   0.616809E+03
   0.288637E-03   0.628855E+03
   0.294468E-03   0.641137E+03
   0.300417E-03   0.653659E+03
   0.306485E-03   0.666427E+03
   0.312677E-03   0.679446E+03
   0.318993E-03   0.692720E+03
   0.325437E-03   0.706254E+03
   0.332012E-03   0.720053E+03
   0.338719E-03   0.734124E+03
   0.345561E-03   0.748470E+03
   0.352542E-03   0.763098E+03
   0.359664E-03   0.778013E+03
   0.366930E-03   0.793221E+03
   0.374342E-03   0.808727E+03
   0.381904E-03   0.824537E+03
   0.389619E-03   0.840658E+03
   0.397490E-03   0.857095E+03
   0.405520E-03   0.873855E+03
   0.413712E-03   0.890943E+03
   0.422070E-03   0.908367E+03
   0.430596E-03   0.926133E+03
   0.439295E-03   0.944248E+03
   0.448169E-03   0.962717E+03
   0.457222E-03   0.981550E+03
   0.466459E-03   0.100075E+04
   0.475882E-03   0.102033E+04
   0.485496E-03   0.104029E+04
   0.495303E-03   0.106064E+04
   0.505309E-03   0.108139E+04
   0.515517E-03   0.110255E+04
   0.525931E-03   0.112412E+04
   0.536556E-03   0.114612E+04
   0.547395E-03   0.116854E+04
   0.558453E-03   0.119140E+04
   0.569734E-03   0.121471E+04
   0.581244E-03   0.123847E+04
   0.592986E-03   0.126269E+04
   0.604965E-03   0.128739E+04
   0.617186E-03   0.131257E+04
   0.629654E-03   0.133823E+04
   0.642374E-03   0.136439E+04
   0.655350E-03   0.139106E+04
   0.668589E-03   0.141825E+04
   0.682096E-03   0.144595E+04
   0.695875E-03   0.147420E+04
   0.709933E-03   0.150298E+04
   0.724274E-03   0.153232E+04
   0.738906E-03   0.156222E+04
   0.753832E-03   0.159269E+04
   0.769061E-03   0.162374E+04
   0.784597E-03   0.165538E+04
   0.800447E-03   0.168762E+04
   0.816617E-03   0.172047E+04
   0.833114E-03   0.175394E+04
   0.849944E-03   0.178803E+04
   0.867114E-03   0.182276E+04
   0.884631E-03   0.185814E+04
   0.902501E-03   0.189418E+04
   0.920733E-03   0.193088E+04
   0.939333E-03   0.196826E+04
   0.958309E-03   0.200633E+04
   0.977668E-03   0.204509E+04
   0.997418E-03   0.208455E+04
   0.101757E-02   0.212472E+04
   0.103812E-02   0.216562E+04
   0.105910E-02   0.220725E+04
   0.108049E-02   0.224963E+04
   0.110232E-02   0.229275E+04
   0.112459E-02   0.233663E+04
   0.114730E-02   0.238128E+04
   0.117048E-02   0.242671E+04
   0.119413E-02   0.247293E+04
   0.121825E-02   0.251994E+04
   0.124286E-02   0.256776E+04
   0.126797E-02   0.261639E+04
   0.129358E-02   0.266585E+04
   0.131971E-02   0.271614E+04
   0.134637E-02   0.276727E+04
   0.137357E-02   0.281925E+04
   0.140132E-02   0.287209E+04
   0.142963E-02   0.292580E+04
   0.145851E-02   0.298039E+04
   0.148797E-02   0.303587E+04
   0.151803E-02   0.309225E+04
   0.154870E-02   0.314953E+04
   0.157998E-02   0.320773E+04
   0.161190E-02   0.326685E+04
   0.164446E-02   0.332691E+04
   0.167768E-02   0.338791E+04
   0.171158E-02   0.344987E+04
