#           k/h    P           
   0.100000E-03   0.179392E+03
   0.102020E-03   0.182888E+03
   0.104081E-03   0.186452E+03
   0.106184E-03   0.190085E+03
   0.108329E-03   0.193789E+03
   0.110517E-03   0.197565E+03
   0.112750E-03   0.201415E+03
   0.115027E-03   0.205340E+03
   0.117351E-03   0.209341E+03
   0.119722E-03   0.213420E+03
   0.122140E-03   0.217579E+03
   0.124608E-03   0.221818E+03
   0.127125E-03   0.226141E+03
   0.129693E-03   0.230547E+03
   0.132313E-03   0.235040E+03
   0.134986E-03   0.239620E+03
   0.137713E-03   0.244289E+03
   0.140495E-03   0.249049E+03
   0.143333E-03   0.253902E+03
   0.146228E-03   0.258850E+03
   0.149182E-03   0.263894E+03
   0.152196E-03   0.269036E+03
   0.155271E-03   0.274278E+03
   0.158407E-03   0.279623E+03
   0.161607E-03   0.285072E+03
   0.164872E-03   0.290627E+03
   0.168203E-03   0.296290E+03
   0.171601E-03   0.302064E+03
   0.175067E-03   0.307950E+03
   0.178604E-03   0.313950E+03
   0.182212E-03   0.320068E+03
   0.185893E-03   0.326305E+03
   0.189648E-03   0.332663E+03
   0.193479E-03   0.339146E+03
   0.197388E-03   0.345754E+03
   0.201375E-03   0.352492E+03
   0.205443E-03   0.359361E+03
   0.209594E-03   0.366363E+03
   0.213828E-03   0.373502E+03
   0.218147E-03   0.380780E+03
   0.222554E-03   0.388200E+03
   0.227050E-03   0.395765E+03
   0.231637E-03   0.403477E+03
   0.236316E-03   0.411339E+03
   0.241090E-03   0.419354E+03
   0.245960E-03   0.427525E+03
   0.250929E-03   0.435856E+03
   0.255998E-03   0.444349E+03
   0.261170E-03   0.453007E+03
   0.266446E-03   0.461834E+03
   0.271828E-03   0.470833E+03
   0.277319E-03   0.480007E+03
   0.282922E-03   0.489360E+03
   0.288637E-03   0.498895E+03
   0.294468E-03   0.508616E+03
   0.300417E-03   0.518526E+03
   0.306485E-03   0.528629E+03
   0.312677E-03   0.538929E+03
   0.318993E-03   0.549429E+03
   0.325437E-03   0.560133E+03
   0.332012E-03   0.571046E+03
   0.338719E-03   0.582172E+03
   0.345561E-03   0.593513E+03
   0.352542E-03   0.605076E+03
   0.359664E-03   0.616863E+03
   0.366930E-03   0.628880E+03
   0.374342E-03   0.641130E+03
   0.381904E-03   0.653618E+03
   0.389619E-03   0.666349E+03
   0.397490E-03   0.679328E+03
   0.405520E-03   0.692559E+03
   0.413712E-03   0.706046E+03
   0.422070E-03   0.719796E+03
   0.430596E-03   0.733812E+03
   0.439295E-03   0.748101E+03
   0.448169E-03   0.762666E+03
   0.457222E-03   0.777514E+03
   0.466459E-03   0.792650E+03
   0.475882E-03   0.808079E+03
   0.485496E-03   0.823807E+03
   0.495303E-03   0.839839E+03
   0.505309E-03   0.856181E+03
   0.515517E-03   0.872839E+03
   0.525931E-03   0.889819E+03
   0.536556E-03   0.907127E+03
   0.547395E-03   0.924769E+03
   0.558453E-03   0.942750E+03
   0.569734E-03   0.961078E+03
   0.581244E-03   0.979758E+03
   0.592986E-03   0.998798E+03
   0.604965E-03   0.101820E+04
   0.617186E-03   0.103798E+04
   0.629654E-03   0.105814E+04
   0.642374E-03   0.107868E+04
   0.655350E-03   0.109961E+04
   0.668589E-03   0.112095E+04
   0.682096E-03   0.114269E+04
   0.695875E-03   0.116484E+04
   0.709933E-03   0.118741E+04
   0.724274E-03   0.121042E+04
   0.738906E-03   0.123385E+04
   0.753832E-03   0.125773E+04
   0.769061E-03   0.128206E+04
   0.784597E-03   0.130685E+04
   0.800447E-03   0.133210E+04
   0.816617E-03   0.135782E+04
   0.833114E-03   0.138403E+04
   0.849944E-03   0.141072E+04
   0.867114E-03   0.143790E+04
   0.884631E-03   0.146559E+04
   0.902501E-03   0.149379E+04
   0.920733E-03   0.152251E+04
   0.939333E-03   0.155175E+04
   0.958309E-03   0.158153E+04
   0.977668E-03   0.161184E+04
   0.997418E-03   0.164271E+04
   0.101757E-02   0.167413E+04
   0.103812E-02   0.170612E+04
   0.105910E-02   0.173868E+04
   0.108049E-02   0.177182E+04
   0.110232E-02   0.180554E+04
   0.112459E-02   0.183986E+04
   0.114730E-02   0.187479E+04
   0.117048E-02   0.191032E+04
   0.119413E-02   0.194647E+04
   0.121825E-02   0.198325E+04
   0.124286E-02   0.202065E+04
   0.126797E-02   0.205870E+04
   0.129358E-02   0.209740E+04
   0.131971E-02   0.213675E+04
   0.134637E-02   0.217676E+04
   0.137357E-02   0.221744E+04
   0.140132E-02   0.225880E+04
   0.142963E-02   0.230084E+04
   0.145851E-02   0.234358E+04
   0.148797E-02   0.238701E+04
   0.151803E-02   0.243115E+04
   0.154870E-02   0.247601E+04
   0.157998E-02   0.252158E+04
   0.161190E-02   0.256788E+04
   0.164446E-02   0.261492E+04
   0.167768E-02   0.266270E+04
   0.171158E-02   0.271123E+04
   0.174615E-02   0.276052E+04
   0.178143E-02   0.281057E+04
   0.181741E-02   0.286139E+04
   0.185413E-02   0.291298E+04
   0.189158E-02   0.296536E+04
   0.192980E-02   0.301853E+04
   0.196878E-02   0.307249E+04
   0.200855E-02   0.312726E+04
   0.204913E-02   0.318283E+04
   0.209052E-02   0.323921E+04
   0.213276E-02   0.329641E+04
   0.217584E-02   0.335444E+04
   0.221979E-02   0.341329E+04
   0.226464E-02   0.347297E+04
   0.231039E-02   0.353348E+04
   0.235706E-02   0.359484E+04
   0.240467E-02   0.365703E+04
   0.245325E-02   0.372007E+04
   0.250281E-02   0.378396E+04
   0.255337E-02   0.384869E+04
   0.260495E-02   0.391428E+04
   0.265758E-02   0.398071E+04
   0.271126E-02   0.404800E+04
   0.276603E-02   0.411613E+04
   0.282191E-02   0.418512E+04
   0.287892E-02   0.425496E+04
   0.293708E-02   0.432565E+04
   0.299641E-02   0.439718E+04
   0.305694E-02   0.446955E+04
   0.311870E-02   0.454277E+04
   0.318170E-02   0.461682E+04
   0.324597E-02   0.469170E+04
   0.331155E-02   0.476740E+04
   0.337844E-02   0.484392E+04
   0.344669E-02   0.492125E+04
   0.351632E-02   0.499939E+04
   0.358735E-02   0.507831E+04
   0.365982E-02   0.515802E+04
   0.373376E-02   0.523851E+04
   0.380918E-02   0.531975E+04
   0.388613E-02   0.540174E+04
   0.396464E-02   0.548447E+04
   0.404473E-02   0.556791E+04
   0.412644E-02   0.565206E+04
   0.420980E-02   0.573690E+04
   0.429484E-02   0.582240E+04
   0.438160E-02   0.590855E+04
   0.447012E-02   0.599533E+04
   0.456042E-02   0.608272E+04
   0.465255E-02   0.617069E+04
   0.474653E-02   0.625923E+04
   0.484242E-02   0.634829E+04
   0.494024E-02   0.643787E+04
   0.504004E-02   0.652792E+04
   0.514186E-02   0.661843E+04
   0.524573E-02   0.670935E+04
   0.535170E-02   0.680066E+04
   0.545981E-02   0.689231E+04
   0.557011E-02   0.698429E+04
   0.568263E-02   0.707654E+04
   0.579743E-02   0.716903E+04
   0.591455E-02   0.726171E+04
   0.603403E-02   0.735455E+04
   0.615592E-02   0.744750E+04
   0.628028E-02   0.754052E+04
   0.640715E-02   0.763355E+04
   0.653658E-02   0.772654E+04
   0.666863E-02   0.781946E+04
   0.680335E-02   0.791223E+04
   0.694078E-02   0.800481E+04
   0.708100E-02   0.809713E+04
   0.722404E-02   0.818915E+04
   0.736998E-02   0.828079E+04
   0.751886E-02   0.837199E+04
   0.767075E-02   0.846269E+04
   0.782571E-02   0.855282E+04
   0.798380E-02   0.864230E+04
   0.814509E-02   0.873108E+04
   0.830963E-02   0.881906E+04
   0.847750E-02   0.890617E+04
   0.864875E-02   0.899235E+04
   0.882347E-02   0.907750E+04
   0.900171E-02   0.916154E+04
   0.918356E-02   0.924438E+04
   0.936908E-02   0.932595E+04
   0.955835E-02   0.940614E+04
   0.975144E-02   0.948487E+04
   0.994843E-02   0.956204E+04
   0.101494E-01   0.963756E+04
   0.103544E-01   0.971132E+04
   0.105636E-01   0.978323E+04
   0.107770E-01   0.985318E+04
   0.109947E-01   0.992107E+04
   0.112168E-01   0.998679E+04
   0.114434E-01   0.100502E+05
   0.116746E-01   0.101113E+05
   0.119104E-01   0.101698E+05
   0.121510E-01   0.102258E+05
   0.123965E-01   0.102790E+05
   0.126469E-01   0.103294E+05
   0.129024E-01   0.103768E+05
   0.131631E-01   0.104212E+05
   0.134290E-01   0.104623E+05
   0.137003E-01   0.105002E+05
   0.139770E-01   0.105346E+05
   0.142594E-01   0.105655E+05
   0.145474E-01   0.105927E+05
   0.148413E-01   0.106161E+05
   0.151411E-01   0.106357E+05
   0.154470E-01   0.106512E+05
   0.157590E-01   0.106626E+05
   0.160774E-01   0.106699E+05
   0.164022E-01   0.106727E+05
