#           k/h    P           
   0.100000E-03   0.131188E+03
   0.102020E-03   0.133744E+03
   0.104081E-03   0.136349E+03
   0.106184E-03   0.139005E+03
   0.108329E-03   0.141713E+03
   0.110517E-03   0.144474E+03
   0.112750E-03   0.147288E+03
   0.115027E-03   0.150158E+03
   0.117351E-03   0.153083E+03
   0.119722E-03   0.156065E+03
   0.122140E-03   0.159105E+03
   0.124608E-03   0.162204E+03
   0.127125E-03   0.165364E+03
   0.129693E-03   0.168585E+03
   0.132313E-03   0.171869E+03
   0.134986E-03   0.175216E+03
   0.137713E-03   0.178629E+03
   0.140495E-03   0.182108E+03
   0.143333E-03   0.185655E+03
   0.146228E-03   0.189271E+03
   0.149182E-03   0.192958E+03
   0.152196E-03   0.196716E+03
   0.155271E-03   0.200547E+03
   0.158407E-03   0.204453E+03
   0.161607E-03   0.208435E+03
   0.164872E-03   0.212494E+03
   0.168203E-03   0.216632E+03
   0.171601E-03   0.220851E+03
   0.175067E-03   0.225151E+03
   0.178604E-03   0.229536E+03
   0.182212E-03   0.234005E+03
   0.185893E-03   0.238562E+03
   0.189648E-03   0.243207E+03
   0.193479E-03   0.247942E+03
   0.197388E-03   0.252770E+03
   0.201375E-03   0.257691E+03
   0.205443E-03   0.262708E+03
   0.209594E-03   0.267823E+03
   0.213828E-03   0.273036E+03
   0.218147E-03   0.278351E+03
   0.222554E-03   0.283770E+03
   0.227050E-03   0.289293E+03
   0.231637E-03   0.294924E+03
   0.236316E-03   0.300664E+03
   0.241090E-03   0.306516E+03
   0.245960E-03   0.312481E+03
   0.250929E-03   0.318562E+03
   0.255998E-03   0.324761E+03
   0.261170E-03   0.331081E+03
   0.266446E-03   0.337523E+03
   0.271828E-03   0.344089E+03
   0.277319E-03   0.350784E+03
   0.282922E-03   0.357608E+03
   0.288637E-03   0.364564E+03
   0.294468E-03   0.371655E+03
   0.300417E-03   0.378883E+03
   0.306485E-03   0.386252E+03
   0.312677E-03   0.393763E+03
   0.318993E-03   0.401419E+03
   0.325437E-03   0.409224E+03
   0.332012E-03   0.417180E+03
   0.338719E-03   0.425289E+03
   0.345561E-03   0.433556E+03
   0.352542E-03   0.441982E+03
   0.359664E-03   0.450571E+03
   0.366930E-03   0.459326E+03
   0.374342E-03   0.468250E+03
   0.381904E-03   0.477346E+03
   0.389619E-03   0.486618E+03
   0.397490E-03   0.496068E+03
   0.405520E-03   0.505701E+03
   0.413712E-03   0.515519E+03
   0.422070E-03   0.525526E+03
   0.430596E-03   0.535726E+03
   0.439295E-03   0.546122E+03
   0.448169E-03   0.556719E+03
   0.457222E-03   0.567518E+03
   0.466459E-03   0.578525E+03
   0.475882E-03   0.589743E+03
   0.485496E-03   0.601176E+03
   0.495303E-03   0.612829E+03
   0.505309E-03   0.624704E+03
   0.515517E-03   0.636807E+03
   0.525931E-03   0.649141E+03
   0.536556E-03   0.661710E+03
   0.547395E-03   0.674520E+03
   0.558453E-03   0.687573E+03
   0.569734E-03   0.700876E+03
   0.581244E-03   0.714431E+03
   0.592986E-03   0.728244E+03
   0.604965E-03   0.742319E+03
   0.617186E-03   0.756661E+03
   0.629654E-03   0.771275E+03
   0.642374E-03   0.786164E+03
   0.655350E-03   0.801336E+03
   0.668589E-03   0.816793E+03
   0.682096E-03   0.832541E+03
   0.695875E-03   0.848586E+03
   0.709933E-03   0.864931E+03
   0.724274E-03   0.881583E+03
   0.738906E-03   0.898546E+03
   0.753832E-03   0.915826E+03
   0.769061E-03   0.933429E+03
   0.784597E-03   0.951358E+03
   0.800447E-03   0.969620E+03
   0.816617E-03   0.988220E+03
   0.833114E-03   0.100716E+04
   0.849944E-03   0.102646E+04
   0.867114E-03   0.104610E+04
   0.884631E-03   0.106611E+04
   0.902501E-03   0.108649E+04
   0.920733E-03   0.110723E+04
   0.939333E-03   0.112835E+04
