#           k/h    P           
   0.100000E-03   0.227997E+03
   0.102020E-03   0.232441E+03
   0.104081E-03   0.236972E+03
   0.106184E-03   0.241591E+03
   0.108329E-03   0.246300E+03
   0.110517E-03   0.251102E+03
   0.112750E-03   0.255996E+03
   0.115027E-03   0.260987E+03
   0.117351E-03   0.266075E+03
   0.119722E-03   0.271262E+03
   0.122140E-03   0.276550E+03
   0.124608E-03   0.281942E+03
   0.127125E-03   0.287438E+03
   0.129693E-03   0.293042E+03
   0.132313E-03   0.298756E+03
   0.134986E-03   0.304581E+03
   0.137713E-03   0.310519E+03
   0.140495E-03   0.316574E+03
   0.143333E-03   0.322747E+03
   0.146228E-03   0.329040E+03
   0.149182E-03   0.335456E+03
   0.152196E-03   0.341998E+03
   0.155271E-03   0.348667E+03
   0.158407E-03   0.355466E+03
   0.161607E-03   0.362399E+03
   0.164872E-03   0.369466E+03
   0.168203E-03   0.376672E+03
   0.171601E-03   0.384019E+03
   0.175067E-03   0.391509E+03
   0.178604E-03   0.399146E+03
   0.182212E-03   0.406932E+03
   0.185893E-03   0.414870E+03
   0.189648E-03   0.422963E+03
   0.193479E-03   0.431214E+03
   0.197388E-03   0.439627E+03
   0.201375E-03   0.448204E+03
   0.205443E-03   0.456949E+03
   0.209594E-03   0.465866E+03
   0.213828E-03   0.474956E+03
   0.218147E-03   0.484225E+03
   0.222554E-03   0.493674E+03
   0.227050E-03   0.503309E+03
   0.231637E-03   0.513132E+03
   0.236316E-03   0.523148E+03
   0.241090E-03   0.533360E+03
   0.245960E-03   0.543771E+03
   0.250929E-03   0.554387E+03
   0.255998E-03   0.565210E+03
   0.261170E-03   0.576246E+03
   0.266446E-03   0.587497E+03
   0.271828E-03   0.598970E+03
   0.277319E-03   0.610667E+03
   0.282922E-03   0.622593E+03
   0.288637E-03   0.634753E+03
   0.294468E-03   0.647152E+03
   0.300417E-03   0.659794E+03
   0.306485E-03   0.672683E+03
   0.312677E-03   0.685826E+03
   0.318993E-03   0.699226E+03
   0.325437E-03   0.712890E+03
   0.332012E-03   0.726821E+03
   0.338719E-03   0.741026E+03
   0.345561E-03   0.755509E+03
   0.352542E-03   0.770277E+03
   0.359664E-03   0.785335E+03
   0.366930E-03   0.800688E+03
   0.374342E-03   0.816343E+03
   0.381904E-03   0.832306E+03
   0.389619E-03   0.848582E+03
   0.397490E-03   0.865177E+03
   0.405520E-03   0.882098E+03
   0.413712E-03   0.899352E+03
   0.422070E-03   0.916944E+03
   0.430596E-03   0.934882E+03
   0.439295E-03   0.953172E+03
   0.448169E-03   0.971820E+03
   0.457222E-03   0.990835E+03
   0.466459E-03   0.101022E+04
   0.475882E-03   0.102999E+04
   0.485496E-03   0.105015E+04
   0.495303E-03   0.107070E+04
   0.505309E-03   0.109165E+04
   0.515517E-03   0.111302E+04
   0.525931E-03   0.113480E+04
