#           k/h    P           
   0.100000E-03   0.390768E+03
   0.102020E-03   0.398402E+03
   0.104081E-03   0.406185E+03
   0.106184E-03   0.414122E+03
   0.108329E-03   0.422214E+03
   0.110517E-03   0.430465E+03
   0.112750E-03   0.438879E+03
   0.115027E-03   0.447458E+03
   0.117351E-03   0.456206E+03
   0.119722E-03   0.465126E+03
   0.122140E-03   0.474222E+03
   0.124608E-03   0.483497E+03
   0.127125E-03   0.492955E+03
   0.129693E-03   0.502599E+03
   0.132313E-03   0.512434E+03
   0.134986E-03   0.522462E+03
   0.137713E-03   0.532689E+03
   0.140495E-03   0.543118E+03
   0.143333E-03   0.553752E+03
   0.146228E-03   0.564597E+03
   0.149182E-03   0.575657E+03
   0.152196E-03   0.586936E+03
   0.155271E-03   0.598438E+03
   0.158407E-03   0.610168E+03
   0.161607E-03   0.622130E+03
   0.164872E-03   0.634330E+03
   0.168203E-03   0.646773E+03
   0.171601E-03   0.659462E+03
   0.175067E-03   0.672404E+03
   0.178604E-03   0.685604E+03
   0.182212E-03   0.699066E+03
   0.185893E-03   0.712797E+03
   0.189648E-03   0.726802E+03
   0.193479E-03   0.741086E+03
   0.197388E-03   0.755656E+03
   0.201375E-03   0.770517E+03
   0.205443E-03   0.785676E+03
   0.209594E-03   0.801138E+03
   0.213828E-03   0.816910E+03
   0.218147E-03   0.832999E+03
   0.222554E-03   0.849411E+03
   0.227050E-03   0.866154E+03
   0.231637E-03   0.883233E+03
   0.236316E-03   0.900657E+03
   0.241090E-03   0.918432E+03
   0.245960E-03   0.936567E+03
   0.250929E-03   0.955068E+03
   0.255998E-03   0.973943E+03
   0.261170E-03   0.993201E+03
   0.266446E-03   0.101285E+04
   0.271828E-03   0.103290E+04
   0.277319E-03   0.105335E+04
   0.282922E-03   0.107423E+04
   0.288637E-03   0.109552E+04
   0.294468E-03   0.111726E+04
   0.300417E-03   0.113943E+04
   0.306485E-03   0.116207E+04
   0.312677E-03   0.118516E+04
   0.318993E-03   0.120873E+04
   0.325437E-03   0.123278E+04
   0.332012E-03   0.125733E+04
   0.338719E-03   0.128238E+04
   0.345561E-03   0.130795E+04
   0.352542E-03   0.133405E+04
   0.359664E-03   0.136069E+04
   0.366930E-03   0.138788E+04
   0.374342E-03   0.141563E+04
   0.381904E-03   0.144396E+04
   0.389619E-03   0.147287E+04
   0.397490E-03   0.150239E+04
   0.405520E-03   0.153252E+04
   0.413712E-03   0.156328E+04
   0.422070E-03   0.159468E+04
   0.430596E-03   0.162673E+04
   0.439295E-03   0.165946E+04
   0.448169E-03   0.169286E+04
   0.457222E-03   0.172697E+04
   0.466459E-03   0.176179E+04
   0.475882E-03   0.179733E+04
   0.485496E-03   0.183362E+04
   0.495303E-03   0.187067E+04
   0.505309E-03   0.190849E+04
   0.515517E-03   0.194710E+04
   0.525931E-03   0.198652E+04
   0.536556E-03   0.202676E+04
   0.547395E-03   0.206784E+04
   0.558453E-03   0.210978E+04
   0.569734E-03   0.215259E+04
   0.581244E-03   0.219629E+04
   0.592986E-03   0.224089E+04
   0.604965E-03   0.228642E+04
   0.617186E-03   0.233289E+04
   0.629654E-03   0.238031E+04
   0.642374E-03   0.242871E+04
   0.655350E-03   0.247810E+04
   0.668589E-03   0.252850E+04
   0.682096E-03   0.257993E+04
   0.695875E-03   0.263240E+04
   0.709933E-03   0.268592E+04
   0.724274E-03   0.274052E+04
   0.738906E-03   0.279622E+04
   0.753832E-03   0.285302E+04
   0.769061E-03   0.291094E+04
   0.784597E-03   0.297001E+04
   0.800447E-03   0.303023E+04
   0.816617E-03   0.309161E+04
   0.833114E-03   0.315419E+04
   0.849944E-03   0.321796E+04
   0.867114E-03   0.328295E+04
   0.884631E-03   0.334916E+04
   0.902501E-03   0.341662E+04
   0.920733E-03   0.348534E+04
   0.939333E-03   0.355532E+04
   0.958309E-03   0.362659E+04
   0.977668E-03   0.369915E+04
   0.997418E-03   0.377302E+04
   0.101757E-02   0.384822E+04
   0.103812E-02   0.392475E+04
   0.105910E-02   0.400263E+04
   0.108049E-02   0.408187E+04
   0.110232E-02   0.416248E+04
   0.112459E-02   0.424449E+04
   0.114730E-02   0.432790E+04
   0.117048E-02   0.441272E+04
   0.119413E-02   0.449898E+04
   0.121825E-02   0.458669E+04
   0.124286E-02   0.467585E+04
   0.126797E-02   0.476649E+04
   0.129358E-02   0.485863E+04
   0.131971E-02   0.495228E+04
   0.134637E-02   0.504745E+04
   0.137357E-02   0.514417E+04
   0.140132E-02   0.524245E+04
   0.142963E-02   0.534231E+04
   0.145851E-02   0.544377E+04
   0.148797E-02   0.554684E+04
   0.151803E-02   0.565154E+04
   0.154870E-02   0.575790E+04
   0.157998E-02   0.586593E+04
   0.161190E-02   0.597564E+04
   0.164446E-02   0.608705E+04
   0.167768E-02   0.620019E+04
   0.171158E-02   0.631507E+04
   0.174615E-02   0.643170E+04
   0.178143E-02   0.655010E+04
   0.181741E-02   0.667029E+04
   0.185413E-02   0.679228E+04
   0.189158E-02   0.691608E+04
   0.192980E-02   0.704172E+04
   0.196878E-02   0.716920E+04
   0.200855E-02   0.729855E+04
   0.204913E-02   0.742976E+04
   0.209052E-02   0.756286E+04
   0.213276E-02   0.769786E+04
   0.217584E-02   0.783477E+04
   0.221979E-02   0.797360E+04
   0.226464E-02   0.811436E+04
   0.231039E-02   0.825706E+04
   0.235706E-02   0.840171E+04
   0.240467E-02   0.854831E+04
   0.245325E-02   0.869688E+04
   0.250281E-02   0.884742E+04
   0.255337E-02   0.899993E+04
   0.260495E-02   0.915442E+04
   0.265758E-02   0.931089E+04
   0.271126E-02   0.946934E+04
   0.276603E-02   0.962978E+04
   0.282191E-02   0.979219E+04
   0.287892E-02   0.995659E+04
   0.293708E-02   0.101230E+05
   0.299641E-02   0.102913E+05
   0.305694E-02   0.104616E+05
   0.311870E-02   0.106339E+05
   0.318170E-02   0.108081E+05
   0.324597E-02   0.109842E+05
   0.331155E-02   0.111623E+05
   0.337844E-02   0.113423E+05
   0.344669E-02   0.115241E+05
   0.351632E-02   0.117079E+05
   0.358735E-02   0.118935E+05
   0.365982E-02   0.120809E+05
   0.373376E-02   0.122701E+05
   0.380918E-02   0.124611E+05
   0.388613E-02   0.126538E+05
   0.396464E-02   0.128482E+05
   0.404473E-02   0.130444E+05
   0.412644E-02   0.132421E+05
   0.420980E-02   0.134415E+05
   0.429484E-02   0.136424E+05
   0.438160E-02   0.138448E+05
   0.447012E-02   0.140487E+05
