#           k/h    P           
   0.100000E-03   0.105037E+03
   0.102020E-03   0.107083E+03
   0.104081E-03   0.109169E+03
   0.106184E-03   0.111296E+03
   0.108329E-03   0.113464E+03
   0.110517E-03   0.115674E+03
   0.112750E-03   0.117927E+03
   0.115027E-03   0.120224E+03
   0.117351E-03   0.122566E+03
   0.119722E-03   0.124953E+03
   0.122140E-03   0.127387E+03
   0.124608E-03   0.129868E+03
   0.127125E-03   0.132397E+03
   0.129693E-03   0.134976E+03
   0.132313E-03   0.137605E+03
   0.134986E-03   0.140284E+03
   0.137713E-03   0.143016E+03
   0.140495E-03   0.145802E+03
   0.143333E-03   0.148641E+03
   0.146228E-03   0.151536E+03
   0.149182E-03   0.154487E+03
   0.152196E-03   0.157495E+03
   0.155271E-03   0.160562E+03
   0.158407E-03   0.163688E+03
   0.161607E-03   0.166875E+03
   0.164872E-03   0.170124E+03
   0.168203E-03   0.173437E+03
   0.171601E-03   0.176813E+03
   0.175067E-03   0.180256E+03
   0.178604E-03   0.183765E+03
   0.182212E-03   0.187342E+03
   0.185893E-03   0.190989E+03
   0.189648E-03   0.194707E+03
   0.193479E-03   0.198497E+03
   0.197388E-03   0.202360E+03
   0.201375E-03   0.206299E+03
   0.205443E-03   0.210314E+03
   0.209594E-03   0.214407E+03
   0.213828E-03   0.218579E+03
   0.218147E-03   0.222833E+03
   0.222554E-03   0.227169E+03
   0.227050E-03   0.231589E+03
   0.231637E-03   0.236095E+03
   0.236316E-03   0.240688E+03
   0.241090E-03   0.245370E+03
   0.245960E-03   0.250143E+03
   0.250929E-03   0.255008E+03
   0.255998E-03   0.259968E+03
   0.261170E-03   0.265024E+03
   0.266446E-03   0.270178E+03
   0.271828E-03   0.275432E+03
   0.277319E-03   0.280787E+03
   0.282922E-03   0.286246E+03
   0.288637E-03   0.291810E+03
   0.294468E-03   0.297483E+03
   0.300417E-03   0.303264E+03
   0.306485E-03   0.309158E+03
   0.312677E-03   0.315166E+03
   0.318993E-03   0.321289E+03
   0.325437E-03   0.327531E+03
   0.332012E-03   0.333893E+03
   0.338719E-03   0.340378E+03
   0.345561E-03   0.346989E+03
   0.352542E-03   0.353726E+03
   0.359664E-03   0.360594E+03
   0.366930E-03   0.367594E+03
   0.374342E-03   0.374728E+03
   0.381904E-03   0.382000E+03
   0.389619E-03   0.389412E+03
   0.397490E-03   0.396966E+03
   0.405520E-03   0.404665E+03
   0.413712E-03   0.412513E+03
   0.422070E-03   0.420511E+03
   0.430596E-03   0.428662E+03
   0.439295E-03   0.436969E+03
   0.448169E-03   0.445436E+03
   0.457222E-03   0.454065E+03
   0.466459E-03   0.462859E+03
   0.475882E-03   0.471820E+03
   0.485496E-03   0.480954E+03
   0.495303E-03   0.490261E+03
   0.505309E-03   0.499746E+03
   0.515517E-03   0.509411E+03
   0.525931E-03   0.519261E+03
   0.536556E-03   0.529297E+03
   0.547395E-03   0.539525E+03
   0.558453E-03   0.549946E+03
   0.569734E-03   0.560565E+03
   0.581244E-03   0.571385E+03
   0.592986E-03   0.582410E+03
   0.604965E-03   0.593643E+03
   0.617186E-03   0.605088E+03
   0.629654E-03   0.616749E+03
   0.642374E-03   0.628629E+03
   0.655350E-03   0.640732E+03
   0.668589E-03   0.653062E+03
   0.682096E-03   0.665623E+03
   0.695875E-03   0.678419E+03
   0.709933E-03   0.691454E+03
   0.724274E-03   0.704732E+03
   0.738906E-03   0.718257E+03
   0.753832E-03   0.732034E+03
   0.769061E-03   0.746065E+03
   0.784597E-03   0.760357E+03
   0.800447E-03   0.774912E+03
   0.816617E-03   0.789735E+03
   0.833114E-03   0.804830E+03
   0.849944E-03   0.820203E+03
   0.867114E-03   0.835857E+03
   0.884631E-03   0.851796E+03
   0.902501E-03   0.868025E+03
   0.920733E-03   0.884550E+03
   0.939333E-03   0.901373E+03
   0.958309E-03   0.918500E+03
   0.977668E-03   0.935935E+03
   0.997418E-03   0.953683E+03
   0.101757E-02   0.971748E+03
   0.103812E-02   0.990136E+03
   0.105910E-02   0.100885E+04
   0.108049E-02   0.102790E+04
   0.110232E-02   0.104728E+04
   0.112459E-02   0.106700E+04
   0.114730E-02   0.108707E+04
   0.117048E-02   0.110748E+04
   0.119413E-02   0.112825E+04
   0.121825E-02   0.114939E+04
   0.124286E-02   0.117088E+04
   0.126797E-02   0.119274E+04
   0.129358E-02   0.121498E+04
   0.131971E-02   0.123759E+04
   0.134637E-02   0.126059E+04
   0.137357E-02   0.128397E+04
   0.140132E-02   0.130775E+04
   0.142963E-02   0.133192E+04
   0.145851E-02   0.135649E+04
   0.148797E-02   0.138146E+04
   0.151803E-02   0.140684E+04
   0.154870E-02   0.143264E+04
   0.157998E-02   0.145885E+04
   0.161190E-02   0.148549E+04
   0.164446E-02   0.151255E+04
   0.167768E-02   0.154004E+04
   0.171158E-02   0.156797E+04
   0.174615E-02   0.159633E+04
   0.178143E-02   0.162513E+04
   0.181741E-02   0.165438E+04
   0.185413E-02   0.168408E+04
   0.189158E-02   0.171424E+04
   0.192980E-02   0.174485E+04
   0.196878E-02   0.177592E+04
   0.200855E-02   0.180745E+04
   0.204913E-02   0.183945E+04
   0.209052E-02   0.187192E+04
   0.213276E-02   0.190486E+04
   0.217584E-02   0.193828E+04
   0.221979E-02   0.197218E+04
   0.226464E-02   0.200655E+04
   0.231039E-02   0.204141E+04
   0.235706E-02   0.207675E+04
   0.240467E-02   0.211258E+04
   0.245325E-02   0.214890E+04
   0.250281E-02   0.218571E+04
   0.255337E-02   0.222301E+04
   0.260495E-02   0.226080E+04
   0.265758E-02   0.229908E+04
   0.271126E-02   0.233785E+04
   0.276603E-02   0.237712E+04
   0.282191E-02   0.241688E+04
   0.287892E-02   0.245713E+04
   0.293708E-02   0.249787E+04
   0.299641E-02   0.253910E+04
   0.305694E-02   0.258081E+04
   0.311870E-02   0.262301E+04
   0.318170E-02   0.266570E+04
   0.324597E-02   0.270886E+04
   0.331155E-02   0.275250E+04
   0.337844E-02   0.279661E+04
   0.344669E-02   0.284120E+04
   0.351632E-02   0.288624E+04
   0.358735E-02   0.293174E+04
   0.365982E-02   0.297770E+04
   0.373376E-02   0.302410E+04
   0.380918E-02   0.307095E+04
   0.388613E-02   0.311822E+04
   0.396464E-02   0.316592E+04
   0.404473E-02   0.321403E+04
   0.412644E-02   0.326256E+04
   0.420980E-02   0.331147E+04
   0.429484E-02   0.336078E+04
   0.438160E-02   0.341046E+04
   0.447012E-02   0.346050E+04
   0.456042E-02   0.351090E+04
   0.465255E-02   0.356163E+04
   0.474653E-02   0.361268E+04
   0.484242E-02   0.366405E+04
   0.494024E-02   0.371571E+04
   0.504004E-02   0.376764E+04
   0.514186E-02   0.381984E+04
   0.524573E-02   0.387228E+04
   0.535170E-02   0.392494E+04
   0.545981E-02   0.397780E+04
   0.557011E-02   0.403084E+04
   0.568263E-02   0.408405E+04
   0.579743E-02   0.413739E+04
   0.591455E-02   0.419085E+04
   0.603403E-02   0.424440E+04
   0.615592E-02   0.429801E+04
   0.628028E-02   0.435166E+04
   0.640715E-02   0.440532E+04
   0.653658E-02   0.445896E+04
   0.666863E-02   0.451255E+04
   0.680335E-02   0.456606E+04
   0.694078E-02   0.461946E+04
   0.708100E-02   0.467272E+04
   0.722404E-02   0.472579E+04
   0.736998E-02   0.477865E+04
   0.751886E-02   0.483126E+04
   0.767075E-02   0.488358E+04
   0.782571E-02   0.493556E+04
   0.798380E-02   0.498718E+04
   0.814509E-02   0.503839E+04
   0.830963E-02   0.508914E+04
   0.847750E-02   0.513939E+04
   0.864875E-02   0.518910E+04
   0.882347E-02   0.523822E+04
   0.900171E-02   0.528670E+04
   0.918356E-02   0.533449E+04
   0.936908E-02   0.538154E+04
   0.955835E-02   0.542780E+04
   0.975144E-02   0.547321E+04
   0.994843E-02   0.551773E+04
   0.101494E-01   0.556129E+04
   0.103544E-01   0.560384E+04
   0.105636E-01   0.564532E+04
   0.107770E-01   0.568567E+04
   0.109947E-01   0.572483E+04
   0.112168E-01   0.576274E+04
   0.114434E-01   0.579934E+04
   0.116746E-01   0.583456E+04
   0.119104E-01   0.586833E+04
   0.121510E-01   0.590061E+04
   0.123965E-01   0.593131E+04
   0.126469E-01   0.596037E+04
   0.129024E-01   0.598772E+04
   0.131631E-01   0.601331E+04
   0.134290E-01   0.603705E+04
   0.137003E-01   0.605888E+04
   0.139770E-01   0.607873E+04
   0.142594E-01   0.609654E+04
   0.145474E-01   0.611224E+04
   0.148413E-01   0.612575E+04
   0.151411E-01   0.613703E+04
   0.154470E-01   0.614599E+04
   0.157590E-01   0.615258E+04
   0.160774E-01   0.615673E+04
   0.164022E-01   0.615838E+04
   0.167335E-01   0.615748E+04
   0.170716E-01   0.615397E+04
   0.174164E-01   0.614780E+04
   0.177683E-01   0.613891E+04
   0.181272E-01   0.612726E+04
   0.184934E-01   0.611281E+04
   0.188670E-01   0.609552E+04
   0.192481E-01   0.607535E+04
   0.196370E-01   0.605229E+04
   0.200337E-01   0.602630E+04
   0.204384E-01   0.599737E+04
   0.208513E-01   0.596549E+04
   0.212725E-01   0.593067E+04
   0.217022E-01   0.589289E+04
   0.221406E-01   0.585219E+04
   0.225879E-01   0.580857E+04
   0.230442E-01   0.576208E+04
   0.235097E-01   0.571276E+04
   0.239847E-01   0.566063E+04
   0.244692E-01   0.560578E+04
   0.249635E-01   0.554827E+04
   0.254678E-01   0.548820E+04
   0.259823E-01   0.542564E+04
   0.265072E-01   0.536070E+04
