#           k/h    P           
   0.100000E-03   0.178607E+03
   0.102020E-03   0.182088E+03
   0.104081E-03   0.185636E+03
   0.106184E-03   0.189253E+03
   0.108329E-03   0.192941E+03
   0.110517E-03   0.196700E+03
   0.112750E-03   0.200533E+03
   0.115027E-03   0.204441E+03
   0.117351E-03   0.208425E+03
   0.119722E-03   0.212486E+03
   0.122140E-03   0.216626E+03
   0.124608E-03   0.220847E+03
   0.127125E-03   0.225151E+03
   0.129693E-03   0.229538E+03
   0.132313E-03   0.234011E+03
   0.134986E-03   0.238571E+03
   0.137713E-03   0.243220E+03
   0.140495E-03   0.247959E+03
   0.143333E-03   0.252791E+03
   0.146228E-03   0.257716E+03
   0.149182E-03   0.262738E+03
   0.152196E-03   0.267858E+03
   0.155271E-03   0.273077E+03
   0.158407E-03   0.278399E+03
   0.161607E-03   0.283823E+03
   0.164872E-03   0.289354E+03
   0.168203E-03   0.294992E+03
   0.171601E-03   0.300741E+03
   0.175067E-03   0.306601E+03
   0.178604E-03   0.312575E+03
   0.182212E-03   0.318666E+03
   0.185893E-03   0.324876E+03
   0.189648E-03   0.331206E+03
   0.193479E-03   0.337660E+03
   0.197388E-03   0.344239E+03
   0.201375E-03   0.350947E+03
   0.205443E-03   0.357786E+03
   0.209594E-03   0.364758E+03
   0.213828E-03   0.371865E+03
   0.218147E-03   0.379111E+03
   0.222554E-03   0.386498E+03
   0.227050E-03   0.394030E+03
   0.231637E-03   0.401707E+03
   0.236316E-03   0.409535E+03
   0.241090E-03   0.417515E+03
   0.245960E-03   0.425650E+03
   0.250929E-03   0.433944E+03
   0.255998E-03   0.442400E+03
   0.261170E-03   0.451020E+03
   0.266446E-03   0.459808E+03
   0.271828E-03   0.468767E+03
   0.277319E-03   0.477901E+03
   0.282922E-03   0.487212E+03
   0.288637E-03   0.496705E+03
   0.294468E-03   0.506383E+03
   0.300417E-03   0.516249E+03
   0.306485E-03   0.526307E+03
   0.312677E-03   0.536561E+03
   0.318993E-03   0.547015E+03
   0.325437E-03   0.557672E+03
   0.332012E-03   0.568536E+03
   0.338719E-03   0.579612E+03
   0.345561E-03   0.590904E+03
   0.352542E-03   0.602415E+03
   0.359664E-03   0.614150E+03
   0.366930E-03   0.626113E+03
   0.374342E-03   0.638308E+03
   0.381904E-03   0.650741E+03
   0.389619E-03   0.663416E+03
