#           k/h    P           
   0.100000E-03   0.315090E+03
   0.102020E-03   0.321237E+03
   0.104081E-03   0.327505E+03
   0.106184E-03   0.333895E+03
   0.108329E-03   0.340411E+03
   0.110517E-03   0.347054E+03
   0.112750E-03   0.353827E+03
   0.115027E-03   0.360732E+03
   0.117351E-03   0.367773E+03
   0.119722E-03   0.374952E+03
   0.122140E-03   0.382271E+03
   0.124608E-03   0.389734E+03
   0.127125E-03   0.397343E+03
   0.129693E-03   0.405101E+03
   0.132313E-03   0.413011E+03
   0.134986E-03   0.421077E+03
   0.137713E-03   0.429300E+03
   0.140495E-03   0.437685E+03
   0.143333E-03   0.446235E+03
   0.146228E-03   0.454952E+03
   0.149182E-03   0.463841E+03
   0.152196E-03   0.472904E+03
   0.155271E-03   0.482145E+03
   0.158407E-03   0.491568E+03
   0.161607E-03   0.501176E+03
   0.164872E-03   0.510973E+03
   0.168203E-03   0.520963E+03
   0.171601E-03   0.531149E+03
   0.175067E-03   0.541536E+03
   0.178604E-03   0.552128E+03
   0.182212E-03   0.562928E+03
   0.185893E-03   0.573941E+03
   0.189648E-03   0.585171E+03
   0.193479E-03   0.596623E+03
   0.197388E-03   0.608301E+03
   0.201375E-03   0.620210E+03
   0.205443E-03   0.632353E+03
   0.209594E-03   0.644737E+03
   0.213828E-03   0.657366E+03
   0.218147E-03   0.670244E+03
   0.222554E-03   0.683377E+03
   0.227050E-03   0.696771E+03
   0.231637E-03   0.710430E+03
   0.236316E-03   0.724359E+03
   0.241090E-03   0.738565E+03
   0.245960E-03   0.753053E+03
   0.250929E-03   0.767828E+03
   0.255998E-03   0.782898E+03
   0.261170E-03   0.798267E+03
   0.266446E-03   0.813941E+03
   0.271828E-03   0.829928E+03
   0.277319E-03   0.846233E+03
   0.282922E-03   0.862863E+03
   0.288637E-03   0.879825E+03
   0.294468E-03   0.897125E+03
   0.300417E-03   0.914771E+03
   0.306485E-03   0.932769E+03
   0.312677E-03   0.951128E+03
   0.318993E-03   0.969854E+03
   0.325437E-03   0.988955E+03
   0.332012E-03   0.100844E+04
   0.338719E-03   0.102831E+04
   0.345561E-03   0.104859E+04
   0.352542E-03   0.106927E+04
   0.359664E-03   0.109036E+04
   0.366930E-03   0.111188E+04
   0.374342E-03   0.113384E+04
   0.381904E-03   0.115623E+04
   0.389619E-03   0.117908E+04
   0.397490E-03   0.120238E+04
   0.405520E-03   0.122616E+04
   0.413712E-03   0.125041E+04
   0.422070E-03   0.127516E+04
   0.430596E-03   0.130040E+04
   0.439295E-03   0.132616E+04
   0.448169E-03   0.135243E+04
   0.457222E-03   0.137924E+04
   0.466459E-03   0.140659E+04
   0.475882E-03   0.143448E+04
   0.485496E-03   0.146295E+04
   0.495303E-03   0.149199E+04
   0.505309E-03   0.152161E+04
   0.515517E-03   0.155184E+04
   0.525931E-03   0.158267E+04
   0.536556E-03   0.161413E+04
   0.547395E-03   0.164622E+04
   0.558453E-03   0.167896E+04
   0.569734E-03   0.171235E+04
   0.581244E-03   0.174642E+04
   0.592986E-03   0.178118E+04
   0.604965E-03   0.181663E+04
   0.617186E-03   0.185279E+04
   0.629654E-03   0.188968E+04
   0.642374E-03   0.192730E+04
   0.655350E-03   0.196567E+04
   0.668589E-03   0.200481E+04
   0.682096E-03   0.204472E+04
   0.695875E-03   0.208542E+04
   0.709933E-03   0.212693E+04
   0.724274E-03   0.216925E+04
   0.738906E-03   0.221240E+04
   0.753832E-03   0.225639E+04
   0.769061E-03   0.230124E+04
   0.784597E-03   0.234696E+04
   0.800447E-03   0.239356E+04
   0.816617E-03   0.244106E+04
   0.833114E-03   0.248946E+04
   0.849944E-03   0.253879E+04
   0.867114E-03   0.258905E+04
   0.884631E-03   0.264026E+04
   0.902501E-03   0.269242E+04
   0.920733E-03   0.274556E+04
   0.939333E-03   0.279968E+04
   0.958309E-03   0.285480E+04
   0.977668E-03   0.291093E+04
   0.997418E-03   0.296807E+04
   0.101757E-02   0.302625E+04
   0.103812E-02   0.308547E+04
   0.105910E-02   0.314575E+04
   0.108049E-02   0.320709E+04
   0.110232E-02   0.326951E+04
   0.112459E-02   0.333302E+04
   0.114730E-02   0.339763E+04
   0.117048E-02   0.346336E+04
   0.119413E-02   0.353021E+04
   0.121825E-02   0.359821E+04
   0.124286E-02   0.366735E+04
   0.126797E-02   0.373765E+04
   0.129358E-02   0.380913E+04
   0.131971E-02   0.388180E+04
   0.134637E-02   0.395566E+04
   0.137357E-02   0.403074E+04
   0.140132E-02   0.410705E+04
   0.142963E-02   0.418460E+04
   0.145851E-02   0.426340E+04
   0.148797E-02   0.434347E+04
   0.151803E-02   0.442482E+04
   0.154870E-02   0.450747E+04
   0.157998E-02   0.459142E+04
   0.161190E-02   0.467670E+04
   0.164446E-02   0.476331E+04
   0.167768E-02   0.485128E+04
   0.171158E-02   0.494060E+04
   0.174615E-02   0.503130E+04
