#           k/h    P           
   0.100000E-03   0.115283E+03
   0.102020E-03   0.117529E+03
   0.104081E-03   0.119818E+03
   0.106184E-03   0.122152E+03
   0.108329E-03   0.124532E+03
   0.110517E-03   0.126958E+03
   0.112750E-03   0.129431E+03
   0.115027E-03   0.131952E+03
   0.117351E-03   0.134522E+03
   0.119722E-03   0.137142E+03
   0.122140E-03   0.139814E+03
   0.124608E-03   0.142537E+03
   0.127125E-03   0.145313E+03
   0.129693E-03   0.148143E+03
   0.132313E-03   0.151029E+03
   0.134986E-03   0.153970E+03
   0.137713E-03   0.156969E+03
   0.140495E-03   0.160026E+03
   0.143333E-03   0.163143E+03
   0.146228E-03   0.166320E+03
   0.149182E-03   0.169559E+03
   0.152196E-03   0.172861E+03
   0.155271E-03   0.176227E+03
   0.158407E-03   0.179659E+03
   0.161607E-03   0.183157E+03
   0.164872E-03   0.186724E+03
   0.168203E-03   0.190359E+03
   0.171601E-03   0.194066E+03
   0.175067E-03   0.197844E+03
   0.178604E-03   0.201696E+03
   0.182212E-03   0.205623E+03
   0.185893E-03   0.209626E+03
   0.189648E-03   0.213707E+03
   0.193479E-03   0.217868E+03
   0.197388E-03   0.222109E+03
   0.201375E-03   0.226432E+03
   0.205443E-03   0.230839E+03
   0.209594E-03   0.235332E+03
   0.213828E-03   0.239913E+03
   0.218147E-03   0.244582E+03
   0.222554E-03   0.249342E+03
   0.227050E-03   0.254194E+03
   0.231637E-03   0.259140E+03
   0.236316E-03   0.264183E+03
   0.241090E-03   0.269323E+03
   0.245960E-03   0.274562E+03
   0.250929E-03   0.279904E+03
   0.255998E-03   0.285349E+03
   0.261170E-03   0.290899E+03
   0.266446E-03   0.296557E+03
   0.271828E-03   0.302325E+03
   0.277319E-03   0.308205E+03
   0.282922E-03   0.314198E+03
   0.288637E-03   0.320307E+03
   0.294468E-03   0.326535E+03
   0.300417E-03   0.332883E+03
   0.306485E-03   0.339354E+03
   0.312677E-03   0.345950E+03
   0.318993E-03   0.352673E+03
   0.325437E-03   0.359527E+03
   0.332012E-03   0.366513E+03
   0.338719E-03   0.373633E+03
   0.345561E-03   0.380892E+03
   0.352542E-03   0.388290E+03
   0.359664E-03   0.395831E+03
   0.366930E-03   0.403518E+03
   0.374342E-03   0.411352E+03
   0.381904E-03   0.419338E+03
   0.389619E-03   0.427477E+03
   0.397490E-03   0.435773E+03
   0.405520E-03   0.444229E+03
   0.413712E-03   0.452847E+03
   0.422070E-03   0.461631E+03
   0.430596E-03   0.470583E+03
   0.439295E-03   0.479707E+03
   0.448169E-03   0.489007E+03
   0.457222E-03   0.498484E+03
   0.466459E-03   0.508143E+03
   0.475882E-03   0.517987E+03
   0.485496E-03   0.528019E+03
   0.495303E-03   0.538243E+03
   0.505309E-03   0.548663E+03
   0.515517E-03   0.559281E+03
   0.525931E-03   0.570101E+03
   0.536556E-03   0.581128E+03
   0.547395E-03   0.592364E+03
   0.558453E-03   0.603814E+03
   0.569734E-03   0.615481E+03
   0.581244E-03   0.627370E+03
   0.592986E-03   0.639484E+03
   0.604965E-03   0.651827E+03
   0.617186E-03   0.664403E+03
   0.629654E-03   0.677217E+03
   0.642374E-03   0.690272E+03
   0.655350E-03   0.703573E+03
   0.668589E-03   0.717124E+03
   0.682096E-03   0.730930E+03
   0.695875E-03   0.744994E+03
   0.709933E-03   0.759321E+03
   0.724274E-03   0.773916E+03
   0.738906E-03   0.788783E+03
   0.753832E-03   0.803927E+03
   0.769061E-03   0.819352E+03
   0.784597E-03   0.835063E+03
   0.800447E-03   0.851064E+03
   0.816617E-03   0.867361E+03
   0.833114E-03   0.883958E+03
   0.849944E-03   0.900859E+03
   0.867114E-03   0.918071E+03
   0.884631E-03   0.935597E+03
   0.902501E-03   0.953443E+03
   0.920733E-03   0.971613E+03
   0.939333E-03   0.990113E+03
   0.958309E-03   0.100895E+04
   0.977668E-03   0.102812E+04
   0.997418E-03   0.104764E+04
   0.101757E-02   0.106751E+04
