#           k/h    P           
   0.100000E-03   0.346963E+03
   0.102020E-03   0.353735E+03
   0.104081E-03   0.360640E+03
   0.106184E-03   0.367681E+03
   0.108329E-03   0.374859E+03
   0.110517E-03   0.382178E+03
   0.112750E-03   0.389641E+03
   0.115027E-03   0.397250E+03
   0.117351E-03   0.405009E+03
   0.119722E-03   0.412919E+03
   0.122140E-03   0.420985E+03
   0.124608E-03   0.429209E+03
   0.127125E-03   0.437595E+03
   0.129693E-03   0.446145E+03
   0.132313E-03   0.454864E+03
   0.134986E-03   0.463753E+03
   0.137713E-03   0.472818E+03
   0.140495E-03   0.482061E+03
   0.143333E-03   0.491486E+03
   0.146228E-03   0.501096E+03
   0.149182E-03   0.510896E+03
   0.152196E-03   0.520888E+03
   0.155271E-03   0.531078E+03
   0.158407E-03   0.541469E+03
   0.161607E-03   0.552064E+03
   0.164872E-03   0.562869E+03
   0.168203E-03   0.573886E+03
   0.171601E-03   0.585122E+03
   0.175067E-03   0.596579E+03
   0.178604E-03   0.608264E+03
   0.182212E-03   0.620179E+03
   0.185893E-03   0.632330E+03
   0.189648E-03   0.644722E+03
   0.193479E-03   0.657359E+03
   0.197388E-03   0.670247E+03
   0.201375E-03   0.683391E+03
   0.205443E-03   0.696795E+03
   0.209594E-03   0.710466E+03
   0.213828E-03   0.724408E+03
   0.218147E-03   0.738628E+03
   0.222554E-03   0.753131E+03
   0.227050E-03   0.767923E+03
   0.231637E-03   0.783010E+03
   0.236316E-03   0.798397E+03
   0.241090E-03   0.814092E+03
   0.245960E-03   0.830101E+03
   0.250929E-03   0.846429E+03
   0.255998E-03   0.863085E+03
   0.261170E-03   0.880074E+03
   0.266446E-03   0.897403E+03
   0.271828E-03   0.915080E+03
   0.277319E-03   0.933112E+03
   0.282922E-03   0.951506E+03
   0.288637E-03   0.970271E+03
   0.294468E-03   0.989413E+03
   0.300417E-03   0.100894E+04
   0.306485E-03   0.102886E+04
   0.312677E-03   0.104919E+04
   0.318993E-03   0.106992E+04
   0.325437E-03   0.109107E+04
   0.332012E-03   0.111266E+04
   0.338719E-03   0.113468E+04
   0.345561E-03   0.115714E+04
   0.352542E-03   0.118006E+04
   0.359664E-03   0.120345E+04
   0.366930E-03   0.122731E+04
   0.374342E-03   0.125166E+04
   0.381904E-03   0.127651E+04
   0.389619E-03   0.130186E+04
   0.397490E-03   0.132772E+04
   0.405520E-03   0.135412E+04
   0.413712E-03   0.138105E+04
   0.422070E-03   0.140854E+04
   0.430596E-03   0.143658E+04
   0.439295E-03   0.146520E+04
   0.448169E-03   0.149441E+04
   0.457222E-03   0.152421E+04
   0.466459E-03   0.155463E+04
   0.475882E-03   0.158567E+04
   0.485496E-03   0.161734E+04
   0.495303E-03   0.164966E+04
   0.505309E-03   0.168264E+04
   0.515517E-03   0.171630E+04
   0.525931E-03   0.175065E+04
   0.536556E-03   0.178570E+04
   0.547395E-03   0.182147E+04
   0.558453E-03   0.185796E+04
   0.569734E-03   0.189521E+04
   0.581244E-03   0.193321E+04
   0.592986E-03   0.197198E+04
   0.604965E-03   0.201154E+04
   0.617186E-03   0.205191E+04
   0.629654E-03   0.209309E+04
   0.642374E-03   0.213511E+04
   0.655350E-03   0.217797E+04
   0.668589E-03   0.222169E+04
   0.682096E-03   0.226629E+04
   0.695875E-03   0.231179E+04
   0.709933E-03   0.235818E+04
   0.724274E-03   0.240550E+04
   0.738906E-03   0.245376E+04
   0.753832E-03   0.250296E+04
   0.769061E-03   0.255313E+04
   0.784597E-03   0.260428E+04
   0.800447E-03   0.265642E+04
   0.816617E-03   0.270956E+04
   0.833114E-03   0.276373E+04
   0.849944E-03   0.281894E+04
   0.867114E-03   0.287519E+04
   0.884631E-03   0.293250E+04
   0.902501E-03   0.299089E+04
   0.920733E-03   0.305037E+04
   0.939333E-03   0.311095E+04
   0.958309E-03   0.317264E+04
   0.977668E-03   0.323546E+04
   0.997418E-03   0.329942E+04
   0.101757E-02   0.336452E+04
   0.103812E-02   0.343080E+04
   0.105910E-02   0.349825E+04
   0.108049E-02   0.356689E+04
   0.110232E-02   0.363673E+04
   0.112459E-02   0.370778E+04
   0.114730E-02   0.378006E+04
   0.117048E-02   0.385358E+04
   0.119413E-02   0.392835E+04
   0.121825E-02   0.400439E+04
   0.124286E-02   0.408170E+04
   0.126797E-02   0.416031E+04
   0.129358E-02   0.424022E+04
   0.131971E-02   0.432146E+04
   0.134637E-02   0.440403E+04
   0.137357E-02   0.448795E+04
   0.140132E-02   0.457323E+04
   0.142963E-02   0.465990E+04
   0.145851E-02   0.474796E+04
   0.148797E-02   0.483743E+04
   0.151803E-02   0.492832E+04
   0.154870E-02   0.502066E+04
   0.157998E-02   0.511445E+04
   0.161190E-02   0.520972E+04
   0.164446E-02   0.530647E+04
   0.167768E-02   0.540473E+04
   0.171158E-02   0.550450E+04
   0.174615E-02   0.560581E+04
   0.178143E-02   0.570866E+04
   0.181741E-02   0.581307E+04
   0.185413E-02   0.591906E+04
   0.189158E-02   0.602663E+04
   0.192980E-02   0.613580E+04
   0.196878E-02   0.624658E+04
   0.200855E-02   0.635899E+04
   0.204913E-02   0.647303E+04
   0.209052E-02   0.658871E+04
   0.213276E-02   0.670605E+04
   0.217584E-02   0.682506E+04
   0.221979E-02   0.694574E+04
   0.226464E-02   0.706810E+04
   0.231039E-02   0.719216E+04
   0.235706E-02   0.731792E+04
   0.240467E-02   0.744538E+04
   0.245325E-02   0.757455E+04
   0.250281E-02   0.770545E+04
   0.255337E-02   0.783806E+04
   0.260495E-02   0.797240E+04
   0.265758E-02   0.810847E+04
   0.271126E-02   0.824626E+04
   0.276603E-02   0.838579E+04
   0.282191E-02   0.852704E+04
   0.287892E-02   0.867001E+04
   0.293708E-02   0.881471E+04
   0.299641E-02   0.896113E+04
   0.305694E-02   0.910926E+04
   0.311870E-02   0.925909E+04
   0.318170E-02   0.941062E+04
   0.324597E-02   0.956384E+04
   0.331155E-02   0.971873E+04
   0.337844E-02   0.987529E+04
   0.344669E-02   0.100335E+05
   0.351632E-02   0.101933E+05
   0.358735E-02   0.103548E+05
   0.365982E-02   0.105178E+05
   0.373376E-02   0.106824E+05
   0.380918E-02   0.108486E+05
   0.388613E-02   0.110162E+05
   0.396464E-02   0.111854E+05
   0.404473E-02   0.113560E+05
   0.412644E-02   0.115281E+05
   0.420980E-02   0.117015E+05
   0.429484E-02   0.118763E+05
   0.438160E-02   0.120525E+05
   0.447012E-02   0.122299E+05
   0.456042E-02   0.124085E+05
   0.465255E-02   0.125884E+05
   0.474653E-02   0.127693E+05
   0.484242E-02   0.129514E+05
   0.494024E-02   0.131345E+05
   0.504004E-02   0.133185E+05
   0.514186E-02   0.135035E+05
   0.524573E-02   0.136893E+05
   0.535170E-02   0.138759E+05
   0.545981E-02   0.140632E+05
   0.557011E-02   0.142512E+05
   0.568263E-02   0.144397E+05
   0.579743E-02   0.146287E+05
   0.591455E-02   0.148181E+05
   0.603403E-02   0.150078E+05
   0.615592E-02   0.151977E+05
   0.628028E-02   0.153878E+05
   0.640715E-02   0.155779E+05
   0.653658E-02   0.157679E+05
   0.666863E-02   0.159577E+05
   0.680335E-02   0.161472E+05
   0.694078E-02   0.163364E+05
   0.708100E-02   0.165250E+05
   0.722404E-02   0.167130E+05
   0.736998E-02   0.169002E+05
   0.751886E-02   0.170865E+05
   0.767075E-02   0.172718E+05
   0.782571E-02   0.174560E+05
   0.798380E-02   0.176388E+05
   0.814509E-02   0.178201E+05
   0.830963E-02   0.179999E+05
   0.847750E-02   0.181778E+05
   0.864875E-02   0.183539E+05
   0.882347E-02   0.185278E+05
   0.900171E-02   0.186995E+05
   0.918356E-02   0.188687E+05
   0.936908E-02   0.190353E+05
   0.955835E-02   0.191991E+05
   0.975144E-02   0.193600E+05
   0.994843E-02   0.195176E+05
   0.101494E-01   0.196719E+05
   0.103544E-01   0.198225E+05
   0.105636E-01   0.199694E+05
   0.107770E-01   0.201123E+05
   0.109947E-01   0.202510E+05
   0.112168E-01   0.203852E+05
   0.114434E-01   0.205148E+05
   0.116746E-01   0.206396E+05
   0.119104E-01   0.207592E+05
   0.121510E-01   0.208735E+05
   0.123965E-01   0.209822E+05
   0.126469E-01   0.210851E+05
   0.129024E-01   0.211820E+05
   0.131631E-01   0.212726E+05
   0.134290E-01   0.213567E+05
   0.137003E-01   0.214340E+05
   0.139770E-01   0.215044E+05
   0.142594E-01   0.215675E+05
   0.145474E-01   0.216231E+05
   0.148413E-01   0.216710E+05
   0.151411E-01   0.217109E+05
   0.154470E-01   0.217427E+05
   0.157590E-01   0.217661E+05
   0.160774E-01   0.217809E+05
   0.164022E-01   0.217868E+05
   0.167335E-01   0.217837E+05
   0.170716E-01   0.217713E+05
   0.174164E-01   0.217495E+05
   0.177683E-01   0.217182E+05
   0.181272E-01   0.216770E+05
   0.184934E-01   0.216259E+05
   0.188670E-01   0.215648E+05
   0.192481E-01   0.214935E+05
   0.196370E-01   0.214120E+05
   0.200337E-01   0.213201E+05
   0.204384E-01   0.212178E+05
   0.208513E-01   0.211051E+05
   0.212725E-01   0.209819E+05
   0.217022E-01   0.208483E+05
   0.221406E-01   0.207043E+05
   0.225879E-01   0.205501E+05
   0.230442E-01   0.203856E+05
   0.235097E-01   0.202111E+05
   0.239847E-01   0.200268E+05
   0.244692E-01   0.198327E+05
   0.249635E-01   0.196293E+05
   0.254678E-01   0.194168E+05
   0.259823E-01   0.191955E+05
   0.265072E-01   0.189657E+05
   0.270426E-01   0.187280E+05
   0.275889E-01   0.184827E+05
   0.281463E-01   0.182303E+05
   0.287149E-01   0.179714E+05
   0.292949E-01   0.177064E+05
   0.298867E-01   0.174360E+05
   0.304905E-01   0.171610E+05
   0.311064E-01   0.168818E+05
   0.317348E-01   0.165993E+05
   0.323759E-01   0.163140E+05
   0.330299E-01   0.160267E+05
   0.336972E-01   0.157384E+05
   0.343779E-01   0.154497E+05
   0.350724E-01   0.151613E+05
   0.357809E-01   0.148741E+05
   0.365038E-01   0.145889E+05
   0.372412E-01   0.143064E+05
   0.379935E-01   0.140275E+05
   0.387610E-01   0.137529E+05
   0.395440E-01   0.134832E+05
   0.403429E-01   0.132191E+05
   0.411579E-01   0.129613E+05
   0.419893E-01   0.127104E+05
   0.428375E-01   0.124670E+05
   0.437029E-01   0.122314E+05
   0.445858E-01   0.120040E+05
   0.454865E-01   0.117851E+05
   0.464053E-01   0.115749E+05
   0.473428E-01   0.113737E+05
   0.482992E-01   0.111814E+05
   0.492749E-01   0.109978E+05
   0.502703E-01   0.108227E+05
   0.512858E-01   0.106559E+05
   0.523219E-01   0.104969E+05
   0.533789E-01   0.103452E+05
   0.544572E-01   0.101998E+05
   0.555573E-01   0.100601E+05
   0.566796E-01   0.992523E+04
   0.578246E-01   0.979404E+04
   0.589927E-01   0.966529E+04
   0.601845E-01   0.953777E+04
