#           k/h    P           
   0.100000E-03   0.104847E+03
   0.102020E-03   0.106889E+03
   0.104081E-03   0.108972E+03
   0.106184E-03   0.111094E+03
   0.108329E-03   0.113258E+03
   0.110517E-03   0.115464E+03
   0.112750E-03   0.117713E+03
   0.115027E-03   0.120006E+03
   0.117351E-03   0.122344E+03
   0.119722E-03   0.124727E+03
   0.122140E-03   0.127156E+03
   0.124608E-03   0.129633E+03
   0.127125E-03   0.132157E+03
   0.129693E-03   0.134731E+03
   0.132313E-03   0.137355E+03
   0.134986E-03   0.140030E+03
   0.137713E-03   0.142758E+03
   0.140495E-03   0.145538E+03
   0.143333E-03   0.148372E+03
   0.146228E-03   0.151261E+03
   0.149182E-03   0.154207E+03
   0.152196E-03   0.157210E+03
   0.155271E-03   0.160271E+03
   0.158407E-03   0.163392E+03
   0.161607E-03   0.166573E+03
   0.164872E-03   0.169816E+03
   0.168203E-03   0.173123E+03
   0.171601E-03   0.176493E+03
   0.175067E-03   0.179929E+03
   0.178604E-03   0.183432E+03
   0.182212E-03   0.187003E+03
   0.185893E-03   0.190643E+03
   0.189648E-03   0.194354E+03
   0.193479E-03   0.198137E+03
   0.197388E-03   0.201994E+03
   0.201375E-03   0.205925E+03
   0.205443E-03   0.209933E+03
   0.209594E-03   0.214019E+03
   0.213828E-03   0.218183E+03
   0.218147E-03   0.222429E+03
   0.222554E-03   0.226757E+03
   0.227050E-03   0.231169E+03
   0.231637E-03   0.235667E+03
   0.236316E-03   0.240252E+03
   0.241090E-03   0.244925E+03
   0.245960E-03   0.249690E+03
   0.250929E-03   0.254546E+03
   0.255998E-03   0.259497E+03
   0.261170E-03   0.264544E+03
   0.266446E-03   0.269688E+03
   0.271828E-03   0.274932E+03
   0.277319E-03   0.280278E+03
   0.282922E-03   0.285727E+03
   0.288637E-03   0.291282E+03
   0.294468E-03   0.296943E+03
   0.300417E-03   0.302715E+03
   0.306485E-03   0.308598E+03
   0.312677E-03   0.314594E+03
   0.318993E-03   0.320707E+03
   0.325437E-03   0.326937E+03
   0.332012E-03   0.333288E+03
   0.338719E-03   0.339762E+03
   0.345561E-03   0.346360E+03
   0.352542E-03   0.353085E+03
   0.359664E-03   0.359940E+03
   0.366930E-03   0.366927E+03
   0.374342E-03   0.374049E+03
   0.381904E-03   0.381307E+03
   0.389619E-03   0.388706E+03
   0.397490E-03   0.396246E+03
   0.405520E-03   0.403932E+03
   0.413712E-03   0.411765E+03
   0.422070E-03   0.419748E+03
   0.430596E-03   0.427884E+03
   0.439295E-03   0.436177E+03
   0.448169E-03   0.444628E+03
   0.457222E-03   0.453241E+03
   0.466459E-03   0.462019E+03
   0.475882E-03   0.470964E+03
   0.485496E-03   0.480081E+03
   0.495303E-03   0.489371E+03
   0.505309E-03   0.498839E+03
   0.515517E-03   0.508486E+03
   0.525931E-03   0.518318E+03
   0.536556E-03   0.528336E+03
   0.547395E-03   0.538545E+03
   0.558453E-03   0.548947E+03
   0.569734E-03   0.559547E+03
   0.581244E-03   0.570347E+03
   0.592986E-03   0.581352E+03
   0.604965E-03   0.592564E+03
   0.617186E-03   0.603988E+03
   0.629654E-03   0.615627E+03
   0.642374E-03   0.627486E+03
   0.655350E-03   0.639567E+03
   0.668589E-03   0.651874E+03
   0.682096E-03   0.664412E+03
   0.695875E-03   0.677185E+03
   0.709933E-03   0.690196E+03
   0.724274E-03   0.703450E+03
   0.738906E-03   0.716950E+03
   0.753832E-03   0.730701E+03
   0.769061E-03   0.744707E+03
   0.784597E-03   0.758972E+03
   0.800447E-03   0.773500E+03
   0.816617E-03   0.788296E+03
   0.833114E-03   0.803364E+03
   0.849944E-03   0.818708E+03
   0.867114E-03   0.834333E+03
   0.884631E-03   0.850243E+03
   0.902501E-03   0.866443E+03
   0.920733E-03   0.882936E+03
   0.939333E-03   0.899728E+03
   0.958309E-03   0.916824E+03
   0.977668E-03   0.934227E+03
   0.997418E-03   0.951942E+03
   0.101757E-02   0.969974E+03
   0.103812E-02   0.988327E+03
   0.105910E-02   0.100701E+04
   0.108049E-02   0.102602E+04
   0.110232E-02   0.104536E+04
   0.112459E-02   0.106505E+04
   0.114730E-02   0.108508E+04
   0.117048E-02   0.110546E+04
   0.119413E-02   0.112619E+04
   0.121825E-02   0.114728E+04
   0.124286E-02   0.116874E+04
   0.126797E-02   0.119056E+04
   0.129358E-02   0.121276E+04
   0.131971E-02   0.123533E+04
   0.134637E-02   0.125828E+04
   0.137357E-02   0.128162E+04
   0.140132E-02   0.130535E+04
   0.142963E-02   0.132948E+04
   0.145851E-02   0.135400E+04
   0.148797E-02   0.137893E+04
   0.151803E-02   0.140426E+04
   0.154870E-02   0.143001E+04
   0.157998E-02   0.145618E+04
   0.161190E-02   0.148276E+04
   0.164446E-02   0.150978E+04
   0.167768E-02   0.153722E+04
   0.171158E-02   0.156509E+04
   0.174615E-02   0.159340E+04
   0.178143E-02   0.162215E+04
   0.181741E-02   0.165135E+04
   0.185413E-02   0.168099E+04
   0.189158E-02   0.171109E+04
   0.192980E-02   0.174164E+04
   0.196878E-02   0.177266E+04
   0.200855E-02   0.180413E+04
   0.204913E-02   0.183607E+04
   0.209052E-02   0.186848E+04
   0.213276E-02   0.190136E+04
   0.217584E-02   0.193472E+04
