#    L    TT             EE             TE             PP             TP          
    75   0.202038E+04   0.400670E+00  -0.839005E+01   0.536780E+07   0.718814E+04
    76   0.204683E+04   0.415001E+00  -0.890977E+01   0.533697E+07   0.708962E+04
    77   0.207348E+04   0.429499E+00  -0.943994E+01   0.530607E+07   0.699320E+04
    78   0.210030E+04   0.444152E+00  -0.998008E+01   0.527512E+07   0.689859E+04
    79   0.212734E+04   0.458948E+00  -0.105300E+02   0.524414E+07   0.680548E+04
    80   0.215462E+04   0.473875E+00  -0.110897E+02   0.521315E+07   0.671357E+04
    81   0.218216E+04   0.488922E+00  -0.116589E+02   0.518216E+07   0.662263E+04
    82   0.220997E+04   0.504078E+00  -0.122372E+02   0.515120E+07   0.653281E+04
    83   0.223804E+04   0.519332E+00  -0.128243E+02   0.512028E+07   0.644434E+04
    84   0.226636E+04   0.534672E+00  -0.134196E+02   0.508941E+07   0.635745E+04
    85   0.229491E+04   0.550086E+00  -0.140228E+02   0.505861E+07   0.627237E+04
    86   0.232371E+04   0.565564E+00  -0.146334E+02   0.502788E+07   0.618929E+04
    87   0.235271E+04   0.581093E+00  -0.152510E+02   0.499725E+07   0.610823E+04
    88   0.238190E+04   0.596659E+00  -0.158748E+02   0.496670E+07   0.602915E+04
    89   0.241129E+04   0.612250E+00  -0.165047E+02   0.493626E+07   0.595202E+04
    90   0.244087E+04   0.627847E+00  -0.171401E+02   0.490593E+07   0.587683E+04
    91   0.247066E+04   0.643438E+00  -0.177808E+02   0.487572E+07   0.580353E+04
    92   0.250067E+04   0.659008E+00  -0.184263E+02   0.484563E+07   0.573207E+04
    93   0.253089E+04   0.674541E+00  -0.190762E+02   0.481566E+07   0.566238E+04
    94   0.256134E+04   0.690024E+00  -0.197303E+02   0.478582E+07   0.559439E+04
    95   0.259201E+04   0.705443E+00  -0.203880E+02   0.475611E+07   0.552803E+04
    96   0.262291E+04   0.720783E+00  -0.210488E+02   0.472653E+07   0.546325E+04
    97   0.265404E+04   0.736030E+00  -0.217124E+02   0.469709E+07   0.539997E+04
    98   0.268539E+04   0.751167E+00  -0.223783E+02   0.466779E+07   0.533812E+04
    99   0.271696E+04   0.766180E+00  -0.230459E+02   0.463863E+07   0.527764E+04
   100   0.274875E+04   0.781059E+00  -0.237147E+02   0.460962E+07   0.521847E+04
   101   0.278076E+04   0.795787E+00  -0.243842E+02   0.458077E+07   0.516053E+04
   102   0.281298E+04   0.810344E+00  -0.250541E+02   0.455206E+07   0.510376E+04
   103   0.284541E+04   0.824727E+00  -0.257235E+02   0.452351E+07   0.504810E+04
   104   0.287805E+04   0.838909E+00  -0.263921E+02   0.449513E+07   0.499347E+04
   105   0.291087E+04   0.852881E+00  -0.270593E+02   0.446690E+07   0.493982E+04
   106   0.294389E+04   0.866630E+00  -0.277244E+02   0.443885E+07   0.488707E+04
   107   0.297709E+04   0.880146E+00  -0.283870E+02   0.441096E+07   0.483515E+04
   108   0.301045E+04   0.893408E+00  -0.290464E+02   0.438325E+07   0.478401E+04
   109   0.304399E+04   0.906409E+00  -0.297020E+02   0.435571E+07   0.473357E+04
   110   0.307769E+04   0.919127E+00  -0.303532E+02   0.432836E+07   0.468377E+04
   111   0.311154E+04   0.931553E+00  -0.309997E+02   0.430118E+07   0.463455E+04
   112   0.314554E+04   0.943681E+00  -0.316406E+02   0.427419E+07   0.458591E+04
   113   0.317968E+04   0.955488E+00  -0.322756E+02   0.424739E+07   0.453786E+04
   114   0.321395E+04   0.966959E+00  -0.329038E+02   0.422077E+07   0.449040E+04
   115   0.324836E+04   0.978094E+00  -0.335249E+02   0.419433E+07   0.444354E+04
   116   0.328288E+04   0.988878E+00  -0.341383E+02   0.416808E+07   0.439729E+04
   117   0.331753E+04   0.999289E+00  -0.347433E+02   0.414201E+07   0.435165E+04
   118   0.335227E+04   0.100933E+01  -0.353394E+02   0.411612E+07   0.430664E+04
