#    L    TT             EE             TE             PP             TP          
   691   0.183099E+04   0.388976E+02  -0.880854E+02   0.479435E+06   0.148505E+03
   692   0.183475E+04   0.388644E+02  -0.897419E+02   0.478275E+06   0.149286E+03
   693   0.183870E+04   0.388249E+02  -0.913834E+02   0.477119E+06   0.150058E+03
   694   0.184282E+04   0.387792E+02  -0.930084E+02   0.475968E+06   0.150820E+03
   695   0.184713E+04   0.387272E+02  -0.946168E+02   0.474820E+06   0.151574E+03
   696   0.185161E+04   0.386688E+02  -0.962072E+02   0.473677E+06   0.152317E+03
   697   0.185626E+04   0.386043E+02  -0.977795E+02   0.472538E+06   0.153052E+03
   698   0.186108E+04   0.385335E+02  -0.993322E+02   0.471403E+06   0.153776E+03
   699   0.186607E+04   0.384565E+02  -0.100865E+03   0.470272E+06   0.154491E+03
   700   0.187123E+04   0.383734E+02  -0.102378E+03   0.469145E+06   0.155196E+03
   701   0.187655E+04   0.382841E+02  -0.103870E+03   0.468022E+06   0.155890E+03
   702   0.188202E+04   0.381888E+02  -0.105340E+03   0.466903E+06   0.156575E+03
   703   0.188765E+04   0.380875E+02  -0.106788E+03   0.465789E+06   0.157249E+03
   704   0.189344E+04   0.379802E+02  -0.108212E+03   0.464678E+06   0.157914E+03
   705   0.189938E+04   0.378670E+02  -0.109612E+03   0.463571E+06   0.158568E+03
   706   0.190547E+04   0.377480E+02  -0.110988E+03   0.462468E+06   0.159212E+03
   707   0.191170E+04   0.376232E+02  -0.112340E+03   0.461369E+06   0.159845E+03
   708   0.191807E+04   0.374927E+02  -0.113667E+03   0.460274E+06   0.160468E+03
   709   0.192458E+04   0.373565E+02  -0.114966E+03   0.459183E+06   0.161081E+03
   710   0.193122E+04   0.372148E+02  -0.116240E+03   0.458096E+06   0.161684E+03
   711   0.193800E+04   0.370675E+02  -0.117487E+03   0.457012E+06   0.162275E+03
   712   0.194491E+04   0.369148E+02  -0.118706E+03   0.455933E+06   0.162857E+03
   713   0.195193E+04   0.367567E+02  -0.119896E+03   0.454857E+06   0.163427E+03
   714   0.195908E+04   0.365932E+02  -0.121058E+03   0.453785E+06   0.163988E+03
   715   0.196635E+04   0.364245E+02  -0.122190E+03   0.452717E+06   0.164537E+03
   716   0.197373E+04   0.362505E+02  -0.123293E+03   0.451653E+06   0.165076E+03
   717   0.198121E+04   0.360713E+02  -0.124365E+03   0.450592E+06   0.165604E+03
   718   0.198880E+04   0.358870E+02  -0.125405E+03   0.449535E+06   0.166121E+03
   719   0.199649E+04   0.356977E+02  -0.126414E+03   0.448482E+06   0.166627E+03
   720   0.200428E+04   0.355035E+02  -0.127392E+03   0.447432E+06   0.167123E+03
   721   0.201216E+04   0.353046E+02  -0.128337E+03   0.446387E+06   0.167607E+03
   722   0.202013E+04   0.351009E+02  -0.129250E+03   0.445344E+06   0.168081E+03
   723   0.202820E+04   0.348928E+02  -0.130130E+03   0.444306E+06   0.168543E+03
   724   0.203634E+04   0.346802E+02  -0.130977E+03   0.443271E+06   0.168994E+03
   725   0.204457E+04   0.344634E+02  -0.131791E+03   0.442240E+06   0.169435E+03
   726   0.205288E+04   0.342422E+02  -0.132571E+03   0.441212E+06   0.169864E+03
   727   0.206126E+04   0.340170E+02  -0.133316E+03   0.440188E+06   0.170282E+03
   728   0.206971E+04   0.337877E+02  -0.134028E+03   0.439168E+06   0.170689E+03
   729   0.207822E+04   0.335546E+02  -0.134703E+03   0.438151E+06   0.171084E+03
   730   0.208680E+04   0.333175E+02  -0.135344E+03   0.437137E+06   0.171468E+03
   731   0.209544E+04   0.330768E+02  -0.135950E+03   0.436127E+06   0.171841E+03
   732   0.210412E+04   0.328323E+02  -0.136519E+03   0.435121E+06   0.172202E+03
   733   0.211286E+04   0.325845E+02  -0.137052E+03   0.434118E+06   0.172552E+03
   734   0.212164E+04   0.323330E+02  -0.137548E+03   0.433118E+06   0.172890E+03
   735   0.213045E+04   0.320784E+02  -0.138008E+03   0.432122E+06   0.173217E+03
   736   0.213930E+04   0.318206E+02  -0.138431E+03   0.431129E+06   0.173532E+03
   737   0.214818E+04   0.315597E+02  -0.138816E+03   0.430140E+06   0.173835E+03
   738   0.215709E+04   0.312959E+02  -0.139164E+03   0.429154E+06   0.174127E+03
   739   0.216602E+04   0.310292E+02  -0.139474E+03   0.428171E+06   0.174407E+03
   740   0.217496E+04   0.307599E+02  -0.139745E+03   0.427192E+06   0.174675E+03
   741   0.218391E+04   0.304881E+02  -0.139979E+03   0.426216E+06   0.174932E+03
   742   0.219287E+04   0.302139E+02  -0.140174E+03   0.425243E+06   0.175176E+03
   743   0.220183E+04   0.299373E+02  -0.140332E+03   0.424274E+06   0.175409E+03
   744   0.221078E+04   0.296587E+02  -0.140450E+03   0.423308E+06   0.175629E+03
   745   0.221973E+04   0.293780E+02  -0.140530E+03   0.422345E+06   0.175838E+03
   746   0.222866E+04   0.290955E+02  -0.140573E+03   0.421385E+06   0.176035E+03
   747   0.223757E+04   0.288113E+02  -0.140575E+03   0.420429E+06   0.176219E+03
   748   0.224646E+04   0.285254E+02  -0.140540E+03   0.419475E+06   0.176392E+03
   749   0.225532E+04   0.282380E+02  -0.140465E+03   0.418525E+06   0.176552E+03
   750   0.226416E+04   0.279493E+02  -0.140353E+03   0.417578E+06   0.176700E+03
   751   0.227295E+04   0.276593E+02  -0.140201E+03   0.416635E+06   0.176835E+03
   752   0.228170E+04   0.273682E+02  -0.140009E+03   0.415694E+06   0.176959E+03
   753   0.229041E+04   0.270761E+02  -0.139781E+03   0.414756E+06   0.177070E+03
   754   0.229907E+04   0.267830E+02  -0.139513E+03   0.413822E+06   0.177170E+03
   755   0.230767E+04   0.264894E+02  -0.139206E+03   0.412890E+06   0.177257E+03
   756   0.231622E+04   0.261951E+02  -0.138862E+03   0.411962E+06   0.177333E+03
   757   0.232472E+04   0.259004E+02  -0.138479E+03   0.411037E+06   0.177396E+03
   758   0.233316E+04   0.256054E+02  -0.138060E+03   0.410115E+06   0.177448E+03
   759   0.234153E+04   0.253103E+02  -0.137602E+03   0.409196E+06   0.177489E+03
   760   0.234984E+04   0.250153E+02  -0.137107E+03   0.408279E+06   0.177517E+03
   761   0.235808E+04   0.247204E+02  -0.136575E+03   0.407366E+06   0.177534E+03
   762   0.236625E+04   0.244257E+02  -0.136005E+03   0.406456E+06   0.177540E+03
   763   0.237434E+04   0.241314E+02  -0.135399E+03   0.405549E+06   0.177534E+03
   764   0.238233E+04   0.238375E+02  -0.134754E+03   0.404645E+06   0.177518E+03
   765   0.239024E+04   0.235444E+02  -0.134074E+03   0.403743E+06   0.177489E+03
   766   0.239806E+04   0.232519E+02  -0.133356E+03   0.402845E+06   0.177450E+03
   767   0.240577E+04   0.229603E+02  -0.132601E+03   0.401950E+06   0.177400E+03
   768   0.241338E+04   0.226696E+02  -0.131809E+03   0.401057E+06   0.177338E+03
   769   0.242087E+04   0.223802E+02  -0.130981E+03   0.400168E+06   0.177266E+03
   770   0.242826E+04   0.220921E+02  -0.130118E+03   0.399281E+06   0.177183E+03
   771   0.243553E+04   0.218054E+02  -0.129220E+03   0.398397E+06   0.177089E+03
   772   0.244267E+04   0.215203E+02  -0.128286E+03   0.397516E+06   0.176985E+03
   773   0.244969E+04   0.212369E+02  -0.127318E+03   0.396638E+06   0.176870E+03
   774   0.245658E+04   0.209555E+02  -0.126316E+03   0.395762E+06   0.176744E+03
   775   0.246333E+04   0.206760E+02  -0.125280E+03   0.394890E+06   0.176608E+03
   776   0.246995E+04   0.203987E+02  -0.124212E+03   0.394020E+06   0.176462E+03
   777   0.247644E+04   0.201236E+02  -0.123112E+03   0.393153E+06   0.176305E+03
   778   0.248280E+04   0.198510E+02  -0.121979E+03   0.392289E+06   0.176138E+03
   779   0.248902E+04   0.195808E+02  -0.120814E+03   0.391428E+06   0.175961E+03
   780   0.249510E+04   0.193133E+02  -0.119620E+03   0.390569E+06   0.175774E+03
   781   0.250104E+04   0.190485E+02  -0.118395E+03   0.389713E+06   0.175576E+03
   782   0.250683E+04   0.187865E+02  -0.117140E+03   0.388860E+06   0.175369E+03
   783   0.251249E+04   0.185275E+02  -0.115854E+03   0.388009E+06   0.175152E+03
   784   0.251799E+04   0.182716E+02  -0.114539E+03   0.387162E+06   0.174925E+03
   785   0.252333E+04   0.180188E+02  -0.113195E+03   0.386317E+06   0.174689E+03
   786   0.252850E+04   0.177693E+02  -0.111821E+03   0.385474E+06   0.174443E+03
   787   0.253350E+04   0.175232E+02  -0.110419E+03   0.384634E+06   0.174187E+03
   788   0.253834E+04   0.172805E+02  -0.108987E+03   0.383797E+06   0.173922E+03
   789   0.254298E+04   0.170416E+02  -0.107528E+03   0.382963E+06   0.173648E+03
   790   0.254746E+04   0.168063E+02  -0.106040E+03   0.382131E+06   0.173364E+03
   791   0.255175E+04   0.165751E+02  -0.104528E+03   0.381301E+06   0.173071E+03
   792   0.255587E+04   0.163479E+02  -0.102990E+03   0.380475E+06   0.172769E+03
   793   0.255979E+04   0.161250E+02  -0.101428E+03   0.379651E+06   0.172457E+03
   794   0.256354E+04   0.159064E+02  -0.998420E+02   0.378829E+06   0.172137E+03
   795   0.256708E+04   0.156924E+02  -0.982344E+02   0.378010E+06   0.171808E+03
   796   0.257045E+04   0.154829E+02  -0.966041E+02   0.377193E+06   0.171470E+03
   797   0.257363E+04   0.152781E+02  -0.949527E+02   0.376379E+06   0.171123E+03
   798   0.257661E+04   0.150779E+02  -0.932803E+02   0.375568E+06   0.170767E+03
   799   0.257941E+04   0.148826E+02  -0.915876E+02   0.374759E+06   0.170403E+03
   800   0.258202E+04   0.146920E+02  -0.898739E+02   0.373952E+06   0.170030E+03
   801   0.258443E+04   0.145064E+02  -0.881415E+02   0.373148E+06   0.169649E+03
   802   0.258666E+04   0.143256E+02  -0.863896E+02   0.372347E+06   0.169259E+03
   803   0.258869E+04   0.141499E+02  -0.846191E+02   0.371547E+06   0.168861E+03
   804   0.259052E+04   0.139793E+02  -0.828313E+02   0.370751E+06   0.168455E+03
   805   0.259215E+04   0.138140E+02  -0.810257E+02   0.369956E+06   0.168040E+03
   806   0.259357E+04   0.136541E+02  -0.792043E+02   0.369164E+06   0.167618E+03
   807   0.259477E+04   0.134996E+02  -0.773658E+02   0.368375E+06   0.167188E+03
   808   0.259576E+04   0.133508E+02  -0.755132E+02   0.367588E+06   0.166749E+03
   809   0.259653E+04   0.132077E+02  -0.736456E+02   0.366803E+06   0.166303E+03
   810   0.259708E+04   0.130703E+02  -0.717639E+02   0.366021E+06   0.165849E+03
   811   0.259740E+04   0.129388E+02  -0.698697E+02   0.365241E+06   0.165388E+03
   812   0.259753E+04   0.128130E+02  -0.679637E+02   0.364463E+06   0.164919E+03
   813   0.259744E+04   0.126930E+02  -0.660468E+02   0.363688E+06   0.164443E+03
   814   0.259714E+04   0.125790E+02  -0.641201E+02   0.362915E+06   0.163959E+03
   815   0.259665E+04   0.124708E+02  -0.621843E+02   0.362145E+06   0.163468E+03
   816   0.259596E+04   0.123687E+02  -0.602404E+02   0.361376E+06   0.162969E+03
   817   0.259507E+04   0.122726E+02  -0.582889E+02   0.360610E+06   0.162464E+03
   818   0.259397E+04   0.121825E+02  -0.563300E+02   0.359847E+06   0.161951E+03
   819   0.259266E+04   0.120985E+02  -0.543643E+02   0.359085E+06   0.161432E+03
   820   0.259113E+04   0.120208E+02  -0.523921E+02   0.358326E+06   0.160906E+03
   821   0.258938E+04   0.119493E+02  -0.504138E+02   0.357569E+06   0.160373E+03
   822   0.258740E+04   0.118841E+02  -0.484299E+02   0.356815E+06   0.159833E+03
   823   0.258519E+04   0.118253E+02  -0.464407E+02   0.356062E+06   0.159287E+03
   824   0.258276E+04   0.117729E+02  -0.444474E+02   0.355312E+06   0.158734E+03
   825   0.258011E+04   0.117269E+02  -0.424511E+02   0.354564E+06   0.158175E+03
   826   0.257724E+04   0.116874E+02  -0.404530E+02   0.353819E+06   0.157609E+03
   827   0.257416E+04   0.116542E+02  -0.384545E+02   0.353075E+06   0.157037E+03
   828   0.257087E+04   0.116275E+02  -0.364564E+02   0.352334E+06   0.156459E+03
   829   0.256739E+04   0.116072E+02  -0.344601E+02   0.351595E+06   0.155875E+03
   830   0.256371E+04   0.115935E+02  -0.324666E+02   0.350858E+06   0.155285E+03
   831   0.255984E+04   0.115862E+02  -0.304764E+02   0.350124E+06   0.154689E+03
   832   0.255577E+04   0.115854E+02  -0.284899E+02   0.349391E+06   0.154087E+03
   833   0.255150E+04   0.115912E+02  -0.265074E+02   0.348661E+06   0.153479E+03
   834   0.254702E+04   0.116035E+02  -0.245293E+02   0.347932E+06   0.152866E+03
   835   0.254232E+04   0.116224E+02  -0.225560E+02   0.347206E+06   0.152247E+03
   836   0.253741E+04   0.116479E+02  -0.205878E+02   0.346482E+06   0.151623E+03
   837   0.253228E+04   0.116800E+02  -0.186252E+02   0.345760E+06   0.150993E+03
   838   0.252694E+04   0.117188E+02  -0.166691E+02   0.345041E+06   0.150358E+03
   839   0.252138E+04   0.117640E+02  -0.147205E+02   0.344323E+06   0.149717E+03
   840   0.251563E+04   0.118158E+02  -0.127804E+02   0.343607E+06   0.149072E+03
   841   0.250968E+04   0.118741E+02  -0.108499E+02   0.342894E+06   0.148421E+03
   842   0.250354E+04   0.119387E+02  -0.892984E+01   0.342182E+06   0.147766E+03
   843   0.249720E+04   0.120097E+02  -0.702136E+01   0.341473E+06   0.147105E+03
   844   0.249070E+04   0.120870E+02  -0.512541E+01   0.340766E+06   0.146440E+03
   845   0.248401E+04   0.121707E+02  -0.324251E+01   0.340060E+06   0.145770E+03
   846   0.247714E+04   0.122606E+02  -0.137341E+01   0.339357E+06   0.145095E+03
   847   0.247009E+04   0.123570E+02   0.481421E+00   0.338656E+06   0.144416E+03
   848   0.246285E+04   0.124597E+02   0.232136E+01   0.337957E+06   0.143733E+03
   849   0.245542E+04   0.125688E+02   0.414582E+01   0.337259E+06   0.143045E+03
   850   0.244779E+04   0.126842E+02   0.595424E+01   0.336564E+06   0.142352E+03
   851   0.243998E+04   0.128061E+02   0.774603E+01   0.335871E+06   0.141656E+03
   852   0.243198E+04   0.129342E+02   0.952072E+01   0.335179E+06   0.140955E+03
   853   0.242380E+04   0.130686E+02   0.112778E+02   0.334490E+06   0.140250E+03
   854   0.241544E+04   0.132089E+02   0.130168E+02   0.333802E+06   0.139542E+03
   855   0.240692E+04   0.133553E+02   0.147372E+02   0.333117E+06   0.138829E+03
   856   0.239823E+04   0.135076E+02   0.164386E+02   0.332433E+06   0.138112E+03
   857   0.238939E+04   0.136655E+02   0.181205E+02   0.331752E+06   0.137392E+03
   858   0.238039E+04   0.138291E+02   0.197823E+02   0.331072E+06   0.136667E+03
   859   0.237124E+04   0.139983E+02   0.214233E+02   0.330394E+06   0.135939E+03
   860   0.236194E+04   0.141732E+02   0.230426E+02   0.329718E+06   0.135208E+03
   861   0.235250E+04   0.143536E+02   0.246393E+02   0.329044E+06   0.134472E+03
   862   0.234291E+04   0.145395E+02   0.262127E+02   0.328372E+06   0.133733E+03
   863   0.233318E+04   0.147311E+02   0.277619E+02   0.327702E+06   0.132991E+03
   864   0.232331E+04   0.149281E+02   0.292859E+02   0.327034E+06   0.132245E+03
   865   0.231329E+04   0.151305E+02   0.307843E+02   0.326367E+06   0.131496E+03
   866   0.230315E+04   0.153383E+02   0.322565E+02   0.325703E+06   0.130743E+03
   867   0.229287E+04   0.155514E+02   0.337026E+02   0.325040E+06   0.129987E+03
   868   0.228245E+04   0.157697E+02   0.351223E+02   0.324379E+06   0.129228E+03
   869   0.227190E+04   0.159930E+02   0.365156E+02   0.323720E+06   0.128466E+03
   870   0.226121E+04   0.162214E+02   0.378822E+02   0.323063E+06   0.127701E+03
   871   0.225040E+04   0.164546E+02   0.392221E+02   0.322408E+06   0.126933E+03
   872   0.223947E+04   0.166925E+02   0.405352E+02   0.321754E+06   0.126161E+03
   873   0.222842E+04   0.169350E+02   0.418207E+02   0.321103E+06   0.125387E+03
   874   0.221725E+04   0.171821E+02   0.430783E+02   0.320453E+06   0.124610E+03
   875   0.220597E+04   0.174337E+02   0.443074E+02   0.319805E+06   0.123830E+03
   876   0.219458E+04   0.176894E+02   0.455076E+02   0.319159E+06   0.123048E+03
   877   0.218309E+04   0.179493E+02   0.466781E+02   0.318514E+06   0.122262E+03
   878   0.217152E+04   0.182133E+02   0.478185E+02   0.317872E+06   0.121475E+03
   879   0.215985E+04   0.184811E+02   0.489283E+02   0.317231E+06   0.120684E+03
   880   0.214810E+04   0.187528E+02   0.500070E+02   0.316592E+06   0.119891E+03
   881   0.213626E+04   0.190282E+02   0.510542E+02   0.315954E+06   0.119096E+03
   882   0.212435E+04   0.193073E+02   0.520693E+02   0.315319E+06   0.118298E+03
   883   0.211236E+04   0.195898E+02   0.530519E+02   0.314685E+06   0.117498E+03
   884   0.210028E+04   0.198759E+02   0.540016E+02   0.314053E+06   0.116696E+03
   885   0.208813E+04   0.201654E+02   0.549179E+02   0.313422E+06   0.115891E+03
   886   0.207591E+04   0.204581E+02   0.558003E+02   0.312794E+06   0.115085E+03
   887   0.206362E+04   0.207541E+02   0.566488E+02   0.312167E+06   0.114276E+03
   888   0.205126E+04   0.210531E+02   0.574633E+02   0.311542E+06   0.113465E+03
   889   0.203884E+04   0.213549E+02   0.582439E+02   0.310918E+06   0.112652E+03
   890   0.202636E+04   0.216596E+02   0.589904E+02   0.310297E+06   0.111837E+03
   891   0.201383E+04   0.219669E+02   0.597030E+02   0.309676E+06   0.111021E+03
   892   0.200124E+04   0.222768E+02   0.603814E+02   0.309058E+06   0.110203E+03
   893   0.198860E+04   0.225891E+02   0.610258E+02   0.308441E+06   0.109383E+03
   894   0.197593E+04   0.229036E+02   0.616360E+02   0.307826E+06   0.108561E+03
   895   0.196321E+04   0.232202E+02   0.622118E+02   0.307213E+06   0.107738E+03
   896   0.195046E+04   0.235387E+02   0.627533E+02   0.306601E+06   0.106913E+03
   897   0.193768E+04   0.238591E+02   0.632601E+02   0.305991E+06   0.106086E+03
   898   0.192487E+04   0.241811E+02   0.637324E+02   0.305383E+06   0.105258E+03
   899   0.191204E+04   0.245046E+02   0.641698E+02   0.304776E+06   0.104429E+03
   900   0.189919E+04   0.248294E+02   0.645724E+02   0.304171E+06   0.103599E+03
   901   0.188632E+04   0.251554E+02   0.649400E+02   0.303568E+06   0.102767E+03
   902   0.187345E+04   0.254825E+02   0.652725E+02   0.302966E+06   0.101934E+03
   903   0.186057E+04   0.258106E+02   0.655699E+02   0.302365E+06   0.101100E+03
   904   0.184768E+04   0.261395E+02   0.658322E+02   0.301767E+06   0.100265E+03
   905   0.183480E+04   0.264691E+02   0.660592E+02   0.301170E+06   0.994287E+02
   906   0.182192E+04   0.267994E+02   0.662508E+02   0.300574E+06   0.985919E+02
   907   0.180906E+04   0.271300E+02   0.664070E+02   0.299980E+06   0.977543E+02
   908   0.179621E+04   0.274609E+02   0.665280E+02   0.299388E+06   0.969160E+02
   909   0.178338E+04   0.277922E+02   0.666137E+02   0.298797E+06   0.960772E+02
   910   0.177056E+04   0.281235E+02   0.666642E+02   0.298208E+06   0.952378E+02
   911   0.175777E+04   0.284547E+02   0.666798E+02   0.297621E+06   0.943980E+02
   912   0.174501E+04   0.287858E+02   0.666604E+02   0.297035E+06   0.935579E+02
   913   0.173228E+04   0.291167E+02   0.666063E+02   0.296450E+06   0.927176E+02
   914   0.171958E+04   0.294472E+02   0.665174E+02   0.295868E+06   0.918771E+02
   915   0.170692E+04   0.297771E+02   0.663940E+02   0.295286E+06   0.910365E+02
   916   0.169430E+04   0.301065E+02   0.662362E+02   0.294707E+06   0.901959E+02
   917   0.168172E+04   0.304349E+02   0.660441E+02   0.294128E+06   0.893554E+02
   918   0.166918E+04   0.307625E+02   0.658180E+02   0.293552E+06   0.885151E+02
   919   0.165669E+04   0.310890E+02   0.655579E+02   0.292977E+06   0.876750E+02
   920   0.164426E+04   0.314143E+02   0.652641E+02   0.292403E+06   0.868353E+02
   921   0.163187E+04   0.317381E+02   0.649367E+02   0.291831E+06   0.859960E+02
   922   0.161954E+04   0.320606E+02   0.645761E+02   0.291261E+06   0.851573E+02
   923   0.160729E+04   0.323814E+02   0.641827E+02   0.290692E+06   0.843191E+02
   924   0.159508E+04   0.327006E+02   0.637567E+02   0.290124E+06   0.834816E+02
   925   0.158295E+04   0.330178E+02   0.632986E+02   0.289558E+06   0.826449E+02
   926   0.157089E+04   0.333331E+02   0.628089E+02   0.288994E+06   0.818090E+02
   927   0.155891E+04   0.336463E+02   0.622877E+02   0.288431E+06   0.809740E+02
   928   0.154701E+04   0.339573E+02   0.617356E+02   0.287869E+06   0.801401E+02
   929   0.153519E+04   0.342659E+02   0.611528E+02   0.287309E+06   0.793073E+02
   930   0.152346E+04   0.345720E+02   0.605396E+02   0.286750E+06   0.784757E+02
   931   0.151180E+04   0.348756E+02   0.598964E+02   0.286193E+06   0.776453E+02
   932   0.150025E+04   0.351764E+02   0.592234E+02   0.285638E+06   0.768163E+02
   933   0.148879E+04   0.354743E+02   0.585210E+02   0.285084E+06   0.759887E+02
   934   0.147742E+04   0.357692E+02   0.577894E+02   0.284531E+06   0.751627E+02
   935   0.146615E+04   0.360610E+02   0.570291E+02   0.283980E+06   0.743383E+02
   936   0.145498E+04   0.363494E+02   0.562403E+02   0.283430E+06   0.735155E+02
   937   0.144391E+04   0.366345E+02   0.554236E+02   0.282881E+06   0.726946E+02
   938   0.143295E+04   0.369161E+02   0.545792E+02   0.282335E+06   0.718755E+02
   939   0.142210E+04   0.371940E+02   0.537077E+02   0.281789E+06   0.710584E+02
   940   0.141135E+04   0.374682E+02   0.528095E+02   0.281245E+06   0.702433E+02
   941   0.140073E+04   0.377385E+02   0.518850E+02   0.280702E+06   0.694303E+02
   942   0.139021E+04   0.380048E+02   0.509345E+02   0.280161E+06   0.686195E+02
   943   0.137982E+04   0.382670E+02   0.499586E+02   0.279621E+06   0.678110E+02
   944   0.136954E+04   0.385251E+02   0.489579E+02   0.279083E+06   0.670049E+02
   945   0.135939E+04   0.387788E+02   0.479327E+02   0.278546E+06   0.662012E+02
   946   0.134936E+04   0.390282E+02   0.468837E+02   0.278010E+06   0.654001E+02
   947   0.133947E+04   0.392729E+02   0.458114E+02   0.277476E+06   0.646016E+02
   948   0.132970E+04   0.395132E+02   0.447162E+02   0.276943E+06   0.638058E+02
   949   0.132006E+04   0.397488E+02   0.435986E+02   0.276412E+06   0.630128E+02
   950   0.131056E+04   0.399795E+02   0.424593E+02   0.275882E+06   0.622227E+02
   951   0.130119E+04   0.402053E+02   0.412986E+02   0.275353E+06   0.614355E+02
   952   0.129196E+04   0.404261E+02   0.401172E+02   0.274826E+06   0.606514E+02
   953   0.128286E+04   0.406419E+02   0.389154E+02   0.274300E+06   0.598702E+02
   954   0.127390E+04   0.408524E+02   0.376938E+02   0.273775E+06   0.590922E+02
   955   0.126509E+04   0.410577E+02   0.364529E+02   0.273252E+06   0.583172E+02
   956   0.125642E+04   0.412576E+02   0.351932E+02   0.272730E+06   0.575454E+02
   957   0.124790E+04   0.414520E+02   0.339153E+02   0.272210E+06   0.567768E+02
   958   0.123951E+04   0.416410E+02   0.326198E+02   0.271690E+06   0.560114E+02
   959   0.123128E+04   0.418245E+02   0.313076E+02   0.271173E+06   0.552493E+02
   960   0.122319E+04   0.420024E+02   0.299791E+02   0.270656E+06   0.544904E+02
   961   0.121526E+04   0.421746E+02   0.286351E+02   0.270141E+06   0.537349E+02
   962   0.120747E+04   0.423413E+02   0.272761E+02   0.269627E+06   0.529828E+02
   963   0.119985E+04   0.425022E+02   0.259031E+02   0.269115E+06   0.522340E+02
   964   0.119237E+04   0.426573E+02   0.245163E+02   0.268603E+06   0.514887E+02
   965   0.118505E+04   0.428066E+02   0.231164E+02   0.268093E+06   0.507469E+02
   966   0.117788E+04   0.429500E+02   0.217040E+02   0.267585E+06   0.500085E+02
   967   0.117087E+04   0.430874E+02   0.202797E+02   0.267078E+06   0.492738E+02
   968   0.116402E+04   0.432188E+02   0.188441E+02   0.266572E+06   0.485426E+02
   969   0.115732E+04   0.433441E+02   0.173977E+02   0.266067E+06   0.478150E+02
   970   0.115079E+04   0.434632E+02   0.159411E+02   0.265564E+06   0.470911E+02
   971   0.114440E+04   0.435762E+02   0.144750E+02   0.265062E+06   0.463709E+02
   972   0.113818E+04   0.436829E+02   0.130000E+02   0.264561E+06   0.456545E+02
   973   0.113212E+04   0.437833E+02   0.115167E+02   0.264061E+06   0.449418E+02
   974   0.112622E+04   0.438775E+02   0.100258E+02   0.263563E+06   0.442329E+02
   975   0.112047E+04   0.439654E+02   0.852792E+01   0.263066E+06   0.435278E+02
   976   0.111488E+04   0.440469E+02   0.702365E+01   0.262571E+06   0.428267E+02
   977   0.110946E+04   0.441220E+02   0.551378E+01   0.262076E+06   0.421294E+02
   978   0.110420E+04   0.441907E+02   0.399877E+01   0.261583E+06   0.414361E+02
   979   0.109909E+04   0.442531E+02   0.247933E+01   0.261091E+06   0.407468E+02
   980   0.109415E+04   0.443090E+02   0.956030E+00   0.260601E+06   0.400615E+02
   981   0.108937E+04   0.443585E+02  -0.570515E+00   0.260111E+06   0.393803E+02
   982   0.108474E+04   0.444016E+02  -0.209969E+01   0.259623E+06   0.387032E+02
   983   0.108027E+04   0.444383E+02  -0.363089E+01   0.259136E+06   0.380302E+02
   984   0.107597E+04   0.444685E+02  -0.516352E+01   0.258651E+06   0.373614E+02
   985   0.107182E+04   0.444922E+02  -0.669702E+01   0.258167E+06   0.366969E+02
   986   0.106783E+04   0.445094E+02  -0.823082E+01   0.257683E+06   0.360365E+02
   987   0.106401E+04   0.445202E+02  -0.976440E+01   0.257202E+06   0.353805E+02
   988   0.106034E+04   0.445243E+02  -0.112972E+02   0.256721E+06   0.347287E+02
   989   0.105682E+04   0.445220E+02  -0.128287E+02   0.256241E+06   0.340813E+02
   990   0.105347E+04   0.445130E+02  -0.143582E+02   0.255763E+06   0.334384E+02
   991   0.105026E+04   0.444975E+02  -0.158854E+02   0.255286E+06   0.327998E+02
   992   0.104722E+04   0.444754E+02  -0.174095E+02   0.254811E+06   0.321657E+02
   993   0.104433E+04   0.444467E+02  -0.189298E+02   0.254336E+06   0.315361E+02
   994   0.104160E+04   0.444114E+02  -0.204456E+02   0.253863E+06   0.309111E+02
   995   0.103902E+04   0.443698E+02  -0.219564E+02   0.253390E+06   0.302906E+02
   996   0.103660E+04   0.443216E+02  -0.234615E+02   0.252920E+06   0.296748E+02
   997   0.103432E+04   0.442669E+02  -0.249601E+02   0.252450E+06   0.290636E+02
   998   0.103221E+04   0.442057E+02  -0.264517E+02   0.251981E+06   0.284571E+02
   999   0.103024E+04   0.441381E+02  -0.279354E+02   0.251514E+06   0.278553E+02
  1000   0.102842E+04   0.440642E+02  -0.294106E+02   0.251048E+06   0.272583E+02
  1001   0.102674E+04   0.439837E+02  -0.308765E+02   0.250583E+06   0.266660E+02
  1002   0.102522E+04   0.438969E+02  -0.323325E+02   0.250119E+06   0.260786E+02
  1003   0.102383E+04   0.438036E+02  -0.337778E+02   0.249656E+06   0.254960E+02
  1004   0.102259E+04   0.437039E+02  -0.352117E+02   0.249195E+06   0.249183E+02
  1005   0.102148E+04   0.435978E+02  -0.366337E+02   0.248734E+06   0.243454E+02
  1006   0.102052E+04   0.434854E+02  -0.380433E+02   0.248275E+06   0.237774E+02
  1007   0.101969E+04   0.433669E+02  -0.394402E+02   0.247817E+06   0.232143E+02
  1008   0.101899E+04   0.432425E+02  -0.408242E+02   0.247360E+06   0.226561E+02
  1009   0.101844E+04   0.431124E+02  -0.421949E+02   0.246905E+06   0.221028E+02
  1010   0.101800E+04   0.429766E+02  -0.435521E+02   0.246450E+06   0.215544E+02
