#    L    TT             EE             BB             TE          
   394   0.179474E+04   0.219955E+02   0.398327E-01   0.824390E+01
   395   0.178852E+04   0.219909E+02   0.399526E-01   0.628684E+01
   396   0.178273E+04   0.219823E+02   0.400732E-01   0.433710E+01
   397   0.177737E+04   0.219696E+02   0.401944E-01   0.239552E+01
   398   0.177243E+04   0.219529E+02   0.403163E-01   0.462846E+00
   399   0.176792E+04   0.219321E+02   0.404389E-01  -0.146012E+01
   400   0.176383E+04   0.219073E+02   0.405622E-01  -0.337259E+01
   401   0.176016E+04   0.218784E+02   0.406862E-01  -0.527380E+01
   402   0.175690E+04   0.218455E+02   0.408110E-01  -0.716298E+01
   403   0.175405E+04   0.218086E+02   0.409365E-01  -0.903941E+01
   404   0.175162E+04   0.217678E+02   0.410628E-01  -0.109023E+02
   405   0.174958E+04   0.217229E+02   0.411899E-01  -0.127509E+02
   406   0.174795E+04   0.216741E+02   0.413178E-01  -0.145846E+02
   407   0.174670E+04   0.216214E+02   0.414465E-01  -0.164025E+02
   408   0.174585E+04   0.215648E+02   0.415761E-01  -0.182039E+02
   409   0.174537E+04   0.215043E+02   0.417065E-01  -0.199880E+02
   410   0.174528E+04   0.214401E+02   0.418377E-01  -0.217541E+02
   411   0.174555E+04   0.213720E+02   0.419698E-01  -0.235017E+02
   412   0.174619E+04   0.213001E+02   0.421028E-01  -0.252299E+02
   413   0.174720E+04   0.212245E+02   0.422367E-01  -0.269384E+02
   414   0.174856E+04   0.211452E+02   0.423715E-01  -0.286263E+02
   415   0.175027E+04   0.210624E+02   0.425072E-01  -0.302931E+02
   416   0.175233E+04   0.209759E+02   0.426438E-01  -0.319383E+02
   417   0.175473E+04   0.208858E+02   0.427814E-01  -0.335610E+02
   418   0.175747E+04   0.207923E+02   0.429199E-01  -0.351607E+02
   419   0.176054E+04   0.206953E+02   0.430594E-01  -0.367368E+02
   420   0.176394E+04   0.205948E+02   0.431998E-01  -0.382886E+02
   421   0.176766E+04   0.204910E+02   0.433412E-01  -0.398156E+02
   422   0.177168E+04   0.203837E+02   0.434836E-01  -0.413170E+02
   423   0.177603E+04   0.202731E+02   0.436270E-01  -0.427922E+02
   424   0.178068E+04   0.201592E+02   0.437713E-01  -0.442406E+02
   425   0.178562E+04   0.200420E+02   0.439167E-01  -0.456618E+02
   426   0.179086E+04   0.199217E+02   0.440630E-01  -0.470554E+02
   427   0.179637E+04   0.197984E+02   0.442104E-01  -0.484209E+02
   428   0.180217E+04   0.196722E+02   0.443587E-01  -0.497579E+02
   429   0.180823E+04   0.195430E+02   0.445081E-01  -0.510661E+02
   430   0.181454E+04   0.194109E+02   0.446585E-01  -0.523449E+02
   431   0.182110E+04   0.192763E+02   0.448099E-01  -0.535941E+02
   432   0.182791E+04   0.191389E+02   0.449623E-01  -0.548131E+02
   433   0.183497E+04   0.189990E+02   0.451157E-01  -0.560015E+02
   434   0.184226E+04   0.188565E+02   0.452701E-01  -0.571589E+02
   435   0.184977E+04   0.187116E+02   0.454256E-01  -0.582849E+02
   436   0.185752E+04   0.185642E+02   0.455820E-01  -0.593790E+02
   437   0.186548E+04   0.184145E+02   0.457395E-01  -0.604408E+02
   438   0.187365E+04   0.182625E+02   0.458979E-01  -0.614699E+02
   439   0.188203E+04   0.181083E+02   0.460573E-01  -0.624660E+02
   440   0.189061E+04   0.179520E+02   0.462177E-01  -0.634287E+02
   441   0.189937E+04   0.177937E+02   0.463791E-01  -0.643578E+02
   442   0.190831E+04   0.176334E+02   0.465415E-01  -0.652529E+02
   443   0.191742E+04   0.174712E+02   0.467048E-01  -0.661137E+02
   444   0.192669E+04   0.173073E+02   0.468691E-01  -0.669399E+02
   445   0.193610E+04   0.171417E+02   0.470343E-01  -0.677314E+02
   446   0.194566E+04   0.169745E+02   0.472005E-01  -0.684877E+02
   447   0.195536E+04   0.168058E+02   0.473675E-01  -0.692089E+02
   448   0.196519E+04   0.166357E+02   0.475355E-01  -0.698949E+02
   449   0.197516E+04   0.164643E+02   0.477044E-01  -0.705455E+02
   450   0.198524E+04   0.162916E+02   0.478742E-01  -0.711607E+02
   451   0.199544E+04   0.161179E+02   0.480448E-01  -0.717402E+02
   452   0.200576E+04   0.159430E+02   0.482163E-01  -0.722840E+02
   453   0.201618E+04   0.157673E+02   0.483887E-01  -0.727920E+02
   454   0.202669E+04   0.155907E+02   0.485619E-01  -0.732639E+02
   455   0.203729E+04   0.154133E+02   0.487359E-01  -0.736997E+02
   456   0.204797E+04   0.152353E+02   0.489106E-01  -0.740992E+02
   457   0.205871E+04   0.150566E+02   0.490862E-01  -0.744623E+02
   458   0.206950E+04   0.148775E+02   0.492626E-01  -0.747887E+02
   459   0.208034E+04   0.146979E+02   0.494396E-01  -0.750786E+02
   460   0.209122E+04   0.145181E+02   0.496175E-01  -0.753320E+02
   461   0.210213E+04   0.143380E+02   0.497960E-01  -0.755483E+02
   462   0.211309E+04   0.141578E+02   0.499752E-01  -0.757297E+02
   463   0.212407E+04   0.139777E+02   0.501551E-01  -0.758749E+02
   464   0.213508E+04   0.137978E+02   0.503357E-01  -0.759845E+02
   465   0.214610E+04   0.136181E+02   0.505169E-01  -0.760586E+02
   466   0.215715E+04   0.134388E+02   0.506987E-01  -0.760981E+02
   467   0.216821E+04   0.132599E+02   0.508812E-01  -0.761022E+02
   468   0.217926E+04   0.130817E+02   0.510642E-01  -0.760716E+02
   469   0.219031E+04   0.129040E+02   0.512477E-01  -0.760065E+02
   470   0.220134E+04   0.127271E+02   0.514319E-01  -0.759069E+02
   471   0.221233E+04   0.125511E+02   0.516165E-01  -0.757720E+02
   472   0.222329E+04   0.123761E+02   0.518016E-01  -0.756035E+02
   473   0.223420E+04   0.122021E+02   0.519872E-01  -0.753997E+02
   474   0.224507E+04   0.120291E+02   0.521733E-01  -0.751631E+02
   475   0.225587E+04   0.118575E+02   0.523598E-01  -0.748922E+02
   476   0.226662E+04   0.116873E+02   0.525467E-01  -0.745877E+02
   477   0.227731E+04   0.115184E+02   0.527340E-01  -0.742504E+02
   478   0.228792E+04   0.113512E+02   0.529217E-01  -0.738804E+02
   479   0.229848E+04   0.111856E+02   0.531098E-01  -0.734788E+02
   480   0.230895E+04   0.110219E+02   0.532981E-01  -0.730449E+02
   481   0.231935E+04   0.108599E+02   0.534868E-01  -0.725795E+02
   482   0.232965E+04   0.107000E+02   0.536758E-01  -0.720831E+02
   483   0.233986E+04   0.105421E+02   0.538650E-01  -0.715560E+02
   484   0.234996E+04   0.103864E+02   0.540544E-01  -0.709985E+02
   485   0.235994E+04   0.102330E+02   0.542441E-01  -0.704111E+02
   486   0.236980E+04   0.100819E+02   0.544339E-01  -0.697942E+02
   487   0.237954E+04   0.993328E+01   0.546239E-01  -0.691481E+02
   488   0.238914E+04   0.978725E+01   0.548141E-01  -0.684734E+02
   489   0.239861E+04   0.964379E+01   0.550043E-01  -0.677706E+02
   490   0.240794E+04   0.950311E+01   0.551947E-01  -0.670403E+02
   491   0.241713E+04   0.936529E+01   0.553851E-01  -0.662830E+02
   492   0.242617E+04   0.923033E+01   0.555756E-01  -0.654991E+02
   493   0.243507E+04   0.909837E+01   0.557660E-01  -0.646894E+02
   494   0.244382E+04   0.896955E+01   0.559565E-01  -0.638541E+02
   495   0.245242E+04   0.884397E+01   0.561469E-01  -0.629941E+02
   496   0.246085E+04   0.872160E+01   0.563373E-01  -0.621096E+02
   497   0.246911E+04   0.860261E+01   0.565275E-01  -0.612015E+02
   498   0.247721E+04   0.848705E+01   0.567177E-01  -0.602702E+02
   499   0.248512E+04   0.837502E+01   0.569077E-01  -0.593163E+02
   500   0.249284E+04   0.826664E+01   0.570975E-01  -0.583402E+02
   501   0.250038E+04   0.816193E+01   0.572871E-01  -0.573428E+02
   502   0.250771E+04   0.806102E+01   0.574765E-01  -0.563246E+02
   503   0.251485E+04   0.796391E+01   0.576657E-01  -0.552862E+02
   504   0.252179E+04   0.787081E+01   0.578545E-01  -0.542285E+02
   505   0.252853E+04   0.778165E+01   0.580430E-01  -0.531521E+02
   506   0.253507E+04   0.769656E+01   0.582312E-01  -0.520577E+02
   507   0.254141E+04   0.761562E+01   0.584191E-01  -0.509460E+02
   508   0.254754E+04   0.753891E+01   0.586065E-01  -0.498177E+02
   509   0.255346E+04   0.746648E+01   0.587935E-01  -0.486734E+02
   510   0.255919E+04   0.739838E+01   0.589800E-01  -0.475140E+02
   511   0.256469E+04   0.733467E+01   0.591661E-01  -0.463401E+02
   512   0.256999E+04   0.727540E+01   0.593516E-01  -0.451524E+02
   513   0.257507E+04   0.722065E+01   0.595366E-01  -0.439516E+02
   514   0.257993E+04   0.717045E+01   0.597210E-01  -0.427384E+02
   515   0.258457E+04   0.712487E+01   0.599048E-01  -0.415135E+02
   516   0.258899E+04   0.708395E+01   0.600880E-01  -0.402777E+02
   517   0.259319E+04   0.704774E+01   0.602705E-01  -0.390316E+02
   518   0.259716E+04   0.701629E+01   0.604523E-01  -0.377761E+02
   519   0.260090E+04   0.698965E+01   0.606334E-01  -0.365120E+02
   520   0.260440E+04   0.696786E+01   0.608138E-01  -0.352397E+02
   521   0.260767E+04   0.695097E+01   0.609934E-01  -0.339603E+02
   522   0.261071E+04   0.693903E+01   0.611722E-01  -0.326743E+02
   523   0.261350E+04   0.693206E+01   0.613502E-01  -0.313826E+02
   524   0.261605E+04   0.693009E+01   0.615273E-01  -0.300859E+02
   525   0.261837E+04   0.693316E+01   0.617035E-01  -0.287849E+02
   526   0.262045E+04   0.694128E+01   0.618788E-01  -0.274803E+02
   527   0.262230E+04   0.695450E+01   0.620532E-01  -0.261730E+02
   528   0.262391E+04   0.697283E+01   0.622267E-01  -0.248636E+02
   529   0.262529E+04   0.699629E+01   0.623991E-01  -0.235529E+02
   530   0.262644E+04   0.702490E+01   0.625706E-01  -0.222418E+02
   531   0.262734E+04   0.705870E+01   0.627410E-01  -0.209308E+02
   532   0.262802E+04   0.709768E+01   0.629104E-01  -0.196211E+02
   533   0.262846E+04   0.714186E+01   0.630787E-01  -0.183132E+02
   534   0.262867E+04   0.719126E+01   0.632459E-01  -0.170081E+02
   535   0.262864E+04   0.724589E+01   0.634119E-01  -0.157064E+02
   536   0.262837E+04   0.730577E+01   0.635769E-01  -0.144091E+02
   537   0.262788E+04   0.737089E+01   0.637407E-01  -0.131167E+02
   538   0.262716E+04   0.744126E+01   0.639033E-01  -0.118302E+02
   539   0.262621E+04   0.751687E+01   0.640647E-01  -0.105503E+02
   540   0.262501E+04   0.759772E+01   0.642249E-01  -0.927773E+01
   541   0.262360E+04   0.768383E+01   0.643838E-01  -0.801315E+01
   542   0.262197E+04   0.777517E+01   0.645415E-01  -0.675740E+01
   543   0.262011E+04   0.787174E+01   0.646979E-01  -0.551118E+01
   544   0.261802E+04   0.797354E+01   0.648531E-01  -0.427522E+01
   545   0.261572E+04   0.808053E+01   0.650070E-01  -0.305019E+01
   546   0.261320E+04   0.819272E+01   0.651595E-01  -0.183679E+01
   547   0.261046E+04   0.831006E+01   0.653107E-01  -0.635710E+00
   548   0.260750E+04   0.843249E+01   0.654606E-01   0.552372E+00
   549   0.260433E+04   0.856014E+01   0.656091E-01   0.172675E+01
   550   0.260094E+04   0.869279E+01   0.657563E-01   0.288674E+01
   551   0.259736E+04   0.883058E+01   0.659021E-01   0.403164E+01
   552   0.259355E+04   0.897336E+01   0.660465E-01   0.516076E+01
   553   0.258955E+04   0.912111E+01   0.661895E-01   0.627343E+01
   554   0.258535E+04   0.927383E+01   0.663311E-01   0.736900E+01
   555   0.258096E+04   0.943145E+01   0.664713E-01   0.844677E+01
   556   0.257636E+04   0.959395E+01   0.666100E-01   0.950607E+01
   557   0.257159E+04   0.976125E+01   0.667474E-01   0.105463E+02
   558   0.256662E+04   0.993336E+01   0.668832E-01   0.115668E+02
   559   0.256147E+04   0.101102E+02   0.670177E-01   0.125670E+02
   560   0.255614E+04   0.102917E+02   0.671507E-01   0.135463E+02
   561   0.255063E+04   0.104778E+02   0.672822E-01   0.145042E+02
   562   0.254495E+04   0.106685E+02   0.674123E-01   0.154401E+02
   563   0.253909E+04   0.108637E+02   0.675409E-01   0.163534E+02
   564   0.253307E+04   0.110633E+02   0.676680E-01   0.172435E+02
   565   0.252688E+04   0.112674E+02   0.677937E-01   0.181100E+02
   566   0.252052E+04   0.114758E+02   0.679178E-01   0.189525E+02
   567   0.251401E+04   0.116884E+02   0.680405E-01   0.197702E+02
   568   0.250734E+04   0.119052E+02   0.681617E-01   0.205628E+02
   569   0.250052E+04   0.121261E+02   0.682814E-01   0.213298E+02
   570   0.249354E+04   0.123510E+02   0.683996E-01   0.220707E+02
   571   0.248642E+04   0.125799E+02   0.685163E-01   0.227850E+02
   572   0.247915E+04   0.128126E+02   0.686315E-01   0.234725E+02
   573   0.247175E+04   0.130492E+02   0.687453E-01   0.241325E+02
   574   0.246422E+04   0.132895E+02   0.688575E-01   0.247649E+02
   575   0.245656E+04   0.135334E+02   0.689683E-01   0.253692E+02
   576   0.244878E+04   0.137809E+02   0.690775E-01   0.259452E+02
   577   0.244089E+04   0.140318E+02   0.691853E-01   0.264923E+02
   578   0.243288E+04   0.142861E+02   0.692915E-01   0.270102E+02
   579   0.242476E+04   0.145437E+02   0.693963E-01   0.274988E+02
   580   0.241655E+04   0.148045E+02   0.694996E-01   0.279575E+02
   581   0.240824E+04   0.150684E+02   0.696015E-01   0.283861E+02
   582   0.239984E+04   0.153352E+02   0.697018E-01   0.287841E+02
   583   0.239134E+04   0.156050E+02   0.698007E-01   0.291514E+02
   584   0.238277E+04   0.158776E+02   0.698981E-01   0.294874E+02
   585   0.237412E+04   0.161528E+02   0.699940E-01   0.297920E+02
   586   0.236539E+04   0.164307E+02   0.700885E-01   0.300649E+02
   587   0.235660E+04   0.167111E+02   0.701816E-01   0.303058E+02
   588   0.234774E+04   0.169939E+02   0.702732E-01   0.305147E+02
   589   0.233882E+04   0.172789E+02   0.703634E-01   0.306911E+02
   590   0.232985E+04   0.175661E+02   0.704521E-01   0.308351E+02
   591   0.232083E+04   0.178554E+02   0.705395E-01   0.309463E+02
   592   0.231177E+04   0.181467E+02   0.706254E-01   0.310245E+02
   593   0.230266E+04   0.184397E+02   0.707099E-01   0.310696E+02
   594   0.229352E+04   0.187346E+02   0.707931E-01   0.310815E+02
   595   0.228435E+04   0.190310E+02   0.708749E-01   0.310602E+02
   596   0.227515E+04   0.193289E+02   0.709554E-01   0.310054E+02
   597   0.226593E+04   0.196282E+02   0.710345E-01   0.309171E+02
   598   0.225669E+04   0.199288E+02   0.711122E-01   0.307952E+02
   599   0.224744E+04   0.202305E+02   0.711887E-01   0.306396E+02
   600   0.223818E+04   0.205333E+02   0.712639E-01   0.304502E+02
   601   0.222893E+04   0.208369E+02   0.713377E-01   0.302272E+02
   602   0.221967E+04   0.211413E+02   0.714104E-01   0.299707E+02
   603   0.221042E+04   0.214465E+02   0.714817E-01   0.296804E+02
   604   0.220118E+04   0.217521E+02   0.715519E-01   0.293567E+02
   605   0.219195E+04   0.220582E+02   0.716208E-01   0.289995E+02
   606   0.218275E+04   0.223646E+02   0.716886E-01   0.286089E+02
   607   0.217356E+04   0.226713E+02   0.717551E-01   0.281849E+02
   608   0.216441E+04   0.229780E+02   0.718205E-01   0.277278E+02
   609   0.215530E+04   0.232847E+02   0.718848E-01   0.272377E+02
   610   0.214621E+04   0.235913E+02   0.719480E-01   0.267146E+02
   611   0.213718E+04   0.238974E+02   0.720101E-01   0.261587E+02
   612   0.212819E+04   0.242032E+02   0.720712E-01   0.255701E+02
   613   0.211924E+04   0.245084E+02   0.721312E-01   0.249490E+02
   614   0.211037E+04   0.248129E+02   0.721902E-01   0.242956E+02
   615   0.210154E+04   0.251167E+02   0.722482E-01   0.236103E+02
   616   0.209278E+04   0.254195E+02   0.723052E-01   0.228934E+02
   617   0.208409E+04   0.257213E+02   0.723613E-01   0.221451E+02
   618   0.207548E+04   0.260222E+02   0.724165E-01   0.213658E+02
   619   0.206694E+04   0.263217E+02   0.724708E-01   0.205559E+02
   620   0.205849E+04   0.266199E+02   0.725242E-01   0.197155E+02
   621   0.205013E+04   0.269168E+02   0.725768E-01   0.188451E+02
   622   0.204186E+04   0.272120E+02   0.726286E-01   0.179450E+02
   623   0.203368E+04   0.275056E+02   0.726796E-01   0.170155E+02
   624   0.202560E+04   0.277973E+02   0.727299E-01   0.160569E+02
   625   0.201762E+04   0.280872E+02   0.727794E-01   0.150695E+02
   626   0.200976E+04   0.283749E+02   0.728283E-01   0.140538E+02
   627   0.200200E+04   0.286605E+02   0.728765E-01   0.130100E+02
   628   0.199436E+04   0.289437E+02   0.729240E-01   0.119384E+02
   629   0.198683E+04   0.292246E+02   0.729709E-01   0.108397E+02
   630   0.197943E+04   0.295029E+02   0.730173E-01   0.971423E+01
   631   0.197215E+04   0.297785E+02   0.730631E-01   0.856242E+01
   632   0.196499E+04   0.300515E+02   0.731083E-01   0.738480E+01
   633   0.195797E+04   0.303215E+02   0.731531E-01   0.618171E+01
   634   0.195109E+04   0.305885E+02   0.731974E-01   0.495370E+01
   635   0.194434E+04   0.308524E+02   0.732413E-01   0.370127E+01
   636   0.193773E+04   0.311131E+02   0.732847E-01   0.242493E+01
   637   0.193127E+04   0.313706E+02   0.733278E-01   0.112520E+01
   638   0.192496E+04   0.316246E+02   0.733705E-01  -0.197357E+00
   639   0.191879E+04   0.318751E+02   0.734129E-01  -0.154224E+01
   640   0.191278E+04   0.321219E+02   0.734550E-01  -0.290892E+01
   641   0.190693E+04   0.323651E+02   0.734968E-01  -0.429685E+01
   642   0.190122E+04   0.326043E+02   0.735384E-01  -0.570543E+01
   643   0.189569E+04   0.328397E+02   0.735798E-01  -0.713405E+01
   644   0.189031E+04   0.330710E+02   0.736210E-01  -0.858209E+01
   645   0.188511E+04   0.332981E+02   0.736620E-01  -0.100489E+02
   646   0.188007E+04   0.335209E+02   0.737029E-01  -0.115340E+02
   647   0.187520E+04   0.337394E+02   0.737437E-01  -0.130366E+02
   648   0.187051E+04   0.339533E+02   0.737844E-01  -0.145562E+02
   649   0.186598E+04   0.341627E+02   0.738251E-01  -0.160920E+02
   650   0.186164E+04   0.343674E+02   0.738657E-01  -0.176435E+02
   651   0.185748E+04   0.345674E+02   0.739063E-01  -0.192099E+02
   652   0.185349E+04   0.347627E+02   0.739470E-01  -0.207906E+02
   653   0.184969E+04   0.349533E+02   0.739877E-01  -0.223849E+02
   654   0.184607E+04   0.351389E+02   0.740286E-01  -0.239923E+02
   655   0.184265E+04   0.353196E+02   0.740695E-01  -0.256119E+02
   656   0.183940E+04   0.354953E+02   0.741105E-01  -0.272431E+02
   657   0.183634E+04   0.356660E+02   0.741517E-01  -0.288854E+02
   658   0.183348E+04   0.358316E+02   0.741931E-01  -0.305377E+02
   659   0.183080E+04   0.359919E+02   0.742347E-01  -0.321996E+02
   660   0.182832E+04   0.361470E+02   0.742765E-01  -0.338704E+02
   661   0.182603E+04   0.362968E+02   0.743186E-01  -0.355492E+02
   662   0.182394E+04   0.364410E+02   0.743610E-01  -0.372355E+02
   663   0.182203E+04   0.365799E+02   0.744037E-01  -0.389284E+02
   664   0.182032E+04   0.367132E+02   0.744467E-01  -0.406271E+02
   665   0.181881E+04   0.368409E+02   0.744901E-01  -0.423312E+02
   666   0.181749E+04   0.369630E+02   0.745338E-01  -0.440397E+02
   667   0.181636E+04   0.370795E+02   0.745780E-01  -0.457520E+02
   668   0.181544E+04   0.371902E+02   0.746226E-01  -0.474672E+02
   669   0.181470E+04   0.372951E+02   0.746676E-01  -0.491848E+02
   670   0.181417E+04   0.373943E+02   0.747131E-01  -0.509039E+02
   671   0.181383E+04   0.374877E+02   0.747591E-01  -0.526239E+02
   672   0.181368E+04   0.375752E+02   0.748056E-01  -0.543440E+02
   673   0.181373E+04   0.376568E+02   0.748527E-01  -0.560633E+02
   674   0.181398E+04   0.377325E+02   0.749003E-01  -0.577814E+02
   675   0.181442E+04   0.378022E+02   0.749485E-01  -0.594973E+02
   676   0.181506E+04   0.378659E+02   0.749974E-01  -0.612104E+02
   677   0.181589E+04   0.379237E+02   0.750468E-01  -0.629199E+02
   678   0.181690E+04   0.379754E+02   0.750969E-01  -0.646249E+02
   679   0.181812E+04   0.380210E+02   0.751477E-01  -0.663248E+02
   680   0.181953E+04   0.380605E+02   0.751992E-01  -0.680187E+02
   681   0.182112E+04   0.380938E+02   0.752513E-01  -0.697057E+02
   682   0.182289E+04   0.381210E+02   0.753042E-01  -0.713852E+02
   683   0.182486E+04   0.381418E+02   0.753579E-01  -0.730564E+02
   684   0.182702E+04   0.381565E+02   0.754123E-01  -0.747186E+02
   685   0.182935E+04   0.381651E+02   0.754676E-01  -0.763712E+02
   686   0.183187E+04   0.381675E+02   0.755236E-01  -0.780129E+02
   687   0.183457E+04   0.381639E+02   0.755804E-01  -0.796441E+02
   688   0.183745E+04   0.381541E+02   0.756381E-01  -0.812640E+02
   689   0.184052E+04   0.381383E+02   0.756967E-01  -0.828712E+02
   690   0.184376E+04   0.381165E+02   0.757561E-01  -0.844648E+02
   691   0.184717E+04   0.380888E+02   0.758164E-01  -0.860450E+02
   692   0.185076E+04   0.380550E+02   0.758776E-01  -0.876110E+02
   693   0.185453E+04   0.380152E+02   0.759397E-01  -0.891621E+02
   694   0.185846E+04   0.379696E+02   0.760028E-01  -0.906969E+02
   695   0.186256E+04   0.379180E+02   0.760668E-01  -0.922153E+02
   696   0.186681E+04   0.378603E+02   0.761318E-01  -0.937159E+02
   697   0.187124E+04   0.377969E+02   0.761977E-01  -0.951988E+02
   698   0.187582E+04   0.377275E+02   0.762646E-01  -0.966625E+02
   699   0.188056E+04   0.376523E+02   0.763325E-01  -0.981069E+02
   700   0.188546E+04   0.375713E+02   0.764014E-01  -0.995315E+02
   701   0.189050E+04   0.374845E+02   0.764713E-01  -0.100935E+03
   702   0.189569E+04   0.373919E+02   0.765423E-01  -0.102318E+03
   703   0.190103E+04   0.372937E+02   0.766142E-01  -0.103679E+03
   704   0.190652E+04   0.371899E+02   0.766872E-01  -0.105017E+03
   705   0.191213E+04   0.370805E+02   0.767612E-01  -0.106333E+03
   706   0.191790E+04   0.369656E+02   0.768363E-01  -0.107624E+03
   707   0.192379E+04   0.368454E+02   0.769124E-01  -0.108892E+03
   708   0.192981E+04   0.367196E+02   0.769896E-01  -0.110135E+03
   709   0.193597E+04   0.365886E+02   0.770678E-01  -0.111353E+03
   710   0.194225E+04   0.364524E+02   0.771470E-01  -0.112545E+03
   711   0.194864E+04   0.363110E+02   0.772274E-01  -0.113711E+03
   712   0.195516E+04   0.361645E+02   0.773087E-01  -0.114850E+03
   713   0.196179E+04   0.360128E+02   0.773912E-01  -0.115962E+03
   714   0.196853E+04   0.358563E+02   0.774747E-01  -0.117046E+03
   715   0.197539E+04   0.356947E+02   0.775592E-01  -0.118102E+03
   716   0.198234E+04   0.355283E+02   0.776448E-01  -0.119129E+03
   717   0.198939E+04   0.353569E+02   0.777315E-01  -0.120126E+03
   718   0.199653E+04   0.351808E+02   0.778191E-01  -0.121094E+03
   719   0.200377E+04   0.350001E+02   0.779079E-01  -0.122031E+03
   720   0.201109E+04   0.348147E+02   0.779976E-01  -0.122938E+03
   721   0.201850E+04   0.346250E+02   0.780884E-01  -0.123814E+03
   722   0.202599E+04   0.344308E+02   0.781802E-01  -0.124658E+03
   723   0.203357E+04   0.342325E+02   0.782730E-01  -0.125472E+03
   724   0.204122E+04   0.340301E+02   0.783669E-01  -0.126254E+03
   725   0.204894E+04   0.338237E+02   0.784617E-01  -0.127003E+03
   726   0.205674E+04   0.336133E+02   0.785575E-01  -0.127721E+03
   727   0.206460E+04   0.333992E+02   0.786543E-01  -0.128405E+03
   728   0.207253E+04   0.331813E+02   0.787521E-01  -0.129058E+03
   729   0.208050E+04   0.329598E+02   0.788508E-01  -0.129676E+03
   730   0.208854E+04   0.327347E+02   0.789505E-01  -0.130261E+03
   731   0.209663E+04   0.325063E+02   0.790511E-01  -0.130812E+03
   732   0.210476E+04   0.322744E+02   0.791526E-01  -0.131329E+03
   733   0.211293E+04   0.320393E+02   0.792551E-01  -0.131811E+03
   734   0.212115E+04   0.318010E+02   0.793584E-01  -0.132257E+03
   735   0.212939E+04   0.315598E+02   0.794626E-01  -0.132670E+03
   736   0.213766E+04   0.313157E+02   0.795677E-01  -0.133047E+03
   737   0.214596E+04   0.310687E+02   0.796737E-01  -0.133388E+03
   738   0.215427E+04   0.308190E+02   0.797805E-01  -0.133694E+03
   739   0.216261E+04   0.305668E+02   0.798881E-01  -0.133964E+03
   740   0.217095E+04   0.303122E+02   0.799965E-01  -0.134197E+03
   741   0.217930E+04   0.300554E+02   0.801057E-01  -0.134394E+03
   742   0.218765E+04   0.297963E+02   0.802157E-01  -0.134556E+03
   743   0.219600E+04   0.295352E+02   0.803265E-01  -0.134681E+03
   744   0.220434E+04   0.292721E+02   0.804380E-01  -0.134770E+03
   745   0.221267E+04   0.290074E+02   0.805502E-01  -0.134822E+03
   746   0.222097E+04   0.287409E+02   0.806631E-01  -0.134838E+03
   747   0.222926E+04   0.284730E+02   0.807767E-01  -0.134817E+03
   748   0.223752E+04   0.282036E+02   0.808910E-01  -0.134759E+03
   749   0.224576E+04   0.279329E+02   0.810059E-01  -0.134665E+03
   750   0.225396E+04   0.276610E+02   0.811215E-01  -0.134535E+03
   751   0.226212E+04   0.273881E+02   0.812377E-01  -0.134368E+03
   752   0.227023E+04   0.271142E+02   0.813544E-01  -0.134163E+03
   753   0.227830E+04   0.268394E+02   0.814718E-01  -0.133923E+03
   754   0.228632E+04   0.265640E+02   0.815896E-01  -0.133647E+03
   755   0.229429E+04   0.262880E+02   0.817080E-01  -0.133334E+03
   756   0.230219E+04   0.260116E+02   0.818270E-01  -0.132985E+03
   757   0.231005E+04   0.257349E+02   0.819464E-01  -0.132601E+03
   758   0.231784E+04   0.254580E+02   0.820662E-01  -0.132181E+03
   759   0.232558E+04   0.251812E+02   0.821865E-01  -0.131726E+03
   760   0.233324E+04   0.249044E+02   0.823072E-01  -0.131236E+03
   761   0.234084E+04   0.246280E+02   0.824283E-01  -0.130711E+03
   762   0.234837E+04   0.243518E+02   0.825498E-01  -0.130151E+03
   763   0.235581E+04   0.240762E+02   0.826717E-01  -0.129556E+03
   764   0.236317E+04   0.238011E+02   0.827938E-01  -0.128926E+03
   765   0.237044E+04   0.235267E+02   0.829162E-01  -0.128262E+03
   766   0.237762E+04   0.232531E+02   0.830390E-01  -0.127563E+03
   767   0.238470E+04   0.229804E+02   0.831619E-01  -0.126829E+03
   768   0.239168E+04   0.227087E+02   0.832851E-01  -0.126061E+03
   769   0.239855E+04   0.224383E+02   0.834085E-01  -0.125259E+03
   770   0.240531E+04   0.221692E+02   0.835320E-01  -0.124424E+03
   771   0.241195E+04   0.219015E+02   0.836557E-01  -0.123556E+03
   772   0.241847E+04   0.216355E+02   0.837795E-01  -0.122655E+03
   773   0.242488E+04   0.213713E+02   0.839033E-01  -0.121722E+03
   774   0.243115E+04   0.211088E+02   0.840273E-01  -0.120758E+03
   775   0.243729E+04   0.208484E+02   0.841512E-01  -0.119762E+03
   776   0.244331E+04   0.205902E+02   0.842752E-01  -0.118736E+03
   777   0.244920E+04   0.203341E+02   0.843991E-01  -0.117680E+03
   778   0.245496E+04   0.200804E+02   0.845230E-01  -0.116594E+03
   779   0.246059E+04   0.198291E+02   0.846468E-01  -0.115478E+03
   780   0.246609E+04   0.195805E+02   0.847705E-01  -0.114335E+03
   781   0.247146E+04   0.193345E+02   0.848941E-01  -0.113164E+03
   782   0.247668E+04   0.190912E+02   0.850174E-01  -0.111964E+03
   783   0.248177E+04   0.188508E+02   0.851406E-01  -0.110737E+03
   784   0.248670E+04   0.186134E+02   0.852635E-01  -0.109483E+03
