#    L    TT             EE             BB             TE          
    91   0.247297E+04   0.645465E+00   0.244721E-02  -0.177750E+02
    92   0.250299E+04   0.661067E+00   0.250171E-02  -0.184197E+02
    93   0.253324E+04   0.676633E+00   0.255686E-02  -0.190687E+02
    94   0.256370E+04   0.692150E+00   0.261266E-02  -0.197218E+02
    95   0.259439E+04   0.707602E+00   0.266912E-02  -0.203785E+02
    96   0.262531E+04   0.722976E+00   0.272622E-02  -0.210383E+02
    97   0.265645E+04   0.738256E+00   0.278399E-02  -0.217008E+02
    98   0.268782E+04   0.753427E+00   0.284242E-02  -0.223656E+02
    99   0.271940E+04   0.768474E+00   0.290152E-02  -0.230320E+02
   100   0.275120E+04   0.783387E+00   0.296128E-02  -0.236995E+02
   101   0.278322E+04   0.798150E+00   0.302172E-02  -0.243678E+02
   102   0.281546E+04   0.812741E+00   0.308284E-02  -0.250363E+02
   103   0.284790E+04   0.827159E+00   0.314465E-02  -0.257043E+02
   104   0.288053E+04   0.841377E+00   0.320714E-02  -0.263715E+02
   105   0.291337E+04   0.855385E+00   0.327031E-02  -0.270372E+02
   106   0.294639E+04   0.869169E+00   0.333419E-02  -0.277007E+02
   107   0.297958E+04   0.882723E+00   0.339876E-02  -0.283617E+02
   108   0.301295E+04   0.896023E+00   0.346403E-02  -0.290194E+02
   109   0.304648E+04   0.909062E+00   0.353002E-02  -0.296733E+02
   110   0.308018E+04   0.921818E+00   0.359671E-02  -0.303228E+02
   111   0.311402E+04   0.934284E+00   0.366412E-02  -0.309674E+02
   112   0.314801E+04   0.946453E+00   0.373225E-02  -0.316064E+02
   113   0.318215E+04   0.958301E+00   0.380110E-02  -0.322394E+02
   114   0.321641E+04   0.969814E+00   0.387068E-02  -0.328657E+02
   115   0.325080E+04   0.980993E+00   0.394100E-02  -0.334848E+02
   116   0.328532E+04   0.991822E+00   0.401206E-02  -0.340960E+02
   117   0.331994E+04   0.100228E+01   0.408386E-02  -0.346989E+02
   118   0.335467E+04   0.101236E+01   0.415641E-02  -0.352927E+02
   119   0.338950E+04   0.102206E+01   0.422971E-02  -0.358771E+02
   120   0.342441E+04   0.103137E+01   0.430378E-02  -0.364514E+02
   121   0.345941E+04   0.104026E+01   0.437861E-02  -0.370150E+02
   122   0.349447E+04   0.104874E+01   0.445421E-02  -0.375674E+02
   123   0.352960E+04   0.105679E+01   0.453059E-02  -0.381080E+02
   124   0.356478E+04   0.106441E+01   0.460776E-02  -0.386363E+02
   125   0.360000E+04   0.107158E+01   0.468571E-02  -0.391517E+02
   126   0.363527E+04   0.107831E+01   0.476446E-02  -0.396536E+02
   127   0.367055E+04   0.108458E+01   0.484400E-02  -0.401416E+02
   128   0.370586E+04   0.109038E+01   0.492436E-02  -0.406151E+02
   129   0.374117E+04   0.109571E+01   0.500553E-02  -0.410736E+02
   130   0.377649E+04   0.110056E+01   0.508752E-02  -0.415164E+02
   131   0.381179E+04   0.110493E+01   0.517034E-02  -0.419432E+02
   132   0.384708E+04   0.110881E+01   0.525399E-02  -0.423534E+02
   133   0.388234E+04   0.111220E+01   0.533849E-02  -0.427465E+02
   134   0.391757E+04   0.111510E+01   0.542383E-02  -0.431220E+02
   135   0.395275E+04   0.111751E+01   0.551003E-02  -0.434796E+02
   136   0.398789E+04   0.111942E+01   0.559708E-02  -0.438186E+02
   137   0.402298E+04   0.112083E+01   0.568501E-02  -0.441387E+02
   138   0.405799E+04   0.112175E+01   0.577382E-02  -0.444393E+02
   139   0.409292E+04   0.112217E+01   0.586350E-02  -0.447202E+02
   140   0.412779E+04   0.112209E+01   0.595408E-02  -0.449808E+02
   141   0.416255E+04   0.112154E+01   0.604556E-02  -0.452208E+02
